"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Coord. facteur 19";"Coord. facteur 20";"Coord. facteur 21";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"Corr. facteur 19";"Corr. facteur 20";"Corr. facteur 21";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"COR -facteur 19";"COR -facteur 20";"COR -facteur 21";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"CTR -facteur 19";"CTR -facteur 20";"CTR -facteur 21";"mass";"chi.distance";"inertie"
"classe 1";-0,437603278779949;-1,09602143161529;0,41551374870038;0,965251146845352;0,341348093368829;-0,305049071522532;-0,384475546261453;1,4296412374176;0,167339138408486;0,509363967627446;-1,75396708351873;0,947495868421767;1,44941604377851;-2,8231906125315;1,11863970778625;-0,252405886561862;-1,03325329123367;-0,756671625111552;0,769948624087034;-0,0232939864006524;0,0120928877587557;-0,0916862591681725;-0,229637459100216;0,0870580799977031;0,202238582532517;0,0715189562620114;-0,0639136167091873;-0,0805549827611747;0,299537191258775;0,0350607510434452;0,106721496413428;-0,367489661047096;0,198518512007254;0,303680391524692;-0,591512446852295;0,234376420692848;-0,0528838622859597;-0,216486332804777;-0,158537182167838;0,161318967469894;-0,00488053581349895;0,00253369134763371;0,0167121505087598;0,0991700888511137;0,0118355146681986;0,0619438601504839;0,00733524740005562;0,00510858717222495;0,00736029342694558;0,0970483620672095;0,0012841637903882;0,0115348491384792;0,133238240126895;0,0370753923124515;0,084978444379698;0,305384444587274;0,0457433674253267;0,0022371687053067;0,035198632688328;0,0181800799180227;0,0186113346511693;1,5711166882217e-05;4,06686479029428e-06;0,00805286337599258;0,0505158062846359;0,00726039072444403;0,0391804887210463;0,00489986550214967;0,00391316906169618;0,00621622379746144;0,0859494950882006;0,00117756327693148;0,0109105246746064;0,129369551883729;0,0377523374320459;0,0883436472092406;0,335173441645629;0,0526222797072974;0,00267909525235045;0,0448954977566487;0,0240770953753236;0,0249294496364707;2,28179608937475e-05;6,14963358958773e-06;0,0420522459996144;1,73289658165725;0,126279974743236
"classe 2";0,383230306432396;-0,903926749853051;-2,99149170794094;-0,0120559230489329;-2,08195036720044;0,369069194573895;1,39557992428106;1,33496020337406;-0,953643467940231;-0,362015416057999;0,430201497047563;-0,31704536235291;-0,024367751237811;-0,0702370891323108;-0,0460315869104623;-0,21956090088152;0,122087751538938;-0,221772575732744;0,0807883772220382;-0,400179627668047;0,147300609286715;0,086237922794705;-0,203409709403156;-0,673172310801886;-0,00271293199849314;-0,468499155769956;0,0830512623175904;0,314045918978542;0,300404725357713;-0,214597411482153;-0,0814639577728961;0,0968078016426367;-0,0713443927113648;-0,00548345006815798;-0,0158053801284778;-0,0103584407899704;-0,0494075643318062;0,0274732815089909;-0,0499052552551634;0,0181797256653361;-0,0900520111682208;0,0331469050282994;0,0104640175586878;0,0550701995338501;0,50084059298359;7,88907547578754e-06;0,222775850531198;0,00610498429428642;0,0791725573238427;0,0690841276601247;0,0340490502875031;0,0047568249796291;0,00654391136248978;0,00338907732968382;1,96092559982146e-05;0,000154314622774505;6,32363984947532e-05;0,00138202961206555;0,000401202797926816;0,00127498224091134;0,000167285907396429;0,00378563136682346;0,000492624877280055;0,00707853613689359;0,0393813171920137;0,431319772444543;7,00526704076495e-06;0,208912537665608;0,00656506990473411;0,09387137676192;0,0858935195967087;0,0438324592223381;0,00631652021706411;0,00892005629756914;0,004844696442524;2,86190138995489e-05;0,000237769842383852;0,000102125843141288;0,00232345234219707;0,000718402693070825;0,00237049717308345;0,000314573062182877;0,00771851428574014;0,00104576197687668;0,0481974166184692;1,91786866438798;0,177280712060986
"classe 3";-0,356579763836121;-0,684773697066668;-1,79813819482208;0,834614540920521;-0,131081567535791;-0,475803461484239;-4,29944866810142;-1,20217241831807;-0,676490644427295;-0,92941492489193;-0,152938818869494;0,186948611998629;-0,348544218510616;0,232451014447831;-0,445464183819103;0,0312676677024032;0,0688262128060697;0,0976723247419816;-0,0440786828221069;0,374170614554922;-0,267417126036624;-0,0690309420932125;-0,132566618252877;-0,348104929643186;0,161574586916032;-0,0253763253436035;-0,0921116802706832;-0,832338293254497;-0,232730802505976;-0,130963086630801;-0,179927170208875;-0,0296077114292904;0,0361917307657841;-0,0674753258740396;0,0450006257933117;-0,0862382428744589;0,00605316615652478;0,0133241950120716;0,0189085676675469;-0,00853327448732162;0,0724363877199529;-0,0517697806055294;0,00790912136252188;0,0275918232967024;0,157981463742152;0,033009059991495;0,000770986379793029;0,00885850099140052;0,656034787882556;0,0489115297439389;0,0149586569535122;0,0273727489303995;0,000722046428217552;0,00102877226077091;0,00350253161992181;0,00147561496436225;0,00517031381124669;2,4470024427018e-05;0,000111317538572921;0,000215907431358077;4,34765316078109e-05;0,00288937433656795;0,00141749577844376;0,00459313049060532;0,0169390690494345;0,116799646967162;0,0251632823993166;0,000620695576540211;0,00817806564504084;0,667760820696188;0,052207021556866;0,0165317560344247;0,0312043170863504;0,000844949710658301;0,00126252471343726;0,00438845009913021;0,0019519032606184;0,00716837936811653;3,53172088461133e-05;0,000171120934699016;0,000344618388464772;7,01863429901322e-05;0,00505748673476516;0,00258329398079897;0,0361239637555427;2,05258343636751;0,152193827022174
"classe 4";0,891467489709426;0,135608713803365;0,486344146217608;-2,52111152054362;0,322091980981725;1,32526784891256;-1,57619297743459;1,86216768864873;0,442570690665089;0,435231160864034;1,19619223151205;-1,34900904256804;-0,63334731181646;-0,83754394410663;1,19080797918868;-0,18348613481075;-0,131651766402883;0,591227779065066;-0,819413028821718;0,307140621258255;0,0989478120494082;0,187727249950388;0,0285567911398684;0,102415455586227;-0,53090139352604;0,0678268613480012;0,279077915455015;-0,331918299276798;0,392139503876291;0,0931975418355207;0,091651966970048;0,251896878602909;-0,284077389969711;-0,133371716280455;-0,176371907169591;0,25076305051229;-0,0386389272628166;-0,0277235281636348;0,124502089351949;-0,172553857824203;0,0646783700386648;0,0208366551321999;0,0584110209318108;0,00127858727272556;0,0136557736886754;0,355888783797359;0,00550037376694646;0,0812047234404829;0,10418112272141;0,138670545460908;0,00756490076256725;0,00709264162393454;0,0521915913933958;0,0632955824896053;0,0136652973152554;0,0226357187136742;0,0436559773895534;0,00099567787193753;0,00048125821246559;0,00934766474089052;0,0177530234913324;0,00230042403841838;0,00022931087667609;0,0337450976127325;0,000780863032173411;0,01004354558326;0,269888129286421;0,00440513775551461;0,0745773578980785;0,105491737524703;0,147243876473411;0,00831696679697882;0,00804339936109481;0,0607577418554529;0,0772732877721048;0,0170327013744122;0,0297861844597473;0,06021201222994;0,00142957246140939;0,000735958033205915;0,0148425777239427;0,0285105371167462;0,00400566094278509;0,000415730665015932;0,0424619240408714;1,88827984707127;0,151402269516758
"classe 5";0,899398918275214;0,217503870526659;0,120326386450947;-1,16994494184964;0,139681638313687;-0,00109927873721316;-0,237011602210434;0,208534994684019;1,08944404279801;0,190636589298385;-0,728979517149533;-0,0095916208992279;-0,632929668804326;0,219558054590622;-2,12588967332468;-0,0113375807555679;0,328361099068654;-1,64466697662758;2,22887648522542;-0,661364104460365;0,0678180074507865;0,216209365462535;0,0522864469554816;0,0289256425978914;-0,281246784228408;0,0335785131301751;-0,000264259110623688;-0,0569759725967295;0,0501303903765296;0,261894917165354;0,0458277358006933;-0,17524170380407;-0,00230576024302564;-0,152151975384878;0,052780258793575;-0,51104937750463;-0,00272547708389782;0,0789357685779317;-0,395366723473227;0,535806704647929;-0,158987419775079;0,0163029864278547;0,101852432256003;0,00563471647163406;0,00143196887775189;0,131293716071183;0,00177212324730352;9,571335246656e-08;0,00403545375201898;0,00297911622104379;0,0785291142262951;0,0023311138102442;0,0332056618305231;5,48164107003086e-06;0,0233791670931387;0,00266477617140856;0,238355179504211;6,51232465745542e-06;0,00512874467602339;0,123917406363849;0,225020200728442;0,0182724812701351;0,000184537749708861;0,044192646158165;0,00258451623492564;0,000790982789653667;0,0747783939535691;0,00106591831756998;6,60177837217004e-08;0,00306891243862549;0,00237576333540166;0,0648418119060572;0,00198544473948142;0,0290319319036106;5,02607882862695e-06;0,0218854858814053;0,00263356494779853;0,246903206319589;7,02240822394728e-06;0,00589045288225441;0,147775089042537;0,271404653603914;0,0238960723718395;0,000251266931731413;0,0546317717370349;1,44269625839071;0,11370906699056
"classe 6";-0,539639425640993;-1,04920098795243;0,941124012336756;0,667172697772694;0,538215900450564;0,293327496812502;0,181455950566235;1,04407211652469;-0,291949055178468;-0,328046703984631;-0,540871895675226;0,206441715998346;-0,698474771119821;1,30253040211755;-0,762315292479937;-3,13082592405234;-0,0615209008493689;1,89455084956298;0,323821445252718;-0,215974466012476;0,102334828998229;-0,11755667246096;-0,228561092881481;0,205017280069932;0,145338903312705;0,117246567460103;0,0638993424648722;0,0395289089959825;0,227443804132962;-0,0635990586012788;-0,0714626787811358;-0,117825157433051;0,0449718831441374;-0,15215784093841;0,283747132949554;-0,166065051758586;-0,682028517929225;-0,0134018977246926;0,412714644446452;0,0705422357348918;-0,0470485260242089;0,022292926354674;0,0290349250740256;0,103825051336945;0,0693668898991742;0,0338093100244937;0,0208341129588699;0,00539646182385339;0,00187301940125842;0,0591339969753664;0,00446561907575755;0,00546599210229088;0,0144749477481246;0,00201079681894354;0,0225458316323187;0,0742650384256922;0,0242694032247988;0,393241897390318;0,000142560672199997;0,130207376008119;0,00376103522248276;0,00154300661394165;0,000332727571043398;0,013193467665499;0,0498734022716956;0,0401277974841442;0,0201663892487997;0,013123952871021;0,00389813761148599;0,00149174312107876;0,0493869958277462;0,00386158645510044;0,00487554277980863;0,0132538009966953;0,00193084110170047;0,0221030935770885;0,0768647735460802;0,0263281824195029;0,444088428220316;0,000171473489822576;0,162616326695828;0,0047507571188175;0,00211327702772371;0,000474458848685705;0,0453055716213611;1,62125587686697;0,119084363850932
"classe 7";-0,831039429636284;-1,0866516608899;1,28245564714436;1,16212875088033;0,487405121980189;0,304680770247817;-0,225193352931169;2,3487049825979;-0,544852201281931;-0,556225041842651;0,169295685448648;0,537575165731525;-0,523977693631705;2,0025962247167;0,175869017876133;3,07459699108712;0,792832872645698;-0,499602366903452;-0,191740791510706;-0,561409991135256;0,263201539536455;-0,16065964460824;-0,210075555293367;0,247929112805416;0,224667068068199;0,0942269775476779;0,0589020238045778;-0,0435352195814512;0,454060414388438;-0,105332861354465;-0,107531501343751;0,0327288738511387;0,103926037678432;-0,101297323615991;0,387149377373828;0,0339996550126942;0,594392567050412;0,153273410394903;-0,0965849944656341;-0,0370680455372556;-0,10853387509517;0,0508831040914335;0,0492398111678443;0,0796388942067295;0,0921091925071336;0,0733547126168337;0,0122180499477755;0,00416345043359781;0,00206286464637975;0,213989729708429;0,0111220462808661;0,0112372092891056;0,00101409748548762;0,0097501526650613;0,0090729843415305;0,125532220402273;0,000923694296409215;0,271192758225777;0,0169307973500068;0,00647488085101073;0,000942941979598453;0,00745560681272988;0,00157390478543794;0,0248815950392146;0,0425417796657893;0,0592542719275161;0,0486567894318946;0,0085588444822181;0,00334445261662355;0,00182703173981953;0,198743025049256;0,0106952853830837;0,0111464361450121;0,00103258720169977;0,0104115011789777;0,00989146356319366;0,144484661188503;0,00111432951647942;0,340573892739418;0,0226463520845794;0,0089925721731786;0,00132453667915178;0,0113552116186862;0,00249581165339957;0,0360275689223058;1,91721883678676;0,132427546314206
"classe 8";-1,73283621935747;1,93587466319362;-1,52866366641073;-0,172912810259454;2,22253255095879;0,4057292474563;0,563679604039085;0,223985474737691;-0,396295395134181;0,120277387356456;-0,326034038723843;-0,00334655716707624;-0,3453288124895;-0,107853236008537;-0,0209715547234062;0,0489694247931668;-0,142852871299554;-0,0995928039081803;-0,167997312859664;-0,142791695171757;-0,128441792369885;-0,445988557665931;0,498245557898068;-0,393439666208979;-0,0445034181465639;0,572024104583429;0,104424526596642;0,145076984646772;0,0576482403244216;-0,101996489749666;0,0309563811672995;-0,0839129798050744;-0,000861319833587237;-0,0888789703736617;-0,02775871639207;-0,0053975519086115;0,012603501063322;-0,0367667442067598;-0,0256326884634169;-0,043238292469334;-0,0367509990066683;-0,0330576941335588;0,239849623433426;0,283171723853976;0,146619941271616;0,00181938560883312;0,284622263112405;0,00827154864270391;0,0144802189313912;0,00218035189364285;0,00659198511882706;0,000588675897583237;0,00421371056758595;4,23331324461975e-07;0,00441510546365575;0,000407930025794546;1,47150495732528e-05;7,70730571934543e-05;0,000615804630616735;0,000288263472453152;0,000810982527967117;0,000540355416162663;0,000419918693250907;0,186548478747732;0,232825824525062;0,145177918249977;0,00185750938393572;0,306883076043572;0,0102270247960881;0,0197397350663414;0,00311685349622525;0,00975696461459773;0,000898761891897106;0,00660393158810884;6,95781976126111e-07;0,00740870510313963;0,000722675011908357;2,73236009537874e-05;0,0001489795586917;0,00126781132248223;0,000616215470160401;0,00175340139763251;0,00126672568549841;0,00102491864281116;0,0621264700212069;1,81132442410589;0,203830497508593
"classe 9";-1,0094786542336;0,703994338313344;0,139478930952366;0,503194771068796;-0,96920352564877;-0,354382298303635;-0,192389139593481;-0,0462177222793832;1,91748888625567;-0,344779195404577;-0,338728584134519;-2,4549973291082;2,14864087710441;1,40684775720362;0,493110931609788;-0,155272876372786;-0,718956222049445;-0,182255002501214;-0,0452142387192658;-0,41268519209698;-0,0917193210808498;-0,223377434171749;0,155779865482408;0,0308638975044124;0,111346937727301;-0,214465353815728;-0,0784177141130858;-0,0425718683447836;-0,010227057474404;0,424301936121492;-0,0762927395267658;-0,0749538602795348;-0,543241803058259;0,47545124809846;0,311307268317634;0,109115585756156;-0,0343587817089134;-0,159090631079412;-0,0403293865134724;-0,0100050066346438;-0,0913189783109236;-0,0202956511473435;0,0946702624414241;0,04355409957923;0,00141965124759432;0,0179199976969776;0,0629503097238931;0,00733928126651348;0,00196185490725354;0,000107969042776749;0,179489550956996;0,00562581802723376;0,0052897823246457;0,264960570799185;0,19879177564667;0,0807251408562641;0,00946204540992911;0,000901237119647455;0,0181411656608446;0,00112276251253115;6,83207408435099e-05;0,00524936384326242;0,000249040196281371;0,0475683038376062;0,0231345852845267;0,000908114490840424;0,0118194052841528;0,0438483601645899;0,00586229172596929;0,00172776427756719;9,97104010186198e-05;0,171628377414845;0,00554888199999695;0,00535583364748016;0,281336081141395;0,215501875061353;0,092388430820921;0,0113504386717067;0,00112541987920573;0,0241283863829317;0,00155053759541695;9,5427562675893e-05;0,00794989069506332;0,000392685665748832;0,0466791979949875;1,67957188558872;0,131680230610948
"classe 10";0,875857043029111;0,225394790015264;-0,351934818489315;0,455304102558879;0,376837987642757;-2,99074364849068;0,0412506784421326;0,383041280372195;0,516252037443112;1,99816604419589;1,28333296431337;0,457760950435163;-0,469440195905788;0,382449639911073;0,167857975943282;-0,00742342440773473;-0,593664587182962;0,365135399781835;-0,387732280025401;-0,361899442590789;0,0706195389353332;0,208379945050993;0,0536249086902639;-0,0837307397617137;0,108323892155489;0,0896555890976769;-0,711544197873601;0,00981417478514477;0,0911314484384034;0,122824349077345;0,475394624963311;0,305324772705926;0,108908414286735;-0,111687087528876;0,090990688016643;0,0399360101991774;-0,00176614754940384;-0,141241992675047;0,0868713623396438;-0,0922475098524768;-0,0861014780451414;0,0168014812006051;0,0735517291885718;0,00460771476031072;0,00932816142353456;0,0151417464948733;0,00982164846312145;0,539479569578656;9,30840144767873e-05;0,0076538591868091;0,0134277779440713;0,19501762313496;0,0783646035051353;0,00950744496973193;0,00979351122515465;0,00615701557655003;0,00113158417296792;2,12600160806643e-06;0,0127658493886516;0,00465097495875564;0,00518529145662846;0,00416631272803819;0,000152371827391394;0,0410960121334124;0,00272157918032276;0,00663525623920217;0,0111054549539435;0,00760751083557013;0,479172191302893;9,11581324251548e-05;0,00786003334656272;0,0142776517587945;0,213892903938078;0,0882291159264294;0,0112256297005341;0,011805755224932;0,00783577109293443;0,0015094446475594;2,95217303235813e-06;0,0188805879683098;0,00714234965217001;0,00805373148073371;0,00701631463647449;0,000267167104255663;0,0535714285714286;1,65327473781304;0,146427715644148
