,;381;215;258;242;462;271;420;308;255;390;277
.;389;233;290;256;493;299;446;331;278;413;340
emji_main_qui_écrit;41;9;23;25;55;29;46;24;23;45;383
suisse;94;33;15;53;67;76;124;35;25;27;26
emji_appareil_photo;4;7;16;14;31;18;23;19;17;29;358
rts;12;8;9;19;42;12;21;8;14;30;291
keystone;3;4;10;2;10;14;13;14;11;3;378
info;6;7;6;13;34;8;14;7;9;24;272
rtsinfo;11;6;13;10;25;21;25;12;12;26;190
:;46;9;9;38;47;14;27;19;23;42;19
emji_drapeau_suisse;52;42;10;27;14;33;65;12;40;10;2
premier;61;16;18;12;21;13;23;19;27;34;5
année;22;17;8;17;23;39;30;9;4;43;7
!;67;3;0;3;2;3;6;0;3;10;110
mettre;11;8;9;13;35;13;28;19;10;13;6
ats;4;2;7;6;9;8;4;8;5;2;115
emji_appareil_photo_avec_flash;11;0;1;4;10;6;2;2;2;5;105
emji_main_avec_index_pointant_à_droite;30;6;2;8;9;1;3;2;3;8;104
monde;88;5;7;9;11;6;11;5;1;14;5
grand;30;11;4;10;8;6;30;15;18;28;3
dernier;39;7;17;14;13;16;13;16;9;9;3
afp;1;1;6;4;6;3;6;9;3;16;72
genève;15;25;6;4;15;13;34;4;11;11;9
lien;3;0;1;0;3;2;3;1;1;3;133
également;5;12;5;8;36;10;15;18;8;19;13
nouveau;7;12;9;9;18;18;16;6;17;22;6
emji_chaînons;0;0;1;0;2;1;0;0;0;2;129
rester;14;7;11;19;24;10;15;7;6;21;13
jour;15;12;15;11;13;14;15;18;8;12;7
pays;28;7;16;6;13;4;16;27;11;6;7
notamment;8;9;14;4;39;13;13;13;9;13;9
emji_caméscope;26;2;4;8;14;4;18;3;2;13;21
souligner;2;2;2;18;45;9;17;10;8;10;8
bio;2;0;0;1;2;1;2;0;0;0;133
conseil;1;3;2;3;6;13;29;12;48;1;11
permettre;8;8;4;6;30;12;20;10;9;10;8
annoncer;12;11;19;2;4;9;7;26;19;9;6
prévoir;3;17;8;2;5;25;18;13;11;10;17
face;28;3;9;4;13;10;25;11;6;6;8
public;4;5;4;3;10;7;22;16;19;24;9
canton;0;11;1;6;6;6;55;2;13;2;11
