"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"11";"***";"";""
"**";"classe";"1";"**";"";""
"****";"445";"4034";"11.03";"****";""
"88";"162";" 54.32";"322.273";"monde";"4.632013e-72"
"36";" 36";"100.00";"292.960";"match";"1.125910e-65"
"35";" 36";" 97.22";"274.952";"emji_ballon_de_football";"9.453090e-62"
"31";" 33";" 93.94";"233.031";"champion";"1.301061e-52"
"35";" 42";" 83.33";"226.066";"joueur";"4.299000e-51"
"46";" 69";" 66.67";"221.403";"couper";"4.471042e-50"
"25";" 25";"100.00";"202.887";"rencard";"4.897115e-46"
"50";" 85";" 58.82";"202.079";"équipe";"7.346814e-46"
"38";" 54";" 70.37";"196.366";"victoire";"1.296537e-44"
"23";" 23";"100.00";"186.563";"htag_lerencardrts";"1.789299e-42"
"29";" 36";" 80.56";"178.899";"but";"8.430633e-41"
"33";" 47";" 70.21";"169.706";"remporter";"8.576121e-39"
"22";" 23";" 95.65";"168.774";"souza";"1.370827e-38"
"22";" 23";" 95.65";"168.774";"katia";"1.370827e-38"
"51";"102";" 50.00";"161.918";"mondial";"4.312030e-37"
"33";" 50";" 66.00";"155.868";"saison";"9.047342e-36"
"23";" 30";" 76.67";"132.672";"final";"1.066735e-30"
"20";" 24";" 83.33";"128.601";"football";"8.293657e-30"
"18";" 20";" 90.00";"127.714";"podium";"1.296594e-29"
"15";" 15";"100.00";"121.429";"championnat";"3.078152e-28"
"16";" 17";" 94.12";"120.083";"nati";"6.067024e-28"
"13";" 13";"100.00";"105.186";"matche";"1.111835e-24"
"13";" 13";"100.00";"105.186";"lara";"1.111835e-24"
"13";" 13";"100.00";"105.186";"gut";"1.111835e-24"
"13";" 13";"100.00";"105.186";"behrami";"1.111835e-24"
"14";" 15";" 93.33";"103.913";"disputer";"2.114131e-24"
"67";"207";" 32.37";"101.207";"!";"8.287454e-24"
"12";" 12";"100.00";" 97.071";"tournoi";"6.689281e-23"
"13";" 14";" 92.86";" 95.842";"qualification";"1.244001e-22"
"13";" 14";" 92.86";" 95.842";"odermatt";"1.244001e-22"
"13";" 14";" 92.86";" 95.842";"3e";"1.244001e-22"
"14";" 16";" 87.50";" 95.709";"féminin";"1.330794e-22"
"14";" 16";" 87.50";" 95.709";"descente";"1.330794e-22"
"15";" 19";" 78.95";" 89.720";"canada";"2.743986e-21"
"12";" 13";" 92.31";" 87.784";"olympique";"7.302457e-21"
"12";" 13";" 92.31";" 87.784";"2e";"7.302457e-21"
"12";" 13";" 92.31";" 87.784";"emji_trophée";"7.302457e-21"
"13";" 15";" 86.67";" 87.760";"seconde";"7.388753e-21"
"21";" 35";" 60.00";" 86.264";"battre";"1.574556e-20"
"24";" 44";" 54.55";" 85.826";"course";"1.965342e-20"
"16";" 22";" 72.73";" 85.793";"super";"1.998187e-20"
"24";" 45";" 53.33";" 82.975";"meilleur";"8.310367e-20"
"34";" 82";" 41.46";" 78.984";"?";"6.262574e-19"
"12";" 15";" 80.00";" 72.971";"marco";"1.315457e-17"
" 9";"  9";"100.00";" 72.749";"slovénie";"1.472461e-17"
" 9";"  9";"100.00";" 72.749";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"1.472461e-17"
"11";" 13";" 84.62";" 71.954";"prestigieux";"2.203263e-17"
"11";" 13";" 84.62";" 71.954";"emji_skieur";"2.203263e-17"
"10";" 11";" 90.91";" 71.708";"décrocher";"2.494759e-17"
"10";" 11";" 90.91";" 71.708";"vainqueur";"2.494759e-17"
"10";" 11";" 90.91";" 71.708";"entraîneur";"2.494759e-17"
"16";" 26";" 61.54";" 68.018";"terminer";"1.619707e-16"
"12";" 16";" 75.00";" 66.976";"suède";"2.748113e-16"
"14";" 21";" 66.67";" 66.577";"supporter";"3.364094e-16"
"14";" 21";" 66.67";" 66.577";"gagner";"3.364094e-16"
"15";" 24";" 62.50";" 65.167";"beau";"6.880777e-16"
" 8";"  8";"100.00";" 64.650";"xhaka";"8.947638e-16"
" 8";"  8";"100.00";" 64.650";"slalom";"8.947638e-16"
" 8";"  8";"100.00";" 64.650";"globe";"8.947638e-16"
" 8";"  8";"100.00";" 64.650";"centième";"8.947638e-16"
"22";" 46";" 47.83";" 64.188";"minute";"1.131194e-15"
"10";" 12";" 83.33";" 64.108";"emji_bulle_de_parole";"1.177561e-15"
"10";" 12";" 83.33";" 64.108";"irlande";"1.177561e-15"
" 9";" 10";" 90.00";" 63.698";"mexique";"1.450194e-15"
"20";" 40";" 50.00";" 62.511";"deuxième";"2.649027e-15"
"12";" 17";" 70.59";" 61.700";"fifa";"3.999291e-15"
"21";" 44";" 47.73";" 61.037";"titre";"5.601547e-15"
"11";" 15";" 73.33";" 59.546";"club";"1.194668e-14"
"10";" 13";" 76.92";" 57.696";"kosovo";"3.059018e-14"
"10";" 13";" 76.92";" 57.696";"sélection";"3.059018e-14"
" 7";"  7";"100.00";" 56.554";"capitaine";"5.466727e-14"
" 7";"  7";"100.00";" 56.554";"yakin";"5.466727e-14"
" 7";"  7";"100.00";" 56.554";"tchèque";"5.466727e-14"
