"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
",";1;0,01;0,529;0,001;0;0,047;0;0,022;0,05;0;1
".";1;0;0;0,001;0;0;0;0,004;0,001;0;1
"emji_main_qui_écrit";1;1;1;1;1;1;1;1;1;1;0
"suisse";0;1;1;0,003;1;0;0;1;1;1;1
"emji_appareil_photo";1;1;1;1;1;1;1;1;1;1;0
"rts";1;1;1;1;1;1;1;1;1;1;0
"keystone";1;1;1;1;1;1;1;1;1;1;0
"info";1;1;1;1;1;1;1;1;1;1;0
"rtsinfo";1;1;1;1;1;1;1;1;1;1;0
":";0,008;1;1;0;0,047;1;1;1;0,561;0,027;1
"emji_drapeau_suisse";0,001;0;1;0,081;1;0,023;0;1;0;1;1
"premier";0;0,663;1;1;1;1;1;1;0,015;0,095;1
"année";1;0,202;1;0,414;1;0;0,234;1;1;0;1
"!";0;1;1;1;1;1;1;1;1;1;0
"mettre";1;1;1;0,444;0;0,835;0,017;0,149;1;1;1
"ats";1;1;1;1;1;1;1;1;1;1;0
"emji_appareil_photo_avec_flash";1;1;1;1;1;1;1;1;1;1;0
"emji_main_avec_index_pointant_à_droite";0,009;1;1;1;1;1;1;1;1;1;0
"monde";0;1;1;1;1;1;1;1;1;1;1
"grand";0,002;0,597;1;1;1;1;0,003;0,726;0,04;0,005;1
"dernier";0;1;0,079;0,19;1;0,175;1;0,409;1;1;1
"afp";1;1;1;1;1;1;1;1;1;0,436;0
"genève";1;0;1;1;1;0,516;0;1;0,821;1;1
"lien";1;1;1;1;1;1;1;1;1;1;0
"également";1;0,231;1;1;0;1;1;0,105;1;0,363;1
"nouveau";1;0,153;1;1;0,859;0,013;0,939;1;0,016;0,041;1
"emji_chaînons";1;1;1;1;1;1;1;1;1;1;0
"rester";1;1;0,936;0,001;0,138;1;1;1;1;0,128;1
"jour";1;0,153;0,116;0,489;1;0,245;1;0,057;1;1;1
"pays";0,001;1;0,061;1;1;1;0,964;0;0,71;1;1
"notamment";1;0,814;0,258;1;0;0,466;1;0,801;1;1;1
"emji_caméscope";0;1;1;0,821;1;1;0,128;1;1;0,778;0,052
"souligner";1;1;1;0,001;0;1;0,52;1;1;1;1
"bio";1;1;1;1;1;1;1;1;1;1;0
"conseil";1;1;1;1;1;0,25;0;0,725;0;1;1
"permettre";1;0,771;1;1;0;0,355;0,086;1;0,935;1;1
"annoncer";1;0,137;0,001;1;1;1;1;0;0;1;1
"prévoir";1;0;1;1;1;0;0,319;0,5;0,494;1;0,777
"face";0;1;0,999;1;1;0,774;0,001;0,843;1;1;1
"public";1;1;1;1;1;1;0,018;0,065;0;0,001;1
"canton";1;0,07;1;1;1;1;0;1;0,058;1;1
"place";0;0,02;1;1;1;1;0;1;1;1;1
"fédéral";1;1;1;0;1;0,084;0,046;0,831;0;1;1
"femme";1;1;0,395;0;0,078;1;1;1;1;1;1
"projet";1;1;1;1;1;1;0;1;0,915;0,162;1
"novembre";0,469;0,004;0,637;1;1;1;0,001;1;0,011;1;1
"viser";1;1;0,001;1;0,711;0,793;0;0,576;0,226;1;1
"état";1;1;0,009;1;1;1;1;0;0;1;1
"prendre";0,565;1;0,468;1;0,006;1;0,019;1;1;1;1
"américain";0,951;1;0,232;1;1;1;1;0;1;1;1
"voir";0,072;1;1;0,58;1;1;0,019;1;0,488;0,001;1
"mondial";0;1;1;1;1;0,362;1;1;1;0,162;1
"franc";1;1;1;1;1;0;0;1;0,762;1;1
"président";1;1;0,835;1;1;1;1;0;0;1;1
"groupe";0,001;1;0,391;1;1;1;1;1;0,002;0,007;1
"fin";0,628;0,403;0,595;1;1;0,221;1;0;0,784;1;1
"cliquer";1;1;1;1;1;1;1;1;1;1;0
"national";0,337;1;1;1;1;0,328;0,001;0,197;0;1;1
"jeune";1;1;1;0;0;1;1;1;1;0,042;1
"passer";0,215;0,002;1;0,065;1;0,036;1;0,372;1;1;1
"offrir";1;0,085;1;0,603;0,545;0,908;0,003;1;1;0;1
"?";0;1;1;0,217;1;1;1;1;1;0,002;1
"heure";1;0;0,001;1;0,139;0,391;1;0,643;1;1;1
"enfant";1;1;0;0;0;1;1;1;1;1;1
"social";1;1;1;1;0;1;0,273;0,717;1;0,996;1
"unir";0,642;1;1;1;1;0,742;1;0;1;1;1
"près_de";1;0,807;0,001;1;1;0;1;1;1;1;1
"police";1;1;0;1;1;1;1;1;0,006;1;1
"homme";1;1;0;0,001;0,905;1;1;0,008;0,68;1;1
"décembre";0,076;0;1;1;1;1;1;1;1;0,001;1
"aller";0,002;1;1;1;1;0,625;0,023;0,101;1;0,4;1
"service";1;0,001;1;1;0,97;1;0;1;1;1;1
"devenir";0,106;0,974;1;1;1;1;0,875;1;0,031;0;1
"photo";1;1;1;1;1;1;1;1;1;1;0
"équipe";0;1;1;1;0,408;1;1;1;1;1;1
"nouvelle";0,316;0,217;1;0,357;1;1;0,023;1;1;0;1
"demander";1;0,553;1;1;1;0,221;0,016;0,407;0;1;1
"révéler";1;1;1;0,176;0;1;1;1;1;0,004;1
"retrouver";1;1;1;1;0,489;1;1;1;1;0,404;0
"jeudi";0,132;0;0,002;1;1;1;1;0,033;0,864;1;1
"ville";1;0,017;1;1;1;1;0;1;1;0,146;1
"travail";1;1;1;0,745;0,333;0,001;0;1;1;1;1
"politique";1;1;1;1;1;1;0,444;0;0;1;1
"partir";1;0,16;1;1;1;0,809;1;0,008;0;1;1
"initiative";1;1;1;1;1;1;0;1;0;1;1
"fois";0,034;0,012;1;0,217;1;0,099;1;1;1;0,111;1
"lausanne";1;0;1;1;1;1;0,007;1;0,003;1;1
"prochain";0,198;0,45;1;1;1;0,154;0,021;0,007;1;1;1
"prix";0,846;1;1;1;1;0;1;1;1;0,46;1
"international";1;1;0,371;1;1;1;1;0;1;0,101;1
"indiquer";1;0,254;0;1;0,47;0,01;0,281;1;1;1;1
"santé";1;1;1;0,004;0;1;1;1;1;1;1
"étude";1;1;1;0;0;1;1;1;1;1;1
"semaine";0,491;0,004;0,106;1;1;0,268;0,53;0,004;1;1;1
"mesure";1;1;1;1;1;0,011;0;0,642;1;1;1
"trump";1;1;0,897;1;1;1;1;0;1;1;1
"sécurité";1;1;0,001;0,166;0,903;1;0,241;0,161;0,043;1;1
"lundi";0,521;0,001;0,001;1;1;1;0,56;0,265;0,428;1;1
"dimanche";0,787;0,02;0;1;1;1;1;0,125;0;1;1
"désormais";1;0,012;0,71;0,095;1;1;0;0,39;1;1;1
"temps";0,033;1;1;1;1;0,286;0,039;1;1;0,052;1
"jean";1;1;1;1;1;1;1;1;1;1;0
"situation";1;1;0,001;0,155;0,118;1;1;1;0,105;1;1
"population";1;1;0,227;0;1;0,11;0,03;1;0,073;1;1
"noël";0,527;0,557;1;1;1;0,639;1;1;1;0;1
"connaître";0,005;1;1;1;1;1;1;1;1;0;1
"vie";1;1;0,99;0,421;0;1;1;1;1;0,124;1
"partie";0,776;1;0,576;0,377;1;0,054;1;0,004;0,857;1;1
"ligne";1;0;1;1;1;0,188;1;1;1;1;1
"octobre";0;1;0;1;1;1;1;0,667;0,993;1;1
"expliquer";0,655;1;1;0,095;0,001;0,218;1;0,39;1;1;1
"enquête";1;1;0,906;0,152;0,06;0,584;1;1;0,002;1;0,716
"droit";1;1;1;1;0,45;1;1;0;0;1;1
"couper";0;1;1;1;1;1;1;0,942;1;1;1
"atteindre";1;0;1;0;1;1;1;1;1;0,579;1
"rendre";0,435;1;1;1;0,45;1;1;0,036;1;0,004;1
"français";0,001;1;1;1;1;0,4;1;0,015;1;0,092;1
"mort";1;1;0;0,627;1;1;1;0,01;1;1;1
"marquer";0,113;0,877;1;0,653;1;1;1;1;0;0,001;1
"déclarer";1;1;0,576;1;1;1;1;0;0,249;0,404;1
"violence";1;1;0,003;0;0,003;1;1;1;0,481;1;1
"mois";1;0,465;0,497;0,627;1;0,038;0,439;0,758;1;1;1
"réseau";1;0,581;1;1;0;0,37;1;0,322;1;0,46;1
"nombre";1;1;1;0;1;0,001;0,817;1;1;1;1
"lancer";0,88;1;0,168;0,785;1;1;0;1;0,133;0,138;1
"gouvernement";1;1;1;1;1;1;0,781;0,001;0;1;0,716
"continuer";1;1;0,341;1;0,555;1;0,888;1;0,912;0,02;1
"christian";1;1;1;1;1;1;1;1;1;1;0
"gaza";1;1;0;1;1;1;1;1;1;1;1
"victime";1;1;0,01;0,047;0;1;1;1;0,216;1;1
"ouvrir";0,014;0,203;1;1;1;1;0,439;1;0,2;0,325;1
"france";0,532;0,002;1;1;1;1;0,161;0;1;0,104;1
"décision";1;1;1;1;1;0;0,781;0;0,481;1;1
"vendredi";0,948;0;0;1;1;0,503;1;0,008;1;1;1
"suite";0,197;1;0,001;1;1;1;1;0,204;0,02;1;1
"risque";1;0,851;1;0,627;0;1;1;1;1;1;1
"cas";1;1;1;0;0;0;1;1;1;1;1
"attendre";0,377;0;1;0,117;1;1;1;1;0,02;1;1
"association";1;1;1;1;0;1;0,008;0,21;1;1;1
"suivre";0,297;1;1;0,241;0,498;1;0,324;0,995;0,142;1;0,498
"européen";1;1;1;0,575;0,081;0,826;0,035;0,075;0,716;1;1
"soutenir";1;1;0,018;0,916;1;1;1;0,018;0;1;1
"rapport";1;1;1;0;0,216;0;1;1;1;1;1
"ministre";1;1;0;1;1;1;1;0;0;1;1
"mardi";0,566;0,002;0,001;1;1;1;1;0,171;0,003;1;1
"lieu";0,573;0,075;0,024;0,132;1;0,552;1;0,421;1;0,808;1
"effet";0,874;0,398;1;0,259;0;1;1;1;1;1;1
"créer";0,532;1;1;1;1;0,765;1;0,995;1;0;1
"christophe";1;1;1;1;1;1;1;1;1;1;0
"centre";1;1;0,018;1;0,78;0,425;0,568;1;0;1;1
"toucher";1;0;0,108;0,047;0,052;0,914;1;1;1;0,911;1
"samedi";0,022;0,002;0;1;1;1;1;0,343;1;1;1
"pexels";1;1;1;0,336;0,238;1;1;1;1;0,601;0
"montrer";1;1;1;0;0,195;1;1;0,727;0,744;0,146;1
"donald";1;1;0,549;1;1;1;1;0;1;1;1
"mercredi";0,297;0,01;0,73;1;1;1;1;0,059;0,047;0,733;1
"israélien";1;1;0;1;1;1;1;1;0,488;1;1
"autorité";1;0,376;0;1;0,282;1;1;1;1;1;1
"région";1;0,031;0;1;0,976;1;0,114;0,273;1;1;1
"animal";1;1;1;0;0,81;1;1;1;1;0,808;1
"nombreux";1;0,692;1;0;1;0,375;1;0,045;1;1;1
"début";0,297;0,045;0,73;0,241;1;0,425;0,324;0,633;1;1;1
"événement";1;0,124;1;1;1;1;0,8;1;0,117;0,009;1
"record";0;0,006;1;1;1;0,014;1;1;1;0,172;1
"nuit";1;0;0,044;1;1;1;1;0,898;1;0,96;1
"beutler";1;1;1;1;1;1;1;1;1;1;0
"bally";1;1;1;1;1;1;1;1;1;1;0
"accord";1;1;0;1;1;1;1;0;0,516;1;1
"trouver";1;1;1;0;1;1;0,723;0,864;1;1;1
"succès";0;1;1;0,772;1;1;1;1;1;0,017;1
"htag_sportxinfo";0,659;1;1;1;0,749;1;0,673;1;1;1;0,005
"gaetan";1;1;1;1;1;1;1;1;1;1;0
"estimer";1;1;0,979;1;1;0;0,203;1;0,235;1;1
"appeler";1;1;0,67;1;0,016;1;0,8;0,013;1;1;0,43
"ancien";1;1;1;0,067;1;1;1;0,028;0;1;1
"sport";0;1;1;1;1;1;0,265;1;1;0,972;1
"résultat";0,466;1;1;1;0,701;1;1;1;0;1;1
"important";1;1;0,001;1;1;0,065;1;0,001;1;1;1
"etat";1;1;0,006;1;1;0,981;0,076;1;0;1;0,852
"cours";1;1;0,348;0,859;0,045;1;1;0,003;0,296;1;1
"agir";1;0,638;1;1;0,187;1;0,003;1;0,94;1;0,365
"victoire";0;1;1;1;1;1;1;0,48;0,235;1;1
"plan";1;1;0,006;1;0,305;1;0,027;0;1;1;1
"mener";1;1;0;1;0,011;1;0,723;1;1;1;1
"vaudois";1;1;1;1;1;1;0;1;0;1;1
"saison";0;0,059;1;1;1;1;1;1;1;1;1
"raison";1;0,017;0,916;0,008;0,81;0,949;0,066;0,762;1;1;1
"organisation";1;1;1;0,119;0;1;0,903;1;0,059;1;1
"niveau";1;0,005;1;0,003;0,935;1;1;1;0,001;1;1
"communiqué";1;1;0,851;0,107;0,099;0,219;1;1;0,052;1;1
"publier";1;1;1;0,044;0,062;0,001;1;0,796;1;1;1
"importance";1;1;1;0;0;1;1;1;1;1;1
"complet";0,628;1;1;1;1;1;1;1;0,794;1;0
"bott";1;1;1;1;1;1;1;1;1;1;0
"utiliser";1;1;0,28;1;0;1;1;1;1;0,053;1
"train";1;0;1;1;1;1;1;1;1;1;1
"renforcer";1;0,003;1;1;0,13;0,949;0,162;0,762;0,847;1;0,81
"proposer";1;1;1;1;0,469;0,024;0,57;1;0,816;0,033;1
"local";1;0,424;0,378;1;1;1;1;0,989;0,686;0,001;1
"habitant";1;0,557;0;1;1;1;0,006;1;1;1;1
"venir";0,099;0,052;1;1;1;1;0,012;1;1;0,023;1
"seulement";0;1;1;0,001;0,086;0,851;1;1;1;1;1
"seul";0,286;1;1;0,007;1;0,024;0,019;1;1;1;1
"réduire";1;0,004;1;0,397;0;0,121;0,685;1;1;1;1
"zurich";1;0;1;0,2;1;1;0;1;1;1;1
"zone";1;0,53;0;0,119;0,114;1;0,31;1;1;1;1
"voix";1;1;1;1;1;1;1;1;0;1;1
"revenir";0,01;0,923;1;1;1;0,462;0,041;1;1;1;1
"retour";0;0,059;0,851;1;1;1;0,532;1;1;1;1
"membre";1;1;0;0,853;0,395;1;1;1;0,002;1;1
"etats";1;1;1;1;1;0,981;1;0;0,076;1;1
"armée";1;1;0;1;1;1;1;0,727;1;1;1
"site";1;1;1;1;0,363;0,015;0,23;1;1;0,355;0,639
"juger";1;1;1;1;1;0,001;0,144;0,392;0;1;1
"entreprise";1;1;1;1;1;0;0;0,989;1;1;1
"emji_caméra";1;0,913;1;1;0,982;0,679;1;0,851;1;0,713;0,007
"directeur";1;1;1;0;0,358;0,574;0,007;1;1;1;1
"attaque";1;1;0;1;1;1;1;1;1;1;1
"titre";0;1;1;1;1;1;1;0,878;1;0,008;1
"petit";0,856;1;1;0;0,073;1;1;1;1;0,07;1
"participer";0,395;0,424;1;1;1;1;0;0,285;1;1;1
"lier";1;1;1;1;0;0,884;1;0,364;0,784;1;1
"frapper";1;0,864;0;1;1;1;1;1;1;1;1
"famille";1;0,708;1;1;0,395;0,609;0,262;0,002;1;0,423;1
"soir";0,395;0;0,045;1;1;1;1;0,285;0,007;0,977;1
"poste";1;1;1;1;1;0;0,206;1;0,328;1;1
"michael";1;1;1;1;1;1;1;1;1;1;0
