"";"V1"
"1";0
"2";11
"3";10
"4";4
"5";10
"6";4
"7";10
"8";6
"9";5
"10";2
"11";6
"12";11
"13";10
"14";10
"15";10
"16";10
"17";11
"18";8
"19";11
"20";9
"21";9
"22";10
"23";7
"24";10
"25";9
"26";9
"27";10
"28";10
"29";10
"30";10
"31";2
"32";2
"33";10
"34";6
"35";11
"36";6
"37";11
"38";1
"39";0
"40";0
"41";0
"42";0
"43";1
"44";6
"45";1
"46";1
"47";7
"48";7
"49";11
"50";2
"51";8
"52";7
"53";0
"54";1
"55";10
"56";6
"57";11
"58";3
"59";3
"60";5
"61";10
"62";10
"63";0
"64";10
"65";10
"66";5
"67";6
"68";0
"69";0
"70";7
"71";10
"72";8
"73";8
"74";8
"75";8
"76";1
"77";10
"78";10
"79";1
"80";11
"81";3
"82";3
"83";8
"84";3
"85";3
"86";3
"87";3
"88";9
"89";8
"90";9
"91";3
"92";6
"93";4
"94";6
"95";6
"96";8
"97";3
"98";8
"99";3
"100";1
"101";1
"102";0
"103";1
"104";1
"105";1
"106";1
"107";4
"108";1
"109";10
"110";0
"111";6
"112";11
"113";9
"114";9
"115";1
"116";7
"117";9
"118";9
"119";9
"120";8
"121";8
"122";8
"123";8
"124";8
"125";8
"126";11
"127";1
"128";1
"129";0
"130";1
"131";1
"132";1
"133";1
"134";1
"135";1
"136";0
"137";9
"138";9
"139";9
"140";5
"141";0
"142";9
"143";11
"144";4
"145";4
"146";4
"147";4
"148";11
"149";0
"150";0
"151";4
"152";10
"153";11
"154";9
"155";5
"156";5
"157";11
"158";1
"159";10
"160";0
"161";1
"162";6
"163";1
"164";1
"165";10
"166";3
"167";3
"168";7
"169";5
"170";3
"171";5
"172";5
"173";11
"174";0
"175";7
"176";3
"177";3
"178";5
"179";5
"180";2
"181";3
"182";3
"183";3
"184";11
"185";2
"186";2
"187";2
"188";5
"189";5
"190";7
"191";6
"192";1
"193";1
"194";1
"195";1
"196";1
"197";0
"198";0
"199";0
"200";0
"201";0
"202";0
"203";10
"204";3
"205";8
"206";3
"207";8
"208";11
"209";3
"210";3
"211";8
"212";3
"213";3
"214";2
"215";7
"216";7
"217";11
"218";4
"219";11
"220";2
"221";2
"222";7
"223";11
"224";9
"225";7
"226";4
"227";7
"228";11
"229";8
"230";6
"231";6
"232";6
"233";0
"234";10
"235";8
"236";6
"237";8
"238";11
"239";3
"240";11
"241";9
"242";3
"243";9
"244";2
"245";3
"246";2
"247";9
"248";9
"249";6
"250";6
"251";6
"252";7
"253";6
"254";6
"255";11
"256";10
"257";7
"258";0
"259";10
"260";10
"261";10
"262";11
"263";6
"264";6
"265";2
"266";6
"267";6
"268";6
"269";10
"270";3
"271";3
"272";3
"273";4
"274";3
"275";3
"276";3
"277";10
"278";8
"279";2
"280";9
"281";9
"282";11
"283";10
"284";7
"285";5
"286";5
"287";0
"288";5
"289";10
"290";5
"291";11
"292";8
"293";8
"294";9
"295";9
"296";11
"297";10
"298";10
"299";10
"300";10
"301";0
"302";0
"303";10
"304";3
"305";8
"306";1
"307";8
"308";3
"309";11
"310";8
"311";8
"312";2
"313";2
"314";2
"315";11
"316";4
"317";6
"318";5
"319";5
"320";11
"321";7
"322";7
"323";7
"324";6
"325";11
"326";3
"327";3
"328";3
"329";10
"330";5
"331";5
"332";5
"333";6
"334";6
"335";0
"336";6
"337";10
"338";10
"339";10
"340";10
"341";5
"342";7
"343";2
"344";10
"345";10
"346";10
"347";11
"348";10
"349";10
"350";10
"351";1
"352";1
"353";7
"354";6
"355";1
"356";5
"357";6
"358";10
"359";0
"360";0
"361";7
"362";5
"363";11
"364";10
"365";0
"366";11
"367";8
"368";10
"369";0
"370";8
"371";4
"372";4
"373";7
"374";5
"375";5
"376";11
"377";5
"378";5
"379";5
"380";6
"381";4
"382";4
"383";0
"384";4
"385";7
"386";6
"387";6
"388";10
"389";11
"390";6
"391";4
"392";7
"393";5
"394";4
"395";3
"396";3
"397";11
"398";0
"399";0
"400";10
"401";0
"402";0
"403";11
"404";4
"405";3
"406";3
"407";3
"408";11
"409";3
"410";9
"411";3
"412";10
"413";10
"414";10
"415";9
"416";8
"417";7
"418";11
"419";9
"420";4
"421";9
"422";9
"423";8
"424";9
"425";10
"426";10
"427";10
"428";11
"429";2
"430";10
"431";10
"432";4
"433";11
"434";4
"435";4
"436";4
"437";4
"438";11
"439";8
"440";9
"441";8
"442";11
"443";10
"444";10
"445";10
"446";10
"447";11
"448";1
"449";1
"450";0
"451";0
"452";7
"453";10
"454";7
"455";5
"456";11
"457";5
"458";5
"459";11
"460";1
"461";1
"462";1
"463";1
"464";0
"465";0
"466";0
"467";0
"468";11
"469";5
"470";5
"471";5
"472";5
"473";5
"474";5
"475";5
"476";7
"477";10
"478";2
"479";2
"480";11
"481";7
"482";5
"483";7
"484";11
"485";7
"486";7
"487";7
"488";3
"489";3
"490";3
"491";3
"492";3
"493";11
"494";2
"495";2
"496";7
"497";11
"498";5
"499";7
"500";5
"501";6
"502";1
"503";7
"504";7
"505";11
"506";1
"507";0
"508";10
"509";11
"510";7
"511";1
"512";0
"513";10
"514";10
"515";10
"516";10
"517";10
"518";7
"519";5
"520";1
"521";5
"522";5
"523";4
"524";5
"525";3
"526";3
"527";5
"528";3
"529";11
"530";0
"531";0
"532";8
"533";0
"534";6
"535";1
"536";1
"537";8
"538";1
"539";1
"540";1
"541";0
"542";7
"543";6
"544";6
"545";1
"546";1
"547";1
"548";1
"549";1
"550";1
"551";1
"552";0
"553";8
"554";8
"555";6
"556";10
"557";0
"558";0
"559";0
"560";7
"561";9
"562";8
"563";7
"564";11
"565";8
"566";8
"567";8
"568";8
"569";8
"570";1
"571";1
"572";3
"573";1
"574";9
"575";9
"576";5
"577";11
"578";7
"579";9
"580";7
"581";5
"582";11
"583";10
"584";10
"585";10
"586";10
"587";2
"588";11
"589";1
"590";0
"591";3
"592";5
"593";5
"594";8
"595";5
"596";9
"597";9
"598";10
"599";11
"600";4
"601";5
"602";11
"603";1
"604";1
"605";1
"606";0
"607";10
"608";5
"609";10
"610";10
"611";0
"612";0
"613";1
"614";6
"615";2
"616";11
"617";10
"618";10
"619";1
"620";5
"621";10
"622";2
"623";3
"624";6
"625";7
"626";2
"627";7
"628";6
"629";6
"630";6
"631";6
"632";1
"633";1
"634";1
"635";1
"636";1
"637";1
"638";8
"639";8
"640";1
"641";0
"642";9
"643";9
"644";7
"645";7
"646";11
"647";9
"648";7
"649";9
"650";9
"651";7
"652";9
"653";9
"654";9
"655";11
"656";8
"657";8
"658";8
"659";8
"660";0
"661";7
"662";4
"663";5
"664";5
"665";7
"666";5
"667";11
"668";4
"669";5
"670";5
"671";5
"672";11
"673";5
"674";5
"675";5
"676";11
"677";6
"678";9
"679";4
"680";7
"681";7
"682";7
"683";11
"684";5
"685";5
"686";6
"687";6
"688";11
"689";6
"690";5
"691";5
"692";11
"693";9
"694";9
"695";5
"696";8
"697";5
"698";10
"699";5
"700";4
"701";2
"702";5
"703";4
"704";5
"705";11
"706";3
"707";3
"708";3
"709";3
"710";11
"711";6
"712";6
"713";7
"714";11
"715";7
"716";0
"717";0
"718";10
"719";10
"720";5
"721";10
"722";10
"723";10
"724";10
"725";7
"726";10
"727";10
"728";10
"729";9
"730";3
"731";3
"732";3
"733";3
"734";8
"735";3
"736";0
"737";1
"738";4
"739";1
"740";10
"741";0
"742";2
"743";4
"744";11
"745";9
"746";8
"747";7
"748";9
"749";11
"750";1
"751";0
"752";1
