"";"X";"V1"
"1";1;0
"2";2;15
"3";3;14
"4";4;5
"5";5;0
"6";6;0
"7";7;16
"8";8;12
"9";9;7
"10";10;15
"11";11;0
"12";12;12
"13";13;12
"14";14;5
"15";15;1
"16";16;14
"17";17;13
"18";18;0
"19";19;0
"20";20;0
"21";21;14
"22";22;0
"23";23;0
"24";24;16
"25";25;0
"26";26;11
"27";27;0
"28";28;0
"29";29;0
"30";30;0
"31";31;0
"32";32;1
"33";33;15
"34";34;14
"35";35;15
"36";36;12
"37";37;16
"38";38;0
"39";39;3
"40";40;7
"41";41;0
"42";42;14
"43";43;3
"44";44;3
"45";45;4
"46";46;0
"47";47;7
"48";48;15
"49";49;4
"50";50;0
"51";51;5
"52";52;0
"53";53;4
"54";54;12
"55";55;15
"56";56;12
"57";57;3
"58";58;0
"59";59;10
"60";60;0
"61";61;10
"62";62;2
"63";63;0
"64";64;0
"65";65;10
"66";66;3
"67";67;1
"68";68;15
"69";69;0
"70";70;5
"71";71;3
"72";72;9
"73";73;16
"74";74;14
"75";75;0
"76";76;15
"77";77;0
"78";78;11
"79";79;6
"80";80;12
"81";81;17
"82";82;9
"83";83;6
"84";84;2
"85";85;16
"86";86;2
"87";87;0
"88";88;0
"89";89;13
"90";90;3
"91";91;14
"92";92;4
"93";93;0
"94";94;14
"95";95;0
"96";96;10
"97";97;1
"98";98;12
"99";99;11
"100";100;12
"101";101;0
"102";102;2
"103";103;11
"104";104;0
"105";105;9
"106";106;16
"107";107;0
"108";108;15
"109";109;13
"110";110;0
"111";111;4
"112";112;11
"113";113;0
"114";114;15
"115";115;0
"116";116;0
"117";117;5
"118";118;0
"119";119;0
"120";120;3
"121";121;1
"122";122;11
"123";123;4
"124";124;0
"125";125;4
"126";126;0
"127";127;17
"128";128;0
"129";129;0
"130";130;11
"131";131;15
"132";132;4
"133";133;14
"134";134;0
"135";135;0
"136";136;8
"137";137;0
"138";138;2
"139";139;11
"140";140;10
"141";141;0
"142";142;5
"143";143;0
"144";144;7
"145";145;4
"146";146;0
"147";147;8
"148";148;0
"149";149;17
"150";150;16
"151";151;6
"152";152;9
"153";153;6
"154";154;2
"155";155;5
"156";156;2
"157";157;5
"158";158;0
"159";159;9
"160";160;2
"161";161;13
"162";162;0
"163";163;0
"164";164;12
"165";165;0
"166";166;0
"167";167;13
