de;43;51;46;51;49;31;32;34;32;29;38;37;40;31;33;42;28
la;41;49;45;51;49;32;32;34;30;26;39;36;40;28;31;42;27
le;43;49;45;51;46;26;32;33;27;28;37;35;36;30;30;41;27
les;33;50;41;48;48;30;30;33;31;26;34;37;37;27;28;36;26
l;41;49;42;51;40;30;28;32;31;26;35;32;38;27;31;39;27
avoir;41;40;43;39;38;23;15;34;23;22;38;31;39;28;26;34;29
être;41;47;41;47;41;28;30;32;29;24;34;33;40;28;30;40;26
et;39;49;43;47;45;30;33;32;30;27;37;35;37;30;30;41;25
à;40;49;44;48;43;28;31;30;26;25;38;32;39;27;29;41;28
des;31;50;43;45;41;31;31;33;31;26;31;30;39;27;31;38;26
en;40;47;42;43;49;31;32;32;28;21;38;33;34;28;29;37;24
d;41;47;42;46;40;24;28;27;28;22;35;26;37;27;27;36;20
un;33;38;39;46;38;25;27;24;27;22;37;32;33;26;23;38;25
une;36;46;34;40;44;24;24;30;23;25;30;30;30;23;28;34;22
pour;39;32;35;46;47;27;27;25;30;18;33;27;28;24;22;31;22
du;31;33;35;35;32;17;19;26;18;16;35;26;20;25;20;31;23
dans;28;30;34;31;32;22;21;19;15;16;26;26;29;18;20;32;20
sur;26;31;28;28;43;20;15;25;25;16;24;18;30;21;17;25;14
par;25;27;27;32;26;17;21;25;16;17;20;20;18;23;20;27;19
que;24;36;25;28;31;26;13;23;22;13;23;17;18;13;20;20;10
plus;19;30;20;21;35;18;14;12;17;17;27;17;15;18;19;20;11
au;16;20;27;24;22;14;16;21;11;9;25;22;19;18;17;22;17
avec;14;25;14;22;22;11;16;12;14;11;20;21;16;19;8;15;15
qui;22;25;13;27;20;7;10;22;18;11;29;18;13;18;15;25;12
ce;14;19;17;15;18;10;14;18;14;11;24;21;9;11;14;20;11
cette;20;20;16;28;21;18;12;23;13;16;16;15;10;17;9;18;10
s;18;15;20;21;20;10;12;12;7;13;18;19;18;14;14;24;16
il;20;13;15;20;14;5;11;15;8;5;24;13;11;14;11;18;11
son;25;6;10;14;13;7;5;12;7;4;27;14;15;16;10;12;11
ne;17;18;17;22;14;9;6;20;11;7;20;12;18;9;14;19;10
aux;9;21;12;18;20;8;13;7;11;11;10;10;10;11;9;16;12
an;23;22;9;15;12;7;5;9;5;5;21;9;9;11;6;13;9
sa;18;4;8;6;10;5;4;6;3;4;24;8;11;16;8;10;10
se;7;12;16;11;12;7;11;11;8;10;19;18;16;10;8;15;7
pouvoir;13;14;9;15;14;8;9;15;21;15;10;8;5;5;8;13;9
pas;8;14;11;21;13;7;1;17;9;8;18;7;11;8;10;12;7
ces;7;19;10;13;17;14;7;12;16;12;3;9;6;1;8;10;5
comme;10;20;14;12;12;11;5;6;9;12;18;11;6;17;9;10;12
faire;10;10;21;12;10;9;4;13;8;2;18;7;13;7;10;12;9
ou;7;20;9;8;14;14;6;4;14;15;12;7;5;7;11;9;4
après;20;3;20;9;10;1;5;12;1;5;15;8;16;7;2;6;11
ses;11;7;11;10;12;7;6;4;5;3;12;7;2;10;2;11;8
qu;13;16;15;6;8;2;1;8;8;7;19;9;9;6;7;7;5
selon;5;23;20;14;7;8;6;8;9;7;6;5;9;4;8;8;11
mais;10;13;12;11;8;5;4;14;11;10;16;10;8;2;10;6;5
elle;7;7;5;13;4;9;2;6;8;7;11;2;2;7;6;5;6
personne;5;8;17;7;10;2;9;11;7;8;3;4;18;3;8;5;1
entre;7;16;13;8;7;4;14;4;3;9;7;7;7;5;8;12;7
deux;12;9;17;5;10;7;7;4;2;3;9;11;10;6;2;6;7
leur;5;7;8;10;3;14;5;9;8;4;8;4;6;3;8;4;4
devoir;6;6;11;17;11;5;9;11;3;4;7;3;3;2;6;11;6
contre;10;11;9;11;10;3;2;9;5;4;10;1;4;1;5;8;4
depuis;6;5;14;10;5;3;7;7;4;1;10;6;3;2;1;9;7
million;1;9;10;13;6;4;3;3;3;1;3;5;1;10;1;9;4
user_utilisateurice;0;0;0;0;2;0;0;0;0;1;31;3;0;2;0;1;1
sans;8;11;13;5;6;8;11;7;5;1;6;3;4;4;7;6;1
bien;3;9;6;5;7;4;2;2;4;6;12;10;5;6;3;7;4
000;1;9;7;10;9;5;2;5;1;3;5;7;1;5;2;9;2
via;9;2;12;4;19;6;10;8;3;2;0;1;6;1;1;2;2
