"";"";"";"";"*i_0230";""
"1";"*i_0230";"0.488079241179472";"-1.46365822296034";"2.24914274068224";"15"
"2";"*i_0421";"-0.948986499151201";"-0.962376764806971";"2.21321682419178";"22"
"3";"*i_0388";"-0.948986499151201";"-0.962376764806971";"2.21321682419178";"23"
"4";"*i_0956";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"24"
"5";"*postComments_222";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"25"
"6";"*i_0903";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"26"
"7";"*postLikes_727";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"27"
"8";"*i_0837";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"28"
"9";"*postLikes_7100";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"29"
"10";"*i_0836";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"30"
"11";"*i_0573";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"31"
"12";"*i_0528";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"32"
"13";"*postComments_235";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"33"
"14";"*i_0449";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"34"
"15";"*postComments_226";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"35"
"16";"*i_0343";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"36"
"17";"*i_0176";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"37"
"18";"*postReposts_69";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"38"
"19";"*i_0092";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"39"
"20";"*i_0073";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"40"
"21";"*postLikes_932";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"41"
"22";"*i_0067";"0.49673326274577";"-1.44345617089262";"2.21321682419178";"42"
"23";"*i_0222";"5.14602716806512";"1.90318858831036";"2.14618500496777";"49"
"24";"*i_0173";"5.14602716806512";"1.90318858831036";"2.14618500496777";"51"
"25";"*i_0100";"5.14602716806512";"1.90318858831036";"2.14618500496777";"52"
"26";"*i_0031";"5.14602716806512";"1.90318858831036";"2.14618500496777";"53"
"27";"*i_0529";"-0.957358821960863";"-0.834414545822679";"2.11832980918656";"55"
"28";"*postReposts_101";"-0.170156567500211";"-1.1219440627829";"2.00371436578096";"62"
"29";"*postComments_57";"-1.03640961416483";"2.18360773768357";"1.91689807148498";"67"
"30";"*i_0099";"-1.03640961416483";"2.18360773768357";"1.91689807148498";"69"
"31";"*i_0592";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"73"
"32";"*postComments_121";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"75"
"33";"*i_0397";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"76"
"34";"*i_0364";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"78"
"35";"*i_0248";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"79"
"36";"*i_0162";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"80"
"37";"*i_0119";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"81"
"38";"*i_0080";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"82"
"39";"*i_0072";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"83"
"40";"*i_0034";"-1.04064404837603";"3.02275551679331";"1.90529641046544";"84"
"41";"*postDate_16-11-2025";"0.736993793490616";"-0.97517090861421";"1.7888874735689";"86"
"42";"*postDate_25-12-2025";"0.163598318654957";"-1.63852894735326";"1.77291417216518";"87"
"43";"*postComments_135";"-0.798337643476246";"-0.767777387792644";"1.70123047919904";"91"
"44";"*postReposts_39";"-0.217873145268386";"1.91269468323447";"1.69674674547168";"92"
"45";"*postReposts_54";"0.00905732773591462";"-1.29656440357588";"1.69343999184776";"93"
"46";"*i_0441";"0.0811635939255086";"-0.989720942463137";"1.69343999184776";"95"
"47";"*i_0882";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"96"
"48";"*i_0801";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"97"
"49";"*postReposts_131";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"98"
"50";"*i_0785";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"99"
"51";"*postComments_224";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"100"
"52";"*postReposts_351";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"101"
"53";"*i_0681";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"103"
"54";"*i_0675";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"104"
"55";"*i_0608";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"105"
"56";"*i_0552";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"106"
"57";"*i_0549";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"107"
"58";"*i_0312";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"108"
"59";"*i_0142";"-0.957358821960863";"-0.834414545822679";"1.67813925050315";"109"
"60";"*i_0623";"-0.876880232961607";"-0.655533303694224";"1.66950806307798";"112"
"61";"*i_0858";"0.0120359011768922";"-1.2404422958693";"1.66950806307798";"115"
"62";"*postLikes_22800";"0.0120359011768922";"-1.2404422958693";"1.66950806307798";"116"
"63";"*postComments_328";"0.0120359011768922";"-1.2404422958693";"1.66950806307798";"117"
"64";"*postReposts_752";"0.0120359011768922";"-1.2404422958693";"1.66950806307798";"118"
"65";"*postComments_12";"-0.0980129455702991";"-0.83124782591194";"1.65712174865615";"119"
"66";"*i_0943";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"125"
"67";"*i_0789";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"128"
"68";"*i_0773";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"129"
"69";"*i_0662";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"130"
"70";"*i_0582";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"131"
"71";"*i_0473";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"132"
"72";"*i_0470";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"133"
"73";"*i_0391";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"134"
"74";"*postLikes_18500";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"135"
"75";"*i_0386";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"136"
"76";"*i_0380";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"137"
"77";"*i_0329";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"138"
"78";"*i_0180";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"139"
"79";"*i_0053";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"140"
"80";"*postLikes_15300";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"141"
"81";"*i_0049";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"142"
"82";"*i_0048";"0.743839587013858";"-2.79509171899512";"1.63571192010802";"143"
"83";"*i_0988";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"147"
"84";"*postComments_130";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"148"
"85";"*i_0890";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"149"
"86";"*i_0821";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"150"
"87";"*postReposts_53";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"152"
"88";"*i_0606";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"153"
"89";"*postComments_561";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"154"
"90";"*i_0532";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"155"
"91";"*i_0481";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"156"
"92";"*i_0479";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"157"
"93";"*i_0444";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"158"
"94";"*postReposts_573";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"159"
"95";"*i_0414";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"160"
"96";"*i_0405";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"161"
"97";"*i_0399";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"162"
"98";"*i_0369";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"163"
"99";"*i_0328";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"164"
"100";"*i_0271";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"165"
"101";"*i_0253";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"166"
"102";"*i_0128";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"167"
"103";"*i_0101";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"168"
"104";"*i_0063";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"169"
"105";"*i_0060";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"170"
"106";"*i_0020";"-0.732667700582418";"-0.041846381468731";"1.61581535169286";"171"
"107";"*postLikes_2300";"-0.469784404058847";"-0.397683072211765";"1.60342903727104";"172"
"108";"*i_0977";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"174"
"109";"*i_0926";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"175"
"110";"*i_0917";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"176"
"111";"*i_0794";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"177"
"112";"*postReposts_492";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"178"
"113";"*i_0727";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"179"
"114";"*i_0618";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"180"
"115";"*postComments_";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"181"
"116";"*i_0366";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"182"
"117";"*i_0347";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"183"
"118";"*postComments_263";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"184"
"119";"*i_0279";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"185"
"120";"*postLikes_27900";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"186"
"121";"*postReposts_156";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"187"
"122";"*i_0190";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"188"
"123";"*i_0187";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"189"
"124";"*postReposts_175";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"190"
"125";"*i_0081";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"191"
"126";"*i_0046";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"192"
"127";"*i_0005";"-0.492853770721506";"-0.442559743256137";"1.5666624207067";"193"
"128";"*i_0869";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"195"
"129";"*i_0780";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"196"
"130";"*i_0756";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"197"
"131";"*i_0749";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"198"
"132";"*postComments_215";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"199"
"133";"*i_0745";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"200"
"134";"*postComments_287";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"201"
"135";"*i_0655";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"202"
"136";"*postComments_139";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"203"
"137";"*i_0651";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"204"
"138";"*postComments_409";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"205"
"139";"*i_0648";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"206"
"140";"*i_0596";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"207"
"141";"*i_0488";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"208"
"142";"*i_0447";"-1.03640961416483";"2.18360773768357";"1.54396351871195";"209"
