"";"";"";"";"championnat";""
"1";"championnat";"5.14602716806514";"1.90318858831036";"1.07003157559114";"67"
"2";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"5.14602716806514";"1.90318858831036";"1.01535910806669";"112"
"3";"emji_goutte_d_eau";"0.291892638799267";"-1.25943852701949";"0.97808715685972";"146"
"4";"précipitation";"0.48807924117946";"-1.46365822296032";"0.97325845701297";"165"
"5";"plaine";"0.48807924117946";"-1.46365822296032";"0.97325845701297";"168"
"6";"météo";"0.48807924117946";"-1.46365822296032";"0.97325845701297";"169"
"7";"humain";"-0.62197089086383";"-0.929297418522256";"0.972222119370134";"171"
"8";"décrire";"-0.948986499151197";"-0.962376764806982";"0.968909459306571";"172"
"9";"facteur";"-0.948986499151197";"-0.962376764806982";"0.968909459306571";"174"
"10";"fidèle";"0.496733262745771";"-1.44345617089261";"0.968909459306571";"176"
"11";"emji_jeu_vidéo";"0.496733262745771";"-1.44345617089261";"0.968909459306571";"177"
"12";"emji_appareil_photo_avec_flash";"0.489518272559761";"-2.08384893946959";"0.964135065362502";"191"
"13";"année";"0.050412280656702";"-0.86383942480547";"0.96084955825028";"197"
"14";"épreuve";"5.14602716806514";"1.90318858831036";"0.960781675871929";"200"
"15";"xhaka";"5.14602716806514";"1.90318858831036";"0.960781675871929";"201"
"16";"tessinoise";"5.14602716806514";"1.90318858831036";"0.960781675871929";"203"
"17";"tchèque";"5.14602716806514";"1.90318858831036";"0.960781675871929";"204"
"18";"slalom";"5.14602716806514";"1.90318858831036";"0.960781675871929";"206"
"19";"mountain";"5.14602716806514";"1.90318858831036";"0.960781675871929";"207"
"20";"meillard";"5.14602716806514";"1.90318858831036";"0.960781675871929";"208"
"21";"league";"5.14602716806514";"1.90318858831036";"0.960781675871929";"210"
"22";"granit";"5.14602716806514";"1.90318858831036";"0.960781675871929";"211"
"23";"copper";"5.14602716806514";"1.90318858831036";"0.960781675871929";"213"
"24";"office";"-0.65794064436286";"-0.351343391227329";"0.960473942423401";"214"
"25";"emji_symbole_d_avertissement";"-0.488133506228574";"-0.606633205514072";"0.959677455850741";"217"
"26";"dossier";"-1.03923257030563";"2.7430395904234";"0.959383298877884";"219"
"27";"croissant";"-0.94238100018357";"-0.382236945024111";"0.953862198771946";"222"
"28";"grippe";"-0.492853770721506";"-0.44255974325614";"0.952748927766978";"224"
"29";"toucher";"-0.64804998775178";"-0.259523886459501";"0.950268958211197";"228"
"30";"assurance";"-0.527112903558779";"-0.385314977286512";"0.949744001151943";"229"
"31";"minimum";"-1.03640961416483";"2.18360773768357";"0.948160078990404";"233"
"32";"syndicat";"-1.03640961416483";"2.18360773768357";"0.948160078990404";"234"
"33";"condamner";"-1.03943421002997";"2.78299900847624";"0.944906250321413";"240"
"34";"mortalité";"-0.957358821960866";"-0.834414545822672";"0.939652154236992";"245"
"35";"emji_adn";"-0.957358821960866";"-0.834414545822672";"0.939652154236992";"246"
"36";"dépression";"-0.957358821960866";"-0.834414545822672";"0.939652154236992";"247"
"37";"avc";"-0.957358821960866";"-0.834414545822672";"0.939652154236992";"248"
"38";"origine";"0.296964356474291";"-1.58854886122876";"0.93837144003209";"250"
"39";"général";"-0.730111149111609";"-0.315908003534365";"0.937407510259496";"252"
"40";"nommer";"0.60655829575381";"-2.04418308116039";"0.937407510259496";"253"
"41";"ministère";"-0.979048778817306";"2.4098351371409";"0.93357894412046";"256"
"42";"malfaiteur";"-1.02398700309299";"2.25132150427012";"0.93357894412046";"259"
"43";"récompenser";"0.743839587013859";"-2.79509171899512";"0.932786983039691";"264"
"44";"emji_montagne_enneigée";"-0.325446718102205";"-0.517306040706485";"0.931728017937404";"268"
"45";"soupçonner";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"269"
"46";"document";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"270"
"47";"emji_voiture_de_police";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"272"
"48";"sébastien";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"273"
"49";"lula";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"274"
"50";"ex_président";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"276"
"51";"emmanuel";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"277"
"52";"criminel";"-1.04064404837603";"3.02275551679331";"0.931583202196921";"278"
"53";"emji_notes_de_musique";"0.702655199635844";"-2.5698191276447";"0.93117590792681";"281"
"54";"hommage";"0.537724027391298";"-2.40300305637195";"0.93117590792681";"283"
"55";"paiement";"-0.732667700582422";"-0.0418463814687389";"0.92956935830582";"285"
"56";"emji_immeuble_de_bureaux";"-0.732667700582422";"-0.0418463814687389";"0.92956935830582";"286"
"57";"emji_drapeau_italie";"-0.732667700582422";"-0.0418463814687389";"0.92956935830582";"288"
"58";"rejeter";"-1.03767994442819";"2.43535207141649";"0.927229678998632";"290"
"59";"adopter";"-1.03767994442819";"2.43535207141649";"0.927229678998632";"291"
"60";"station";"-0.208809760005409";"-0.724365782099342";"0.924537011324015";"294"
"61";"météorologique";"0.242845988204218";"-1.20838360303428";"0.92273134005986";"297"
"62";"augmenter";"-0.535003536239984";"-0.729507539468733";"0.922179230049266";"299"
"63";"recenser";"-0.492853770721506";"-0.442559743256141";"0.921613543563002";"300"
"64";"choix";"-0.492853770721506";"-0.442559743256141";"0.921613543563002";"301"
"65";"accuser";"-0.991207047323531";"2.05264054929484";"0.921197198309112";"302"
"66";"plaindre";"-0.809445536735202";"1.9765103461611";"0.921197198309112";"303"
"67";"fonction";"-0.998971179243427";"2.01031944517825";"0.920124656731155";"305"
"68";"gouvernement";"-0.947356259498043";"1.67652606944002";"0.920025095909572";"306"
"69";"prévention";"-0.583446411295393";"-0.00486516309952217";"0.91953181729355";"307"
"70";"sommeil";"-0.951079579853614";"-0.930386210060904";"0.919468460407089";"308"
"71";"nécessité";"-0.951079579853614";"-0.930386210060904";"0.919468460407089";"310"
"72";"plr";"-1.03640961416483";"2.18360773768357";"0.917943369640121";"314"
"73";"assemblée";"-1.03640961416483";"2.18360773768357";"0.917943369640121";"315"
"74";"changement";"0.131398120368182";"-0.793863009758067";"0.916735063305461";"316"
"75";"pénal";"-0.945816973590941";"1.74591315752695";"0.915703251154515";"319"
"76";"médecin";"-0.886216773035432";"-0.851556556304201";"0.913422403241898";"321"
"77";"fondation";"0.566098780884323";"-1.832523763503";"0.913422403241898";"322"
"78";"riche";"-0.682231746196128";"-1.00128726136817";"0.912082857642424";"327"
"79";"adulte";"-0.824643093035335";"-0.722456030803663";"0.912082857642424";"328"
"80";"impliquer";"-0.937157979823254";"-0.170166227684112";"0.912082857642424";"329"
"81";"analyser";"-0.50783932594443";"-1.20440323872411";"0.912082857642424";"330"
"82";"social";"-0.816488425080268";"-0.147561864434315";"0.910575868843017";"331"
"83";"guerre";"-0.428192633515483";"-0.510461279862928";"0.90787867567651";"333"
"84";"effet";"-0.147015086505469";"-0.901380574740563";"0.905018564801958";"337"
"85";"condition";"-0.730571629913473";"-0.285585799067622";"0.905018564801958";"338"
"86";"souffrir";"-0.912420597685177";"-0.675900912951885";"0.904181348802288";"343"
"87";"emji_téléphone_portable";"-0.955684357398932";"-0.860006989619534";"0.904181348802288";"344"
"88";"emji_microscope";"-0.617119140165921";"-1.22654998045716";"0.904181348802288";"345"
"89";"conclusion";"-0.957358821960866";"-0.834414545822671";"0.904045584045584";"347"
"90";"ancêtre";"-0.957358821960866";"-0.834414545822671";"0.904045584045584";"348"
"91";"réduction";"-0.664149434907874";"-0.156335913407996";"0.90308165427299";"349"
"92";"offrir";"0.0897518930944546";"-1.21965794893789";"0.900746500457692";"355"
"93";"atteindre";"0.25494943369891";"-1.24713832400699";"0.900570006273977";"356"
"94";"période";"-0.204584854357797";"-0.815580470038079";"0.899787096176988";"357"
"95";"publier";"-0.654531908860417";"-0.18825852298073";"0.89905849198268";"359"
"96";"produire";"0.0492245295451106";"-1.43280883682175";"0.898963456652987";"360"
"97";"explorer";"0.49958784883596";"-2.19353333724712";"0.898963456652987";"363"
"98";"vénézuélien";"0.743839587013859";"-2.79509171899512";"0.898900099766526";"367"
"99";"récompense";"0.743839587013859";"-2.79509171899512";"0.898900099766526";"369"
"100";"rang";"0.743839587013859";"-2.79509171899512";"0.898900099766526";"370"
"101";"fascinant";"0.743839587013859";"-2.79509171899512";"0.898900099766526";"371"
"102";"emji_livre_ouvert";"0.743839587013859";"-2.79509171899512";"0.898900099766526";"372"
"103";"contemporain";"0.743839587013859";"-2.79509171899512";"0.898900099766526";"373"
"104";"boseman";"0.743839587013859";"-2.79509171899512";"0.898900099766526";"374"
"105";"président";"-0.85401128834339";"1.92314722341539";"0.898705503615251";"375"
"106";"emblématique";"0.496500915466786";"-2.32458532384732";"0.898691927139581";"377"
"107";"richard";"0.403599905218914";"-2.40295628436063";"0.898691927139581";"379"
"108";"lauréat";"0.387789746778122";"-1.79935182765938";"0.898691927139581";"380"
"109";"fusionner";"0.448538129494603";"-2.24444265148984";"0.898691927139581";"382"
"110";"édition";"0.398006127635036";"-1.85006766775989";"0.898103613193866";"384"
"111";"arriver";"0.0533666339819712";"-0.749950101445327";"0.897682742448085";"385"
"112";"soldat";"-0.732667700582422";"-0.0418463814687389";"0.896492538080986";"387"
"113";"rome";"-0.732667700582422";"-0.0418463814687389";"0.896492538080986";"388"
"114";"liquide";"-0.732667700582422";"-0.0418463814687389";"0.896492538080986";"389"
"115";"décharge";"-0.732667700582422";"-0.0418463814687389";"0.896492538080986";"390"
"116";"contribution";"-0.732667700582422";"-0.0418463814687389";"0.896492538080986";"391"
"117";"construire";"-0.486787507916783";"-0.322168339353514";"0.896116922254106";"392"
"118";"urgence";"-0.540524383445164";"-0.195716376185649";"0.896076192827095";"393"
"119";"nécessiter";"-0.439690124101231";"-0.404331216917765";"0.896076192827095";"394"
"120";"statistique";"-0.386979616144356";"-0.531186188672824";"0.895981157497403";"395"
"121";"réserver";"-0.419078347769848";"-0.644410212151957";"0.895981157497403";"396"
"122";"obligatoire";"-0.636862469961889";"-0.123372217774258";"0.895981157497403";"397"
"123";"cours";"-0.220242439394353";"-0.932588363625565";"0.895297808221996";"398"
"124";"élire";"-0.817994122350628";"1.78533400490265";"0.892709226860851";"400"
"125";"emji_hôpital";"-0.980528895793965";"1.41625936316316";"0.892709226860851";"401"
"126";"pc";"0.491540849805984";"-1.45557740213324";"0.892546309152807";"404"
"127";"vétérinaire";"-0.897202609853528";"-0.817423250247932";"0.892523681693357";"406"
"128";"manquer";"-0.361526653713999";"-0.568566785335091";"0.892292881606961";"407"
"129";"suspension";"-1.03958543982323";"2.81296857201588";"0.891478293066741";"409"
"130";"royal";"-0.903696478962396";"2.15642670178095";"0.891478293066741";"410"
"131";"lecornu";"-1.03958543982323";"2.81296857201588";"0.891478293066741";"412"
"132";"harcèlement";"-1.01982274177224";"2.05846300113932";"0.891478293066741";"413"
"133";"emji_pierre_précieuse";"-0.658463225987155";"1.9011520818549";"0.891478293066741";"414"
"134";"apparence";"-1.01982274177224";"2.05846300113932";"0.891478293066741";"415"
"135";"baisser";"-0.679079591508138";"0.122181077274741";"0.8914511401154";"416"
"136";"pratiquant";"-0.492853770721506";"-0.442559743256141";"0.890532465261707";"417"
"137";"stable";"-0.492853770721506";"-0.442559743256141";"0.890532465261707";"418"
"138";"lisbonne";"-0.492853770721506";"-0.442559743256141";"0.890532465261707";"420"
"139";"sentiment";"-0.952335428275065";"-0.911191877213258";"0.889939625824102";"422"
"140";"progrès";"-0.859434418027192";"-0.832820916699952";"0.889939625824102";"423"
