"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,332744806985821;8,06491360232384;8,06491360232384
"facteur 2";0,275904971726605;6,68725615760396;14,7521697599278
"facteur 3";0,253832955592383;6,15228491413332;20,9044546740611
"facteur 4";0,222799603262125;5,40011297912647;26,3045676531876
"facteur 5";0,216316570765262;5,24298025798235;31,5475479111699
"facteur 6";0,203387914810094;4,9296215185414;36,4771694297113
"facteur 7";0,189884508561473;4,6023322492701;41,0795016789814
"facteur 8";0,179036568592851;4,33940493448302;45,4189066134644
"facteur 9";0,163316630259018;3,95839239323657;49,377299006701
"facteur 10";0,144255442800206;3,49639621242294;52,873695219124
"facteur 11";0,137280571042385;3,32734252042494;56,2010377395489
"facteur 12";0,135361208651751;3,28082190905243;59,4818596486013
"facteur 13";0,130845843117736;3,17138058299653;62,6532402315979
"facteur 14";0,127588232003501;3,09242412256588;65,7456643541637
"facteur 15";0,125179294708006;3,03403742274759;68,7797017769113
"facteur 16";0,117975560496579;2,85943666922858;71,6391384461399
"facteur 17";0,117015730023256;2,83617274541155;74,4753111915515
"facteur 18";0,114303543420112;2,77043603016158;77,245747221713
"facteur 19";0,111566140411281;2,70408813141914;79,9498353531322
"facteur 20";0,10611076876458;2,57186337516296;82,5216987282951
"facteur 21";0,104774844372793;2,53948386217643;85,0611825904716
"facteur 22";0,0985171893085472;2,3878137342383;87,4489963247099
"facteur 23";0,0983326864419126;2,38334183971869;89,8323381644285
"facteur 24";0,0866505660197123;2,10019604775144;91,93253421218
"facteur 25";0,0861507631836767;2,08808205947515;94,0206162716551
"facteur 26";0,084537569849693;2,04898223105025;96,0695985027054
"facteur 27";0,0815523521606572;1,97662791554855;98,0462264182539
"facteur 28";0,0806094206842798;1,95377358174607;100
