,;21;4;24;28;27;32;29;22;23;20;31;28;25;24;29;26;25;30;32;26;29;32;28;21;23;23;25;29;24
.;21;4;24;28;27;32;29;22;23;20;31;28;26;24;29;26;25;30;32;26;29;32;28;21;23;23;25;29;24
emji_main_qui_écrit;19;22;23;24;22;23;26;21;9;19;29;26;25;14;28;23;22;25;23;23;25;32;21;17;12;13;22;27;18
suisse;10;8;18;18;6;10;3;18;6;0;6;6;18;6;9;13;11;7;7;12;5;15;8;12;13;4;9;21;10
emji_appareil_photo;0;0;10;13;21;19;15;6;7;13;20;21;20;18;21;18;15;22;20;15;21;6;14;14;14;16;16;15;15
rts;21;0;8;14;12;20;14;11;17;2;10;13;13;19;9;15;13;14;14;12;14;9;17;9;23;14;8;14;17
keystone;0;0;13;15;17;16;9;7;7;9;9;4;23;14;19;15;3;19;15;18;15;10;8;14;8;15;16;26;10
info;0;1;0;14;11;17;14;1;16;0;8;13;12;18;7;14;11;11;13;10;13;0;16;8;19;12;7;13;17
rtsinfo;0;0;0;13;14;12;13;0;4;12;17;12;14;5;15;9;6;15;17;10;10;2;8;12;4;9;15;14;5
:;7;16;7;5;6;10;13;6;2;4;9;6;10;8;4;3;5;4;5;4;7;12;6;3;6;2;5;6;10
emji_drapeau_suisse;7;2;19;13;12;8;3;14;5;0;5;0;19;2;8;5;6;2;5;9;4;11;4;12;14;7;14;18;4
premier;1;1;15;5;7;2;5;11;9;4;9;11;5;5;11;4;4;8;5;6;4;15;3;6;5;5;4;2;4
année;2;1;3;4;1;6;2;3;8;2;11;4;10;3;2;3;9;3;2;6;4;13;7;6;3;4;8;10;4
!;21;5;16;4;2;5;0;15;13;0;1;2;3;12;1;2;1;2;5;3;5;21;2;0;14;6;2;2;3
mettre;18;1;1;2;3;5;4;4;4;3;8;2;5;7;3;5;0;3;8;4;10;4;3;3;3;6;2;7;2
ats;0;0;14;5;6;6;3;6;0;10;7;2;6;1;4;1;5;10;3;12;5;8;3;4;1;2;5;11;5
emji_appareil_photo_avec_flash;0;0;10;8;5;6;9;15;0;4;4;1;5;2;3;2;3;5;7;8;2;20;2;3;0;3;5;11;4
emji_main_avec_index_pointant_à_droite;2;22;1;4;5;6;2;8;13;0;1;1;1;12;0;3;2;4;8;2;4;6;5;4;10;7;3;2;6
monde;1;3;17;0;1;2;0;16;4;2;5;5;1;4;1;5;4;2;1;4;1;13;5;1;3;1;1;2;1
grand;1;2;9;4;3;1;7;3;1;2;3;5;2;3;7;1;3;1;2;7;3;14;9;4;1;3;5;1;3
dernier;3;0;9;3;8;4;0;8;6;4;4;1;2;2;4;4;6;6;3;5;2;11;2;1;3;3;2;6;2
afp;0;0;3;1;4;2;6;4;0;6;9;10;1;8;4;3;2;12;12;5;6;4;5;1;1;2;0;2;5
genève;4;3;1;3;7;4;5;3;0;0;3;0;4;3;0;4;1;1;2;1;0;3;2;1;3;5;10;3;1
lien;0;0;1;3;1;5;1;5;13;1;1;0;3;15;0;1;1;4;7;3;7;0;1;0;19;7;2;2;3
