"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29"
",";0,456;1;0,425;0,388;0,397;0,354;0,379;0,446;0,435;0,468;0,362;0,388;1;0,425;0,379;0,406;0,415;0,371;0,354;0,406;0,379;0,354;0,388;0,456;0,435;0,435;0,415;0,379;0,425
".";0,469;1;0,438;0,401;0,41;0,368;0,392;0,458;0,448;0,48;0,376;0,401;0,419;0,438;0,392;0,419;0,428;0,384;0,368;0,419;0,392;0,368;0,401;0,469;0,448;0,448;0,428;0,392;0,438
"emji_main_qui_écrit";0,377;0,034;0,096;0,737;1;1;0,356;0,123;1;0,158;0,121;0,171;0,075;1;0,052;0,48;0,53;1;1;0,48;0,679;0,01;1;1;1;1;0,53;0,152;1
"suisse";0,361;1;0;0,004;1;1;1;0;1;1;1;1;0,001;1;1;0,203;0,535;1;1;0,388;1;0,295;1;0,068;0,064;1;1;0;0,713
"emji_appareil_photo";1;1;1;1;0,02;0,694;1;1;1;0,411;0,329;0,039;0,029;0,057;0,069;0,167;0,682;0,051;0,449;0,859;0,069;1;1;0,318;0,632;0,183;0,412;1;0,514
"rts";0;1;1;0,96;1;0,134;1;0,965;0,018;1;1;1;0,962;0,003;1;0,397;0,802;1;1;1;1;1;0,228;1;0;0,27;1;1;0,034
"keystone";1;1;0,453;0,454;0,083;0,697;1;1;1;1;1;1;0;0,243;0,038;0,25;1;0,061;0,978;0,019;0,576;1;1;0,062;1;0,07;0,077;0;1
"info";1;1;1;0,224;0,85;0,094;0,296;1;0,002;1;1;0,411;0,447;0;1;0,114;0,602;1;0,847;1;0,512;1;0,045;1;0;0,188;1;0,512;0,001
"rtsinfo";1;1;1;0,204;0,065;0,779;0,267;1;1;0,018;0,019;0,386;0,043;1;0,057;1;1;0,083;0,03;0,721;1;1;1;0,033;1;0,687;0,008;0,132;1
":";0,382;0;0,646;1;1;0,418;0,013;0,817;1;1;0,612;1;0,112;0,349;1;1;1;1;1;1;1;0,1;1;1;0,918;1;1;1;0,058
"emji_drapeau_suisse";0,78;1;0;0,063;0,111;1;1;0,001;1;1;1;1;0;1;1;1;1;1;1;0,648;1;0,633;1;0,007;0,001;1;0,005;0;1
"premier";1;1;0;1;0,731;1;1;0,002;0,066;1;0,431;0,04;1;1;0,055;1;1;0,645;1;1;1;0,001;1;0,553;1;1;1;1;1
"année";1;1;1;1;1;1;1;1;0,05;1;0,017;1;0,01;1;1;1;0,027;1;1;0,587;1;0,001;0,407;0,255;1;1;0,091;0,03;1
"!";0;0,946;0;1;1;1;1;0;0;1;1;1;1;0,001;1;1;1;1;1;1;1;0;1;1;0;0,643;1;1;1
"mettre";0;1;1;1;1;1;1;0,894;0,973;1;0,19;1;0,772;0,112;1;0,772;1;1;0,227;1;0,011;1;1;1;1;0,247;1;0,307;1
"ats";1;1;0;1;0,675;1;1;0,323;1;0;0,615;1;0,6;1;1;1;0,908;0,043;1;0;1;0,386;1;1;1;1;0,908;0,009;0,827
"emji_appareil_photo_avec_flash";1;1;0,005;0,209;1;1;0,105;0;1;0,942;1;1;1;1;1;1;1;1;0,714;0,134;1;0;1;1;1;1;0,935;0,01;1
"emji_main_avec_index_pointant_à_droite";1;0;1;1;1;1;1;0,035;0;1;1;1;1;0;1;1;1;1;0,374;1;1;1;1;0,993;0,002;0,155;1;1;0,444
"monde";1;1;0;1;1;1;1;0;0,63;1;0,723;0,545;1;0,698;1;0,431;0,765;1;1;0,832;1;0;0,545;1;1;1;1;1;1
"grand";1;1;0,001;1;1;1;0,132;1;1;1;1;0,606;1;1;0,132;1;1;1;1;0,067;1;0;0,007;0,548;1;1;0,426;1;1
"dernier";1;1;0,002;1;0,03;1;1;0,004;0,131;0,528;1;1;1;1;1;0,958;0,201;0,436;1;0,541;1;0,002;1;1;1;1;1;0,384;1
"afp";1;1;1;1;1;1;0,436;0,729;1;0,071;0,034;0,003;1;0,015;1;1;1;0;0;0,598;0,436;1;0,731;1;1;1;1;1;0,468
"genève";0,171;0,582;1;0,919;0,006;0,652;0,197;0,582;1;1;1;1;0,368;0,698;1;0,368;1;1;1;1;1;1;1;1;0,64;0,061;0;0,971;1
"lien";1;1;1;1;1;0,782;1;0,229;0;1;1;1;1;0;1;1;1;1;0,187;1;0,107;1;1;1;0;0,021;1;1;1
"également";1;1;1;0,216;1;0,003;1;1;1;1;1;0,072;0,391;1;0,005;0;0,718;1;0,054;0,783;1;1;1;1;1;1;0,34;0,254;1
"nouveau";1;1;1;1;0,005;1;0,01;0,266;0,109;0,176;0,792;1;1;1;1;1;1;0,382;1;1;1;1;0,606;0,063;1;0,316;0,011;0,334;1
"emji_chaînons";0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0,578;1;0,409;1;1;1;0;0,04;1;1;1
"rester";1;1;0,607;0,455;1;0,341;0,509;0,179;1;0,807;0,62;0,059;1;1;0,92;1;0,001;0,979;1;1;0,019;1;1;1;1;0,544;1;0,222;1
"jour";0,966;1;0,698;0,246;0,487;1;1;1;0,089;0,892;1;0,545;1;0,698;0,287;1;1;0,041;0,782;0,173;0,604;0,018;1;1;1;1;1;1;1
"pays";1;1;1;0,808;0;1;1;0;1;0,003;1;1;1;0,23;0,003;1;0,272;0,02;1;0,686;1;1;1;0,383;1;0,052;1;1;1
"notamment";1;1;0,653;0,91;0,848;0,161;0,09;1;1;0,395;0,337;0,5;1;1;0,972;0,783;0,34;0,294;0,729;1;1;0,382;1;0,457;1;1;1;1;0,653
"emji_caméscope";0;0;1;1;1;1;1;1;0,001;1;0,418;1;1;1;1;0,471;0,414;1;1;1;0,652;1;0,102;1;0,306;1;0,812;1;1
"souligner";1;1;1;1;0,376;0,037;0,885;1;0,515;1;1;1;0,702;1;1;0;0;1;0,122;0,702;1;1;1;1;0,985;0,515;1;0,203;0,073
"bio";1;1;1;1;1;0,693;1;0,187;0;1;1;1;1;0;1;1;1;0,997;0,354;1;0,233;1;1;1;0;0,014;1;1;1
"conseil";1;1;1;1;0,007;1;1;1;1;0,762;1;1;0,036;0,431;0,012;1;1;1;1;0,172;1;1;1;0;1;0,001;1;0;1
"permettre";1;1;0,888;1;0,252;0,467;0,001;1;0,027;1;1;1;1;1;1;1;1;1;1;0,002;1;1;0,65;0,279;1;0,378;0,009;1;0,43
"annoncer";1;1;0,011;0,756;0,696;1;1;1;1;1;0,021;1;1;0,002;0,002;1;1;0;0,984;0,637;0,418;1;1;1;1;0,001;1;1;1
"prévoir";1;1;1;0,006;1;1;1;1;0,874;1;1;1;1;0,008;0,04;1;1;0,051;1;0,588;1;1;1;0;1;0,035;0;0,141;1
"face";1;1;0,938;1;0,645;1;1;0;1;1;1;1;0,017;0;1;0,247;1;1;0,928;0,077;1;0;1;1;0,874;0,874;1;1;0,473
"public";1;1;1;1;1;0,016;1;1;1;1;0,002;0,132;1;1;0,892;1;1;1;0;1;0,007;0,572;1;0,137;1;0,199;0,073;1;0,627
"canton";0,245;1;1;1;0,004;0,706;1;1;1;1;1;1;0;1;1;0,447;0,945;1;1;1;1;1;1;0,742;0,001;0,074;0,002;0,007;1
"place";1;1;0;1;0,103;1;1;0,031;0,554;1;1;1;0,296;1;1;1;1;1;1;0,716;0,146;0,068;1;0,447;1;0,189;0,012;0,42;1
"fédéral";1;1;1;1;1;1;1;1;0,944;1;1;1;0;1;0;1;0,156;1;1;0,005;1;1;1;0,313;0,402;0,109;0,495;0,002;1
"femme";0,818;1;1;1;1;0,799;1;1;1;0,258;0,326;1;0,523;1;0,069;0,005;0;1;0,116;1;0,259;0,004;1;1;1;1;1;1;1
"projet";1;1;1;1;1;1;0,598;1;0,338;0,221;0,276;0,042;1;0,379;1;1;1;1;1;0,14;1;1;1;0;0,011;0,338;0,002;1;1
"novembre";1;0;1;0;0,827;1;1;0,04;0,606;1;0,565;0,15;1;1;1;1;1;0,518;1;0,104;0,932;1;1;1;1;0,053;1;1;1
"viser";1;1;1;1;1;1;0,156;1;1;0,408;1;1;0,091;0,234;0,437;0,735;1;0,001;0,572;1;1;1;1;0;0,001;0,001;1;1;0,627
"état";1;1;0,68;1;1;1;1;0,006;1;0,024;1;0,9;1;0,073;0;1;1;0,063;0,28;1;0,001;1;1;1;1;0,057;1;1;1
"prendre";1;1;0;1;1;1;1;0,598;1;1;1;0,178;1;1;0,99;0,126;0,773;1;1;0,126;0,99;0,309;1;1;1;0,254;0,338;0,012;0,715
"américain";1;1;0,715;1;1;1;1;1;1;0,147;1;0,938;1;0;0;1;1;0;1;1;0,99;0,309;1;1;1;1;1;1;1
"voir";1;1;0,68;0,443;0,005;0,632;1;0,195;0;1;0,584;0,159;1;1;1;1;1;1;1;0,792;1;0,022;1;1;0,231;1;1;0,952;0,27
"mondial";1;1;1;1;1;1;1;0;0,189;1;0,197;0,028;1;1;1;0,716;0,663;1;1;1;1;0;0,821;1;1;1;1;1;1
"franc";1;1;1;1;0,43;1;1;1;1;1;1;1;0,002;1;1;1;1;1;1;0;1;1;0,471;0;0,057;1;0,001;0,512;1
"président";0,371;1;1;1;0;1;1;1;1;0,01;1;1;1;0;0;1;1;0,028;0,008;0,23;1;1;1;1;1;0,027;1;1;1
"groupe";1;1;1;1;0,411;1;1;0;1;1;0,007;1;1;1;1;1;1;0,038;1;1;0,154;1;1;0,195;0,261;0,261;1;1;0,297
"fin";1;1;0,095;0,511;0,461;1;1;0,059;1;0,033;0,662;1;0,142;0,003;1;1;1;0,611;1;1;0,561;0,122;1;0,006;1;1;1;1;0,751
"cliquer";1;1;1;0,957;1;0,692;1;1;0;1;1;1;1;0;1;1;1;1;0,323;1;0,219;1;1;1;0;0,012;1;1;0,733
"national";1;1;1;1;0,251;1;1;0,018;1;0,311;1;1;0,052;1;0,019;1;1;1;1;0,008;0,748;0,889;1;0,891;1;0,133;1;0;1
"jeune";1;1;1;1;1;0,125;0,684;1;1;1;0,777;1;1;1;0,684;0;0;1;1;0,543;0,684;0,379;0,242;1;0,402;1;1;1;0,449
"passer";0,54;1;0,715;1;0,151;1;1;0,598;1;1;1;1;1;1;0,525;1;0,338;1;1;0,029;1;0,027;0,477;0,179;0,657;1;0,003;0,208;1
"offrir";1;1;1;0,33;1;0,493;0;1;0,032;1;1;0,33;1;1;0,811;1;0,607;1;1;1;1;1;0;1;0,503;1;0;1;0,19
"?";1;0;1;1;1;0,006;1;0,016;1;1;0,821;1;1;1;1;1;1;1;1;1;1;0;1;1;0,124;1;1;1;1
"heure";1;1;1;0,215;1;0,776;1;0,854;1;0,246;1;1;1;1;1;0,504;1;0,076;0,343;1;0,641;0,107;1;1;1;0,37;0;0,641;1
"enfant";1;0,164;1;1;0,838;0,004;0,101;1;0,657;0,513;1;1;1;1;1;0;0,005;0,42;1;1;0,385;1;0,35;1;1;0,657;1;0,101;1
"social";1;1;0,813;1;0,952;0,611;1;1;1;1;1;0,995;0,372;1;1;0,001;0,011;1;0,056;0,095;1;1;0,133;1;1;0,765;0,861;1;1
"unir";1;1;0,662;1;1;1;1;0;1;0,022;1;0,88;1;0;0;1;0,718;0,518;0,612;1;0,472;1;1;1;1;1;1;1;1
"près_de";1;1;1;1;1;1;0,12;1;1;0;0,908;1;0,012;0,19;1;1;1;1;1;0,067;0,811;1;0,1;0,944;1;1;1;1;0,555
"police";0,276;1;1;1;0,01;1;1;1;1;0,933;1;1;1;1;1;1;1;0,584;0,652;0,087;0;1;1;0,973;0,343;0,343;1;1;1
"homme";1;1;0,937;1;1;1;1;0,009;1;1;1;1;1;1;1;0,485;0;1;0,003;1;0;0,098;1;1;0,887;1;1;1;0,397
"décembre";0,909;0,002;1;0,72;1;1;1;0,42;1;1;0,865;0,086;0,62;1;0,769;1;1;0,817;1;0,62;1;0,911;0,086;1;1;1;0;1;1
"aller";1;1;0,046;1;0,73;1;1;0,003;0,52;0,903;0,47;0,781;1;0,007;0,831;1;1;1;1;0,678;1;0,057;1;0,019;1;1;1;1;1
"service";1;1;1;0,491;1;1;1;1;0,806;0,649;1;1;0,95;0,01;1;0,002;1;1;1;1;0;1;1;0,219;1;1;0;1;1
"devenir";0,508;1;1;0,9;0,397;1;1;1;0,231;1;0,247;0;1;1;0,952;1;0,091;1;1;1;1;0;0,04;0,508;1;0,623;1;1;1
"photo";1;1;1;1;1;1;1;1;0;1;1;1;0,504;0;1;1;1;0,276;0,023;1;1;1;1;1;0;0,001;1;1;1
"équipe";1;1;1;1;1;1;0,067;0;0,568;1;1;1;1;1;1;1;1;1;1;0,218;1;0;0,782;1;0,568;1;1;1;1
"nouvelle";1;1;1;1;0,808;1;0,454;0;1;1;0,221;0,001;1;1;1;1;1;0,962;1;0,754;1;1;1;1;1;1;0;1;0
"demander";1;1;1;1;0,187;1;1;1;1;0,743;1;1;1;1;1;1;0,459;1;0,343;0,033;0,245;0,776;1;0,007;0,37;0,094;0,025;0,245;1
