"";"";"";"";"htag_cinemafrancais";""
"1";"htag_cinemafrancais";"-1.90905983664673";"-0.735328310960025";"0.993860097356319";"51"
"2";"htag_swissattitude";"1.08101619863011";"-1.0092486046862";"0.927169226080019";"94"
"3";"htag_automobile";"0.607497727225081";"1.0381244154454";"0.904271665366789";"115"
"4";"htag_patois";"0.430921090813025";"1.2536700740298";"0.89769428681566";"119"
"5";"htag_christmas";"0.332135749802571";"0.0615522267253022";"0.894913446108885";"127"
"6";"htag_chien";"1.00548095940503";"-0.957740399749018";"0.893365247559369";"128"
"7";"htag_skinautique";"1.37884072603095";"-1.43244707715709";"0.890840796421304";"134"
"8";"htag_waterski";"1.11740577639409";"-0.395074083524936";"0.879756878143238";"150"
"9";"htag_jetdeaudegeneve";"1.11740577639409";"-0.395074083524936";"0.879756878143238";"151"
"10";"htag_sdf";"0.697946353781892";"0.823427004770878";"0.879756878143238";"156"
"11";"htag_instafood";"0.507244440916068";"0.586042539942514";"0.878612986221302";"157"
"12";"htag_securiteroutiere";"0.564433722297459";"1.03854853940034";"0.877340899515011";"159"
"13";"htag_80s";"0.745972822981761";"0.376314779619821";"0.877271871554205";"160"
"14";"htag_vaud";"0.611404859840991";"1.09994131171069";"0.876512563985334";"161"
"15";"maintenant";"1.02043436714762";"-0.221556207149007";"0.869047683080978";"168"
"16";"htag_smoking";"1.02043436714762";"-0.221556207149007";"0.869047683080978";"169"
"17";"htag_selfdefense";"1.06143298846064";"-0.995894625628414";"0.869047683080978";"170"
"18";"htag_montre";"0.958022511799126";"-0.139649726659921";"0.869047683080978";"172"
"19";"htag_enfants";"0.963721926310136";"-0.786566343268519";"0.867598095904042";"174"
"20";"htag_lausannecity";"0.777846154172181";"1.17057440504202";"0.863574751902751";"179"
"21";"htag_igerslausanne";"0.777846154172181";"1.17057440504202";"0.863574751902751";"184"
"22";"htag_fetedesmeres";"0.777846154172181";"1.17057440504202";"0.863574751902751";"185"
