"";"";"";"";"htag_suisse";""
"1";"htag_suisse";"-1.34588403348542";"-0.31839015899232";"1.45909608904823";"14"
"2";"htag_happybirthday";"0.631671800729395";"0.92724537633447";"0.971851495943673";"75"
"3";"htag_adolescence";"0.721471924117835";"0.691573429431979";"0.963781346441705";"80"
"4";"htag_music";"0.709867411503427";"0.746160627882425";"0.951320385120027";"88"
"5";"htag_recette";"0.46895543765798";"0.884831608634776";"0.929535724625629";"109"
"6";"htag_fetedesmeres";"0.920741934946278";"0.732040201664127";"0.922136393596117";"116"
"7";"1982";"0.452235109835766";"0.425195905112183";"0.918721317736342";"119"
"8";"htag_60s";"0.666623660808848";"0.249282984620792";"0.915075859774916";"126"
"9";"htag_tabac";"0.814145832785173";"1.37490363938434";"0.90291303999655";"133"
"10";"htag_educationsexuelle";"0.896404312386536";"-1.20393695456751";"0.891156776868159";"140"
"11";"htag_radio";"0.630038567796504";"1.53972391842676";"0.890113281466561";"142"
"12";"htag_commeunlundi";"0.692702821592525";"-0.218022170543807";"0.888310880318346";"149"
"13";"htag_cheese";"-0.0559682757302055";"0.905763589442824";"0.882727502325381";"153"
"14";"voilà";"1.02629184335053";"-1.34427449434823";"0.877740407419043";"157"
"15";"htag_mountain";"0.988441358673705";"-0.6420058187547";"0.877740407419043";"158"
"16";"sans";"0.379567693781489";"0.423558245912343";"0.87717122810908";"159"
"17";"encore";"0.312976172456464";"-0.125663270049631";"0.871540418506952";"167"
"18";"htag_fashion";"0.432795011994494";"-0.602747671672255";"0.870822168425332";"170"
"19";"contre";"0.28231586978471";"0.647097527266371";"0.870442715552024";"171"
"20";"1973";"0.929514816540673";"-0.662026479383951";"0.869345012597096";"172"
"21";"htag_chat";"0.604602521389993";"-0.223422241637571";"0.869345012597096";"173"
"22";"htag_meteo";"0.098479295342971";"-0.148453207140726";"0.868647090347976";"175"
"23";"htag_vacances";"0.132642490556358";"0.809582114235137";"0.867508731728051";"180"
"24";"en";"0.161429745320858";"-0.0594313457817924";"0.866736274093101";"183"
"25";"htag_humour";"0.221713209988295";"0.97712679247817";"0.866715946260603";"184"
"26";"quels";"0.578773794345043";"0.543717221080938";"0.865970592402319";"185"
"27";"votre";"0.726843891583727";"0.257299255889141";"0.863558356279144";"186"
"28";"mon";"0.388820675484266";"-0.21457280340504";"0.862799450532528";"187"
"29";"déjà";"0.565595628592073";"0.0412699154022275";"0.862548740598377";"188"
"30";"htag_valais";"0.602434026514147";"-0.0500890741114061";"0.862501308989214";"189"
"31";"htag_femme";"0.716413822333719";"-1.02991659984766";"0.860956393719316";"191"
"32";"htag_instafood";"0.397869188260252";"-0.0381246260910079";"0.860170384196034";"194"
"33";"htag_alpage";"-0.589536060944922";"0.794953451826718";"0.859574101109407";"203"
"34";"htag_eighties";"0.801286041014991";"0.332305897306617";"0.859506341667745";"204"
"35";"htag_jeunesse";"-0.0462950675234486";"0.793370470929308";"0.859364046840254";"205"
"36";"toutes";"0.199807832736974";"0.369420452408459";"0.859364046840254";"206"
"37";"htag_foodporn";"0.725949244079016";"0.903885776131108";"0.859248855789428";"207"
"38";"2000";"0.224575888393105";"0.817060879054273";"0.858943938301948";"209"
"39";"htag_musique";"0.183390303900771";"0.293418292374573";"0.858198584443664";"210"
"40";"htag_football";"-0.668725128721303";"0.282395052152682";"0.858198584443664";"211"
"41";"htag_cigarette";"0.715752144187014";"1.06903346417959";"0.857216072539562";"213"
"42";"elle";"0.100853920974776";"0.113757874525551";"0.857188968762897";"214"
"43";"htag_vaud";"0.6047297360711";"0.595957743848693";"0.857161864986233";"215"
"44";"htag_portrait";"0.193810566809821";"1.1839613319587";"0.855793124264656";"216"
"45";"htag_myswitzerland";"0.604597239411329";"-0.350517735150243";"0.855271376563857";"218"
"46";"surtout";"0.982894560639555";"-1.35373858026006";"0.854986786908876";"221"
"47";"avant";"0.439677622493472";"1.0575477051331";"0.854573454314737";"223"
"48";"mais";"0.260304396873742";"-0.279599289684092";"0.854573454314737";"224"
"49";"htag_90s";"0.769357292756879";"-0.163436600388604";"0.854275312771423";"225"
"50";"000";"0.385375556820174";"1.13293565254257";"0.853726461293959";"226"
"51";"plusieurs";"-0.343287759775674";"-0.325194005386328";"0.851727557764924";"228"
"52";"sous";"0.619763950843542";"-0.665655442569568";"0.849240786255921";"231"
"53";"htag_jeu";"0.686166178000885";"-0.793108579709933";"0.849078163595932";"234"
"54";"parfois";"0.684504362815924";"0.181766748600865";"0.84859707156013";"236"
"55";"loin";"0.674581008639304";"0.655308857575629";"0.84859707156013";"237"
"56";"elles";"0.269759572738107";"-0.382995259035756";"0.848502208341803";"238"
"57";"htag_chorale";"0.977266810305139";"1.17273791003449";"0.846171283548624";"241"
"58";"htag_skinautique";"1.08942470684833";"0.615376184480728";"0.846171283548624";"243"
"59";"htag_geneva";"1.08942470684833";"0.615376184480728";"0.846171283548624";"244"
"60";"htag_environnement";"0.992802457457802";"-0.157521899002174";"0.846171283548624";"245"
"61";"htag_waterski";"1.08942470684833";"0.615376184480728";"0.846171283548624";"247"
"62";"htag_pompiers";"0.769647036920115";"1.80845578240072";"0.846171283548624";"248"
"63";"htag_jetdeaudegeneve";"1.08942470684833";"0.615376184480728";"0.846171283548624";"249"
"64";"htag_seventies";"0.857591831910438";"-1.06179393245065";"0.846035764665299";"253"
"65";"savoir";"0.658538249688964";"-0.07576198868372";"0.845974781167803";"254"
"66";"htag_sport";"-0.297936928957538";"0.41463922861332";"0.845080356537862";"256"
"67";"htag_christmas";"-0.400871816846497";"0.161121653822962";"0.845080356537862";"257"
"68";"autour";"0.633210109590262";"0.766738389527712";"0.845053252761197";"258"
"69";"10";"0.133858001133229";"0.850366645276025";"0.845053252761197";"259"
"70";"ils";"0.598903115057732";"-0.638128404680097";"0.844585712613728";"260"
"71";"htag_swisscheese";"0.172296015362567";"0.754997428705823";"0.843731943648784";"261"
"72";"htag_tradition";"0.862436210892847";"1.17965120521882";"0.843731943648784";"262"
"73";"cette";"0.111123508078328";"0.0428079905002005";"0.843562545044629";"263"
"74";"htag_recyclage";"0.972064631917615";"0.301901929997078";"0.843494785602967";"264"
"75";"htag_bistrot";"0.833707654621432";"1.35409498567323";"0.843494785602967";"266"
"76";"htag_leysin";"0.652393389787629";"0.32278022341317";"0.843494785602967";"267"
"77";"htag_alcool";"0.638341725086004";"-0.365860780299607";"0.843494785602967";"268"
"78";"htag_dessinanime";"-0.390570056768605";"-0.540420437285694";"0.843494785602967";"269"
"79";"htag_anime";"-0.390570056768605";"-0.540420437285694";"0.843494785602967";"270"
"80";"1978";"0.639007233063852";"0.339779019492369";"0.843494785602967";"271"
"81";"htag_vintage";"1.0156507225663";"-0.30137359702569";"0.84334571483131";"272"
"82";"htag_armee";"0.158150693168414";"-0.38607173588179";"0.843027245455497";"273"
"83";"entre";"0.640320684817103";"-0.145322424222948";"0.842857846851342";"274"
"84";"voici";"0.594263444550857";"0.694510330885211";"0.842444514257203";"275"
"85";"1972";"0.235963241877907";"-0.63179707626764";"0.841482330185599";"276"
"86";"htag_myvaud";"0.561509935054786";"-0.383460530514864";"0.841021565982296";"278"
"87";"htag_cyclisme";"0.916760076119788";"0.18077721853878";"0.841021565982296";"280"
"88";"mes";"0.135200560246421";"-0.31693676723465";"0.841021565982296";"281"
"89";"si";"0.403237833058088";"0.578536128336372";"0.840906374931471";"283"
"90";"quelques";"0.549147356047388";"0.951210967825407";"0.839835775753208";"284"
"91";"celui";"0.128884655820769";"0.757145373217775";"0.839246268610747";"285"
"92";"1997";"-0.014409912067294";"0.275735659472242";"0.839070094062425";"286"
"93";"htag_foodie";"0.815493107178153";"0.510161120160071";"0.838731296854114";"289"
"94";"75";"0.569490190890489";"-0.322237973415194";"0.838731296854114";"290"
"95";"htag_mode";"0.801256214679063";"-1.03892473392171";"0.837504850960028";"292"
"96";"des";"0.216011611309165";"-0.0473709206091066";"0.836644306050918";"296"
"97";"ne";"0.36501678135869";"0.25356141206868";"0.83656977066509";"297"
"98";"vos";"0.478979692767258";"0.591603235054355";"0.835112942669352";"300"
"99";"une";"0.211426512634038";"0.145899342534386";"0.835058735116023";"301"
"100";"alors";"0.343418210263415";"-0.334405032435747";"0.83448955580606";"302"
"101";"que";"0.484446667649454";"-0.223118385738704";"0.834272725592741";"303"
"102";"comment";"0.603494580691783";"-0.560126471569992";"0.834157534541915";"304"
"103";"certains";"0.533764466822971";"-1.03120118698979";"0.834089775100253";"305"
"104";"même";"0.18923613185053";"-0.261300173101481";"0.833974584049427";"306"
"105";"htag_80s";"0.709827703451242";"0.0860262078033936";"0.833642562785283";"307"
"106";"quelque";"0.239649233131808";"0.163686934893903";"0.833547699566956";"308"
"107";"leurs";"0.822978631251667";"-0.840617763408858";"0.833093711307819";"309"
"108";"htag_grevedesfemmes";"0.579174340163304";"-0.563930805163671";"0.832795569764505";"312"
"109";"htag_chanson";"0.829448692275744";"0.857521498456038";"0.832761690043674";"313"
"110";"htag_vin";"0.76787697158617";"1.55071346962221";"0.832761690043674";"314"
"111";"htag_swissfood";"-0.15494024175116";"0.582611477189838";"0.832761690043674";"315"
"112";"htag_70s";"0.772985965960005";"0.115230736573896";"0.832056991850387";"317"
"113";"htag_vieillesse";"0.903802855658035";"-1.20572051925071";"0.831860489469567";"318"
"114";"htag_piscine";"0.497063502769298";"0.57975458564552";"0.831230326662108";"320"
"115";"htag_animaux";"-0.46607690487964";"-0.407341045273047";"0.831230326662108";"321"
"116";"htag_stress";"0.91294052819319";"0.288441437172547";"0.831230326662108";"322"
"117";"pouvoir";"0.502401147481166";"-0.197514200808212";"0.831169343164612";"324"
"118";"qui";"0.147329793894862";"0.287802542527275";"0.830525628468821";"325"
"119";"attention";"0.613713854271689";"0.135314442597027";"0.830288470423004";"326"
"120";"htag_rtssportxarchives";"0.556897732241013";"-0.558184439059784";"0.829963225103025";"327"
"121";"htag_france";"0.886953138523933";"-0.447180911493412";"0.829455029290559";"330"
"122";"htag_vigneron";"0.702346513933822";"0.620084877449575";"0.829455029290559";"331"
"123";"htag_temoignage";"-0.205168005694814";"0.279060084466897";"0.829455029290559";"332"
"124";"htag_vih";"-0.218045525453556";"0.926390990369264";"0.829455029290559";"333"
"125";"htag_sida";"-0.218045525453556";"0.926390990369264";"0.829455029290559";"334"
"126";"htag_hiv";"-0.218045525453556";"0.926390990369264";"0.829455029290559";"335"
"127";"htag_soldat";"0.501602695192891";"0.354165406827889";"0.829455029290559";"337"
"128";"htag_summertime";"1.21991521655961";"-0.0134900960024675";"0.829055248584752";"338"
"129";"htag_pollution";"1.17930687658548";"-1.0528227424624";"0.829055248584752";"340"
"130";"1976";"1.07623149217416";"-0.184393551283797";"0.829055248584752";"341"
"131";"htag_ecolo";"0.0864855847753486";"-0.599429734816651";"0.829055248584752";"342"
"132";"htag_vigne";"0.853288454394358";"1.1911272869392";"0.829055248584752";"343"
"133";"cinq";"0.8488831618942";"1.78902582990393";"0.829055248584752";"344"
"134";"1960";"-0.202018514611802";"0.510930257587053";"0.829055248584752";"347"
"135";"htag_stoptabac";"0.774351833568264";"1.02471797581116";"0.829055248584752";"348"
"136";"1967";"0.140535194567145";"-0.491331499266728";"0.828397982000628";"349"
"137";"200";"0.0861835328433357";"0.387500268723358";"0.827943993741492";"350"
"138";"htag_culte";"0.37708200527911";"1.2672853265822";"0.827815250802333";"351"
"139";"du";"0.384246768790159";"0.217513874134914";"0.827801698914001";"352"
"140";"trop";"0.737226390077972";"-0.111889327573299";"0.827740715416505";"353"
"141";"2025";"0.603228882919987";"1.10281381466343";"0.827056345055717";"354"
"142";"1984";"-0.346089217340276";"0.26636249175192";"0.827056345055717";"355"
"143";"1979";"0.742326781969699";"0.410868027070899";"0.827056345055717";"356"
