"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Coord. facteur 19";"Coord. facteur 20";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"Corr. facteur 19";"Corr. facteur 20";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"COR -facteur 19";"COR -facteur 20";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"CTR -facteur 19";"CTR -facteur 20";"mass";"chi.distance";"inertie"
"classe 1";0,225423150830467;1,90737705851526;1,3850699351933;0,0776860400002204;-2,37054058827483;-1,78435029082843;2,04600327361072;-0,73616430839491;2,31281159475511;-0,0564162420925879;-1,03727536158676;0,329624802740066;0,0344712788647444;-0,523162334128228;0,375309455315541;0,130864517432225;0,0750393533981434;-0,0963406217412022;0,299116940576119;0,2468441055728;0,0439730984994386;0,372070388337084;0,270184390842231;0,0151541484376205;-0,462419296337143;-0,34807166347839;0,39911208387075;-0,143602933086345;0,451158151645641;-0,0110050674092976;-0,20234040504739;0,0642996243524599;0,00672428246760249;-0,102052822725019;0,0732112899032836;0,0255276279030298;0,0146378615779013;-0,0187930815167653;0,0583484821427965;0,0481516655603925;0,00285822656492357;0,163013047838727;0,0827727478239959;0,000249658483995834;0,219240826702155;0,118652386986819;0,152047461290012;0,0195251888437585;0,186936935008457;0,000109826903971477;0,035055695176992;0,00342097630308639;3,69967543847319e-05;0,00836995344147107;0,00387311591321125;0,000460196287677612;0,000145114110383721;0,000223427865010337;0,00212948260979824;0,000878735091176435;0,00186275201440704;0,133361698976595;0,0703236518124564;0,000221229979117145;0,205993160773689;0,116712733877953;0,153451330601519;0,019865867082454;0,196082358462511;0,000116671912960698;0,0394408380662462;0,00398288508218062;4,35584885571085e-05;0,0100330031273332;0,0051634148793323;0,000627771833579827;0,000206412586739744;0,000340233364317469;0,00327974463540111;0,00223359038957975;0,0366570920530707;2,76232133063829;0,279708976587528
"classe 2";0,461365230986709;-0,778203454955632;0,321653541962696;0,568276786994727;0,901293090018437;2,91308268256446;2,48802915846885;-0,164260923833754;0,429971104492721;-2,61116582249032;-0,809840240708092;-0,914235355968778;0,63906349204295;0,114782287440765;0,558600218350343;0,314661461757972;-0,227781523645361;0,182218215675218;0,449486347510607;0,0838757092761202;0,0898236749853895;-0,151509237184922;0,0626230614503954;0,110638396629039;0,175473685806908;0,567151086623115;0,484396975486253;-0,0319801295032308;0,083711519961017;-0,508370580224942;-0,157668635791822;-0,177993428978303;0,124419933599087;0,0223470825036138;0,10875445545075;0,0612617661086598;-0,0443470209140817;0,035476253263003;0,0875109628500065;0,0163298487687822;0,0125828379244944;0,0285183782606486;0,00469148035456914;0,0140400757637728;0,0333079558622488;0,332361819968815;0,236301628243059;0,00102165321909171;0,00679019747719337;0,247262693407368;0,0224573456383271;0,027657669537774;0,013363681274998;0,000423437301520141;0,00901722575864336;0,0027962478586512;0,00140526335942323;0,000840023204948322;0,00505375688384393;0,000106628700615377;0,0077736360264031;0,022116723405882;0,00377842802383511;0,0117938149736141;0,0296665169619341;0,309913218578444;0,226071288187041;0,000985378312591685;0,00675169815846675;0,24900231381871;0,0239515257188521;0,030524636628313;0,0149149737672259;0,0004811541413221;0,011395586438553;0,00361594311074848;0,00189483529083463;0,00121260137588164;0,0073784899127041;0,000256925309800956;0,0365203118588428;2,69450856294998;0,26515121018759
"classe 3";0,258118205582601;-0,711607501581533;1,36281435516019;-0,47572880977983;-0,643143009415096;-1,52298567734379;2,13984354132036;-1,16741159121163;-3,73977866220657;-0,401286847935241;2,61514781512951;0,35502301242032;-0,324132507590803;0,219885208157921;1,19592537741578;0,738735761220322;-1,06521612954232;-0,563575451486067;-0,366583624760401;-0,376098538415535;0,0428409626232348;-0,118108485640747;0,226192022062317;-0,0789587085210525;-0,106745146339279;-0,252776329091316;0,355158819450026;-0,193760204678874;-0,620706770857711;-0,0666032634729745;0,434047065953063;0,0589246603940918;-0,0537976335738519;0,0364952714700365;0,198492757527138;0,122611076826036;-0,176798394705969;-0,0935389845826309;-0,0608434237763386;-0,0624226539563364;0,00298384714779342;0,0180663313392864;0,063805342571784;0,00745450729406499;0,0128493578520552;0,0688252129026723;0,132425079677408;0,0390960973673871;0,389176029009194;0,00442435495777497;0,177420018380599;0,00315982468261098;0,00260455594665106;0,00117728554715319;0,0313133349704664;0,0116766219360918;0,0232834119971312;0,00608782639206512;0,00254670052381826;0,00162425950399585;0,00178614438222181;0,0135756403113383;0,0497912107043649;0,00606733805075758;0,011089051345871;0,0621828933367925;0,122756169435203;0,0365365292526155;0,374948038666384;0,00431707048664438;0,183346139599976;0,00337903193984512;0,00281659539946819;0,00129619791194965;0,0383431201800061;0,0146304449297675;0,0304196879930069;0,00851497589187169;0,00360267768741964;0,00379212442583329;0,0268089180686637;3,09566785971513;0,256914137812058
"classe 4";1,13914410539638;-2,18611185694656;1,5408845250063;-2,94125097142946;-0,893478459859866;0,331617407240381;-1,16087812000826;1,38050707328072;1,13717508748206;0,0132508388526929;0,0453969260291981;0,244060619248593;-0,0238660557892016;0,0540183326388662;0,977808811087368;0,194354859469953;-0,521014380032547;0,444221975238095;-0,185915165216996;-0,0654879337887786;0,231929827848593;-0,445092542934204;0,313724208312448;-0,598838924971458;-0,181912283441627;0,0675173297289684;-0,236354874902353;0,281071346753227;0,231528935649146;0,00269787181393097;0,0092428176460989;0,0496907609307697;-0,00485913080214587;0,0109981366977629;0,1990819494654;0,039570664400461;-0,106078568018874;0,090443628471117;-0,0378523419986592;-0,0133333483778213;0,0739144064132177;0,216853360634879;0,103742400887703;0,362407074968004;0,0315403822855289;0,00415014266144537;0,0495692006638949;0,0695336679716017;0,0457658380174072;6,13563218242687e-06;6,79978986164071e-05;0,00189923129210763;1,79590052417199e-05;9,03659032373961e-05;0,026623277259035;0,00102792692506677;0,00708439938900087;0,00481050492132904;0,000833093700919053;6,2633569565198e-05;0,0516503821942365;0,190222096821907;0,0945053494387265;0,344334368429492;0,0317749136432725;0,00437714409689321;0,053640084908843;0,0758566182189882;0,0514719804760828;6,98880543254139e-06;8,20293174441308e-05;0,00237089118965804;2,26713566009556e-05;0,000116144474897444;0,0380560840750468;0,00150351239464905;0,0108047724527976;0,00785445910487902;0,00137577001222539;0,000170702067614516;0,0398030365203119;2,74497331812091;0,299911044796054
"classe 5";0,744575253766736;0,925123276656563;-1,8443960729929;-1,73644141180455;0,990114627589174;0,135753531600744;0,126566793152234;-1,99121277992626;1,17532401737112;0,679276189897348;1,42477390171107;-1,62822401302356;-0,522901962940275;0,178116411013648;0,322605766337109;0,281813097862226;-0,183007243966736;0,248224867577079;-0,183657058427417;0,00840113931924529;0,166707178886822;0,20713110030684;-0,412952303374436;-0,388781721659092;0,221682382680526;0,0303946285652049;0,0283377575609986;-0,445823929046248;0,263149963986378;0,152087000917509;0,319000714171242;-0,364552314133145;-0,117075487850506;0,0398794940381317;0,0722300357507307;0,0630967337153616;-0,0409745303825323;0,05557647423009;-0,041120021029706;0,00188097875703146;0,041310445675021;0,0508032549911122;0,19444438655262;0,165243237155091;0,050668804470249;0,00090983279054558;0,000770813197508718;0,1892448779954;0,0639547627301234;0,021092899359325;0,0876204393254865;0,110581295910377;0,011278009169719;0,00128528973865806;0,00379113106315391;0,0028272532187386;0,00114343400361343;0,00196495263285862;0,00106353157959052;1,34844080286372e-06;0,0264646307856802;0,0408552487863643;0,162389154568595;0,143935828620407;0,0467971706390851;0,000879733066390908;0,000764694903838772;0,189270960045773;0,0659422656938142;0,0220262937511078;0,096903741509773;0,126554313960977;0,0130523643186336;0,00151445549165116;0,00496812935103403;0,00379115020137053;0,00159876710698411;0,00294129929207998;0,00161014093468251;3,36918622754997e-06;0,0477362877855287;2,39995260338514;0,274950157567336
"classe 6";0,855667788265438;1,69817913015474;1,33423505765126;0,596343012169342;-1,96607608912338;1,54368711429919;-2,40884855881988;-0,747317122756705;-1,62200345134223;-0,0209935722036739;-0,235658800760083;-2,34612060554199;1,11192938188767;-0,885801586401526;-0,247089590391586;0,16917685317259;-0,0611842293698887;0,214587008051244;0,0791862467365802;-0,018574645742981;0,159667547175773;0,31688010241281;0,248968164903055;0,111277562781122;-0,366869655509207;0,288051903469034;-0,449490966212876;-0,139449320857225;-0,302665726276133;-0,00391739904924206;-0,0439739151149093;-0,437785934684762;0,207485941943163;-0,165290511720497;-0,0461068996303649;0,0315683885211347;-0,0114169727589412;0,0400419201250816;0,0147761478927651;-0,00346602754727127;0,0386404372113789;0,121240662870996;0,072067707804756;0,0138033555780078;0,141500941051228;0,0833233747009878;0,197750488473555;0,0188793761518076;0,0862680933325917;1,42693819952456e-05;0,0016977347245928;0,162608413778001;0,0361189646658839;0,0225141242108422;0,00157515184876806;0,000721627749832356;9,05195761585788e-05;0,00104005747754241;0,000140030822822705;4,66858824693344e-06;0,0246359145825833;0,097034309956354;0,0598994753809535;0,0119660439184993;0,130064557010366;0,0801819993278516;0,195243829751722;0,0187917916787688;0,0885241715574968;1,48296536961063e-05;0,0018686400372613;0,18520767970923;0,0416018588120712;0,0264016598024865;0,00205431587433332;0,000963030868793259;0,000125961351552789;0,00154940578169862;0,000210988041494698;1,16091227275888e-05;0,0336479277800575;2,85172848883547;0,27363690630732
"classe 7";0,348068762013677;0,641860623356073;-0,701771760645177;-0,123004597274512;-0,101218401160001;-0,850501618891334;-0,462862735467441;0,383484423750809;-0,769934004622431;-0,593240097824499;-1,66747868177931;-0,25931178824033;-0,0230165675467723;3,59439800021515;0,559868524458391;0,0573113453304597;-0,0985347730992684;0,0294858734656561;-0,34310742791703;0,122298905655266;0,0792123056740954;0,146072458796084;-0,159706831765298;-0,0279929681200314;-0,023034939665784;-0,193554267329759;-0,105336727935253;0,0872720815842986;-0,175218963546737;-0,135007564870639;-0,379479130163799;-0,0590132952930208;-0,00523803220241796;0,818000878505183;0,127412975643474;0,0130427211527003;-0,0224242087141396;0,00671029485242192;-0,0780832221253699;0,0278323692201704;0,0109863434886716;0,0297614564962764;0,0342577787789906;0,00100908210359073;0,000644420046287404;0,0434600271259882;0,0125456860771831;0,00854209980116888;0,0333998921232222;0,01957874654922;0,146054350000135;0,00341332999012005;2,65921472475221e-05;0,636980135487703;0,0138955916735814;0,000142299691197401;0,000403398218024464;3,37419282311765e-05;0,00451726713729623;0,000347761135856898;0,00596562313121381;0,0202865027401746;0,0242503210852211;0,00074502081004505;0,000504480823966525;0,0356185311647163;0,010549458114948;0,00724137726349562;0,0291899074997423;0,0173295271399338;0,136913507797545;0,0033110842931669;2,60859605236832e-05;0,636177118618825;0,0154346868122716;0,000161736083886116;0,000478084604500171;4,2810836308544e-05;0,00579676850677916;0,000736496790700486;0,0492408699220353;2,17551693793143;0,233050830392772
"classe 8";0,510105137888274;-0,672077861981944;-0,126758033259091;0,548717801552155;0,318824892403505;-0,557798238180154;0,115479498655327;-0,244572131720263;-0,600092294541116;0,391905543820848;-0,0945902398080979;-0,260835054891857;-0,0289228955866241;-0,605110625673529;2,19263050426362;-3,41700116911417;2,79413571609138;1,31281747173291;0,550983160867091;0,415512167133485;0,0947844436707024;-0,124881169625283;-0,0235533594368283;0,101959199563529;0,0592419832898384;-0,103646467677775;0,0214576549468399;-0,0454448146482701;-0,111505276195852;0,0728213581543248;-0,0175761477212421;-0,0484666860445479;-0,00537426574229964;-0,112437750090371;0,407420445483846;-0,634925098338383;0,519188260848625;0,243939267529268;0,102380134007101;0,0772077885025761;0,0183840840606133;0,0254220998362134;0,000870799024809621;0,0156452116313267;0,00498143037877273;0,0145644304404618;0,000608414121917169;0,00270696504193482;0,0158078821014309;0,00665711758663105;0,000366172811121556;0,00269069949740725;3,2715635134113e-05;0,0140650941857466;0,166048657268378;0,394105532321034;0,252725725903827;0,0521134858189019;0,00907594199404274;0,00312754034029987;0,00868425241619526;0,0150748230373626;0,000536245951983854;0,0100487291862421;0,0033924814843291;0,0103840631079359;0,000445064363939719;0,00199630539431859;0,012018468871577;0,00512596759509146;0,00029861092681393;0,00227062261112664;2,79187893508415e-05;0,0122203206278121;0,160451560783405;0,389675675761666;0,260560174201168;0,0575203789135921;0,0101318720049813;0,00576209657950696;0,0333743673916017;2,46469228812802;0,202739539097044
"classe 9";0,320451982043464;-0,566128319558108;0,246994394015575;-0,499535130898046;-0,226575674965079;0,0603117782810407;0,266865316015601;-0,504159628423975;-0,53046728915513;-0,202357758138076;-0,189357113832792;0,529727314146471;-0,964636756945444;0,14238372359843;-2,42201835982452;1,83313932273677;3,294299104742;1,00582186921198;-0,201316446239414;-0,450307713827371;0,0653607108158388;-0,115469872095456;0,0503779975316105;-0,101887250079642;-0,0462133111952087;0,0123014395912877;0,0544309529173309;-0,102830481709958;-0,108196300932936;-0,0412737247766823;-0,0386220596272309;0,108045372571552;-0,196751300182279;0,0290411727949214;-0,494004875855852;0,373894673375089;0,671918862079981;0,205151585914965;-0,0410613344976658;-0,0918466226169895;0,00878692415279979;0,021846926731278;0,00400432661970403;0,0157037642621481;0,00304694446199433;0,000206220506315801;0,00393515754800865;0,0139313496698259;0,0149603983275211;0,00214956946809997;0,00177723576402953;0,0134408386470646;0,044074539300786;0,000943152957979038;0,245384811808722;0,137373061101494;0,425469925927375;0,0370486108003458;0,00146744530134864;0,00444879664316538;0,00410139872196835;0,0128007621485516;0,00243657767160926;0,00996639602303209;0,00205037185800538;0,000145281506638087;0,00284439779681235;0,0101517800345123;0,0112388864861399;0,00163548206611559;0,00143208672346503;0,0112075530005509;0,037164960918105;0,000809704886576414;0,234293871852757;0,13421375116354;0,433443130176331;0,0404062192196475;0,00161869333411685;0,00809887769698682;0,0399398167145397;2,23959005432089;0,200328679323296
"classe 10";0,315346517053009;0,728735328476878;0,55221798716892;0,854428662176813;0,296357537315308;0,631890778480863;-0,467546179132622;0,738308487011529;0,8572604244308;0,29339596600541;2,22187183818805;1,10862748872786;0,8684104078363;1,24125791515007;-0,0318349199591412;0,11515435986706;0,623172443995771;-0,836077626920487;1,59277929530638;0,0955220255379845;0,0792197360823763;0,183069154957997;0,138725373003277;0,214645190159138;0,0744494218979917;0,158740363368994;-0,117454555272553;0,18547407478929;0,215356570961772;0,0737054311295133;0,55816725764101;0,278503716773017;0,218157612656988;0,311822452860069;-0,00799740546030134;0,0289284881997603;0,156550188055053;-0,210035137118343;0,400129852680231;0,0239965537716756;0,0110726042537341;0,0471045639167686;0,0260458866520859;0,0597841499961565;0,00678316958751815;0,029456040186317;0,0157177229791042;0,0388772493681766;0,0508410178708654;0,00588007397873454;0,318406957745106;0,0766047442115996;0,0464807316295537;0,0932713467294393;5,51649321531941e-05;0,000705397874747116;0,0198117135759376;0,0333108512609284;0,119530121740184;0,000260491510891616;0,00590322073653115;0,0315248184479704;0,0181023118756881;0,0433375706493199;0,00521368633932975;0,0237026542023323;0,0129766314397123;0,0323585212891632;0,0436253069235603;0,00511000378947059;0,293056227322472;0,0729599002056025;0,0447675147331787;0,0914612236321223;6,0161751320112e-05;0,000787179393083611;0,0230531049665925;0,0414959918526679;0,150599714603146;0,000541651551838277;0,0593626042948981;1,96330221491446;0,228816458048995
