"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Coord. facteur 19";"Coord. facteur 20";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"Corr. facteur 19";"Corr. facteur 20";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"COR -facteur 19";"COR -facteur 20";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"CTR -facteur 19";"CTR -facteur 20";"mass";"chi.distance";"inertie"
"suisse";-0,599743424482169;-0,268448814932512;-0,0737033227295743;0,0586249687085401;-0,104277375334621;-0,170098107248698;-0,201067074723132;0,189550968034939;0,140479547602028;-0,26084942012902;0,36170310772697;0,143098371911709;0,125512658626138;0,0626563416862064;0,0889256358595369;-0,0817100723649067;-0,169777111214206;-0,222898257010819;-0,132339681724457;-0,192979823036512;-0,611029385921685;-0,273500480111547;-0,0750902705881663;0,059728172360683;-0,106239665188914;-0,173299010503287;-0,204850751474638;0,193117934888994;0,143123089310961;-0,265758080027439;0,368509630582779;0,145791194611429;0,127874553675924;0,0638354076456577;0,090599036944612;-0,0832476911003294;-0,172971973970943;-0,227092752574871;-0,134830047577404;-0,196611314024971;0,50645355941152;0,0808316153715824;0,00586714904001275;0,00355905440162337;0,0106197878329754;0,0269913264288744;0,0367584729729768;0,0324046070139201;0,0172643337743507;0,0587745349515595;0,106704800372572;0,0161394489737581;0,0122781493143226;0,00300530940730782;0,00544307676279033;0,00449117008938627;0,0185951109810553;0,0299392425600241;0,0104347312230676;0,0134445191163015;0,00742901360369983;0,00148841194118987;0,000112195205442258;7,09848078741176e-05;0,000224584793052701;0,000597584226443442;0,000834991553712949;0,000742082477353354;0,000407592668234858;0,00140533516854446;0,0027021200737302;0,000422931028670641;0,000325368287345868;8,10830789465595e-05;0,000163325547211936;0,000137895899987365;0,000595330924815811;0,0010261562822798;0,000361726507344892;0,000769172893855795;0,0206538093284092;0,552102467534297;0,0062956349792472
"émission";-1,40633953389802;-0,252215153096299;-0,0804878962885297;0,103845885589777;-0,0224643569203782;0,186432027853152;-0,0523018000153175;-0,404251605977572;0,332341398801875;-0,500094320363825;-0,166809929489293;0,0434070443391776;0,0537552123811565;0,176788687970671;0,0788221207692507;0,185621806408558;0,30774755577888;0,108421138736195;0,169705023173089;-0,0791408823962371;-0,830617137789365;-0,148964189317276;-0,0475380407294402;0,0613338174606398;-0,0132679764720576;0,110111131512059;-0,0308906706970987;-0,238760486931028;0,196288630723898;-0,295367443631462;-0,0985218596558988;0,0256372192204322;0,0317490901543081;0,104415548632642;0,0465541946093016;0,109632595709671;0,181762929777144;0,0640360693575247;0,100231769938092;-0,046742462708052;0,787738385082758;0,0201833674369659;0,00197927955405703;0,00315893701779677;0,000139417290677154;0,00917190002639506;0,00070356109143371;0,0416918583189177;0,0273328872943089;0,061109157275315;0,00641972278262681;0,000420080718141125;0,000637077132477841;0,00676801118672163;0,00120970571368353;0,00655630731492731;0,0172831428614964;0,00200377240979371;0,00485381802381869;0,000639611467679073;0,0243470359204492;0,000783083505761872;7,97492997409082e-05;0,000132752990815654;6,21231840598454e-06;0,000427865010374706;3,36743325996176e-05;0,00201172787364111;0,00135967343484924;0,0030787155838345;0,000342538603728637;2,31945609141978e-05;3,55718858203928e-05;0,000384746493981016;7,64824791452073e-05;0,000424154144616861;0,00116588294732715;0,000144708370843496;0,000354531738492145;7,71023299112231e-05;0,0123102174805088;1,03806174890226;0,0132651480656628
"petit";0,458848094952869;0,367126343273579;-0,0600411184948836;-0,173069826699988;0,0316805738865974;0,0556639619368043;0,173194209546;-0,812041636340177;0,0438677806944986;0,272936065905408;0,253862903622372;0,291901225018108;-0,271842158376196;-0,222906524452899;-0,121930235759734;-1,08433092103265;0,643787493671577;-0,87532732153419;-0,000891318802652498;0,326622437013795;0,232345815382329;0,185900890762103;-0,0304028779602837;-0,0876369553344606;0,0160420166334517;0,028186427634501;0,0876999387795142;-0,411191586486239;0,0222132234754584;0,138205984676804;0,128547952985452;0,147809327060406;-0,13765206533046;-0,112872645103538;-0,0617415226498106;-0,54907006210297;0,325993137588231;-0,443237407946918;-0,00045133497609741;0,165391024360531;0,100200453456572;0,0510990182734004;0,0013160540237729;0,0104841995808862;0,00033131791621225;0,000977004755853204;0,00921861042161652;0,201017804058112;0,000569033892808617;0,0217497609730751;0,0177664700029023;0,0226993978398043;0,0194677004734753;0,012856651353921;0,00345888809205653;0,267334605975487;0,0903750915613066;0,156060004825989;1,59989107347661e-07;0,0130177725336319;0,00256301465018836;0,00164075720439929;4,38844612228671e-05;0,000364632974605769;1,22179769934058e-05;3,77191112852795e-05;0,000365157276104977;0,00802730599156789;2,34263458203249e-05;0,000906849206729719;0,000784533890215674;0,00103725385581581;0,000899594605017912;0,000604865457432187;0,000180982277790421;0,0143132055288426;0,00504543126709149;0,00932726232585906;9,67117761025955e-09;0,00129868927043002;0,0121734372862809;0,949638025572377;0,0109781564472107
"année";-0,0193186315700399;-0,354324076478324;-0,0183990864263423;0,160403289265068;-0,0927078525016102;-0,0582293183244631;0,380417841884235;-0,422546932356267;0,0374550402394812;-0,0364171913987206;-0,227221964600598;-0,0771979711040412;0,19590514259763;0,22230339288016;-1,2721905044715;-0,483550358647283;0,413319678132474;0,255425274039677;0,253225094886652;-0,674930908716024;-0,0107269939499609;-0,196744381760609;-0,0102164010978017;0,0890666146441068;-0,0514775888392073;-0,0323328048941913;0,211233382320825;-0,234626265868109;0,0207975388208943;-0,0202212558582294;-0,126168803972062;-0,0428654672552772;0,108779613700489;0,123437684591463;-0,706405098890518;-0,268499440703404;0,229502678316138;0,141829164211607;0,140607477862977;-0,374766698572298;0,00023746115258651;0,0636342335109548;0,000165225364431334;0,0120400178833543;0,00379314909467399;0,00142935429552965;0,0594604937659483;0,0727672337656042;0,000554594264126239;0,000517670672237774;0,0190287960808821;0,0021225713828815;0,0135170132523619;0,0170955279979103;0,503414840038819;0,0710759946551801;0,0498016663230171;0,017765867294877;0,0172641735946968;0,0743141156099358;4,74743344189873e-06;0,00159700947326169;4,30624448955452e-06;0,000327289975961694;0,000109329964455999;4,31310048783263e-05;0,00184089034351237;0,00227120361565631;1,78454169961329e-05;1,68701545796071e-05;0,000656760138328115;7,5808505958142e-05;0,00048820007048918;0,000628634695554761;0,0205878248131682;0,00297433296257094;0,00217309308423369;0,000829915547462278;0,000815679691871551;0,00579461784068419;0,0127205580631924;0,821304270913285;0,00858053420928702
"retrouver";-2,56444064696961;-0,339447065101071;-0,105141421792722;-0,146435510857215;-0,217585011416383;0,0791633493060174;-0,354059439047013;-0,127375385283906;-0,0631010456927322;0,106303411470712;-0,0145010830864307;-0,249753097073216;0,164745047880922;-0,246277450136215;0,139113464539274;0,0988214160472543;-0,320561708562595;0,142315670557402;0,197527538980225;-0,229305050957122;-0,947284151971861;-0,125389068989989;-0,0388384120715486;-0,0540921229293662;-0,0803741873554068;0,0292423169564164;-0,130786764693352;-0,047051462849545;-0,0233090286679915;0,0392676418952202;-0,00535658573749234;-0,0922568245215271;0,0608555215180585;-0,0909729479517336;0,0513874167607185;0,0365038517883433;-0,118412967213418;0,0525702864114184;0,0729651152094646;-0,0847034775382564;0,937732224896488;0,0130884220605747;0,00120916502320093;0,00224878062661078;0,00468250777455641;0,000592050136338885;0,0115428431870238;0,00148187191133199;0,000352761869611773;0,000988527495696997;1,7368617792671e-05;0,00497881491584179;0,0021422368698305;0,00470211578099219;0,00134900553956454;0,000665266044635825;0,00671349520242551;0,00123599811963314;0,00235418886009112;0,00192235506777108;0,059368005047295;0,00104018663115555;9,97963925667178e-05;0,000193579767944317;0,000427390733790515;5,65738158447368e-05;0,00113166922458855;0,000146466455919949;3,59451470190226e-05;0,000102014417885455;1,89831392488736e-06;0,000563104394316203;0,000245014557910678;0,000547540752483835;0,000174705060465588;8,81595362867705e-05;0,00092766343780244;0,000182840583461825;0,00035222684875784;0,000474672852145206;0,0090274928190398;1,73491115136829;0,0271720014235228
"miracle";-3,05381236859273;-0,629304390408156;-0,358079275524676;0,044427337969696;-0,573831603891928;-0,0348285889939099;-1,05837250196488;-0,768426863622612;0,476261778444414;-1,06897926171721;0,303914269775774;0,165465097714987;-0,107075477481132;-0,184038652038879;0,323779255019409;-0,0970236346732453;-0,202241644178538;0,000594569474588722;-0,161308177604729;-0,404004183145972;-0,822890172984623;-0,169574399530508;-0,0964892015007772;0,0119715344017605;-0,154626522784133;-0,00938502440974006;-0,285192482740973;-0,207062791819078;0,128335041563372;-0,288050614582067;0,0818937235962301;0,0445867612175363;-0,0288529050091783;-0,0495916513305363;0,0872466068681665;-0,0261443028854637;-0,0544966885570193;0,000160214616597796;-0,0434666240592114;-0,1088642758719;0,768518962444546;0,025998066471891;0,0081053655988529;0,000119627551164132;0,0188220028577574;6,62305370563919e-05;0,0596092817192007;0,031168871203249;0,0116138532270814;0,0577709169598375;0,0044090285616699;0,0012629709717738;0,000522996933867567;0,00151753410650307;0,00422327916855825;0,000370616408761303;0,00154434000138487;1,24679178432022e-08;0,000907350568265144;0,00344869224067016;0,0586767089588588;0,00249173912271935;0,000806750828583333;1,24188571354651e-05;0,00207181023700703;7,63225388046893e-06;0,00704787419424275;0,00371523360113482;0,00142715947940414;0,00718984632076981;0,000581143295742541;0,000172263730521705;7,21374999835003e-05;0,000213107696681333;0,000659597630299889;5,9229235606557e-05;0,000257348844404563;2,22426365274034e-09;0,000163717014835085;0,00102695821091156;0,00629188893448229;2,28212307792934;0,0327686970550694
"archive";-2,29214708094834;-0,206510494517074;-0,120072681550418;-0,20518458778298;-0,106684345532139;-0,00111329156362926;-0,165932935262259;0,0296777956785693;-0,0891652064115389;0,181189345026023;-0,167370146737925;-0,115561060488272;0,0305810104470671;-0,248344607322998;0,225116603203023;0,13801292303522;-0,0451606056936677;0,0180600415251563;0,101017539686178;0,196038899284254;-0,963598836832373;-0,0868152283788005;-0,0504775183228895;-0,0862578286389058;-0,0448491774884097;-0,000468018158470273;-0,0697567729138661;0,0124762889926708;-0,0374842827051612;0,0761704358174345;-0,0703609642058407;-0,0485808717927228;0,0128559926807842;-0,104401928104467;0,0946370757797708;0,0580194409032215;-0,0189851286066073;0,00759228548265102;0,0424669012518149;0,0824130601802614;0,957328420623586;0,0061902741106485;0,00201515639196109;0,00564191062455398;0,00143848190561698;1,49627166846699e-07;0,00323972453678627;0,000102798168667194;0,000900081454682714;0,00366979759464821;0,00295666977899344;0,00136210223773482;9,43254457273829e-05;0,00610992587788969;0,00451411798440108;0,00165811700061671;0,000170265776214992;2,54350329313082e-05;0,000786795777392621;0,00179545004979663;0,0531789672837913;0,000431657398656928;0,000145929587641692;0,000426132254782067;0,000115201021616734;1,25450608422867e-08;0,000278689192497801;8,91493573643537e-06;8,04721814452898e-05;0,000332292275690189;0,00028353777669423;0,000135169271493214;9,4658277660113e-06;0,000624258412665112;0,000512944042235998;0,000192794412861399;2,06430779222816e-05;3,30135650278858e-06;0,000103287676924413;0,000388990904446868;0,0101217343728628;1,53474424144228;0,0238411368638187
"jeune";-0,179221253627329;-0,304928353548086;-0,175113843353999;0,524002805838391;0,412835813969864;-0,474351426934109;-0,235448081084917;-0,099388005309224;-0,0156592582700629;-0,112807870742288;-0,396717606735924;0,21202437073011;0,352765651781356;0,339874132443;0,527090098356788;0,246645819779963;0,11365133629409;0,58992094379393;-0,389267807723071;0,423174687622071;-0,11625599015201;-0,197798793110045;-0,113591623964285;0,339906477620378;0,267795450326875;-0,307698968186633;-0,152728815594803;-0,0644703166203899;-0,0101577382056356;-0,0731754211325575;-0,257340004315135;0,137534486879782;0,228829557373475;0,220467176713194;0,341909120952857;0,159992486465911;0,0737225544713729;0,382665794620432;-0,252507520761183;0,274501998624954;0,0242083414675669;0,0558253263790459;0,0177284727029871;0,152199764682228;0,0890979612233975;0,11235775822441;0,0269800798371585;0,00476870077125112;0,000114826829938029;0,00588390472215247;0,0687099773441453;0,0189656731234231;0,0519167878063377;0,0473339474161794;0,102361724463767;0,021904493166219;0,00446032973485526;0,112251582286618;0,0483253993093011;0,0346049485090162;0,00027678515091784;0,000801234024106882;0,000264243750848744;0,00236608853141429;0,00146865063406621;0,00193893918790437;0,000477698718349593;8,5120019526579e-05;2,11303231880969e-06;0,000109658567800404;0,00135620929395973;0,000387378337896383;0,00107234948978713;0,000995405393509037;0,00239405145978709;0,000524217221466366;0,000111304534702535;0,00299882688488352;0,00130575213324581;0,00154313218757685;0,00861715223635618;0,754624670867216;0,00490710967234737
"rts";-2,44090098661027;-0,307164481415916;-0,209239546707353;-0,11964768812327;-0,0730653745979759;0,220026462747014;-0,369270054787149;-0,190532469755523;0,152762638799295;-0,0401181719651448;0,0148798438213496;-0,0886574586555992;0,0330190215275547;-0,235921235370634;0,337742922031593;0,0483968618745704;-0,114193201209368;0,084046613641858;0,142224999430473;0,245012266546529;-0,947010185334622;-0,119172344175198;-0,0811798524371285;-0,0464203914562833;-0,0283475873536613;0,0853649133691141;-0,143267795351315;-0,0739219618023166;0,0592681864914273;-0,0155648744772555;0,00577301731299453;-0,0343969365465053;0,0128105768599004;-0,0915316983598688;0,131036035030971;0,0187768047064864;-0,0443041832644823;0,0326080408825824;0,0551798388417686;0,0950587972327823;0,936046043439218;0,0118083308973564;0,00527629142966548;0,00165411709478963;0,000581764392639375;0,00503922033259084;0,0138341338303307;0,00365326341734168;0,00227796042960935;0,000155124348315018;2,01495091730379e-05;0,000691254740692442;9,48144434067037e-05;0,00475424368580192;0,00876095121404904;0,000175804896048244;0,00093866200607738;0,000474959033303809;0,00134474898534559;0,0024181618742332;0,0521559086433921;0,000825933688029618;0,000383257560662443;0,000125317526123317;4,67332969182223e-05;0,000423792263134132;0,00119368949462457;0,000317790700313626;0,000204285477229809;1,40891716860615e-05;1,93820600977382e-06;6,8807178008102e-05;9,54402545325889e-06;0,000487233630847162;0,000998563535559575;2,05039528540008e-05;0,000114152042259111;6,18363190997784e-05;0,000177074111562286;0,000525507411917535;0,00875393243058405;1,65282001712042;0,023914115247656
"vie";0,0770897009822705;-0,048061589777528;0,115159539643042;0,20360902250417;0,179910021535951;0,686965442617702;0,166183535924725;-0,0568421027453726;0,103260599428952;0,386142200350064;-0,114605347249339;0,374213309176773;-1,83690593103562;-0,207677859430117;-0,967196717816376;0,203563560788207;0,283003129216517;-0,10174958332036;-0,712567172742645;0,921824867774226;0,0296646668703396;-0,0184944426018358;0,0443142123646086;0,0783502043388494;0,069230659705465;0,264349202902944;0,0639486101220688;-0,0218732466291301;0,0397354152871333;0,148590273305107;-0,044100955178087;0,143999950884871;-0,706854506140253;-0,0799159218136868;-0,372184196676379;0,0783327103462379;0,108901622972989;-0,039153965509459;-0,274200931289275;0,354724785112428;0,0017327287502728;0,000536517339121866;0,00296607444861526;0,00888981325850895;0,00654599380922031;0,0911641880861983;0,00519972954139711;0,000603426304285422;0,00193162193764889;0,0266706257904407;0,00221829071667429;0,0228553038008025;0,544579021368333;0,00683704977751765;0,133336591944036;0,00577215005357411;0,0106992218364378;0,00129187937409547;0,0626443545653136;0,0635254172975026;4,71459001309097e-05;1,83251472975949e-05;0,000105208553563979;0,000328885894489949;0,000256780429386658;0,00374387199047384;0,000219092343252875;2,56325303490492e-05;8,45902859905265e-05;0,00118289376770469;0,000104198381322968;0,00111093760694458;0,0267685620529999;0,000342161867221114;0,00742131452268865;0,00032873904394541;0,000635380211528897;8,2132773483829e-05;0,0040281240034039;0,00674136821736072;0,0079332512652168;1,21326334602614;0,011677808906444
