de;28;25;17;26;36;17;33;23;30;33;27;40;30;31;32;19;23;20;28;36;30
la;20;13;12;18;22;14;21;15;27;27;21;31;22;24;29;14;15;14;27;28;33
le;20;14;14;20;25;18;24;10;19;25;16;23;17;20;32;17;17;14;18;26;25
htag_rtsarchives;30;28;22;38;40;24;40;25;31;41;27;43;37;35;34;18;22;22;34;33;39
et;9;22;11;18;24;12;23;11;20;21;18;25;20;18;31;18;17;12;20;28;19
les;15;17;10;18;19;12;13;8;14;16;13;27;20;16;30;18;17;17;17;21;31
être;17;17;15;20;16;10;17;11;21;14;22;20;25;15;21;13;18;14;15;21;22
l;13;12;4;22;13;12;20;14;15;19;19;17;17;17;29;18;17;11;13;22;18
en;16;12;9;18;14;12;20;15;17;25;15;24;23;11;26;18;17;15;18;30;22
à;13;11;9;16;20;10;14;13;16;24;16;20;24;19;31;19;13;14;22;23;12
un;18;10;12;13;23;8;13;8;17;18;17;18;11;17;13;15;10;10;15;20;13
pour;14;11;12;14;22;12;16;10;18;18;11;24;20;8;11;4;16;8;14;10;16
des;7;10;5;9;8;10;16;9;9;14;14;12;20;10;13;12;14;9;11;20;22
d;12;9;4;15;12;7;12;11;10;15;7;10;16;14;30;16;8;5;16;22;16
avoir;12;8;7;12;7;6;10;11;10;13;10;11;13;7;20;16;8;12;8;13;8
du;11;10;4;13;15;9;10;6;9;14;13;11;10;11;7;6;8;13;15;19;11
dans;8;6;12;7;8;5;9;9;9;7;9;9;4;8;32;17;6;8;9;29;14
une;9;7;2;7;16;8;6;3;16;14;11;12;8;10;12;9;12;7;9;16;17
sur;4;7;4;8;7;2;8;6;3;8;10;14;9;10;29;16;6;8;11;18;14
il;5;7;1;8;9;4;5;8;7;6;10;5;9;10;18;11;4;10;5;7;6
pas;6;7;4;10;8;5;13;10;6;14;7;11;3;7;5;5;3;9;10;7;8
vous;9;2;4;9;6;4;7;6;7;10;4;8;10;5;1;1;4;7;3;12;4
qui;9;5;4;5;11;4;12;6;10;9;8;4;6;11;9;9;7;7;6;10;8
ne;9;5;2;7;10;7;13;12;6;15;10;11;4;8;8;4;2;8;8;10;8
c;7;6;12;9;6;6;7;3;14;7;7;8;6;7;7;0;7;4;5;8;10
ce;5;2;1;8;6;4;5;3;8;5;3;8;10;10;28;15;3;5;1;11;6
au;4;3;5;4;9;6;5;5;9;8;4;8;2;6;6;2;8;6;3;7;9
que;5;2;6;9;8;4;7;2;11;5;7;9;10;3;3;3;3;7;4;9;8
avec;4;3;1;7;5;2;9;5;8;4;6;8;4;11;12;9;5;3;4;9;8
son;4;6;0;2;6;5;6;2;8;4;6;5;4;5;13;10;7;5;3;7;3
an;5;3;0;3;4;0;5;4;5;6;9;2;5;6;21;16;3;3;8;8;4
plus;4;1;4;2;9;4;4;5;2;3;7;3;4;4;12;11;4;2;2;6;3
faire;6;6;1;8;6;6;6;6;6;8;5;6;7;2;6;0;3;4;2;5;10
se;2;9;4;2;7;3;8;3;6;7;5;5;9;6;13;7;2;3;4;3;9
on;1;8;2;3;11;3;6;7;2;3;7;6;7;4;6;5;7;4;2;4;4
ou;1;5;2;4;5;2;4;4;7;10;6;8;8;1;2;1;2;6;1;4;8
qu;6;5;2;5;5;5;2;3;4;3;6;6;7;5;4;2;3;6;6;9;0
s;5;3;2;1;4;3;4;5;3;3;7;6;4;2;7;4;1;4;4;9;9
y;4;3;0;5;6;2;3;5;1;1;1;2;6;1;2;2;3;5;4;2;3
ses;1;5;1;2;3;5;6;3;5;7;4;2;2;3;5;1;4;3;2;7;5
sa;0;6;1;0;3;4;5;4;4;6;2;3;1;5;6;4;5;2;3;4;1
aux;3;3;1;4;5;3;5;5;2;7;3;3;4;5;2;2;3;1;0;2;5
par;4;3;2;1;2;2;2;2;3;8;2;2;4;1;4;3;6;2;2;1;6
mais;0;1;1;4;3;2;2;7;2;6;4;7;3;3;5;4;2;5;1;2;1
cette;5;3;1;0;3;1;1;5;8;3;7;5;4;2;4;5;5;1;3;4;3
nous;1;1;1;2;3;0;3;2;3;2;1;2;3;2;15;15;0;1;3;2;2
bon;8;1;3;3;12;2;1;2;4;2;0;6;2;0;0;0;3;2;4;1;5
bien;2;2;4;3;5;1;5;4;2;5;2;2;8;1;1;2;2;1;1;4;7
tout;1;4;1;4;2;3;0;4;3;2;4;7;3;1;5;0;3;4;5;2;2
leur;1;2;0;3;0;0;0;3;3;2;3;3;8;2;3;5;1;3;1;4;2
autres;2;1;0;1;3;2;0;1;0;1;0;2;1;3;28;15;1;0;1;6;0
ça;3;1;4;3;1;0;3;1;4;6;2;6;0;3;2;1;1;2;3;2;1
tous;2;3;0;0;0;1;3;2;0;3;1;1;1;0;26;15;4;5;0;0;2
htag_archives;2;5;2;1;5;3;3;3;4;5;3;2;1;3;0;0;1;4;3;4;1
elle;2;3;0;2;1;3;1;6;3;3;1;1;2;2;5;3;5;1;4;1;1
ces;3;3;3;4;0;0;2;3;4;4;2;8;7;2;2;1;3;0;1;7;4
htag_suisse;1;1;3;1;0;1;1;1;0;4;4;1;3;0;19;12;2;1;1;1;2
si;6;1;0;0;5;2;1;2;1;5;2;5;2;3;0;2;4;0;0;4;2
plein;0;1;0;0;1;2;1;1;0;0;0;2;0;0;28;15;1;0;1;3;0
htag_90s;2;6;1;3;2;2;4;4;1;4;2;4;2;3;0;0;1;1;1;1;2
notre;1;0;1;0;0;2;0;0;1;0;1;0;1;1;4;9;0;1;0;20;1
htag_80s;2;2;1;3;2;1;1;1;3;5;3;4;1;6;0;0;3;3;0;1;3
sans;3;2;0;0;2;5;2;2;4;3;1;1;2;1;2;1;0;1;0;1;3
je;3;1;1;1;2;3;1;1;2;3;1;1;2;2;0;0;2;0;2;0;1
ils;2;1;1;3;0;2;3;2;2;1;0;7;4;2;1;2;0;3;1;1;4
toujours;2;3;1;0;0;1;1;0;1;2;2;1;2;4;13;5;1;0;0;1;2
1;0;0;0;0;2;0;0;0;0;0;1;0;1;0;26;13;2;0;0;1;1
après;2;2;1;0;2;1;2;0;0;0;3;4;0;1;12;8;1;0;1;2;0
quand;0;2;0;1;0;2;1;0;1;2;2;2;1;0;3;0;0;2;3;1;3
quoi;2;1;4;1;2;1;3;2;0;3;1;4;2;1;0;0;0;0;0;1;0
depuis;2;3;3;0;2;1;0;0;3;2;0;0;4;2;2;1;2;1;3;1;0
htag_70s;1;0;1;2;4;3;1;4;1;4;2;2;3;1;0;1;1;1;1;0;1
falloir;1;2;0;0;5;1;2;3;2;1;2;0;4;4;1;0;0;0;4;1;3
cet;0;1;0;0;2;0;2;0;1;0;0;2;0;0;14;6;1;1;2;0;2
htag_miraclesuisse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;15;0;0;0;0;1
aussi;2;1;0;0;2;1;2;2;3;2;0;3;1;2;3;1;0;1;2;1;2
htag_madeinswitzerland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;14;0;0;0;0;1
votre;5;1;0;4;3;0;1;3;1;2;1;0;2;3;0;0;1;1;0;1;0
ceux;0;1;0;1;1;1;0;2;0;1;1;0;0;1;1;0;1;0;1;1;2
alors;0;1;0;3;3;0;0;4;0;2;1;2;1;3;1;1;2;2;0;4;3
pouvoir;0;0;1;0;3;0;1;2;1;0;4;4;3;1;0;2;2;3;0;1;1
htag_suissitude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;12;0;0;0;0;1
comme;3;1;1;5;2;0;0;0;2;1;0;2;0;6;3;1;0;1;1;1;2
j;2;2;1;5;0;1;2;0;2;1;0;1;2;2;0;0;1;1;2;2;0
