"";"X";"V1"
"1";1;0
"2";2;10
"3";3;0
"4";4;0
"5";5;0
"6";6;3
"7";7;0
"8";8;0
"9";9;0
"10";10;9
"11";11;0
"12";12;0
"13";13;0
"14";14;7
"15";15;2
"16";16;0
"17";17;5
"18";18;9
"19";19;12
"20";20;3
"21";21;0
"22";22;6
"23";23;5
"24";24;4
"25";25;0
"26";26;1
"27";27;8
"28";28;0
"29";29;3
"30";30;1
"31";31;0
"32";32;0
"33";33;0
"34";34;0
"35";35;8
"36";36;0
"37";37;5
"38";38;10
"39";39;6
"40";40;11
"41";41;1
"42";42;0
"43";43;6
"44";44;6
"45";45;0
"46";46;9
"47";47;0
"48";48;7
"49";49;8
"50";50;9
"51";51;5
"52";52;0
"53";53;9
"54";54;0
"55";55;0
"56";56;0
"57";57;6
"58";58;0
"59";59;10
"60";60;0
"61";61;10
"62";62;8
"63";63;0
"64";64;11
"65";65;6
"66";66;3
"67";67;11
"68";68;11
"69";69;0
"70";70;6
"71";71;12
"72";72;0
"73";73;10
"74";74;0
"75";75;11
"76";76;0
"77";77;1
"78";78;0
"79";79;0
"80";80;3
"81";81;9
"82";82;0
"83";83;9
"84";84;4
"85";85;0
"86";86;5
"87";87;10
"88";88;3
"89";89;6
"90";90;0
"91";91;7
"92";92;7
"93";93;10
"94";94;0
"95";95;11
"96";96;3
"97";97;0
"98";98;1
"99";99;0
"100";100;4
"101";101;12
"102";102;1
"103";103;10
"104";104;12
"105";105;9
"106";106;7
"107";107;4
"108";108;5
"109";109;11
"110";110;0
"111";111;0
"112";112;0
"113";113;8
"114";114;0
"115";115;0
"116";116;11
"117";117;1
"118";118;0
"119";119;6
"120";120;2
"121";121;1
"122";122;8
"123";123;1
"124";124;3
"125";125;0
"126";126;8
"127";127;3
"128";128;1
"129";129;0
"130";130;7
"131";131;7
"132";132;0
"133";133;11
"134";134;1
"135";135;7
"136";136;8
"137";137;6
"138";138;1
"139";139;10
"140";140;0
"141";141;4
"142";142;12
"143";143;3
"144";144;0
"145";145;1
"146";146;7
"147";147;0
"148";148;3
"149";149;6
"150";150;8
"151";151;0
"152";152;11
"153";153;0
"154";154;8
"155";155;0
"156";156;0
"157";157;0
"158";158;12
"159";159;11
"160";160;5
"161";161;4
"162";162;0
"163";163;0
"164";164;10
"165";165;10
"166";166;8
"167";167;1
"168";168;0
"169";169;8
"170";170;0
"171";171;2
"172";172;7
"173";173;0
"174";174;0
"175";175;5
"176";176;0
"177";177;0
"178";178;0
"179";179;7
"180";180;3
"181";181;5
"182";182;1
"183";183;12
"184";184;0
"185";185;5
"186";186;10
"187";187;0
"188";188;9
"189";189;0
"190";190;1
"191";191;4
"192";192;11
"193";193;9
"194";194;4
"195";195;1
"196";196;4
"197";197;0
"198";198;0
"199";199;0
"200";200;0
"201";201;12
"202";202;2
"203";203;1
"204";204;0
"205";205;8
"206";206;9
"207";207;7
"208";208;1
"209";209;0
"210";210;0
"211";211;0
"212";212;10
"213";213;8
"214";214;8
"215";215;9
"216";216;8
"217";217;1
"218";218;0
"219";219;8
"220";220;8
"221";221;4
"222";222;0
"223";223;7
"224";224;4
"225";225;0
"226";226;0
"227";227;10
"228";228;2
"229";229;2
"230";230;6
"231";231;3
"232";232;5
"233";233;10
"234";234;0
"235";235;0
"236";236;11
"237";237;2
"238";238;0
"239";239;4
"240";240;7
"241";241;8
"242";242;8
"243";243;6
"244";244;3
"245";245;0
"246";246;4
"247";247;6
"248";248;0
"249";249;10
"250";250;8
"251";251;7
"252";252;6
"253";253;0
"254";254;0
"255";255;7
"256";256;10
"257";257;4
"258";258;11
"259";259;4
"260";260;10
"261";261;0
"262";262;4
"263";263;11
"264";264;2
"265";265;0
"266";266;0
"267";267;1
"268";268;0
"269";269;0
"270";270;0
"271";271;12
"272";272;0
"273";273;9
"274";274;0
"275";275;4
"276";276;0
"277";277;4
"278";278;12
"279";279;3
"280";280;0
"281";281;0
"282";282;9
"283";283;3
"284";284;11
"285";285;1
"286";286;8
"287";287;5
"288";288;0
"289";289;12
"290";290;11
"291";291;11
"292";292;0
"293";293;8
"294";294;0
"295";295;0
"296";296;1
"297";297;0
"298";298;9
"299";299;1
"300";300;0
"301";301;0
"302";302;7
"303";303;7
"304";304;2
"305";305;12
"306";306;0
"307";307;4
"308";308;0
"309";309;9
"310";310;0
