"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,425930605685015;14,06566537913;14,06566537913
"facteur 2";0,359150145625761;11,8603493193762;25,9260146985062
"facteur 3";0,323962418630341;10,6983318762442;36,6243465747505
"facteur 4";0,294054854618937;9,71068322626575;46,3350298010162
"facteur 5";0,278229991647329;9,18809286939002;55,5231226704062
"facteur 6";0,271301774101328;8,95929975526494;64,4824224256712
"facteur 7";0,254402180637002;8,40121817216232;72,8836405978335
"facteur 8";0,23907484732257;7,89505792286898;80,7786985207025
"facteur 9";0,211874574143678;6,99681314860604;87,7755116693085
"facteur 10";0,188688005106134;6,23111442440266;94,0066260937112
"facteur 11";0,181488846008667;5,99337390628882;100
