"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"suisse";0,646;-9,536;-2,388;5,767;-7,236;-4,576;2,728;-2,399;35,934;0,345;1,556;-5,591
"emji_drapeau_suisse";7,409;-8,929;-5,972;1,688;-3,319;-25,033;18,939;3,015;20,327;-1,76;4,147;-14,9
"premier";0,851;-0,53;-0,599;-1,03;0,055;-1,03;-0,088;6,91;3,201;0,069;-0,253;-2,644
"année";-3,49;-5,307;-0,638;3,194;-2,371;-5,11;-2,567;-3,746;53,082;8,525;2,284;-1,534
"genève";-1,21;0,422;-2,528;-0,309;-0,054;-0,309;0,04;0,172;-0,72;21,22;2,168;-4,373
"annoncer";-2,325;-0,121;9,629;-2,135;-0,046;18,174;-4,633;10,844;-2,96;-3,347;-0,318;-0,659
"unir";0,109;-1,018;290,122;-4,02;-0,559;-1,08;-5,471;-4,967;-5,572;-2,35;-4,967;-0,95
"jour";0,04;2,502;4,462;-3,202;2,987;-1,623;0;0,037;-4,783;-3,753;3,557;-0,023
"conseil";-6,137;-2,275;0,481;-0,221;-5,053;-5,937;42,209;73,621;-1,654;-4,195;-2,705;-2,19
"novembre";-1,186;-0,312;-1,474;-0,239;-0,044;-0,239;2,133;-0,012;0,708;0,556;8,427;-3,233
"dernier";0,236;-0,834;-0,895;0,32;-1,356;2,426;-1,496;0,309;19,738;-0,094;-2,613;-4,106
"grand";2,643;-3,306;0,433;-2,525;-0,637;-2,525;0,778;1,201;-0,777;4,069;2,883;-1,351
"monde";117,98;-0,451;-3,649;-1,344;-2,199;-0,394;-4,369;-3,966;-2,416;3,312;-1,986;-0,409
"mettre";-5,748;0,096;1,998;-0,113;1,132;-1,815;6,589;3,102;-1,398;-0,053;-1,011;-0,053
"nouveau";0;-0,312;-1,474;-0,239;-3,895;-0,239;-0,076;12,287;-0,777;1,908;-0,012;1,908
"fédéral";-5,364;-0,553;0,164;0,717;-4,416;-3,088;19,631;0,657;19,02;-1,723;-4,164;-0,505
"jeudi";1,172;-0,312;0,001;-1,079;0,142;0,374;2,133;0,243;-2,119;-3,233;5,292;-3,233
"franc";-2,779;0,001;-3,469;7,439;-0,066;-1,166;0,676;7,965;13,104;-3,319;-3,77;-3,319
"pays";-1,661;-2,526;3,659;-0,395;0,07;1,52;7,9;0,132;-1,269;-0,73;-0,1;-0,73
"femme";-1,987;-0,095;-1,026;-0,601;0,009;-0,601;3,62;-0,21;31,102;0,168;-3,092;-2,723
"décembre";-0,755;-0,242;1,311;-0,01;-0,438;-2,448;0,005;-0,361;-0,52;0,141;6,78;1,493
"canton";-0,839;0,071;-0,182;10,114;-1,56;-0,751;22,909;-1,391;-0,012;-2,892;-0,298;-2,892
"viser";-5,748;-2,033;-0,094;7,269;-2,675;1,392;39,537;-4,463;-0,016;2,319;-4,463;-3,929
"notamment";-0,201;0,028;-1,321;0,542;-0,513;-2,305;0,171;0;-0,044;0,042;1,49;2,271
"face";6,472;-3,482;-1,629;-0,339;0,074;-0,002;1,767;0,955;-0,159;-1,498;-0,04;0
"dimanche";1,172;0,492;-0,348;-1,079;2,412;2,932;6,853;-0,506;-4,12;-1,351;-0,506;-3,233
"révéler";-3,129;0,637;-2,235;-0,171;-0,036;-3,027;-2,676;-0,694;1,247;0,005;-2,429;72,226
"public";-1,371;0;1,353;-1,254;-0,768;-1,254;-0,135;11,106;0,026;3,549;-1,899;0
"projet";-3,738;-2,612;-0,885;23,262;-3,078;-1,665;11,261;0,093;-1,36;3,742;-1,069;-0,795
"enfant";-3,371;-0,642;-2,408;-0,275;0,15;21,168;0,995;-2,617;0,924;-2,304;-2,617;4,771
"lausanne";-3,493;-0,707;-2,495;32,794;2,793;-3,379;-2,987;6,223;-3,042;0,41;-0,915;-0,008
"mondial";15,012;-1,935;-0,373;3,501;-0,578;-2,679;-2,368;-2,15;-2,412;26,124;-0,487;-1,893
"jeune";-3,615;0,294;-0,04;0;0,859;-3,497;2,266;-0,1;0,029;-0,019;-2,807;11,897
"national";-0,839;-1,119;-0,182;-0,083;-0,398;-0,751;22,909;3,943;0,244;-1,066;-3,285;-0,133
"fin";1,016;-0,908;9,751;-0,529;-0,246;-1,769;-1,4;4,958;0,465;-0,861;-0,17;-0,861
"près_de";-3,009;-0,459;-0,49;9,117;12,069;0,102;-2,573;-0,003;-0,044;-0,428;-0,623;-0,428
"mardi";-2,435;2,122;1,981;-0,911;0,238;0,542;-3,831;24,237;-0,638;-3,062;-0,398;-1,207
"lundi";-0,602;3,262;-0,086;-1,769;2,059;1,166;1,826;0,823;-1,452;-0,054;-1,148;-2,639
"état";0,361;1,941;10,487;-2,415;0,186;0,453;0,128;-0,004;-0,706;-1,278;-3,575;-1,278
"service";-3,493;-2,441;-0,747;-0,333;2,793;-1,459;17,966;3,256;-1,18;0,41;0,18;-2,388
"prendre";0,082;-0,124;-1,099;-1,981;-0,345;0,123;-0,001;15,903;1,36;-0,103;-3,188;-0,103
"permettre";-1,661;0,294;-0,815;9,579;-0,159;-3,497;0,727;-0,992;0,029;-0,73;-0,1;4,058
"prix";-0,191;-1,193;-1,219;9,746;-1,406;-0,163;-1,46;0,607;6,053;0,916;-1,325;-1,167
"initiative";-3,615;-2,526;-2,582;0,375;-2,977;-3,497;113,277;-2,807;2,144;0,336;-2,807;-2,471
"ville";-2,412;-1,685;-0,215;13,769;-1,986;-0,001;-0,421;-1,872;-0,447;15,251;1,187;-1,648
"social";-3,738;1,4;-0,061;8,935;-3,078;-1,665;2,036;-2,902;-0,279;-0,795;-1,069;16,435
"noël";1,508;-0,709;-0,725;1,625;-0,836;-0,982;-0,868;-0,788;-0,884;0,227;8,026;0,227
"américain";-0,39;-2,441;220,988;-3,379;-2,876;-0,333;-2,987;-2,712;-1,18;-0,667;-0,915;-2,388
"vendredi";0,48;-2,356;0,395;-3,262;-0,088;21,168;-0,123;0,237;-1,092;-0,605;-0,046;-0,605
"président";-3,493;4,186;39,508;-3,379;-1,046;-0,333;-0,162;15,015;-1,18;-2,388;-2,712;-2,388
"emji_drapeau_états";-4,231;-1,119;396,064;-4,093;-1,56;-4,093;-3,618;-3,285;-3,685;-2,892;-3,285;-1,066
"santé";-3,493;4,186;-0,022;-3,379;-2,876;-1,459;-0,162;1,241;0,788;-2,388;-2,712;51,811
"rester";0,038;0,002;0,579;-3,027;0,27;0,062;-0,881;-0,694;3,272;2,568;-2,429;0,005
"prévoir";-1,555;-0,707;1,64;14,71;-2,876;-0,333;-0,162;1,241;-1,18;-0,667;3,256;-2,388
"nouvelle";-0,755;-0,242;-1,807;0,397;0,014;-2,448;5,647;-1,964;-0,52;14,127;-0,361;0,141
"gaza";-4,107;-2,87;-0,147;-3,973;-1,472;207,706;-0,001;-1,309;-3,577;-2,807;-3,188;-2,807
"devenir";0,006;-0,111;-1,554;-0,442;-1,791;-0,442;-0,289;1,64;-0,31;2,263;1,64;2,263
"étude";-2,175;-1,52;-1,554;0,014;-1,791;-0,442;-1,86;-1,689;19,031;-1,487;-0,193;36,524
"octobre";0,568;-1,603;-1,638;-0,523;0,069;21,531;-0,353;-1,78;-1,997;1,973;-0,245;-0,134
"mort";-4,107;-0,124;5,173;-1,981;14,395;2,317;-0,412;0,609;-1,638;0,127;-1,309;-2,807
"europe";-0,33;-1,356;-0,056;-0,293;0,258;3,789;1,763;0,346;-1,69;-0,037;-0,102;-0,037
"atteindre";-3,371;-2,356;-2,408;-1,358;1,148;-3,262;-0,123;-2,617;8,805;-0,605;67,286;-2,304
"aller";-0,022;-1,768;0,099;-0,694;-2,084;-0,01;-2,164;1,003;5,446;-0,22;6,78;-0,22
"souligner";-2,769;1,037;-0,373;3,501;-2,28;1,368;-0,641;0,703;1,894;-0,319;-0,487;-0,319
"semaine";-3,129;0,637;-0,552;0,062;-2,577;0,062;-0,058;-0,011;-0,071;5,611;7,821;-2,139
"police";-3,129;-0,518;-2,235;-1,16;157,731;-1,16;-2,676;-0,011;-0,92;-0,485;-2,429;-2,139
"mois";-0,944;0,046;-1,978;-2,679;0;3,501;-0,641;-2,15;8,069;-0,319;9,877;-1,893
"homme";-1,142;30,311;-0,49;-1,063;24,171;-2,911;-0,799;-2,336;0,245;-0,428;-2,336;-2,057
"emji_drapeau_france";-1,449;104,05;-2,408;-3,262;-0,964;-0,275;-0,123;0,237;-2,936;0,495;-0,84;-2,304
"victime";-0,327;18,773;-0,01;-1,358;9,764;0,013;-1,049;-2,617;2,657;-2,304;-2,617;-2,304
"travail";-2,649;-1,852;-0,317;17,04;-2,182;-0,783;27,804;-2,057;-0,595;0,096;-2,057;-0,268
"mercredi";0,038;2,425;0,579;-3,027;-0,805;0,062;0,208;4,288;-2,726;-2,139;0,383;0,005
"enquête";-2,293;9,733;-0,169;-0,523;7,389;-2,219;-0,353;-1,78;0,972;-1,568;-1,78;5,245
"samedi";0,038;0,637;0,579;-3,027;29,997;0,062;-0,881;-0,694;-2,726;-2,139;0,383;-2,139
"offrir";-2,53;-1,768;-0,265;7,983;-2,084;-2,448;-2,164;-0,361;-2,204;14,127;11,593;0,141
"ligne";-1,475;0,004;0,002;2,694;-0,009;-1,427;-1,261;-0,001;-1,285;-1,008;-1,145;30,819
"heure";-0,046;-0,293;-0,317;-0,783;9,69;-0,783;2,272;-2,057;-2,308;-1,811;6,181;0,096
"rts";-0,848;-0,293;0,062;-2,563;0,003;1,596;-0,566;0,018;2,163;7,799;-0,423;-1,811
"publier";-2,412;1,617;-0,215;0,515;0,036;-0,001;-0,421;-1,872;0,013;0,199;-0,301;4,733
"lancer";-0,267;-2,271;-2,321;7,77;-0,06;4,562;-0,088;0,304;-0,104;0;-2,523;0
"emji_ballon_de_football";189,102;-2,612;-2,67;-0,461;-3,078;-3,616;-3,196;-2,902;-3,255;-0,034;-2,902;-0,034
"place";-0,046;-1,852;-1,892;30,916;2,506;-2,563;0,569;0,018;-2,308;-1,811;0,018;-1,811
"passer";0,006;-1,52;0,287;-0,442;-0,249;-0,442;-0,289;4,582;7,414;-1,487;-0,193;-0,097
"connaître";-0,848;-1,852;0,062;7,267;-2,182;-0,783;-2,265;-2,057;-2,308;37,25;0,843;-0,268
