suisse;23;5;10;28;8;12;23;11;38;16;20;7
emji_drapeau_suisse;33;7;9;27;13;4;35;24;36;12;25;4
premier;10;4;4;5;7;5;6;12;11;6;5;2
année;2;0;3;10;2;1;2;1;21;10;8;2
genève;3;5;1;4;4;4;5;5;3;12;7;0
annoncer;3;4;11;3;5;16;1;12;2;1;4;3
unir;6;2;35;1;3;3;0;0;0;1;0;2
jour;5;6;7;1;7;2;4;4;0;0;7;3
conseil;0;1;5;4;0;0;17;20;2;0;1;1
novembre;2;2;1;3;3;3;6;3;5;4;8;0
dernier;6;2;2;6;2;8;2;5;13;3;1;0
grand;7;0;4;1;2;1;5;5;2;6;6;1
monde;25;2;0;2;1;3;0;0;1;6;1;2
mettre;0;4;6;4;6;2;9;7;2;3;2;3
nouveau;4;2;1;3;0;3;3;9;2;5;3;5
fédéral;0;2;4;6;0;1;12;5;12;1;0;2
jeudi;6;2;3;2;4;5;6;4;1;0;7;0
franc;1;3;0;9;3;2;5;8;10;0;0;0
pays;1;0;5;2;3;5;7;3;1;1;2;1
femme;1;2;1;2;3;2;6;2;12;3;0;0
décembre;1;1;3;2;1;0;2;1;1;2;5;3
canton;2;3;2;9;1;2;11;1;3;0;2;0
viser;0;1;3;10;1;7;16;0;4;6;0;0
notamment;3;3;1;5;2;1;4;3;3;3;5;5
face;9;0;1;3;4;4;6;5;3;1;3;3
dimanche;6;4;2;2;6;7;8;2;0;1;2;0
révéler;0;3;0;2;2;0;0;1;4;2;0;13
public;2;3;5;2;2;2;3;9;4;6;1;3
projet;0;0;1;11;0;1;8;3;1;5;1;1
enfant;0;1;0;2;3;10;4;0;4;0;0;5
lausanne;0;1;0;12;5;0;0;6;0;3;1;2
mondial;8;0;1;5;1;0;0;0;0;8;1;0
jeune;0;3;2;3;4;0;5;2;3;2;0;7
national;2;1;2;3;2;2;11;6;4;1;0;2
fin;5;1;7;2;2;1;1;6;4;1;2;1
près_de;0;1;1;7;7;3;0;2;2;1;1;1
mardi;1;5;5;2;4;5;0;11;2;0;2;1
lundi;2;5;2;1;5;5;5;4;1;2;1;0
état;5;5;8;1;4;5;4;3;2;1;0;1
service;0;0;1;2;5;1;9;5;1;3;3;0
prendre;4;2;1;1;2;4;3;9;5;2;0;2
permettre;1;3;1;8;2;0;4;1;3;1;2;5
prix;1;0;0;5;0;1;0;2;4;2;0;0
initiative;0;0;0;4;0;0;19;0;5;3;0;0
ville;0;0;1;7;0;2;1;0;1;6;3;0
social;0;4;2;8;0;1;5;0;2;1;1;8
noël;2;0;0;2;0;0;0;0;0;1;3;1
américain;2;0;23;0;0;2;0;0;1;1;1;0
vendredi;4;0;3;0;2;10;2;3;1;1;2;1
président;0;5;11;0;1;2;2;8;1;0;0;0
emji_drapeau_états;0;1;33;0;1;0;0;0;0;0;0;1
santé;0;5;2;0;0;1;2;4;4;0;0;12
rester;3;2;3;0;3;3;1;1;5;4;0;2
prévoir;1;1;4;9;0;2;2;4;1;1;5;0
nouvelle;1;1;0;3;2;0;5;0;1;6;1;2
gaza;0;0;2;0;1;28;3;1;0;0;0;0
devenir;2;1;0;1;0;1;1;3;1;3;3;3
étude;0;0;0;2;0;1;0;0;7;0;1;8
octobre;3;0;0;1;2;8;1;0;0;3;1;1
mort;0;2;6;1;9;6;2;4;1;3;1;0
europe;1;0;1;1;2;4;3;2;0;1;1;1
atteindre;0;0;0;1;4;0;2;0;7;1;14;0
aller;2;0;2;1;0;2;0;3;5;1;5;1
souligner;0;3;1;5;0;4;1;3;4;1;1;1
semaine;0;3;1;3;0;3;2;2;2;5;6;0
police;0;1;0;1;20;1;0;2;1;1;0;0
mois;1;2;0;0;2;5;1;0;6;1;6;0
homme;1;9;1;1;9;0;1;0;3;1;0;0
emji_drapeau_france;1;16;0;0;1;2;2;3;0;3;1;0
victime;2;8;2;1;7;3;1;0;5;0;0;0
travail;0;0;1;8;0;1;9;0;1;2;0;1
mercredi;3;4;3;0;1;3;3;5;0;0;3;2
enquête;0;5;1;1;5;0;1;0;3;0;0;4
samedi;3;3;3;0;10;3;1;1;0;0;3;0
offrir;0;0;1;6;0;0;0;1;0;6;6;2
ligne;0;1;1;3;1;0;0;1;0;0;0;6
heure;2;1;1;1;6;1;4;0;0;0;5;2
rts;1;1;2;0;2;4;1;2;4;5;1;0
publier;0;3;1;3;2;2;1;0;2;2;1;4
lancer;2;0;0;7;2;6;2;3;2;2;0;2
emji_ballon_de_football;26;0;0;2;0;0;0;0;0;2;0;2
place;2;0;0;10;4;0;3;2;0;0;2;0
passer;2;0;2;1;1;1;1;4;5;0;1;1
connaître;1;0;2;6;0;1;0;0;0;9;3;1
trump;0;0;26;0;0;2;0;1;0;0;0;0
réseau;1;8;1;2;2;1;0;0;0;0;1;8
prochain;2;0;2;7;0;0;3;4;1;2;1;0
partir;0;0;3;1;0;0;3;2;3;1;0;1
suite;2;3;2;1;7;4;3;4;0;1;0;0
marquer;2;1;4;3;1;0;0;4;1;2;3;1
voir;2;5;0;2;2;0;1;0;1;3;0;3
vaudois;1;3;0;4;2;0;1;8;1;4;1;0
population;0;0;1;3;1;4;7;0;4;0;0;0
partie;0;1;2;1;3;2;1;2;5;0;3;0
groupe;0;1;2;1;2;0;4;3;2;5;1;1
français;2;8;0;0;0;1;1;4;1;4;1;0
emji_drapeau_territoires_palestiniens;0;0;1;0;2;26;2;0;0;0;0;0
violence;0;7;0;0;2;2;0;0;5;5;0;0
rendre;2;1;3;1;0;2;1;2;3;3;1;4
international;1;1;2;0;1;6;2;2;3;3;0;0
demander;0;3;2;1;1;0;7;2;0;1;0;2
ancien;0;6;1;2;0;1;4;1;2;1;0;0
nuit;1;0;1;0;7;0;0;2;0;0;7;0
ministre;0;0;1;2;3;5;2;10;0;0;0;0
emji_balance_à_poids;0;15;3;0;0;2;4;3;0;0;0;0
désormais;0;2;3;0;2;1;1;0;1;0;1;0
donald;0;0;25;0;0;2;0;1;0;0;0;0
couper;16;0;0;0;0;0;0;5;2;0;0;0
animal;0;1;0;1;0;0;0;0;2;2;0;4
rapport;0;0;0;4;0;1;1;2;9;0;1;2
france;0;9;1;1;0;0;1;2;0;2;1;0
fois;2;0;2;0;0;0;1;1;4;0;0;1
européen;0;4;3;0;1;0;1;5;3;2;0;2
droit;1;3;5;0;1;1;6;0;0;1;0;0
créer;2;1;1;2;0;4;3;0;0;6;0;1
centre;0;2;0;4;4;2;3;0;1;0;1;2
équipe;9;0;1;4;0;2;0;0;1;3;0;1
sécurité;0;0;4;1;3;3;2;1;1;0;0;2
réduire;0;0;2;1;0;0;0;3;5;0;3;1
nombre;1;0;1;5;2;0;1;2;8;0;1;0
mesure;0;3;0;3;1;0;6;5;1;0;0;1
israélien;0;0;0;0;0;19;0;1;0;0;0;0
décision;0;0;4;1;1;2;4;7;0;0;0;1
chiffre;1;1;0;1;0;0;2;1;11;1;1;1
également;0;0;3;0;2;2;2;1;2;3;1;2
soir;4;2;2;0;3;1;1;6;0;1;2;1
remporter;11;0;0;0;0;0;0;0;0;1;0;0
présenter;0;0;4;4;0;0;2;0;1;3;0;0
poste;0;0;0;9;1;0;0;6;3;0;0;0
emji_gyrophare;0;3;0;0;13;3;0;1;2;0;1;1
début;1;1;1;1;1;2;1;1;0;2;6;0
causer;0;0;0;0;11;2;0;1;2;0;2;1
saison;12;0;0;1;0;0;0;0;2;1;2;0
revenir;3;0;1;3;1;0;1;1;5;0;1;2
retour;3;0;1;0;1;2;1;3;0;0;2;1
plan;0;0;6;5;0;4;0;2;0;0;1;1
famille;0;3;2;2;1;1;1;2;2;1;0;1
attendre;1;0;1;0;1;0;3;1;3;1;7;0
affaire;0;7;2;1;0;2;0;2;1;1;0;1
vie;1;0;0;0;3;1;0;1;0;2;0;2
sexuel;0;8;2;0;1;1;1;0;3;0;0;1
record;4;1;1;3;1;0;0;0;1;2;5;0
proposer;2;0;1;2;0;0;2;0;2;2;0;4
politique;0;0;4;0;1;0;5;5;1;0;1;0
palestinien;0;0;0;0;4;18;0;0;0;0;0;0
ouvrir;0;5;0;4;1;1;3;0;0;0;4;1
nombreux;1;1;1;0;0;1;2;0;2;1;3;1
membre;0;0;1;2;3;4;0;5;2;0;0;0
emji_globe_tourné_sur_l;0;0;1;1;1;3;3;1;0;1;0;1
baisser;0;0;1;3;0;0;1;2;7;0;1;1
artiste;0;1;0;1;0;1;0;0;0;11;0;0
accord;0;0;7;0;0;6;2;0;0;0;0;0
train;0;0;0;0;2;0;0;1;0;0;1;0
toucher;0;1;0;0;7;1;1;1;1;0;2;4
soutenir;0;2;0;5;1;1;7;2;0;2;1;0
région;0;0;2;0;4;4;2;1;0;1;2;0
risque;0;2;0;0;0;1;1;0;1;0;2;9
raison;2;2;0;2;4;1;0;0;2;1;3;1
mener;0;0;0;0;6;3;2;0;1;0;0;1
matin;1;0;0;0;7;2;0;1;0;0;1;0
manifestation;0;0;0;0;7;1;0;5;0;0;0;1
lieu;1;1;2;1;4;0;1;0;0;1;2;1
emji_urne_électorale;0;0;1;1;0;0;8;1;0;0;0;0
célèbre;0;0;0;0;1;0;0;0;0;6;1;1
concerner;0;1;0;2;0;2;2;1;3;0;1;2
berner;0;0;0;1;7;0;3;0;0;1;1;3
1er;3;0;0;1;0;0;0;2;2;1;3;0
utiliser;0;2;1;0;2;1;0;1;1;2;0;3
