de;60;48;43;62;56;64;51;48;55;42;49;41
la;56;35;39;52;46;50;45;45;49;36;44;31
le;48;35;31;50;35;46;47;38;43;37;32;34
à;47;39;33;51;43;47;40;36;44;30;37;32
les;20;23;32;40;33;38;43;38;44;30;36;38
avoir;45;41;40;32;50;56;46;41;39;31;32;23
des;16;26;31;42;38;35;36;33;42;27;30;38
l;29;37;27;37;33;38;49;37;39;33;27;38
être;36;37;27;42;44;41;44;32;45;25;33;32
et;30;27;29;50;33;41;41;27;40;40;33;33
en;31;34;21;38;26;30;29;31;45;25;26;28
d;18;36;29;37;39;35;33;31;36;25;30;24
un;23;24;20;38;35;34;35;26;26;29;26;26
une;22;24;22;36;26;32;35;24;38;27;28;31
pour;27;26;29;28;14;27;34;25;23;25;19;26
du;35;21;19;22;17;29;31;28;13;22;20;13
dans;10;19;20;21;26;30;19;22;13;20;19;11
par;7;16;16;25;10;19;27;17;26;19;12;15
sur;15;10;14;19;20;13;18;10;18;19;12;23
au;21;12;14;12;15;17;19;11;13;12;12;7
plus;6;6;9;19;13;8;12;6;16;8;17;14
ce;9;10;5;18;6;10;15;17;14;12;17;14
que;6;9;8;15;8;11;19;11;21;10;10;23
avec;10;2;13;16;8;8;7;10;12;15;17;14
qui;9;8;10;13;12;11;19;10;14;8;10;13
son;15;12;14;12;8;7;7;9;7;16;8;5
an;11;16;13;18;7;7;8;5;17;7;3;10
cette;2;4;8;18;8;9;14;14;13;18;10;10
s;14;9;7;9;11;10;16;8;9;5;17;10
aux;8;8;9;18;6;8;9;6;6;9;6;11
il;4;11;5;13;3;8;9;5;5;10;11;12
sa;14;7;10;10;5;6;3;7;4;8;7;5
se;4;4;5;7;12;8;6;4;8;6;9;8
après;10;11;8;7;14;12;10;8;5;2;6;4
ne;4;7;5;8;8;4;12;6;8;5;9;7
selon;0;2;7;8;4;13;6;4;16;1;13;7
personne;0;3;2;4;17;13;6;5;7;2;2;5
faire;7;6;7;2;10;9;7;3;5;5;8;1
comme;2;5;8;7;4;1;2;6;5;11;0;13
pouvoir;3;3;3;0;3;4;6;11;4;5;8;12
ses;5;4;3;14;1;4;2;4;4;7;0;6
deux;5;4;5;7;8;9;10;3;4;3;3;3
ces;1;9;3;9;3;4;7;4;7;5;3;5
leur;3;4;1;5;5;6;5;4;6;5;2;6
