"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"25";"***";"";""
"**";"classe";"1";"**";"";""
"****";"24";"722";"3.32";"****";""
"0";"219";"0";"-10.809";"emji_drapeau_suisse";"0.001010301"
"0";"196";"0";" -9.250";"suisse";"0.002354362"
"0";" 90";"0";" -3.535";"premier";"0.060077773"
"0";" 72";"0";" -2.750";"année";"0.097262339"
"0";" 58";"0";" -2.168";"genève";"0.140866546"
"0";" 58";"0";" -2.168";"annoncer";"0.140866546"
"0";" 54";"0";" -2.007";"dernier";"0.156592352"
"*****";"*";"*";"*";"*";"*"
"0";"645";"0";"-207.951";"de";"3.844200e-47"
"0";"550";"0";" -79.383";"la";"5.116564e-19"
"0";"496";"0";" -54.484";"le";"1.567459e-13"
"0";"484";"0";" -50.485";"à";"1.200858e-12"
"0";"463";"0";" -44.379";"être";"2.706202e-11"
"0";"457";"0";" -42.812";"avoir";"6.026797e-11"
"0";"449";"0";" -40.830";"et";"1.660854e-10"
"0";"429";"0";" -36.348";"les";"1.650331e-09"
"0";"427";"0";" -35.933";"des";"2.041736e-09"
"0";"421";"0";" -34.722";"l";"3.802487e-09"
"0";"372";"0";" -26.386";"en";"2.796091e-07"
"0";"363";"0";" -25.102";"d";"5.438154e-07"
"0";"350";"0";" -23.357";"une";"1.345490e-06"
"0";"348";"0";" -23.099";"un";"1.538389e-06"
"0";"311";"0";" -18.785";"pour";"1.463121e-05"
"0";"295";"0";" -17.151";"du";"3.452440e-05"
"0";"210";"0";" -10.182";"par";"1.418016e-03"
"0";"191";"0";"  -8.930";"sur";"2.805862e-03"
"0";"191";"0";"  -8.930";"au";"2.805862e-03"
"0";"158";"0";"  -6.955";"plus";"8.360485e-03"
"0";"155";"0";"  -6.786";"avec";"9.185319e-03"
"0";"146";"0";"  -6.293";"qui";"1.212497e-02"
"0";"140";"0";"  -5.972";"que";"1.453725e-02"
"0";"139";"0";"  -5.919";"cette";"1.497951e-02"
"0";"129";"0";"  -5.400";"an";"2.013184e-02"
"0";"128";"0";"  -5.350";"s";"2.072772e-02"
"0";"127";"0";"  -5.299";"son";"2.133979e-02"
"0";"106";"0";"  -4.272";"aux";"3.874823e-02"
"0";"103";"0";"  -4.131";"sa";"4.210816e-02"
"0";" 98";"0";"  -3.899";"il";"4.831969e-02"
"0";" 92";"0";"  -3.625";"après";"5.690836e-02"
"0";" 88";"0";"  -3.446";"selon";"6.341382e-02"
"0";" 86";"0";"  -3.357";"se";"6.692521e-02"
"0";" 76";"0";"  -2.921";"comme";"8.745461e-02"
"0";" 74";"0";"  -2.835";"ne";"9.223205e-02"
"0";" 70";"0";"  -2.665";"pouvoir";"1.025595e-01"
"0";" 68";"0";"  -2.581";"personne";"1.081386e-01"
"0";" 66";"0";"  -2.498";"ses";"1.140157e-01"
"0";" 65";"0";"  -2.456";"faire";"1.170713e-01"
"0";" 61";"0";"  -2.291";"deux";"1.301277e-01"
"0";" 58";"0";"  -2.168";"2026";"1.408665e-01"
"0";" 56";"0";"  -2.087";"ou";"1.485181e-01"
"0";" 55";"0";"  -2.047";"ces";"1.525008e-01"
"0";" 55";"0";"  -2.047";"depuis";"1.525008e-01"
"0";" 54";"0";"  -2.007";"devoir";"1.565924e-01"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"29";"722";"4.02";"****";""
"2";"219";"0.91";"-7.853";"emji_drapeau_suisse";"0.005074133"
"2";"196";"1.02";"-6.265";"suisse";"0.012317145"
"0";" 58";"0.00";"-2.639";"genève";"0.104260189"
"0";" 51";"0.00";"-2.296";"nouveau";"0.129673323"
"0";" 47";"0.00";"-2.104";"jour";"0.146937484"
"*****";"*";"*";"*";"*";"*"
"11";"429";"2.56";"-5.785";"les";"0.01616231"
" 0";" 88";"0.00";"-4.194";"selon";"0.04057491"
" 3";"191";"1.57";"-4.030";"sur";"0.04469654"
" 2";"155";"1.29";"-3.805";"avec";"0.05109417"
" 9";"350";"2.57";"-3.680";"une";"0.05506642"
" 9";"348";"2.59";"-3.565";"un";"0.05899465"
" 2";"140";"1.43";"-3.017";"que";"0.08237630"
" 0";" 65";"0.00";"-2.989";"faire";"0.08382336"
" 0";" 56";"0.00";"-2.540";"ou";"0.11096106"
" 0";" 54";"0.00";"-2.442";"devoir";"0.11809437"
" 0";" 49";"0.00";"-2.200";"mais";"0.13802875"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"27";"722";"3.74";"****";""
"2";"196";"1.02";"-5.526";"suisse";"0.01873507"
"0";" 72";"0.00";"-3.107";"année";"0.07795847"
"0";" 51";"0.00";"-2.132";"nouveau";"0.14426323"
"*****";"*";"*";"*";"*";"*"
" 8";"372";"2.15";"-5.383";"en";"0.02033358"
" 9";"363";"2.48";"-3.221";"d";"0.07269460"
"14";"484";"2.89";"-2.927";"à";"0.08713577"
" 0";" 66";"0.00";"-2.822";"ses";"0.09298077"
" 1";"106";"0.94";"-2.699";"aux";"0.10043990"
"*";"*";"*";"*";"*";"*"
"**";"classe";"4";"**";"";""
"****";"35";"722";"4.85";"****";""
"0";"48";"0";"-2.620";"unir";"0.1055531"
"0";"44";"0";"-2.387";"mettre";"0.1223400"
"0";"42";"0";"-2.272";"révéler";"0.1317385"
"0";"39";"0";"-2.100";"monde";"0.1472651"
"0";"38";"0";"-2.044";"face";"0.1528569"
"0";"38";"0";"-2.044";"près_de";"0.1528569"
"*****";"*";"*";"*";"*";"*"
" 8";"457";"1.75";"-25.892";"avoir";"3.610452e-07"
" 1";"103";"0.97";" -3.914";"sa";"4.787189e-02"
" 1";" 92";"1.09";" -3.233";"après";"7.218044e-02"
" 0";" 56";"0.00";" -3.093";"ou";"7.863578e-02"
" 0";" 55";"0.00";" -3.033";"ces";"8.158249e-02"
"18";"463";"3.89";" -2.579";"être";"1.083227e-01"
" 1";" 76";"1.32";" -2.297";"comme";"1.296185e-01"
" 0";" 41";"0.00";" -2.215";"contre";"1.367150e-01"
" 3";"129";"2.33";" -2.166";"an";"1.411040e-01"
" 0";" 39";"0.00";" -2.100";"lors";"1.472651e-01"
" 3";"127";"2.36";" -2.064";"son";"1.508276e-01"
"*";"*";"*";"*";"*";"*"
"**";"classe";"5";"**";"";""
"****";"31";"722";"4.29";"****";""
"0";"58";"0";"-2.829";"genève";"0.09255803"
"0";"48";"0";"-2.307";"unir";"0.12881240"
"0";"42";"0";"-2.001";"public";"0.15723650"
"*****";"*";"*";"*";"*";"*"
"1";"103";"0.97";"-3.228";"sa";"0.07239511"
"0";" 55";"0.00";"-2.671";"ces";"0.10219819"
"*";"*";"*";"*";"*";"*"
