"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"25";"***";"";""
"**";"classe";"1";"**";"";""
"****";"24";"722";"3.32";"****";""
"24";"24";"100.00";"722.000";"rencard";"4.917723e-159"
"22";"22";"100.00";"659.942";"emji_main_avec_index_pointant_à_droite";"1.537674e-145"
" 7";"25";" 28.00";" 49.068";"octobre";" 2.472436e-12"
" 9";"46";" 19.57";" 40.326";"novembre";" 2.149015e-10"
" 6";"39";" 15.38";" 18.660";"décembre";" 1.561942e-05"
" 2";"10";" 20.00";"  8.775";"spécial";" 3.053994e-03"
" 1";" 7";" 14.29";"  2.643";"emji_étincelles";" 1.040114e-01"
"*****";"*";"*";"*";"*";"*"
"24";" 25";"96.00";"692.127";"ton";"1.540832e-152"
"22";"188";"11.70";" 55.519";"ce";" 9.253901e-14"
"23";"260";" 8.85";" 38.555";"dans";" 5.323970e-10"
" 2";" 11";"18.18";"  7.673";"9";" 5.604931e-03"
" 2";" 14";"14.29";"  5.338";"14";" 2.086390e-02"
" 2";" 15";"13.33";"  4.775";"12";" 2.886754e-02"
" 1";"  7";"14.29";"  2.643";"29";" 1.040114e-01"
" 2";" 21";" 9.52";"  2.587";"4";" 1.077473e-01"
"*";"*";"*";"*";"*";"*"
"3";" 3";"100.00";"87.614";"*postLikes_Comment";"7.955761e-21"
"1";" 1";"100.00";"29.124";"*postComments_75";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0871";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0796";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0782";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*postComments_191";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0755";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0700";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0690";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0678";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0523";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0511";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0496";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0454";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0442";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0429";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0362";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0353";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0340";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0273";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0258";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0202";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0104";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0093";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0082";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0024";"6.790227e-08"
"1";" 1";"100.00";"29.124";"*i_0012";"6.790227e-08"
"3";"14";" 21.43";"14.562";"*postLikes_2700";"1.356453e-04"
"1";" 2";" 50.00";"13.597";"*postReposts_62";"2.266050e-04"
"1";" 2";" 50.00";"13.597";"*postLikes_1000";"2.266050e-04"
"1";" 2";" 50.00";"13.597";"*postComments_74";"2.266050e-04"
"1";" 2";" 50.00";"13.597";"*postComments_149";"2.266050e-04"
"1";" 2";" 50.00";"13.597";"*postComments_172";"2.266050e-04"
"3";"15";" 20.00";"13.255";"*postReposts_0";"2.717847e-04"
"1";" 3";" 33.33";" 8.442";"*postComments_59";"3.666459e-03"
"1";" 3";" 33.33";" 8.442";"*postComments_69";"3.666459e-03"
"1";" 3";" 33.33";" 8.442";"*postReposts_150";"3.666459e-03"
"2";"12";" 16.67";" 6.760";"*postLikes_1200";"9.322383e-03"
"1";" 4";" 25.00";" 5.881";"*postComments_127";"1.530706e-02"
"1";" 4";" 25.00";" 5.881";"*postComments_96";"1.530706e-02"
"2";"14";" 14.29";" 5.338";"*postLikes_2500";"2.086390e-02"
"1";" 5";" 20.00";" 4.357";"*postReposts_47";"3.686002e-02"
"1";" 5";" 20.00";" 4.357";"*postDate_30-10-2025";"3.686002e-02"
"1";" 7";" 14.29";" 2.643";"*postLikes_6400";"1.040114e-01"
"1";" 7";" 14.29";" 2.643";"*postComments_20";"1.040114e-01"
"1";" 7";" 14.29";" 2.643";"*postComments_50";"1.040114e-01"
"1";" 7";" 14.29";" 2.643";"*postLikes_2000";"1.040114e-01"
"1";" 7";" 14.29";" 2.643";"*postDate_4-12-2025";"1.040114e-01"
"1";" 7";" 14.29";" 2.643";"*postDate_19-11-2025";"1.040114e-01"
"1";" 7";" 14.29";" 2.643";"*postDate_14-11-2025";"1.040114e-01"
"1";" 7";" 14.29";" 2.643";"*postDate_15-10-2025";"1.040114e-01"
"2";"22";"  9.09";" 2.348";"*postComments_16";"1.254253e-01"
"2";"23";"  8.70";" 2.133";"*postReposts_5";"1.441564e-01"
"1";" 8";" 12.50";" 2.120";"*postComments_35";"1.454337e-01"
"1";" 8";" 12.50";" 2.120";"*postLikes_7300";"1.454337e-01"
"1";" 8";" 12.50";" 2.120";"*postLikes_1900";"1.454337e-01"
"1";" 8";" 12.50";" 2.120";"*postDate_24-10-2025";"1.454337e-01"
"1";" 8";" 12.50";" 2.120";"*postDate_16-10-2025";"1.454337e-01"
"1";" 8";" 12.50";" 2.120";"*postDate_14-10-2025";"1.454337e-01"
"1";" 8";" 12.50";" 2.120";"*postDate_9-10-2025";"1.454337e-01"
"**";"classe";"2";"**";"";""
"****";"29";"722";"4.02";"****";""
"9";" 9";"100.00";"217.784";"prestigieux";"2.753097e-49"
"8";" 9";" 88.89";"170.281";"awards";"6.425385e-39"
"8";"11";" 72.73";"136.789";"emji_trophée";"1.340952e-31"
"6";" 7";" 85.71";"122.375";"emji_appareil_photo_avec_flash";"1.911112e-28"
"5";" 5";"100.00";"120.316";"honorer";"5.394604e-28"
"5";" 5";"100.00";"120.316";"décerner";"5.394604e-28"
"7";"10";" 70.00";"114.517";"emji_clap";"1.004083e-26"
"7";"11";" 63.64";"102.987";"acteur";"3.373047e-24"
"4";" 4";"100.00";" 96.119";"photographie";"1.081969e-22"
"4";" 5";" 80.00";" 75.399";"cinéma";"3.844889e-18"
"4";" 5";" 80.00";" 75.399";"lauréat";"3.844889e-18"
"4";" 5";" 80.00";" 75.399";"emji_colombe";"3.844889e-18"
"3";" 3";"100.00";" 71.989";"nobel";"2.164247e-17"
