de;0;25;24;33;31;32;18;32;26;19;25;24;28;15;29;30;32;24;31;22;24;33;24;27;37
la;0;28;24;24;26;25;19;27;21;15;24;20;25;15;26;27;27;19;24;19;17;32;20;23;23
le;0;21;23;23;24;23;14;27;19;12;18;14;19;14;22;23;25;21;23;20;15;30;18;18;30
à;0;20;14;26;24;18;14;26;22;15;19;18;18;13;21;23;25;19;24;19;19;26;19;20;22
les;0;11;17;28;25;21;2;20;17;11;17;19;20;14;22;14;17;21;31;19;9;22;18;16;18
avoir;0;22;20;8;16;23;16;13;16;18;15;17;25;14;26;19;29;20;16;19;20;21;15;25;24
des;0;14;21;21;20;22;4;22;16;17;14;16;23;14;17;8;18;19;30;20;11;24;21;12;23
l;0;23;19;23;16;24;6;15;16;14;13;14;13;11;22;13;17;14;27;21;18;25;19;15;23
être;0;18;19;18;24;25;14;19;20;15;14;19;18;9;22;16;25;21;27;18;15;22;19;21;25
et;0;19;14;27;21;25;10;26;19;11;18;15;17;8;18;15;19;16;26;21;13;31;20;15;25
en;0;15;8;18;18;20;13;17;19;13;11;15;9;11;16;10;15;21;21;16;19;20;17;8;22
d;0;12;9;19;19;16;6;18;16;14;15;15;20;9;21;8;16;14;20;11;16;21;15;18;15
un;0;9;12;15;18;16;6;19;15;12;15;11;12;8;15;11;17;13;21;15;13;21;14;18;22
une;0;9;10;17;13;21;6;14;18;7;14;14;13;7;15;12;15;18;23;15;11;25;17;16;20
pour;0;13;13;14;14;14;10;12;13;4;9;10;19;6;18;15;12;10;20;11;14;23;12;6;19
du;0;13;12;16;17;6;8;8;12;8;10;10;13;11;17;18;15;8;13;16;14;16;9;7;18
dans;23;7;13;12;10;13;0;9;11;11;9;10;13;7;13;6;19;6;6;7;11;15;7;11;11
par;0;7;7;11;7;11;1;11;13;4;9;3;11;4;13;4;10;9;13;11;8;15;9;3;16
sur;0;3;10;7;6;12;6;11;5;9;3;9;10;5;3;5;5;9;20;9;5;11;7;10;11
au;0;9;10;8;11;9;8;4;7;8;7;5;12;4;6;11;8;6;6;8;4;10;7;6;17
plus;0;10;5;9;7;10;2;10;8;7;11;6;6;0;4;2;4;9;12;5;4;6;8;5;8
ce;22;5;7;9;6;12;4;10;7;5;13;4;4;6;11;3;4;9;12;6;6;12;1;0;10
que;0;2;6;4;4;9;2;7;7;2;7;3;3;3;7;3;7;7;19;9;3;8;9;6;3
avec;0;2;11;10;6;5;3;7;7;4;8;9;7;2;7;5;2;6;10;4;2;13;4;4;17
qui;0;11;3;5;9;6;3;5;8;4;6;4;6;4;5;4;7;7;10;9;5;6;4;6;9
son;0;8;6;3;5;0;3;6;5;4;4;4;10;4;5;9;3;3;4;3;9;13;2;3;11
an;0;8;8;3;3;2;4;12;6;2;1;2;8;1;3;4;4;11;9;6;12;7;4;4;5
cette;0;6;4;8;5;11;1;9;8;3;6;4;5;3;11;0;4;4;7;7;2;15;4;5;7
s;0;3;3;7;9;3;10;4;5;4;9;8;5;3;5;3;7;2;9;8;2;5;5;6;3
aux;0;5;1;6;5;6;2;6;12;2;4;2;5;3;2;6;1;3;10;1;3;8;4;3;6
il;0;2;8;3;8;3;2;6;4;1;5;6;4;2;3;2;5;2;7;3;8;8;2;1;3
sa;0;10;5;1;1;3;11;4;5;0;3;4;8;2;5;1;4;3;2;2;5;8;1;4;11
se;0;3;3;4;7;2;1;3;3;3;5;4;2;2;2;1;4;1;6;2;2;6;5;5;10
après;0;5;3;1;5;2;2;3;4;10;5;1;6;3;5;5;7;1;4;5;5;1;1;3;5
ne;0;1;4;3;5;4;2;2;5;4;7;2;1;3;3;0;1;2;7;4;1;4;3;4;2
selon;0;0;8;2;3;7;0;5;1;2;9;4;4;1;3;0;7;11;7;2;1;0;6;2;3
personne;0;1;2;3;5;3;0;3;1;8;1;1;2;0;5;0;8;2;4;2;1;2;8;3;3
faire;0;0;5;1;3;3;3;1;1;2;6;2;5;0;3;2;2;2;1;1;4;4;2;6;6
comme;0;5;1;1;4;5;1;5;1;3;0;0;4;3;3;0;0;1;11;2;2;10;8;1;5
pouvoir;0;2;4;3;5;4;2;0;0;2;4;4;2;6;4;1;2;1;9;4;2;4;2;1;2
ses;0;4;0;4;3;3;1;5;8;0;0;0;2;1;3;4;4;1;2;2;3;6;5;1;4
deux;0;1;3;5;1;4;4;3;2;4;2;1;3;1;2;0;3;3;2;4;0;2;3;4;4
ces;0;1;3;0;0;6;0;5;3;2;2;1;1;1;3;1;2;2;4;4;0;5;6;1;2
leur;0;2;1;1;2;6;0;1;3;2;0;2;1;2;2;3;2;3;5;4;1;3;3;3;1
entre;0;2;1;9;3;5;1;3;2;0;1;3;3;1;1;1;2;4;1;1;0;4;1;2;2
ou;0;0;1;0;3;3;0;1;2;0;3;0;2;5;0;0;2;4;12;1;1;5;7;3;1
pas;0;1;1;3;4;2;2;1;2;1;4;0;0;2;3;1;0;1;6;2;1;4;3;2;2
elle;0;4;1;1;3;3;5;2;2;0;1;1;3;0;1;0;2;2;4;0;1;4;4;1;4
depuis;0;2;5;5;1;1;3;0;4;0;2;3;2;0;2;2;5;3;2;1;4;5;0;2;1
million;0;0;0;0;2;3;0;5;3;2;1;0;0;2;5;0;1;2;2;2;1;3;2;0;1
mais;0;0;1;2;6;1;4;0;0;2;4;1;2;2;0;2;2;4;6;1;2;4;1;0;2
devoir;0;0;1;4;3;2;1;2;0;1;4;4;2;5;5;1;4;2;1;7;1;2;2;0;0
contre;0;1;3;0;5;2;2;2;0;0;0;0;2;0;4;5;1;3;3;3;2;0;2;1;0
2026;0;2;2;5;4;0;1;3;2;0;0;1;0;7;7;8;1;0;1;4;1;6;0;0;3
qu;0;1;5;2;4;4;2;0;1;1;4;3;0;2;2;0;7;0;2;3;1;1;2;1;1
2025;0;4;0;2;2;1;0;2;3;1;2;0;0;0;1;2;3;6;1;0;1;1;2;1;1
lors;0;6;3;0;2;1;4;1;0;0;0;1;2;1;3;2;1;1;2;1;1;0;0;4;3
000;0;0;0;0;4;2;0;2;1;3;1;3;1;0;1;1;1;4;1;2;0;2;1;0;3
moins;0;0;0;0;3;3;2;2;1;3;1;1;0;2;1;0;3;0;4;1;0;1;2;1;1
bien;0;0;1;1;2;1;0;3;2;2;2;3;0;1;2;0;0;3;3;2;0;3;1;2;1
dont;0;2;1;1;0;5;1;1;2;1;0;2;3;1;2;0;2;2;3;2;2;1;3;2;2
sans;0;0;2;3;1;0;0;3;0;1;0;3;0;2;1;0;5;2;3;0;1;4;1;0;3
trois;0;1;1;2;1;3;0;1;3;4;1;1;1;0;3;2;1;0;1;0;4;3;0;0;0
leurs;0;0;1;0;1;5;0;3;1;0;1;0;1;1;0;2;0;0;8;3;0;3;1;1;1
dès;0;0;0;11;5;0;0;2;0;0;4;2;0;1;1;0;0;1;2;2;1;2;1;0;1
