"";"";"";"";"htag_solitude";""
"1";"htag_solitude";"1.54439365173625";"-0.420396534340613";"0.923863982405684";"54"
"2";"htag_sdf";"1.54439365173625";"-0.420396534340613";"0.923863982405684";"55"
"3";"htag_dog";"1.50438984221181";"-0.454003255902427";"0.916605043781611";"57"
"4";"htag_montreuxjazzfestival";"1.30580580995766";"-1.54754032640829";"0.915244634492092";"59"
"5";"htag_car";"1.77160398939756";"-1.16985451569549";"0.913915026922337";"62"
"6";"htag_80s";"1.47158080990739";"-0.695899632521021";"0.909302469387874";"65"
"7";"htag_perenoel";"1.65483667636849";"-1.12220121677736";"0.906812663707057";"68"
"8";"htag_vieillesse";"1.54064885758283";"-0.52205406951346";"0.9031729271551";"72"
"9";"htag_voiture";"1.51330090985281";"-0.638442556834347";"0.899594794042667";"75"
"10";"htag_cochon";"1.48474669129161";"-0.702182482357533";"0.88827772883986";"89"
"11";"htag_mylausanne";"1.66814910021515";"-0.903701879461597";"0.880813445417369";"96"
"12";"htag_heuredhiver";"1.66017046132407";"-1.66081299690588";"0.880782643697607";"99"
"13";"htag_retrogaming";"1.52356946025458";"-0.634913845206912";"0.879239990899492";"104"
"14";"htag_centenaire";"1.5369040634294";"-0.623711604686307";"0.879239990899492";"105"
"15";"htag_mode";"1.90517512348637";"-0.152124621795099";"0.877581831652267";"107"
"16";"htag_velo";"1.34045822509785";"-0.586009422642701";"0.876306127092096";"110"
"17";"htag_cyclisme";"1.34045822509785";"-0.586009422642701";"0.876306127092096";"111"
"18";"htag_myvaud";"1.41998750569072";"-0.210294825286808";"0.876306127092096";"112"
"19";"htag_vintage";"1.40579800084861";"-0.814942964484192";"0.869724826302802";"122"
"20";"1973";"1.56547198657401";"-0.689556218818257";"0.868341315723461";"123"
"21";"htag_seventies";"1.63645710588593";"-0.506516433260346";"0.864139447785835";"137"
"22";"htag_radio";"1.47915506646398";"-0.928920123949568";"0.863705656899177";"138"
"23";"htag_chorale";"1.35366920703298";"-1.48341334365543";"0.863705656899177";"139"
"24";"htag_eighties";"1.61583460181409";"-0.666195399676097";"0.863110156983765";"141"
"25";"htag_automobile";"1.61127550108611";"-0.740343759819654";"0.862630163517463";"145"
"26";"chic";"1.67271909242815";"-0.876792667465904";"0.861018206849883";"149"
"27";"htag_swisswatch";"1.62122530654601";"-1.35911056165501";"0.857268097468775";"158"
"28";"htag_swissattitude";"1.62841766331205";"-1.4269520326442";"0.857268097468775";"159"
"29";"htag_journeeinternationaledesdroitsdesfemmes";"-0.17074608619248";"-0.260905493282464";"0.855756246390423";"165"
"30";"htag_vache";"1.63981373306974";"-0.0409919126883659";"0.853913276824623";"173"
"31";"htag_acteur";"1.31410645175103";"-0.636397897676137";"0.853913276824623";"178"
"32";"jusqu_à";"-0.3901159543892";"-0.100366579382581";"0.849973223504979";"185"
"33";"peut_être";"1.54064885758283";"-0.52205406951346";"0.849760178276621";"186"
"34";"htag_swissfondue";"1.46486437114339";"-0.796111131696506";"0.849760178276621";"187"
"35";"1961";"1.22941450957821";"-0.438782824515894";"0.849257083520497";"192"
"36";"htag_football";"1.65654805924055";"-0.0362523595820295";"0.848343299167537";"196"
"37";"htag_lacleman";"1.62022998246811";"-0.748201218014904";"0.847873572941156";"198"
"38";"htag_passion";"1.67302626009236";"0.0113175605047239";"0.84723700406606";"199"
"39";"savoir";"1.28498055569589";"-0.20846299565697";"0.847106096757069";"201"
"40";"htag_instafood";"1.65936051621631";"-0.587088707996788";"0.846857116188987";"204"
"41";"htag_premieraout";"1.61537749047696";"-0.875151947986508";"0.84653883175144";"205"
"42";"htag_fetenationale";"1.61537749047696";"-0.875151947986508";"0.84653883175144";"206"
"43";"htag_selfdefense";"1.51772444538662";"-0.442801015381822";"0.84653883175144";"207"
"44";"htag_dessinanime";"1.67170432145314";"0.285321037038721";"0.84653883175144";"209"
"45";"htag_anime";"1.67170432145314";"0.285321037038721";"0.84653883175144";"210"
"46";"htag_lausanne";"1.55338264551056";"-0.0961369392624397";"0.846125575344623";"213"
"47";"htag_lavaux";"1.32313201752776";"-1.0667748745255";"0.845933064596107";"214"
"48";"htag_running";"1.46107186977096";"-1.42164505617069";"0.845933064596107";"215"
"49";"htag_pulldenoel";"1.9242114077524";"0.453419375360307";"0.845933064596107";"216"
"50";"htag_cars";"1.68253260700231";"-0.931237429097805";"0.845342698300655";"218"
"51";"htag_voitures";"1.68253260700231";"-0.931237429097805";"0.845342698300655";"219"
"52";"htag_swiss";"1.69586721017712";"-0.9200351885772";"0.845342698300655";"220"
"53";"htag_skinautique";"1.61633792958426";"-1.29574978593309";"0.845342698300655";"221"
"54";"htag_marionnette";"1.61633792958426";"-1.29574978593309";"0.845342698300655";"222"
"55";"gare";"0.1542990782428";"-0.0457668556948307";"0.844577788926548";"227"
"56";"tout";"1.01148620663427";"-0.188887063105821";"0.844472549717359";"229"
"57";"htag_myswitzerland";"1.35748083394824";"-0.68715489324491";"0.843199411967168";"236"
"58";"htag_changementdheure";"1.60936598450483";"-1.28663545408719";"0.843199411967168";"237"
"59";"me";"1.15099215701182";"-0.596158018484128";"0.842775888320431";"238"
"60";"htag_montagne";"1.60768553333701";"-0.902613353788088";"0.842775888320431";"239"
"61";"htag_chat";"1.03429511141088";"-0.306275359051268";"0.842775888320431";"240"
"62";"1979";"1.48890565344549";"-1.10065825221154";"0.842275360374288";"242"
"63";"1972";"0.604422811496705";"0.12834132204362";"0.841248636382198";"245"
"64";"quelques";"0.848118578962134";"-0.463912425082935";"0.839446735776081";"249"
"65";"htag_game";"1.42750223612122";"-1.00019511010686";"0.83909764961877";"253"
"66";"htag_switzerland";"1.70877719937591";"-0.539131828955315";"0.838943641019957";"254"
"67";"htag_musique";"1.88048383146225";"-0.391372994441793";"0.838530384613141";"256"
"68";"htag_sixties";"1.39062307752165";"-1.27000415682491";"0.838530384613141";"257"
"69";"htag_fashion";"1.67586756717978";"-0.133696012677101";"0.837739807139232";"258"
"70";"htag_propreenordre";"1.72244015821544";"0.783605289362772";"0.837211044283306";"261"
"71";"htag_90s";"1.38154315440406";"-0.353575224836242";"0.837095537834196";"263"
"72";"htag_2000s";"1.41604275091421";"0.177380936157677";"0.836207421581038";"265"
"73";"htag_archives";"1.28732550646529";"-0.296492892417642";"0.835871169473629";"266"
"74";"htag_culte";"1.19432534375339";"-0.306669842389391";"0.835601654425705";"269"
"75";"htag_swisscheese";"1.38004212906532";"-0.63508586570146";"0.835265402318296";"272"
"76";"htag_fromage";"1.43826690149531";"-0.58787513936236";"0.835265402318296";"273"
"77";"dame";"1.82621124242147";"0.326111485917452";"0.835265402318296";"274"
"78";"htag_jeunesse";"1.69104739133462";"0.733021530886008";"0.834651934733023";"276"
"79";"environ";"-0.610104554190142";"-0.340302264340904";"0.834215577036385";"279"
"80";"ailleurs";"0.49442934330776";"-0.653681411427788";"0.834030766717809";"280"
"81";"2002";"1.52439174697403";"-0.43719989512152";"0.834030766717809";"281"
"82";"vite";"0.929439499653731";"-0.444508089824784";"0.834030766717809";"282"
"83";"htag_telephone";"1.48774039458807";"-0.350010073835889";"0.834030766717809";"283"
"84";"htag_mountain";"1.6579988205669";"-0.795125525018053";"0.834030766717809";"285"
"85";"combien";"0.239602803519682";"-0.166992847030493";"0.833861357259114";"286"
"86";"htag_tradition";"1.47786299085376";"-1.47191270745814";"0.833851090019193";"288"
"87";"htag_recette";"1.67260469297601";"-0.682144859673276";"0.833851090019193";"289"
"88";"aujourd_hui";"1.0975981678794";"0.111913013976595";"0.833845956399232";"290"
"89";"rien";"1.35823818051198";"-0.460840528067997";"0.833463501712179";"292"
"90";"ses";"0.579970379574952";"-0.196604749377855";"0.833034844445482";"294"
"91";"1983";"1.15721296429732";"-0.0952501735299018";"0.832565118219101";"297"
"92";"comment";"1.06296896565729";"-0.56983411582886";"0.831674435155963";"298"
"93";"1996";"0.871069385637486";"-0.36610339525365";"0.831620532146378";"300"
"94";"htag_suisseromande";"1.04005687462873";"0.184924634783015";"0.831620532146378";"301"
"95";"htag_food";"1.59763153079179";"-0.761463094575034";"0.831617965336398";"302"
"96";"htag_paysan";"0.474427438545537";"-0.670484772208696";"0.831617965336398";"303"
"97";"htag_invention";"1.73367718522048";"-0.201874994113557";"0.831564062326813";"304"
"98";"1975";"1.34267224446434";"-0.484599232326884";"0.831166206779879";"305"
"99";"htag_peur";"1.59738722231217";"-0.625241386397766";"0.831166206779879";"308"
"100";"15";"-0.519981210273424";"-0.145895621235906";"0.830973696031362";"311"
"101";"htag_rtssportxarchives";"1.62696805728074";"-0.677378813124955";"0.830858189582252";"312"
"102";"htag_techno";"1.4713702220523";"-1.4420874377704";"0.83072471546328";"313"
"103";"htag_froid";"1.61320286631498";"0.11400707335755";"0.83072471546328";"314"
"104";"htag_fitness";"1.19904467603246";"-1.11332843534243";"0.83072471546328";"315"
"105";"leur";"0.0701706210818794";"0.0893431968504955";"0.830501402995001";"316"
"106";"chaque";"-0.0216355773332343";"-0.421203666424923";"0.830275523716741";"318"
"107";"htag_rtsxarchives";"1.60882516606837";"-0.218636560226146";"0.829405375133445";"320"
"108";"mieux";"1.07807922172282";"-0.821182819483798";"0.829405375133445";"321"
"109";"à";"0.105890058774759";"-0.0177129456887511";"0.828496724400446";"325"
"110";"elles";"-0.220455865957681";"0.0454270217258934";"0.828265711502226";"326"
"111";"monsieur";"1.5487552430213";"-0.533864363351639";"0.828237476592443";"327"
"112";"peu";"0.545954597013798";"-0.38291764391139";"0.828134804193234";"328"
"113";"aux";"0.138378307084207";"-0.251650609958737";"0.828124536953313";"329"
"114";"tu";"1.64376248400517";"0.301284540377149";"0.827819086565667";"330"
"115";"1968";"1.50771476762231";"0.550944691447878";"0.827819086565667";"331"
"116";"parfois";"0.851496946075673";"0.0135033703433099";"0.827819086565667";"332"
"117";"cette";"-0.0793712310891727";"-0.128625239918199";"0.827662511156873";"335"
"118";"htag_fribourg";"1.55592416468572";"-0.916583715374715";"0.827200485360433";"338"
"119";"htag_mondaymood";"0.655874586658281";"-0.135569424618194";"0.826543382005495";"343"
"120";"falloir";"1.23823060466883";"-0.353627444743968";"0.826527981145614";"344"
"121";"quelque";"0.597057751042518";"-0.318781777260601";"0.825714302381883";"347"
"122";"htag_danse";"1.58184019038192";"-0.593896196492596";"0.825426819664098";"349"
"123";"chacun";"0.386570467692126";"-0.370241080930943";"0.825295912355107";"350"
"124";"htag_70s";"1.30655442262754";"-0.501340035301121";"0.825254843395423";"351"
"125";"1989";"1.79487614528228";"0.54940038541855";"0.825049498597005";"352"
"126";"htag_fribourgregion";"0.990858627908316";"-0.920739881218137";"0.82465164305007";"355"
"127";"sa";"0.369446188173112";"-0.0479826728535928";"0.824210151733472";"356"
"128";"12";"-0.252867575496101";"0.40186666664261";"0.824153681913907";"357"
"129";"du";"0.0557616275000359";"-0.14615249056966";"0.823825130236438";"358"
"130";"16";"-0.478754564794735";"-0.272112365483751";"0.82304738681243";"360"
"131";"htag_chanteuse";"1.09140678014354";"-1.23491968558844";"0.822729102374883";"362"
"132";"htag_commeunlundi";"1.17002055479868";"0.241810111929614";"0.82269830065512";"364"
"133";"1980";"0.960362335961349";"-0.408110345745765";"0.82269830065512";"365"
"134";"pour";"0.181442063652625";"-0.25151464976643";"0.822454453706999";"367"
"135";"2001";"1.66269823298508";"-0.194969104620763";"0.822369748977651";"368"
"136";"vive";"0.91085472406606";"-0.832471316503145";"0.82223627485868";"369"
"137";"htag_babibouchettes";"1.52555603987574";"-0.0747695672147393";"0.822018096010361";"372"
"138";"voici";"1.11933873897261";"-0.511397798829401";"0.821840986121725";"373"
"139";"autre";"0.138161977290621";"0.160490668674543";"0.821281421546036";"376"
"140";"surtout";"0.941482459867212";"-0.508888154396211";"0.82108891079752";"377"
"141";"celui";"0.535191040488262";"0.110088110051808";"0.820614050951178";"379"
"142";"1969";"1.80445752791545";"0.832414743139973";"0.820614050951178";"380"
"143";"croire";"1.07582250664585";"-0.988360999620187";"0.820570415181514";"382"
"144";"mon";"1.63371167428373";"0.508788318978351";"0.820485710452167";"383"
"145";"nos";"1.01314329429288";"0.292268552367823";"0.820462609162345";"385"
"146";"2022";"0.146529151142474";"-0.356680432242138";"0.820395872102859";"386"
"147";"puis";"0.820580878669629";"-0.302176808134679";"0.820280365653749";"387"
"148";"on";"1.1038637670995";"-0.256190321248999";"0.820015984225786";"388"
"149";"devant";"0.766678083409658";"-0.0716842258391325";"0.820008283795845";"389"
"150";"depuis";"-0.0571153502215431";"0.0886181975798189";"0.819910745016597";"391"
"151";"avec";"0.383044694334747";"-0.108208327435448";"0.81971823426808";"392"
"152";"htag_sport";"1.87135890687443";"0.379914003605817";"0.819684865738337";"393"
"153";"40";"0.469599487148258";"0.113784186935161";"0.819682298928357";"397"
"154";"pourquoi";"1.05830182017406";"-0.744463523552945";"0.819533423949504";"399"
"155";"dont";"-0.833346842021925";"0.315658650230352";"0.819330645961066";"400"
"156";"htag_tabac";"0.949278987428134";"-0.920530925069203";"0.819328079151086";"401"
"157";"htag_cigarette";"0.949278987428134";"-0.920530925069203";"0.819328079151086";"402"
"158";"htag_stoptabac";"0.949278987428134";"-0.920530925069203";"0.819328079151086";"403"
"159";"se";"0.47535009086141";"-0.071669767943586";"0.819086799012945";"406"
"160";"la";"0.116480306185731";"-0.0920782368708491";"0.819017495143479";"407"
"161";"6";"-0.120545912230671";"-0.352224409153782";"0.818778781815318";"411"
"162";"certaine";"1.24931234133348";"-0.645981042997105";"0.818447663327869";"412"
"163";"quelle";"1.36143653143466";"-0.51445853307097";"0.818439962897929";"413"
"164";"htag_femme";"1.19674992505453";"0.463155200440257";"0.818409161178166";"414"
"165";"htag_humour";"1.46890102593057";"-0.196910307320824";"0.818401460748225";"415"
"166";"six";"-0.550088989869878";"-0.0284257585935408";"0.818396327128265";"416"
"167";"si";"1.12052823124236";"-0.115217599593035";"0.818380926268383";"417"
"168";"17";"0.183174786162508";"-0.389116532957329";"0.817959969431627";"421"
"169";"9";"-0.138237953038126";"-0.212138706305365";"0.817595482414435";"422"
"170";"aussi";"0.662159888915866";"0.217030865020616";"0.817505644065127";"423"
"171";"elle";"0.402083507407172";"-0.0190180512685493";"0.817364469516215";"424"
"172";"htag_patois";"1.23335244736068";"-1.1779615634835";"0.817302866076689";"427"
