"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Coord. facteur 19";"Coord. facteur 20";"Coord. facteur 21";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"Corr. facteur 19";"Corr. facteur 20";"Corr. facteur 21";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"COR -facteur 19";"COR -facteur 20";"COR -facteur 21";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"CTR -facteur 19";"CTR -facteur 20";"CTR -facteur 21";"mass";"chi.distance";"inertie"
"classe 1";-0,264744424913942;-1,87599468735734;-4,98944594952377;0,518187961625568;1,80584366710767;-0,128873207362808;0,179793434374653;-1,11993470093375;-0,345283202549171;-0,0263924898963667;0,445985111914603;0,140916001638386;0,683410500383206;-0,360700369067262;0,464495067578253;0,107478403069088;0,0319361441073269;0,334673908360918;-0,322735807609212;-0,0731053311515621;0,109635750767679;-0,0449336268074364;-0,318402342945839;-0,8468314388288;0,0879492155174116;0,30649599301955;-0,0218729463594942;0,0305153586718363;-0,190080406478108;-0,0586030341196579;-0,00447945331391916;0,0756946197713425;0,0239169041269653;0,115991535574297;-0,0612197056774336;0,0788362135566809;0,0182417229557732;0,00542034749722719;0,0568023765008989;-0,0547761877940314;-0,0124077689970852;0,0186078778102668;0,0029371365603019;0,109952028915832;0,742117020327988;0,00718548586408612;0,0838374908606954;0,000404662144469013;0,000759345471605591;0,0278045131138916;0,00252671102253311;1,36629047940641e-05;0,00380545443666551;0,000371156313019768;0,00852830656259065;0,0022897359645481;0,00373524103596712;0,000196813752287707;1,658998454193e-05;0,00177526133380091;0,0015091259361721;7,55589823096723e-05;0,000158698511892641;0,00196249826706774;0,0985414261989684;0,697044138969371;0,00751848389877203;0,0913094940244016;0,000465029934444968;0,00090511401950599;0,0351189108024481;0,00333815530154457;1,9503671035574e-05;0,00556924543451411;0,000556001878900412;0,0130773253861919;0,00364291307603648;0,00604112536817987;0,000323443215021586;2,85575268536618e-05;0,00313616819525509;0,00291641915178034;0,000149642078786359;0,000336558082826811;0,0279998455180937;3,21754538311408;0,289871152898045
"classe 2";1,21018699070918;-0,976739237303533;0,693559597045893;-2,09968907908624;-0,328334443541144;4,02647763272671;3,83255723518738;-0,0899839662658714;-1,81130525389664;0,446340358719124;1,47111750362981;0,359500590906983;1,11129232434331;-0,347462271039379;0,566746583304805;-1,09404968142542;0,00386724772549999;-0,536728690335005;-0,277789780426923;-0,616970819931078;0,478149898448614;0,174771834075392;-0,141057959825616;0,100161945010884;-0,303231247862719;-0,0474171457207465;0,58149268347597;0,553487239852157;-0,0129952337468515;-0,261583659157003;0,0644592312709431;0,212454691897758;0,0519180739062327;0,160489741841936;-0,0501795332851553;0,0818479628194465;-0,15799960738321;0,00055849714382853;-0,0775128623352342;-0,0401176262720881;-0,0891012071673024;0,0690530763893402;0,0534383131280355;0,0259522248954868;0,0124856916884177;0,102723253745015;0,00241317127667253;0,343949889140361;0,300432102558549;0,000156292249974526;0,0605431835932012;0,00340245130354219;0,0360527019001102;0,00210335574902962;0,0196351139466337;0,00185005580160843;0,00484185219676426;0,0177567878985794;2,11817723401558e-07;0,00397562572644553;0,000973511292393091;0,0046859164273654;0,00262829366410584;0,0299211485831245;0,0194908405915539;0,00982745065663347;0,0900706463929713;0,00220245066641119;0,331225590124855;0,300089361385787;0,000165425922211869;0,0670280514562932;0,00407010503493539;0,044214836802151;0,00264041698537236;0,0252307366217265;0,00246654253126331;0,00656222507414274;0,0244538581535903;3,05546480876437e-07;0,00588549401143931;0,0015765430330977;0,00777682899277641;0,00467090932411912;0,0204302321090642;3,44814910540744;0,242909989645912
"classe 3";-0,251776074150865;-0,535693869351966;0,350285205451288;0,740821379915899;0,0616905326359241;-0,0426894279102927;-0,116681902546523;0,738569846042113;-0,0807173110232045;-0,0455573550874301;0,505571347720561;0,920080525105186;-1,49177152054344;-0,259903239572748;1,80745478106451;0,78196118167256;-0,403620417449057;0,0876152003644121;1,59387823041473;-2,9569280311436;-0,700518793571636;-0,0551872302844474;-0,117419659630482;0,0767796160285342;0,162381911112662;0,01352205384261;-0,00935716905088038;-0,0255757066972295;0,161888393534374;-0,0176925660883478;-0,0099857949363919;0,110817052358814;0,201674031142409;-0,326983962688529;-0,056968637637032;0,396179118956167;0,171399414944424;-0,0884702527846979;0,0192045263047175;0,349364907860776;-0,648134135618774;-0,153547917965613;0,00776996795393794;0,026223654349668;0,010698703643755;0,0429564452910091;0,000286177068805865;0,000129875667862052;0,000935445681942168;0,0353698205933073;0,000403885130043854;0,000119074602139818;0,0143037704097235;0,0462815318115845;0,118856777792267;0,00347724617419821;0,165428800547569;0,0304721599939384;0,00775081011504542;0,000355874868844757;0,107661710334268;0,361567454069189;0,0189508139008809;0,00290601105812744;0,0131553285834759;0,00562486284951943;0,025159115135688;0,000174463824070794;8,35427981327267e-05;0,000624130421167391;0,0250064183583181;0,000298676957582955;9,5144864605929e-05;0,0117174539112468;0,0388078894283625;0,102017099366694;0,00309664722926142;0,149762551133466;0,0280310093386606;0,00746817699455986;0,000351906480458875;0,116460493357043;0,400820436167211;0,0224961360458255;0,0458425056965203;1,88132909181371;0,162254925774278
"classe 4";1,00982751678577;-0,412528327424185;0,643076259505063;-1,1054976969667;0,117143552305217;-1,53940398113407;0,129998686990674;-3,06738070983433;2,19932819026754;1,87274773515243;1,5059477095199;-2,2852276014485;-1,2035128151469;-0,832257312198429;0,470749830046425;-0,178194539102954;2,05966799724469;-3,06725654396958;-0,115053441586239;-0,792717297404647;0,492500562917689;0,146678544867224;-0,0599201881284502;0,0934075259536332;-0,160574742567192;0,0170152283504787;-0,223600102158296;0,018882450641803;-0,445540383474953;0,319454811115376;0,272018644896782;0,218740542327059;-0,331931793993678;-0,174811545061367;-0,120886279566761;0,0683769246925274;-0,0258829505677371;0,299169016216788;-0,445522348248084;-0,0167116374958277;-0,115143049423419;0,0715362422931285;0,0451788177592969;0,00562105143942816;0,0130335484263863;0,034575395232937;0,000372979290565111;0,0610439296617883;0,000419700658736322;0,220513521206808;0,108381391538801;0,0727295404636585;0,0458728324786593;0,10319653565178;0,027962172794301;0,012887759991991;0,00405608204380479;0,000571968064576089;0,0729533825564554;0,157648105019996;0,000202768446350657;0,00939279059760965;0,00338572667608281;0,0210700619204757;0,00351624366416238;0,00854469105215221;0,0252514949804691;0,000283535988026747;0,0489639698051717;0,000349179985375397;0,194404706453447;0,0999427954022492;0,0724652795173377;0,0468588035197697;0,107902208198193;0,0299276660286259;0,0143115492617174;0,00457880084700402;0,000656085125897773;0,0876528118988751;0,194388967983257;0,000273508381228455;0,0129839872466853;0,00501169777135591;0,0206619549685243;3,12924593780837;0,202325585081691
"classe 5";0,990878305393485;-0,258198472351509;0,431971433506966;-0,748168756132948;-0,0484613072807509;-0,579952915456816;0,446685223969654;-1,54036206669491;1,15651988283178;0,827265192204834;0,676706240102574;0,555963494958486;-0,837600014013896;0,543529902424415;-0,208289190467754;-0,911530905241478;-0,887541918676854;3,33954733219917;1,29289497968048;1,06968150500698;-0,559518420091604;0,200453047953227;-0,0522331253777668;0,087387108996004;-0,151353306186948;-0,00980364258592467;-0,117323518882083;0,0903636845544118;-0,31161270717085;0,23396206604814;0,167354384832575;0,136896556983012;0,112470498656141;-0,169445102250046;0,109955203380327;-0,0421365599162971;-0,184401199687846;-0,179548267245977;0,675584920852173;0,26155052335863;0,216394805346652;-0,11318965415112;0,0908980895811196;0,00460141071473297;0,0122891381419644;0,0330920947896676;0,000133386490185406;0,018104911216123;0,0103547244688093;0,1162034829087;0,0626259753821986;0,0296561957953268;0,0193557404554419;0,0127635770355215;0,0283019581108817;0,0114863683486377;0,00165933283186801;0,0312751535341773;0,0283075572272751;0,3905147235567;0,0535058537579297;0,035738852110189;0,00913147354257977;0,0386016658088771;0,00262103453616409;0,00733627262637209;0,0220071874418293;9,23327259421399e-05;0,0132236357726607;0,00784455983163211;0,0932848326516763;0,0525861788009955;0,0269063575793422;0,0180038658877245;0,0121522853692322;0,0275828259212393;0,0116148148308973;0,00170568515928224;0,0326669210154148;0,0309701390044393;0,438470735678005;0,0657191450274471;0,044985689396855;0,0123081897789131;0,0393156451550612;2,16472568238578;0,184234578883105
"classe 6";0,894315489230914;-0,0598538273043887;0,304262635815597;-0,351046025072957;-0,11858801487626;-0,416091316335529;-0,216387219567964;-0,506766816079776;0,966240816644885;-0,0464244792176025;-1,27721055351262;0,268317597738468;0,149471126822087;0,30445214739196;-0,397010124115476;-0,394233495065117;-2,3357830971557;0,49647850158885;-3,7136805814206;-2,36958037879332;0,836430490559339;0,162239979921823;-0,0108582305204836;0,0551970356323972;-0,0636841257311232;-0,0215133444340083;-0,0754841525399219;-0,0392553395091439;-0,0919338187204318;0,175288131067621;-0,00842197934268381;-0,231701918453886;0,0486761575685076;0,0271159259864348;0,0552314153951479;-0,072022586370104;-0,0715188712418242;-0,423740175975447;0,0900673901988005;-0,673707959015539;-0,429871424243343;0,151738919462357;0,0681285575512864;0,000227510313013884;0,00560973298727748;0,00670327160133737;0,000734914414238706;0,00857475667481644;0,00223579592352239;0,0115723997048812;0,0402209780742091;8,59317371706235e-05;0,0634407045036728;0,00273534265596512;0,000829261154407408;0,0033159464739632;0,00554672683951815;0,0053826639640374;0,180394478918293;0,00794139273376549;0,406179000339644;0,161364534180017;0,0187760992549348;0,0254831483520496;0,000114144615550977;0,00294963870666204;0,00392644661370281;0,00044807754024798;0,0055163127645353;0,00149188308630488;0,00818253581472589;0,029746942629059;6,86697803756275e-05;0,0519752484591712;0,00229387575546741;0,000711846238234585;0,00295331424680608;0,00502197724815213;0,00495197698686083;0,173834751032734;0,00785366680552372;0,439420861050355;0,17890169993971;0,022291089158008;0,0318618931757618;2,25676367741449;0,162272057851556
"classe 7";1,01722713192676;-0,239085824908584;0,509302836942468;-0,937503239442293;0,252579542105676;-0,606414503710343;0,0661665787683873;-1,12528371566307;0,0610394449461434;-0,500171602904358;-1,32174050835729;2,28442047864137;1,34982693286675;-1,02471892532261;-0,598666470948513;2,32207854755678;-0,918663457231144;-1,39878809793353;1,15170951577004;0,752495313592789;-0,206675194026213;0,205467541631068;-0,0482924365080144;0,102872995192416;-0,189364282404177;0,0510180037023339;-0,122488373909947;0,0133648463071645;-0,227293660813808;0,0123292274674718;-0,101028596679063;-0,266975549906905;0,461425226546065;0,272648666968022;-0,206980793021185;-0,120923365276099;0,469031699672639;-0,185558874925065;-0,282538228410027;0,232631351889083;0,151994925538362;-0,0417458822124176;0,091581828521394;0,00377181725313065;0,0163313800459335;0,0496740993798378;0,00346399503889805;0,0189238462544081;0,000217206119513583;0,0592866494476027;0,000166774163600981;0,0103639026183096;0,0705929209116756;0,206011405249588;0,0702681685626259;0,0390305520233188;0,0131047649974355;0,194030405370413;0,0289932468012938;0,0654976000260505;0,0405900918570969;0,0169082456455875;0,00119109971226782;0,0405620168963377;0,00224073927885149;0,0101680075855795;0,0344531730129481;0,00250080606598956;0,0144152716396291;0,000171617286065806;0,0496372530161638;0,00014605109670271;0,00980667388240813;0,06848194264875;0,204567086744858;0,0714232896892153;0,0411616888368688;0,0140492629895924;0,211367146052554;0,0330823653445586;0,0766986160377055;0,0519959576273889;0,0221968460562235;0,00167440448627658;0,0391997837253312;2,21397752429659;0,192145441828364
"classe 8";0,682677278381198;-1,06981005437922;0,441705040761534;-0,118161542180479;-0,968032233696355;1,47651643241345;-1,47024752698188;-0,0845793339903556;0,502896956064822;-0,742273515780944;-0,085430867141784;0,0885960343229262;0,117657583082065;0,377004623448564;0,895985516012916;2,3231782051205;2,93367297355434;1,65360531119536;-1,5444429285097;0,389946818106964;-0,0072037395875362;0,128649618259481;-0,201604271102151;0,0832387230054105;-0,0222673842763842;-0,182424377186272;0,278247543018084;-0,277066176190426;-0,0159388621462579;0,0947702574414207;-0,139880449332927;-0,0160993324275104;0,0166958039411764;0,0221724138596404;0,0710460160673968;0,168847269788173;0,437799819478701;0,552846740469923;0,311619704908862;-0,29104820017956;0,0734849553070199;-0,00135753507158584;0,0365233444875368;0,0668686476194499;0,0108768116659434;0,000698719641545408;0,0450533157308178;0,0993374537160792;0,0949602427334154;0,000296570236829152;0,0100237871629079;0,0202106087515606;0,000261134698830643;0,000274368307058834;0,000472724928275459;0,00467794094505637;0,0259912727917805;0,171967837847376;0,261802369418708;0,0810497071983029;0,0646314733063778;0,00402038750388441;1,28130825578827e-06;0,0159831174672363;0,0392503871539168;0,00669106587163805;0,000478831701418014;0,0321373625328057;0,0747665194595449;0,0741329887633546;0,000245334777722469;0,00867338467525224;0,0188955059413767;0,00025029963920018;0,000269190147159511;0,000474755976084698;0,00487443122304156;0,0275316711032163;0,185095407708618;0,295157616297752;0,0937765630243537;0,0818039592155475;0,00521484442147105;1,77969919561241e-06;0,0342949832000927;2,3528276008947;0,189850089790459
"classe 9";0,860079356984681;-0,880109433106915;-0,691281691434076;-0,767581224645422;-0,194199459001086;0,72870436036827;0,230895344619612;0,819131813818769;0,0953862990175125;-0,628139641798439;-2,35981015319176;-1,65327063834025;-1,86734920794725;1,5326970231342;-0,91852058123831;0,0759290744070614;-0,266095908709413;-0,688843431657206;1,06186544827325;0,280524704833246;-0,0251947509085025;0,187604955654398;-0,191974019406654;-0,150785936219717;-0,167428784845626;-0,0423597899404714;0,158948762229728;0,0503640862164544;0,178673265854599;0,0208061526554419;-0,13701306593092;-0,514733990005787;-0,360619938464661;-0,407315862778529;0,334319798192576;-0,200352457609251;0,0165620422363769;-0,0580422152303038;-0,150254090392237;0,231619581049646;0,0611894988326542;-0,00549560931619638;0,0726554143562781;0,0567196881068499;0,0333886069875245;0,0369530789560815;0,00227245057109593;0,0303242789959406;0,00293523276774048;0,0348624514114896;0,000451956995256241;0,0181390760754645;0,249712554805895;0,119741467585195;0,149235118682729;0,0969003404816493;0,0342337634849249;0,000230223517938795;0,00269946598976323;0,01762706757069;0,0382904613528225;0,00260765824909202;1,96430555849223e-05;0,0335971159914243;0,0351801998358893;0,0217037640771043;0,0267592315003871;0,00171285650695346;0,0241172445335806;0,00242133736362734;0,0304742157266517;0,000413234856654068;0,0179199731853411;0,252917616958626;0,124140318735999;0,158371136745813;0,106693405697136;0,0383179912869979;0,000261843116834981;0,00321589118198358;0,0215509288782542;0,051211079394361;0,00357410394259503;2,88300296083725e-05;0,0454176804541768;2,10166968438254;0,200610596825746
"classe 10";-0,325314886171352;-0,335621590406048;0,197291450284218;0,300921603388625;0,10880211604509;-0,00763519354019146;0,409110901955976;0,762893663038012;0,487452835342215;0,075306965692927;0,183645866110596;0,287876566206152;-0,852448667405645;-0,381529347513858;1,2562672378904;-0,429976677935124;-0,713528468562608;-1,06791289088676;-1,68932182227889;1,8923427161038;-3,42174817193162;-0,0665474159622268;-0,0686557871529158;0,0403585472597749;0,0615574508391082;0,0222568962620705;-0,00156187872756489;0,0836889872688021;0,156059879480573;0,0997148546666838;0,0154050250506541;0,0375671644960262;0,0588889178191728;-0,174379527244901;-0,078046819466565;0,2569858988733;-0,0879573547259483;-0,145961583120779;-0,218455553010976;-0,3455728796316;0,387103459524193;-0,699963354260961;0,0124841448678385;0,00990650025567327;0,0032663649884712;0,00682132384896409;0,000856708524618528;3,99841472556598e-06;0,0110676212816362;0,0363193728187062;0,014175889131054;0,000313136033488879;0,00181638769579083;0,00436042970035157;0,0373522196405915;0,00721154911185676;0,0769132070489641;0,00886713386302639;0,023312243309379;0,0508827616558448;0,116395554821658;0,142517442997729;0,435156009989625;0,00425068420697745;0,00452429328484736;0,00156339060786544;0,00363712060562393;0,000475472771564698;2,34148332028072e-06;0,0067225350211718;0,0233764728207507;0,0095436866083687;0,000227782977837667;0,0013546068939517;0,00332861522672039;0,0291868643951696;0,00584664692136578;0,0633891657172459;0,00742575759127373;0,0204490708093799;0,0458060271201873;0,114624050824423;0,143830355439646;0,470269763032559;0,0401652956397482;1,91771676299582;0,147713400780063
