"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"suisse";2,862;-13,314;9,541;-11,515;-2,864;-0,042;-10,062;-1,347;-0,597;3,218;-3,237;-6,071;-5,221;-6,741;-2,821;-9,545;-2,62;61,892;0,125;86,977;-3,96;51,928
"emji_drapeau_suisse";40,958;-7,65;3,586;-9,975;-17,444;-8,269;-18,783;-3,336;-3,699;33,065;0;9,695;-15,576;11,708;-3,52;0,566;-1,379;-15,201;-11,262;49,979;-2,684;113,161
"année";-4,339;1,189;-2,148;-2,252;2,532;-0,103;1,273;1,921;-8,172;1,398;-2,356;-9,023;3,377;-0,103;4,143;-3,699;-4,927;1,333;3,117;28,951;-3,394;0,002
"premier";2,004;0,001;-3,562;-5,704;-2,249;-2,23;-4,66;-0,065;-0,144;-0,37;-0,003;44,63;-9,413;-0,008;9,545;-2,064;-0,681;-0,237;4,788;0,174;1,314;4,572
"émission";-4,053;-0,394;-2,751;-0,436;0,259;0,08;-5,211;-2,361;-3,93;-2,054;-2,263;-5,666;-0,137;-1,502;-3,714;-2,83;-2,049;624,503;10,495;-3,001;-5,723;-4,539
"genève";-0,529;-4,185;0,016;0,008;-0,784;2,596;-2,738;-1,918;0,15;11,752;-0,109;-3,027;-0,869;-1,081;-1,597;1,365;-0,058;-0,674;1,965;-0,372;2,832;16,836
"petit";-2,061;-0,353;-4,636;3,808;58,142;1,798;39,343;-0,939;-2,357;-1,986;-5,81;-5,557;29,534;-0,033;-5,641;-4,719;-3,531;1,793;-2,362;-6,662;-1,258;-4,418
"jeune";-3,704;-4,32;-4,32;-0,253;14,135;38,863;-4,61;9,318;-5,074;-3,628;-0,77;-0,634;0,487;-4,553;-3,251;-1,07;-3,177;34,659;-0,115;0,474;0,092;0,089
"grand";-0,032;-4,275;0,389;0,34;-0,249;0;0,919;1,958;2,609;1,049;0,357;-0,08;2,494;-0,299;1,352;-2,409;-3,127;0,013;-2,06;-2,452;-1,906;1,556
"retrouver";-2,981;-0,47;-1,626;-1,682;-5,71;-0,035;-5,385;-0,301;-0,279;-2,92;-4,358;-4,167;-0,304;-1,793;-4,231;-3,539;-2,247;524,165;54,077;-1,527;-3,742;-4,868
"monde";39,471;-3,653;-0,574;-1,84;-0,367;-0,699;0,211;8,964;65,351;-0,25;-2,623;-4,378;-4,084;-0,699;0;-1,84;-0,25;0,212;0,298;-1,724;-2,39;-1,618
"rts";-1,453;-1,938;-1,938;-3,898;-2,576;-0,821;-5,93;-3,487;-4,297;-1,394;-0,439;-2,633;-4,366;-2,125;-2,697;-0,086;-0,004;472,908;32,639;-0,827;-1,38;-0,743
"jour";1,282;0,667;-0,204;-0,227;-2,878;-1,314;2,252;-2,692;0,093;-0,788;14,387;2,62;-1,501;3,796;-0,025;1,987;-0,512;-0,61;-2,745;-0,972;-0,495;0,02
"femme";-1,986;-2,317;-0,661;-0,693;-0,668;3,601;0,187;-2,11;-0,696;-1,945;-0,181;0,085;-0,084;-2,441;-0,147;-2,358;0,89;0,729;-0,537;29,045;0,086;6,035
"vie";-1,04;-3,259;-1,436;-0,382;-1,805;5,255;59,388;-0,207;0,007;-2,737;-4,084;-0,739;2,253;-3,434;-0,778;-1,487;-0,091;11,907;1,961;-1,289;0,007;-2,61
"enfant";-2,498;-2,913;-2,913;42,35;1,914;-0,256;-0,306;0,138;-2,863;-0,76;-3,651;1,141;-4,893;-3,07;-1,688;-0,208;26,831;4,488;-2,705;0,436;1,831;-0,855
"miracle";-1,663;-1,939;-1,939;-1,974;-3,184;-2,043;-1,212;-1,766;-3,221;-1,628;-2,43;-2,324;-3,257;-0,459;-2,359;-1,974;-2,324;841,256;-0,297;-2,786;-1,397;-2,715
"archive";-1,04;-1,436;-3,259;-3,317;-1,805;-1,59;-3,059;-0,207;-1,854;-2,737;-4,084;-3,906;-5,475;-3,434;-3,965;-0,382;-3,906;614,536;69,021;-2,721;-3,401;-4,563
"annoncer";0,182;-2,999;0,621;-3,053;-4,925;-3,161;-4,644;-0,99;-1,513;-0,049;59,566;4,673;-3,049;0,464;4,493;0,016;38,68;-3,759;-1,034;-2,378;-0,532;-0,183
"samedi";-0,122;-3,215;0,001;-3,273;-5,281;-3,389;-4,979;-2,928;-3,333;-0,102;-0,127;-1,964;-5,402;1,296;-0,743;18,02;-0,077;493,422;-1,202;-4,621;-5,341;-2,554
"mettre";-2,204;-0,063;1,209;-0,898;-0,189;-2,709;-2,077;-0,014;-0,983;4,821;18,481;0,536;0,004;-0,973;-1,325;1,13;0,012;-0,332;-0,715;-0,602;1,34;1,003
"lausanne";-0,256;-2,022;14,933;0,004;-0,379;2,216;-3,132;-0,323;-1,519;0,112;-0,83;-0,743;1,31;-0,522;1,421;2,438;-2,424;1,282;0,037;-0,18;0,324;-0,15
"aller";2,808;-2,274;4,273;-0,66;6,965;1,547;-1,665;9,25;-3,778;2,96;0,061;-0,986;-0,066;-0,723;0,088;-2,315;-0,986;-1,089;-2,112;-3,268;-0,65;9,752
"pays";-2,131;-2,486;-2,486;-2,53;-0,141;0,153;-1,958;-0,005;-2,209;0,002;6,59;105,539;-4,176;1,126;-0,235;-0,828;4,257;1,767;-2,308;-1,711;-2,209;-0,01
"conseil";-2,241;0,156;-2,613;-0,933;-4,292;-2,754;-2,136;-0,709;-1,034;-0,001;13,203;39,108;-1,069;-2,754;-1,369;-2,66;-1,329;-1,452;-2,427;-0,641;-0,234;115,449
"dernier";0,441;-2,613;3,016;-2,66;-4,292;-1,01;-0,831;0,312;0,002;2,041;0,372;0,489;-2,448;2,604;-0,311;-0,933;10,034;-1,452;-2,427;4,173;-4,341;10,662
"unir";8,504;-2,528;-2,528;-2,574;-4,152;-2,664;-3,915;-0,65;-0,934;-2,123;491,454;-1,241;-4,247;-0,936;1,844;-0,064;0,019;-3,168;-2,348;-3,633;-2,273;-1,683
"prendre";-0,006;-0,089;-0,929;-2,704;-0,242;-1,047;20,468;-0,74;2,577;-0,002;-0,389;0,444;-2,514;-0,139;-3,232;-0,105;0,444;-0,001;1,406;2,054;-0,262;-0,046
"heure";-0,522;-0,042;-2,486;10,074;-0,141;-2,62;-0,075;0,417;11,733;9,13;-0,278;-1,198;-2,251;-0,078;-3,025;1,281;-1,198;-1,314;-0,01;-0,527;0,023;2,778
"public";-2,168;-2,528;6,228;-2,574;-0,164;-2,664;-0,743;0,379;0,433;-0,516;6,343;-0,238;0,009;-0,092;0,541;-0,064;0,019;-3,168;7,271;0,163;0,433;-0,017
"nouveau";2,324;-2,443;-0,759;-0,794;-2,103;-0,065;-1,898;1,954;-4,059;2,461;-1,268;2,165;0,027;3,137;0,647;-2,487;0,039;-3,062;-0,625;1,121;5,693;2,927
"homme";-1,591;-1,856;-1,856;-1,889;-0,239;15,793;4,728;-1,69;-3,082;-0,156;-0,011;-0,589;1,81;-1,956;-0,615;16,685;-2,224;1,72;-1,723;5,604;0,014;-0,879
"fin";0,441;1,137;-0,895;-0,933;0,005;0,093;-2,136;-2,38;-1,034;4,648;3,309;6,505;0,001;0,92;0,003;0,133;-0,287;-1,452;-0,746;0,82;-2,403;-0,035
"passer";-0,347;-0,566;0,494;12,666;-0,538;4,13;-1,55;0,012;-0,563;17,38;0,097;-0,904;-0,588;-0,654;-2,665;-2,229;-2,625;0,097;0,006;0,006;-0,029;1,877
"temps";-0,137;-0,279;1,164;0,063;7,776;3,133;-0,115;-0,186;-1,16;0,273;-2,222;0;-2,978;-1,868;-2,157;-1,804;-0,516;18,54;-0,204;-2,547;0,04;3,5
"novembre";0,037;-2,19;0,494;-2,229;-3,597;-2,308;-3,392;0,012;-0,563;0,049;-0,119;2,986;-3,679;31,175;9,139;-0,002;0,151;-2,745;0,006;1,719;-1,765;3,977
"noël";-1,698;29,77;5,787;5,579;-3,253;-2,087;-1,268;11,803;1,485;0,133;-2,482;-2,374;-3,327;9,13;1,527;-2,016;-2,374;-0,04;-1,839;-2,846;0,375;-2,773
"fédéral";-2,059;-0,024;-0,726;-2,444;-2,04;-0,828;-3,718;-0,563;-2,081;0,721;4,155;7,816;-2,122;-2,53;-1,149;-0,76;-1,112;-3,009;-0,595;57,804;-0,789;35,323
"canton";-2,095;-2,443;-0,032;-2,487;-2,103;-2,575;-1,898;-2,225;-2,145;9,421;-1,268;0,039;-0,867;0,177;-1,192;-0,042;0,039;-1,268;-0,006;2,707;-0,133;125,561
"face";9,666;1,629;-0,017;-2,401;-0,08;-2,486;-1,781;-2,148;-2,017;10,038;-1,178;2,414;-3,962;-0,793;-0,167;0,294;2,414;-1,178;-2,19;3,013;9,318;-0,373
"franc";-1,556;-0,305;11,706;-1,847;-1,19;-1,912;-1,049;-0,207;-1,219;1,827;-2,274;-2,174;-3,048;0,028;-0,577;3,218;2,105;-2,274;-1,684;3,079;-3,013;74,524
"décembre";-0,234;0,775;-0,416;-2,016;0,001;-0,491;-3,067;-1,804;-3,29;4,077;0,238;-2,374;-3,327;9,13;29,351;0,009;-0,704;-0,04;-0,321;0,064;0;2,579
"devenir";-1,878;-0,566;4,659;-2,229;-0,538;1,747;-0,003;29,454;0,166;-0,321;-2,745;19,418;-3,679;-0,01;5,56;-2,229;-0,904;0,937;0,006;-3,147;-3,638;-1,27
"partir";-0,017;-1,402;-1,402;-1,427;-2,302;-1,477;-0,543;-1,276;-0,009;-0,012;1,22;13,417;-0,679;0,289;0,113;-1,427;-1,68;0,087;2,715;-0,433;0,38;15,94
