"";"V1"
"1";9
"2";2
"3";5
"4";2
"5";4
"6";19
"7";2
"8";19
"9";9
"10";13
"11";0
"12";8
"13";19
"14";1
"15";19
"16";0
"17";2
"18";0
"19";9
"20";4
"21";13
"22";0
"23";0
"24";18
"25";4
"26";3
"27";18
"28";0
"29";11
"30";13
"31";0
"32";0
"33";4
"34";0
"35";19
"36";9
"37";18
"38";9
"39";19
"40";5
"41";19
"42";4
"43";4
"44";19
"45";0
"46";18
"47";0
"48";0
"49";18
"50";19
"51";9
"52";0
"53";18
"54";16
"55";0
"56";9
"57";18
"58";16
"59";3
"60";9
"61";18
"62";19
"63";22
"64";19
"65";19
"66";19
"67";18
"68";19
"69";0
"70";2
"71";18
"72";7
"73";0
"74";4
"75";18
"76";6
"77";0
"78";19
"79";18
"80";19
"81";4
"82";13
"83";18
"84";4
"85";18
"86";4
"87";22
"88";19
"89";19
"90";19
"91";13
"92";18
"93";0
"94";8
"95";19
"96";8
"97";5
"98";0
"99";19
"100";0
"101";8
"102";0
"103";19
"104";0
"105";19
"106";0
"107";18
"108";0
"109";9
"110";0
"111";0
"112";9
"113";12
"114";4
"115";8
"116";7
"117";0
"118";8
"119";1
"120";13
"121";14
"122";0
"123";0
"124";0
"125";5
"126";9
"127";15
"128";15
"129";0
"130";0
"131";7
"132";7
"133";0
"134";4
"135";0
"136";22
"137";0
"138";1
"139";7
"140";4
"141";5
"142";15
"143";7
"144";5
"145";0
"146";1
"147";19
"148";4
"149";2
"150";7
"151";0
"152";4
"153";0
"154";18
"155";13
"156";6
"157";8
"158";0
"159";0
"160";9
"161";2
"162";1
"163";0
"164";0
"165";0
"166";0
"167";6
"168";16
"169";3
"170";7
"171";0
"172";8
"173";7
"174";7
"175";18
"176";5
"177";16
"178";18
"179";0
"180";0
"181";6
"182";9
"183";0
"184";4
"185";4
"186";22
"187";0
"188";10
"189";9
"190";0
"191";7
"192";6
"193";13
"194";0
"195";7
"196";13
"197";0
"198";6
"199";9
"200";0
"201";21
"202";9
"203";5
"204";0
"205";6
"206";22
"207";9
"208";6
"209";5
"210";0
"211";22
"212";5
"213";13
"214";9
"215";13
"216";18
"217";0
"218";5
"219";7
"220";15
"221";13
"222";20
"223";4
"224";5
"225";19
"226";5
"227";2
"228";2
"229";13
"230";0
"231";13
"232";7
"233";9
"234";2
"235";13
"236";2
"237";13
"238";18
"239";1
"240";4
"241";4
"242";6
"243";9
"244";4
"245";7
"246";4
"247";7
"248";8
"249";9
"250";0
"251";0
"252";6
"253";13
"254";7
"255";4
