"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"22";"***";"";""
"**";"classe";"1";"**";"";""
"****";"50";"1540";"3.25";"****";""
"18";" 25";" 72.00";"382.402";"emji_ballon_de_football";"3.733376e-85"
"12";" 14";" 85.71";"305.876";"emji_skieur";"1.728347e-68"
"14";" 25";" 56.00";"225.129";"couper";"6.880993e-51"
"10";" 17";" 58.82";"169.021";"victoire";"1.210356e-38"
" 5";"  5";"100.00";"149.485";"match";"2.246223e-34"
" 5";"  5";"100.00";"149.485";"nati";"2.246223e-34"
" 5";"  5";"100.00";"149.485";"odermatt";"2.246223e-34"
" 5";"  5";"100.00";"149.485";"marco";"2.246223e-34"
" 5";"  5";"100.00";"149.485";"lara";"2.246223e-34"
" 5";"  5";"100.00";"149.485";"gut";"2.246223e-34"
" 5";"  5";"100.00";"149.485";"behrami";"2.246223e-34"
" 5";"  6";" 83.33";"122.985";"canada";"1.405245e-28"
" 5";"  6";" 83.33";"122.985";"eurovision";"1.405245e-28"
" 4";"  4";"100.00";"119.510";"mexique";"8.096905e-28"
" 4";"  4";"100.00";"119.510";"nidwaldien";"8.096905e-28"
" 4";"  4";"100.00";"119.510";"défaite";"8.096905e-28"
" 3";"  3";"100.00";" 89.574";"podium";"2.953067e-21"
" 3";"  3";"100.00";" 89.574";"qualification";"2.953067e-21"
" 3";"  3";"100.00";" 89.574";"sölden";"2.953067e-21"
" 3";"  3";"100.00";" 89.574";"mountain";"2.953067e-21"
" 3";"  3";"100.00";" 89.574";"league";"2.953067e-21"
" 3";"  3";"100.00";" 89.574";"décrocher";"2.953067e-21"
" 3";"  3";"100.00";" 89.574";"copper";"2.953067e-21"
" 3";"  3";"100.00";" 89.574";"2e";"2.953067e-21"
" 5";"  9";" 55.56";" 78.854";"football";"6.687985e-19"
" 4";"  6";" 66.67";" 77.123";"genou";"1.606479e-18"
" 6";" 13";" 46.15";" 76.837";"val";"1.856999e-18"
" 3";"  4";" 75.00";" 65.729";"supporter";"5.173593e-16"
" 3";"  4";" 75.00";" 65.729";"tessinoise";"5.173593e-16"
" 3";"  4";" 75.00";" 65.729";"norvégien";"5.173593e-16"
" 3";"  4";" 75.00";" 65.729";"isère";"5.173593e-16"
" 9";" 32";" 28.12";" 64.386";"saison";"1.022622e-15"
" 8";" 28";" 28.57";" 58.224";"remporter";"2.339421e-14"
" 5";" 12";" 41.67";" 56.830";"joueur";"4.751971e-14"
" 4";"  8";" 50.00";" 55.958";"super";"7.404324e-14"
" 4";"  8";" 50.00";" 55.958";"descente";"7.404324e-14"
" 5";" 14";" 35.71";" 47.411";"penser";"5.756249e-12"
" 5";" 15";" 33.33";" 43.649";"chute";"3.929049e-11"
" 5";" 15";" 33.33";" 43.649";"emji_ski";"3.929049e-11"
