"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"suisse";0,091;1;0,002;1;1;1;1;1;1;0,073;1;1;1;1;1;1;1;0;0,724;0;1;0
"emji_drapeau_suisse";0;1;0,058;1;1;1;1;1;1;0;1;0,002;1;0,001;1;0,452;1;1;1;0;1;0
"année";1;0,275;1;1;0,112;1;0,259;0,166;1;0,237;1;1;0,066;1;0,042;1;1;0,248;0,077;0;1;0,966
"premier";0,157;0,975;1;1;1;1;1;1;1;1;1;0;1;1;0,002;1;1;1;0,029;0,677;0,252;0,033
"émission";1;1;1;1;0,611;0,777;1;1;1;1;1;1;1;1;1;1;1;0;0,001;1;1;1
"genève";1;1;0,899;0,928;1;0,107;1;1;0,699;0,001;1;1;1;1;1;0,243;1;1;0,161;1;0,092;0
"petit";1;1;1;0,051;0;0,18;0;1;1;1;1;1;0;1;1;1;1;0,181;1;1;1;1
"jeune";1;1;1;1;0;0;1;0,002;1;1;1;1;0,485;1;1;1;1;0;1;0,491;0,761;0,765
"grand";1;1;0,533;0,56;1;1;0,338;0,162;0,106;0,306;0,55;1;0,114;1;0,245;1;1;0,911;1;1;1;0,212
"retrouver";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
"monde";0;1;1;1;1;1;0,646;0,003;0;1;1;1;1;1;1;1;1;0,645;0,585;1;1;1
"rts";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
"jour";0,258;0,414;1;1;1;1;0,133;1;0,76;1;0;0,106;1;0,051;1;0,159;1;1;1;1;1;0,888
"femme";1;1;1;1;1;0,058;0,666;1;1;1;1;0,771;1;1;1;1;0,345;0,393;1;0;0,769;0,014
"vie";1;1;1;1;1;0,022;0;1;0,932;1;1;1;0,133;1;1;1;1;0,001;0,161;1;0,932;1
"enfant";1;1;1;0;0,166;1;1;0,711;1;1;1;0,285;1;1;1;1;0;0,034;1;0,509;0,176;1
"miracle";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"archive";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
"annoncer";0,67;1;0,431;1;1;1;1;1;1;1;0;0,031;1;0,496;0,034;0,899;0;1;1;1;1;1
"samedi";1;1;0,97;1;1;1;1;1;1;1;1;1;1;0,255;1;0;1;0;1;1;1;1
"mettre";1;1;0,271;1;1;1;1;1;1;0,028;0;0,464;0,952;1;1;0,288;0,912;1;1;1;0,247;0,317
"lausanne";1;1;0;0,95;1;0,137;1;1;1;0,738;1;1;0,252;1;0,233;0,118;1;0,258;0,847;1;0,569;1
"aller";0,094;1;0,039;1;0,008;0,214;1;0,002;1;0,085;0,806;1;1;1;0,766;1;1;1;1;1;1;0,002
"pays";1;1;1;1;1;0,696;1;1;1;0,965;0,01;0;1;0,289;1;1;0,039;0,184;1;1;1;1
"conseil";1;0,693;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0
"dernier";0,507;1;0,082;1;1;1;1;0,576;0,96;0,153;0,542;0,485;1;0,107;1;1;0,002;1;1;0,041;1;0,001
"unir";0,004;1;1;1;1;1;1;1;1;1;0;1;1;1;0,175;1;0,889;1;1;1;1;1
"prendre";1;1;1;1;1;1;0;1;0,108;1;1;0,505;1;1;1;1;0,505;1;0,236;0,152;1;1
"heure";1;1;1;0,002;1;1;1;0,519;0,001;0,003;1;1;1;1;1;0,258;1;1;1;1;0,88;0,096
"public";1;1;0,013;1;1;1;1;0,538;0,51;1;0,012;1;0,925;1;0,462;1;0,889;1;0,007;0,687;0,51;1
"nouveau";0,127;1;1;1;1;1;1;0,162;1;0,117;1;0,141;0,87;0,077;0,421;1;0,843;1;1;0,29;0,017;0,087
"homme";1;1;1;1;1;0;0,03;1;1;1;1;1;0,178;1;1;0;1;0,19;1;0,018;0,904;1
"fin";0,507;0,286;1;1;0,942;0,761;1;1;1;0,031;0,069;0,011;0,978;0,338;0,956;0,715;1;1;1;0,365;1;1
"passer";1;1;0,482;0;1;0,042;1;0,914;1;0;0,755;1;1;1;1;1;1;0,755;0,936;0,939;1;0,171
"temps";1;1;0,281;0,802;0,005;0,077;1;1;1;0,601;1;0,983;1;1;1;1;1;0;1;1;0,841;0,061
"novembre";0,847;1;0,482;1;1;1;1;0,914;1;0,824;1;0,084;1;0;0,003;1;0,697;1;0,936;0,19;1;0,046
"noël";1;0;0,016;0,018;1;1;1;0,001;0,223;0,715;1;1;1;0,003;0,217;1;1;1;1;1;0,541;1
"fédéral";1;1;1;1;1;1;1;1;1;0,396;0,042;0,005;1;1;1;1;1;1;1;0;1;0
"canton";1;1;1;1;1;1;1;1;1;0,002;1;0,843;1;0,674;1;1;0,843;1;1;0,1;1;0
"face";0,002;0,202;1;1;1;1;1;1;1;0,002;1;0,12;1;1;1;0,587;0,12;1;1;0,083;0,002;1
"franc";1;1;0,001;1;1;1;1;1;1;0,176;1;1;1;0,866;1;0,073;0,147;1;1;0,079;1;0
"décembre";1;0,379;1;1;0,98;1;1;1;1;0,043;0,626;1;1;0,003;0;0,926;1;1;1;0,8;0,996;0,108
"devenir";1;1;0,031;1;1;0,186;1;0;0,684;1;1;0;1;1;0,018;1;1;0,333;0,936;1;1;1
"partir";1;1;1;1;1;1;1;1;1;1;0,269;0;1;0,591;0,737;1;1;0,768;0,099;1;0,537;0
"ville";1;1;0;0,417;1;1;1;1;1;0,248;1;1;1;0,003;1;1;0,597;1;0,847;0,829;1;1
"notamment";1;1;0,833;1;1;0,891;1;0,245;1;1;1;0,161;1;0,891;0,037;0,853;1;1;1;0,301;0;0,015
"mondial";0,001;1;1;1;0,263;1;1;1;0,076;1;1;1;1;1;0;1;1;1;0,577;1;1;1
"jeudi";0;1;1;1;1;1;1;1;1;0,554;0,442;0;1;0,787;0,116;0,75;0;1;1;1;0,776;1
"romand";1;1;1;1;1;0,054;1;0,609;0,099;0,126;1;1;0,333;0,76;1;0,723;1;0,118;0;0,565;1;1
"fête";1;0;0,953;1;0,251;1;1;0,331;0,598;0,76;1;1;0,613;1;1;1;1;1;0,348;1;1;1
"connaître";1;1;1;0,034;0,03;1;1;0,386;0,324;0,001;1;1;1;0,186;0,09;1;1;0,333;1;0,488;1;1
"travail";1;1;0;1;0,661;1;1;1;1;1;0,366;0,843;1;1;0,86;1;1;0,892;1;0,505;1;0
"national";1;1;0,882;1;0,95;1;1;1;1;0,219;0,223;0,006;1;1;1;1;1;1;1;0,11;1;0
"lundi";0,669;1;1;1;1;1;1;1;1;0,647;0,043;1;0,92;0,366;1;0;0,033;1;1;1;1;0,277
