de;43;38;54;41;75;51;75;41;80;45;63;64;82;57;62;52;66;65;49;78;87;66
la;41;24;46;31;53;35;55;37;57;36;59;59;61;42;50;44;55;54;38;65;70;58
le;32;32;37;26;50;45;47;39;64;37;46;53;47;40;54;32;47;60;36;63;65;60
les;15;20;35;32;44;22;35;31;41;30;41;41;57;32;36;30;43;57;30;58;76;59
et;25;29;45;30;44;40;53;30;45;32;39;37;50;30;52;28;38;58;37;56;72;52
à;35;19;35;25;48;33;43;27;48;35;54;43;41;40;42;39;49;57;28;61;58;52
être;27;18;35;28;52;43;49;23;48;26;45;51;45;38;47;41;44;42;28;62;64;55
l;16;16;31;23;41;30;43;26;44;34;43;53;41;32;45;29;40;60;32;56;68;49
des;7;16;32;18;29;28;33;21;31;28;45;45;37;32;31;32;37;26;26;65;70;42
avoir;28;16;24;19;24;22;27;14;32;22;58;54;24;32;48;43;58;44;18;54;56;45
en;26;15;37;29;38;37;35;31;45;34;29;32;56;30;35;23;33;58;41;58;53;47
un;16;19;30;19;38;29;47;29;39;26;34;33;34;31;33;28;38;32;22;41;50;37
d;15;15;37;21;31;18;25;16;31;25;40;32;38;29;31;30;39;50;26;47;49;41
pour;20;36;29;23;32;22;38;20;35;22;42;33;43;23;32;20;27;22;18;31;40;37
une;12;9;28;13;32;20;28;16;31;28;30;37;26;28;27;21;32;26;26;50;55;33
du;20;15;22;11;20;14;27;18;36;15;29;34;37;24;33;20;33;19;24;26;28;42
htag_rtsarchives;6;52;10;51;84;53;82;24;66;8;1;3;86;6;11;11;2;67;44;3;2;14
dans;5;4;12;10;20;17;32;16;24;18;27;28;20;16;19;21;30;52;35;20;32;24
sur;10;8;12;12;19;19;18;11;16;12;21;16;28;12;16;13;13;47;21;26;47;31
au;18;6;13;9;17;9;22;13;27;11;21;22;22;13;22;12;19;9;8;17;19;22
ce;10;8;16;13;11;8;21;9;15;11;7;26;12;23;17;4;11;48;10;13;29;18
par;4;6;20;6;6;9;9;13;9;19;21;26;5;16;20;9;21;7;6;31;26;20
qui;6;8;14;10;20;19;21;11;17;9;14;13;16;13;21;14;12;20;14;16;21;20
que;5;9;6;12;14;10;20;6;12;9;16;18;13;7;11;5;12;7;10;35;39;19
avec;3;9;11;6;11;13;23;18;18;12;15;13;15;14;20;3;9;24;10;19;21;15
plus;4;8;15;4;8;14;11;10;20;9;12;12;8;14;20;7;9;23;9;31;22;16
il;5;8;5;12;20;8;22;7;20;11;7;16;17;8;8;7;9;32;14;3;13;14
son;9;9;11;2;13;10;23;14;12;8;18;14;7;9;13;5;7;27;11;10;12;11
an;8;9;11;6;13;9;20;5;20;4;14;16;7;5;19;6;8;38;13;18;15;7
ne;5;13;9;15;21;22;27;2;17;10;8;8;18;8;5;9;5;16;13;13;16;9
pas;5;13;7;15;16;23;27;4;15;7;5;5;19;3;7;7;1;15;9;10;11;7
s;12;5;17;8;11;9;4;4;5;11;12;11;11;15;10;12;9;13;10;12;13;20
cette;3;2;10;6;9;3;6;11;9;15;12;20;12;13;11;6;8;12;4;15;25;12
se;2;3;3;7;12;13;13;8;19;9;7;3;17;11;10;9;7;19;4;19;12;15
aux;5;8;16;3;10;4;5;14;9;7;11;4;13;6;8;7;9;11;2;12;20;10
faire;3;9;3;11;13;9;17;6;13;7;10;11;10;6;8;12;9;7;8;5;7;8
c;0;8;9;12;16;19;24;4;13;4;1;1;20;5;3;3;2;9;9;3;5;4
vous;0;22;2;19;18;6;11;4;14;3;0;1;13;1;1;2;0;6;12;1;3;4
sa;12;4;4;0;4;6;17;9;14;7;11;10;9;6;17;4;8;17;8;6;5;5
ou;0;4;6;8;20;9;10;3;7;5;3;1;9;7;2;6;5;7;4;10;15;5
ses;4;7;14;2;8;12;14;4;9;7;3;2;6;2;12;4;4;10;8;4;8;6
qu;3;5;1;9;10;7;13;6;7;6;4;5;9;7;6;3;9;11;9;5;7;6
on;4;9;3;8;14;7;15;5;11;3;0;2;10;1;3;3;0;12;5;3;3;8
après;6;3;6;1;4;2;3;2;7;4;13;8;2;7;13;10;13;21;3;8;5;8
leur;3;0;4;2;7;7;8;3;2;4;2;9;3;2;4;4;6;6;7;8;16;8
mais;5;3;4;2;13;5;7;1;9;4;5;5;8;6;5;5;5;11;2;9;12;5
ces;0;0;8;8;6;9;10;3;2;3;6;6;13;4;2;2;4;4;6;14;14;10
elle;6;0;2;1;12;3;9;4;8;2;6;5;3;1;6;2;3;11;2;8;11;2
y;2;6;3;5;11;5;8;2;6;3;0;4;5;2;3;2;6;5;4;0;5;3
comme;2;0;9;1;2;6;7;7;2;5;9;2;5;1;11;3;2;5;2;12;20;4
pouvoir;4;4;2;4;6;3;0;3;1;1;7;10;4;6;3;2;6;2;1;8;17;8
bien;0;5;4;11;9;3;8;6;5;1;4;1;10;3;4;2;1;5;3;6;7;4
selon;0;0;7;0;0;0;0;1;2;3;10;11;1;9;2;4;11;1;0;25;13;5
personne;0;1;3;3;1;0;3;0;3;2;5;5;2;2;1;13;13;3;1;15;9;6
depuis;5;3;6;2;6;2;6;2;6;5;4;10;0;3;2;3;8;5;3;5;3;4
deux;3;2;3;2;2;3;3;2;4;5;8;6;4;6;0;7;10;5;1;11;5;7
entre;2;0;2;6;5;2;3;3;4;5;6;2;3;5;5;6;4;2;1;9;4;5
nous;1;5;3;2;4;1;6;2;6;1;0;0;2;1;0;0;0;33;4;0;2;1
tout;1;1;4;3;14;11;10;5;6;6;3;0;6;0;1;0;1;7;1;1;3;2
sans;2;2;3;0;6;3;2;1;4;5;0;3;7;5;0;2;5;8;1;5;5;3
autres;0;3;4;1;0;3;3;0;3;0;4;1;1;1;3;2;0;43;6;4;7;1
bon;1;11;2;4;9;3;8;2;10;1;2;3;7;0;1;0;0;0;3;3;1;2
contre;3;0;3;2;0;1;2;0;0;5;3;7;1;1;1;2;9;1;1;8;5;7
devoir;2;0;6;3;2;1;0;0;3;4;3;8;1;8;2;1;4;1;0;4;6;15
tous;0;2;1;2;2;2;7;1;2;0;0;3;4;0;3;1;1;43;0;2;1;7
1;6;0;2;2;1;0;0;0;7;1;1;1;0;2;0;0;1;39;1;7;1;3
si;0;5;2;3;9;2;5;0;5;2;0;1;7;1;0;0;1;6;3;3;4;2
