"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,435469447504645;17,7051802159215;17,7051802159215
"facteur 2";0,301977809426252;12,2777190632736;29,982899279195
"facteur 3";0,272844081373676;11,0932090856201;41,0761083648151
"facteur 4";0,251600683486093;10,2295016770902;51,3056100419053
"facteur 5";0,246476554439525;10,0211664454476;61,3267764873529
"facteur 6";0,215994170468801;8,78182323846678;70,1085997258197
"facteur 7";0,204039319704196;8,29576666560121;78,4043663914209
"facteur 8";0,192902580044816;7,84297259745932;86,2473389888802
"facteur 9";0,171299415395312;6,96463790476054;93,2119768936407
"facteur 10";0,166955469287845;6,78802310635927;100
