"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
"suisse";35,779;-5,513;-10,236;-12,274;-9,244;-12,612;72,321;-4,34;0,001;42,344;-7,616
"emji_drapeau_suisse";-27,625;3,221;-23,344;-32,932;0,177;3,593;69,587;-2,544;-7,126;177,423;-26,135
"année";3,222;0,986;0,087;0,284;-10,459;-11,477;41,728;-4,274;-2,686;0,065;0,01
"premier";0,638;9,703;-11,727;-10,324;-2,041;21,242;0,549;1,804;-0,119;1,113;-8,348
"émission";426,168;-5,943;-0,989;0;-5,324;-9,934;-7,304;-4,139;-5,728;-8,221;-1,298
"genève";-0,001;-1,546;-0,659;-0,981;0,122;-1,906;-0,627;3,288;-0,407;23,411;-0,374
"petit";-0,009;-3,955;13,749;49,892;-8,527;-11,38;-10,989;-1,275;-2,698;-7,678;30,938
"jeune";13,868;-9,402;-0,048;3,933;-5,053;-2,219;0,023;0,213;-0,206;-2,12;6,366
"grand";-0,603;0,016;0,049;0,738;-4,784;-0,189;-2,332;-2,316;6,146;1,851;0,457
"retrouver";481,73;-4,696;-1,742;-7,119;-6,05;-8,202;-4,407;-3,837;-1,514;-9,094;-1,732
"monde";0,264;-0,61;-5,032;-1,229;-1,04;-6,968;-0,092;-2,6;97,624;-1,594;-0,172
"rts";416,423;-5,481;-7,105;-8,175;-0,092;-2,682;-2,275;-1,454;-8,036;-1,734;-6,803
"jour";-3,662;2,765;-3,816;-3,096;1,055;16,927;-2,329;-0,15;0,225;-0,232;0,192
"femme";-0,164;-1,908;-0,208;-3,584;-0,685;0,074;32,044;-0,026;-3,494;0,413;0,614
"vie";12,113;-4,793;0,391;-3,971;-1,641;-6,368;-0,021;-0,018;-0,83;-5,149;55,972
"enfant";0,101;-5,418;-7,314;22,526;11,14;-1,127;0,492;1,457;-2,593;-2,482;-0,946
"miracle";460,12;-2,851;-4,702;-6,33;-4,559;-5,802;-4,666;-1,441;-6,254;-5,064;-1,941
"archive";592,615;-7,96;-5,599;-4,519;-3,61;-9,53;-5,543;-3,364;-3,004;-8,317;-5,094
"annoncer";-4,853;3,799;-5,008;-9,572;31,627;47,29;-4,956;-0,518;-3,721;0,949;-8,435
"samedi";264,872;0,011;-7,518;-7,9;10,407;-0,553;-7,461;-5,223;-7,783;-2,656;-8,92
"mettre";-1,716;-3,369;-0,849;-2,373;0,792;17,556;1,583;0,67;-2,294;5,173;-4,321
"lausanne";0,315;-0,001;0,256;-0,039;0,009;-0,757;1,009;0,07;-3,516;1,585;-0,119
"aller";-3,907;-0,056;-0,029;13,428;-3,863;-1,11;-3,994;-0,967;0,187;13,565;-0,013
"pays";-0,192;0,52;-4,91;-3,699;0,205;60,145;-0,002;-2,898;-2,294;-0,429;-0,759
"conseil";-4,567;-4,913;-1,682;-6,963;-4,518;35,232;-1,645;-0,411;-2,1;100,345;-5,922
"dernier";-4,283;0,883;-4,423;-8,753;4,052;0,201;5,702;-4,517;0,412;14,83;-1,235
"unir";-5,664;0,12;-5,797;-7,804;0;239,757;-2,113;-2,122;-2,303;-4,169;-6,877
"prendre";0,223;-1,908;-4,812;-2,273;0,242;-0,016;4,731;-0,446;0,206;-0,04;5,778
"heure";-1,098;-2,555;-4,038;1,478;-0,01;-1,11;-0,023;0,008;6,162;10,477;-1,968
"public";0,021;0;0,008;-3,244;-0,081;4,126;-0,609;0,202;0,04;4,261;-3,887
"nouveau";-4,001;2,34;-0,043;-2,801;-0,362;0,028;0,526;4,806;-0,7;7,449;-2,058
"homme";-0,301;-4,115;-0,017;-1,432;1,808;2,358;4,885;-0,173;-7,977;-0,552;8,717
"fin";-2,123;0,584;-0,009;-0,109;-0,001;8,286;0,742;-2,185;-2,407;1,22;-0,814
"passer";0,001;-0,3;-2,066;2,081;-5,523;-0,223;0;0,053;-1,124;12,31;0,249
"temps";5,055;-5,357;-0,089;27,742;-3,038;-2,633;-1,631;-0,027;-3,049;0,995;0,084
"novembre";-1,882;31,741;-3,561;-5,384;1,133;0,201;0,002;-0,086;-0,028;2,969;-6,64
"noël";-0,482;19,823;-3,622;0,159;-3,512;-4,469;-1,706;1,347;12,731;-0,07;-2,325
"fédéral";-3,627;-3,918;-3,751;-5,644;-2,007;11,413;43,252;-0,821;-3,753;23,125;-4,767
"canton";-0,971;-0,025;-2,232;-5,775;-0,001;-0,964;0,742;0,025;-5,685;103,358;-4,881
"face";-2,983;-0,101;-5,098;-1,662;3,341;0,06;1,591;11,394;-4,659;15,684;-3,973
"franc";-4,209;0,001;-4,308;-3,717;5,486;-5,315;5,18;-2,993;-2,041;78,674;-3,083
"décembre";-0,243;38,668;-4,505;-1,107;-0,23;-0,806;0,296;0,008;-5,992;8,626;-3,303
"devenir";0,49;2,381;-5,297;-0,861;-1,616;2,254;-3,241;-3,68;12,07;-0,234;0,489
"partir";0,147;-0,055;-0,47;3,805;-4,751;3,062;-1,4;0,287;-2,706;4,617;-0,972
"ville";-0,787;8,177;-0,135;0,01;0,06;-0,53;-0,126;-1,089;0,386;0,335;-1,384
"notamment";-3,35;5,695;-5,497;-7,4;-0,709;0,885;4,089;18,061;-0,966;1,722;-1,448
"mondial";-0,205;17,764;-2,445;-0,286;-2,324;-3,386;18,966;-1,263;1,954;-1,299;-3,193
"jeudi";-2,354;6,908;-4,406;-5,932;7,923;12,732;0,003;0,016;-0,978;0,175;-5,227
"romand";16,52;-0,037;0,8;-0,068;-1,245;-5,924;-0,014;-1,502;0,465;0,048;-0,219
"fête";2,767;-2,933;2,599;0,941;-0,985;-3,511;0,093;-0,403;4,717;-0,222;-1,493
"connaître";0,006;3,431;-3,561;10,243;-3,402;-3,059;1,009;-0,086;0,469;0,109;-2,836
"travail";-0,003;-0,533;-0,471;-0,352;-3,417;0,42;8,458;-0,755;-1,218;7,138;-0,144
"national";-1,271;-1,461;-2,812;-1,377;-2,678;5,233;0,833;-0,39;0,05;32,563;-3,637
"lundi";-2,532;0,865;-0,002;-4,097;40,811;3,807;-2,596;-1,382;-4,028;1,781;-3,414
"lancer";-1,199;-0,023;-0,008;-4,224;2,393;-0,957;-0,006;0,384;2,774;7,764;-3,525
"dimanche";-0,987;2,467;-4,406;-5,932;59,235;4,381;-2,415;-1,263;-0,978;0,175;-5,227
"vaudois";-0,008;-2,947;-2,812;-0,515;-2,678;0,159;-0,403;-0,39;6,328;10,32;0,241
"révéler";-5,176;-0,157;-5,297;-7,132;-3,129;-1,45;73,012;91,352;-3,165;-3,657;-2,531
"permettre";-4,402;-0,004;-1,129;-3,97;-2,412;-0,169;-0,27;32,051;-2,259;24,929;-0,112
"voir";-2,892;-1,621;0,082;-0,646;-0,447;-0,028;0,092;8,14;5,612;-3,352;0,737
"viser";-4,498;-2,756;-4,603;-6,197;2,581;23,432;4,294;-1,382;-4,028;23,968;-3,414
"rester";-1,345;0,072;-0,47;-0,579;2,05;1,644;11,664;0,287;-0,08;-3,252;-3,748
"rencontre";0,114;-5,152;0,082;-0,646;-0,447;0,088;-2,962;-3,473;2,159;-3,352;36,423
"près_de";0,008;1,085;-0,243;-3,843;2,993;0,382;42,297;-1,263;-3,777;-2,752;-5,227
"place";-3,349;-1,647;-1,557;-0,294;-0,36;1,608;8,992;-0,702;0,308;1,011;0,055
"diffuser";417,732;-3,043;-2,905;-4,48;-0,399;-6,046;-4,863;-1,562;-6,518;-5,277;-5,813
"santé";-1,199;-1,382;-0,008;-2,542;-2,589;3,544;12,746;44,728;-6,254;-1,545;-1,941
"projet";-1,574;7,83;-3,525;-4,745;-1,551;3,032;-1,62;3,663;-1,218;19,397;-2,219
"prix";-0,848;1,088;-0,069;-0,46;-2,572;1,754;6,18;3,359;-1,613;-1,057;-0,251
"nombreux";1,116;-0,011;1,003;16,208;-0,269;-0,209;-1,177;0,44;-2,369;-1,462;-3,414
"service";-0,427;1,069;-3,525;-1,258;0,318;-0,198;-0,456;-0,755;-4,688;53,169;-0,873
"mort";-0,37;-0,037;-2,812;-2,656;21,29;13,72;0,833;-3,335;-4,279;-0,605;-0,219
"mois";-4,017;5,351;-0,848;-5,535;1,867;-0,048;8,856;0,062;-5,468;10,645;-2,864
"lien";385,747;-1,461;-4,801;-4,352;-4,655;-5,924;-2,778;-3,335;-1,327;-3,151;-5,696
"état";-2,266;0,001;-4,308;-3,717;5,486;44,08;-0,193;-1,205;-2,041;-0,003;-0,557
"suivre";9,646;-2,193;0,632;-0,114;-3,891;0,118;0,063;-0,131;0,467;1,388;-4,761
"semaine";-3,921;0,031;-0,105;-3,341;-0,074;8,49;-0,097;-1,032;-1,723;24,783;-1,295
"nouvelle";-0,66;12,845;-3,915;-3,216;-0,642;-0,407;0,091;5,388;-3,158;5,479;-0,002
"français";-0,919;-0,254;-0,204;-3,717;-0,897;21,637;-2,324;0,028;-0,215;-0,335;5,209
"vendredi";-3,73;9,678;-3,817;-5,139;10,9;2,291;-0,634;0,145;-3,036;5,856;-2,539
"bio";459,797;-4,643;-4,505;-6,065;-2,412;-5,558;-4,47;-3,13;-3,902;-4,851;-3,303
