"";"*rts_a";"*rts_i"
"si";67;18
"je";54;3
"être";743;1076
"toujours";52;13
"vivant";6;6
"prendre";35;44
"une";336;684
"bon";88;15
"et";812;1071
"vous";247;12
"que";193;249
"souhaiter";7;6
"pour";484;602
"cette";92;203
"fin";28;47
"d";439;745
"année";112;109
"htag_rtsarchives";910;1
"le";953;1295
"fromage";9;4
"souvenir";34;1
"dans";377;429
"les";760;1162
"cours";11;18
"de";1754;2884
"des";467;1112
"80";31;7
"enfant";41;51
"s";126;189
"se";154;133
"avec";192;245
"plaisir";18;2
"htag_80s";57;0
"cadeau";10;6
"noël";29;42
"ne";243;127
"avoir";417;1145
"pas";252;81
"cela";12;12
"faire";167;109
"partie";7;31
"la";1062;1678
"tradition";7;7
"oui";8;2
"parfois";12;6
"il";264;159
"arriver";8;13
"père";9;7
"c";239;37
"retour";18;25
"htag_noel";24;1
"où";22;33
"t";22;12
"comment";33;6
"aller";43;39
"passer";40;34
"autant";6;4
"réponse";21;10
"à";660;1193
"du";387;558
"classe";10;1
"suisse";278;334
"romand";41;18
"htag_rtsxarchives";36;0
"htag_christmas";14;0
"000";12;56
"heure";43;36
"soigner";7;4
"ses";108;98
"en";681;823
"idée";9;4
"masculin";9;1
"grâce";17;36
"l";690;1107
"émission";125;20
"mon";23;2
"oeil";11;2
"trouver";28;9
"quoi";47;4
"votre";41;6
"sapin";8;2
"bonheur";12;5
"vos";24;1
"proche";2;18
"emji_sapin_de_noël";1;14
"partir";30;33
"recherche";5;19
"musical";8;9
"rts";74;35
"compagnie";10;7
"retrouver";105;13
"version";5;8
"long";12;11
"ces";70;94
"sur";290;318
"lien";45;6
"bio";48;0
"archive";85;1
"beauté";7;4
"espace";3;16
"2";13;31
"saison";14;25
"officiellement";5;11
"lancer";22;35
"fêter";15;4
"ça";74;6
"on";154;28
"proposer";22;24
"meilleur";19;11
"pire";8;4
"nos";25;17
"htag_fashion";20;1
"htag_look";21;1
"recette";12;4
"atteindre";7;39
"près_de";9;46
"200";3;18
"km";3;15
"h";3;10
"piste";15;8
"kilomètre";6;7
"htag_neige";14;0
"budget";2;17
"chat";13;12
"quand";48;5
"devenir";24;40
"un";499;725
"véritable";9;3
"emji_notes_de_musique";4;15
"danse";21;5
"créer";11;28
"par";94;385
"plus";167;264
"grand";60;64
"succès";9;19
"international";11;30
"initialement";1;12
"station";7;15
"chanson";13;10
"monde";52;63
"40";20;17
"pays";24;57
"son";187;208
"commencer";15;13
"1970";18;4
"au";197;311
"qui";243;220
"transformer";2;11
"connaître";25;34
"sa";103;150
"traverser";3;8
"décennie";7;9
"continuer";4;11
"séduire";3;9
"jeune";78;48
"public";26;52
"notamment";6;55
"streaming";1;9
"50";14;26
"million";2;77
"environ";4;32
"400";1;10
"rester";15;40
"incontournable";8;3
"fête";48;11
"populaire";3;12
"aux";95;182
"dernier";15;65
"nouveau";16;61
"aujourd_hui";31;18
"âgé";10;18
"an";175;205
"profiter";11;6
"retraite";10;11
"oeuvre";6;12
"alors";40;30
"voici";26;3
"base";4;9
"découvrir";26;17
"via";10;11
"notre";57;21
"htag_instafood";21;0
"emji_skieur";1;13
"emji_drapeau_suisse";7;305
"décembre";9;57
"chute";3;14
"val";10;5
"arrêter";10;10
"carrière";12;11
"qu";134;67
"te";7;4
"raconter";28;5
"histoire";23;17
"image";11;11
"ce";220;264
"penser";8;7
"garçon";10;3
"rue";23;7
"cheveu";8;2
"réaction";7;10
"1971";13;0
"3";16;42
"après";49;133
"mai";6;7
"1968";14;1
"htag_microtrottoir";18;0
"htag_jeunesse";16;0
"légende";7;7
"jurer";4;17
"y";108;40
"amour";37;5
"mais";92;76
"raison";5;23
"semaine";12;38
"énergie";6;5
"repos";9;1
"léman";7;11
"course";15;13
"tout";82;27
"beau";38;10
"rassembler";11;3
"vieux";12;6
"ville";19;42
"genève";50;89
"tu";20;4
"croire";11;0
"ou";136;87
"fribourg";12;16
"vaud";7;16
"neuchâtel";6;18
"valoir";18;15
"question";34;13
"toute";25;19
"htag_enfant";13;0
"assurer";3;12
"ski";26;18
"rien";22;2
"mieux";34;2
"htag_ski";18;0
"gare";7;11
"monsieur";20;1
"train";12;23
"cff";4;18
"introduire";2;8
"interdiction";5;7
"leurs";29;47
"finir";9;4
"cigarette";6;6
"autres";75;29
"vraiment";12;7
"cuisine";12;0
"partager";20;16
"secret";20;3
"nombreux";28;24
"fan";12;11
"travers";8;11
"journal";10;5
"livre";7;8
"même";28;31
"personne";15;111
"jamais";18;7
"rencontrer";9;5
"complet";18;3
"drôle";12;0
"métier";20;2
"avis";18;5
"attendre";12;25
"htag_insolite";11;0
"trop";29;4
"depuis";47;78
"transport";7;11
"adapter";4;10
"dire";37;10
"nous";91;20
"quelle";9;2
"tv";9;1
"tant";7;7
"emji_ballon_de_football";5;35
"16";7;22
"novembre";7;65
"affronter";6;4
"chez";21;30
"elle";70;81
"lors";23;57
"match";12;12
"mondial";11;49
"nati";6;6
"arrivée";5;11
"équipe";17;27
"aussi";43;22
"garder";6;11
"envers";4;6
"époque";11;3
"conseil";15;66
"sécurité";6;27
"onu";1;9
"voter";4;12
"lundi";12;45
"plan";2;25
"paix";6;15
"donald";1;29
"trump";1;33
"gaza";2;40
"prévoir";4;40
"force";7;18
"mot";18;4
"bien";84;51
"manifestation";2;23
"récent";2;8
"cessez_le_feu";1;20
"guerre";8;21
"terme";4;10
"moins";19;55
"signe";6;4
"mouvement";6;10
"très";31;24
"lausannois";15;2
"tous";74;17
"salle";10;0
"eau";19;15
"leur";77;93
"ils";53;23
"rendre";13;30
"veille";6;4
"bain";8;8
"st";5;8
"htag_lausanne";19;0
"pourquoi";21;8
"marier";9;5
"falloir";44;7
"salon";9;1
"mariage";8;2
"union";3;10
"htag_love";19;0
"htag_suisse";69;0
"vouloir";28;12
"association";3;21
"contre";24;74
"dénoncer";4;11
"voiture";24;10
"obligatoire";8;7
"selon";10;122
"lui";35;20
"société";10;12
"tuer";3;19
"petit";118;16
"feu";12;17
"liberté";12;10
"bientôt";4;8
"interdire";5;13
"individu";2;9
"sortir";14;20
"sans";56;49
"htag_archives";72;0
"1";51;39
"entre";31;90
"parent";11;11
"soirée";13;6
"vivre";25;7
"rencontre";37;18
"suivre";29;21
"temps";52;20
"projection";12;3
"inviter";12;8
"plonger";6;7
"programme";11;10
"regard";11;3
"événement";14;15
"quotidien";13;11
"personnalité";3;7
"témoignage";13;5
"actuel";3;11
"inédit";1;14
"théâtre";3;7
"19";3;16
"inscrire";4;10
"chanter";11;2
"claude";10;0
"champion";18;7
"bel";10;2
"seul";12;12
"htag_humour";30;0
"miracle";88;2
"montrer";7;21
"1967";11;0
"ouvrier";5;6
"exprimer";7;11
"fort";10;22
"époux";5;7
"clip";43;2
"plein";60;15
"diffuser";49;6
"samedi";46;36
"18h45";41;0
"htag_miraclesuisse";43;0
"htag_madeinswitzerland";42;0
"htag_suissitude";38;0
"20";14;39
"jour";35;66
"encore";36;26
"réaliser";6;13
"occasion";32;10
"moment";12;11
"emji_feu";2;11
"propre";16;4
"couple";9;2
"américain";6;42
"voyage";20;6
"donner";18;12
"dossier";6;10
"ordre";5;7
"htag_switzerland";15;0
"occuper";10;5
"htag_commeunlundi";12;0
"style";11;1
"chaussette";10;1
"simple";13;3
"mode";25;5
"commun";9;13
"apprendre";9;7
"aimer";47;0
"poser";6;5
"plutôt";20;3
"htag_kids";25;0
"mort";12;39
"médecin";7;8
"mettre";20;62
"terre";13;6
"vie";72;24
"compter";5;7
"étude";2;39
"spécial";12;10
"htag_invention";10;0
"solution";9;8
"1992";9;1
"présent";15;9
"reportage";15;3
"plusieurs";10;39
"pendant";11;15
"parmi";8;19
"tard";22;7
"froid";14;11
"règle";6;9
"manquer";13;12
"logement";3;7
"développer";4;6
"ceux";40;5
"appeler";15;11
"sensible";7;3
"maison";15;10
"1972";14;0
"entier";8;5
"compte";15;15
"fou";11;1
"manger";9;1
"dimanche";3;54
"soir";10;26
"comme";38;109
"état";6;44
"civil";6;15
"25";5;19
"nom";5;10
"particulièrement";2;19
"exister";10;4
"2000";14;7
"lausanne";32;50
"école";24;17
"1985";9;1
"retourner";6;4
"savoir";35;6
"élève";7;9
"htag_ecole";13;0
"femme";41;57
"traditionnel";6;10
"quelques";33;14
"glisser";10;1
"sous";23;39
"ouvrir";12;24
"sport";15;9
"alcool";7;4
"domaine";1;10
"famille";18;25
"vin";15;12
"devant";17;11
"caméra";10;3
"1969";11;0
"fils";7;4
"jean";26;9
"là";10;5
"âge";27;18
"bande";3;17
"main";9;2
"objectif";3;12
"record";8;24
"personnel";3;9
"corps";13;5
"esprit";12;2
"forme";4;9
"part";5;11
"vacance";27;5
"1994";10;2
"poste";5;26
"service";7;44
"animal";15;29
"voir";24;31
"vrai";10;1
"chaque";14;32
"jeudi";2;58
"offrir";10;36
"émotion";10;5
"jeunesse";14;3
"ambiance";16;2
"télévision";29;5
"parole";6;5
"manière";8;8
"eux";9;5
"30";21;27
"changer";12;8
"scène";4;9
"comédien";14;0
"travailler";9;7
"tour";17;20
"adolescent";12;10
"acteur";6;14
"cinéma";19;8
"décéder";4;12
"film";12;16
"philippe";7;7
"22";9;13
"début";19;26
"effet";5;20
"déjà";27;32
"citoyen";5;12
"représentant";4;7
"défendre";3;8
"espèce";1;19
"menacer";3;13
"entendre";6;5
"avenir";3;10
"canton";13;57
"htag_valais";18;0
"affaire";7;25
"marquer";6;32
"cet";44;33
"fédéral";10;61
"4";9;28
"500";1;10
"j";37;3
"peur";9;1
"avion";9;5
"pilote";7;9
"ligne";3;36
"18";5;19
"armée";17;20
"porte";6;12
"répondre";10;11
"document";9;6
"htag_armeesuisse";10;0
"pouvoir";38;99
"achat";2;9
"présenter";19;26
"100";11;16
"gagner";7;4
"elles";16;23
"travailleur";3;9
"ni";13;4
"fille";14;8
"13";5;18
"17";3;14
"journaliste";15;12
"choisir";13;12
"rêve";13;3
"htag_voiture";14;0
"matin";18;23
"préparer";7;7
"avant";35;37
"appétit";9;1
"star";5;6
"plateau";14;3
"également";7;26
"puis";8;5
"vers";4;19
"dizaine";2;9
"art";15;18
"humour";9;1
"légendaire";8;4
"blanc";18;8
"bas";6;9
"faux";4;12
"éviter";9;13
"htag_mode";10;0
"helvétique";11;3
"certains";19;16
"préférer";10;2
"madame";19;0
"tête";16;12
"1966";13;0
"htag_vieillesse";11;0
"deux";27;95
"durant";14;20
"60";17;11
"revenir";13;25
"lieu";8;23
"chercheur";1;15
"or";8;8
"bord";5;7
"rêver";10;0
"travail";20;37
"vitesse";5;6
"garantir";5;6
"malade";6;4
"presque";6;7
"porter";8;14
"couper";15;29
"mythique";9;2
"valaisan";10;1
"vélomoteur";11;0
"génération";10;7
"htag_eighties";23;0
"jeu";28;16
"parler";20;5
"autorité";1;19
"policier";3;13
"vaudois";25;31
"1974";12;0
"lac";13;5
"accueillir";7;20
"haut";15;18
"couleur";7;6
"pierre";6;4
"radio";16;6
"vert";8;14
"geste";4;8
"coeur";14;10
"saint";14;20
"journée";27;19
"lever";10;5
"passage";9;8
"niveau";2;22
"8";9;21
"habitant";7;20
"htag_geneve";21;0
"participer";7;18
"concours";10;7
"premier";41;128
"tenter";6;7
"témoigner";12;7
"changement";6;15
"village";15;14
"e";4;22
"soleil";24;3
"peu";32;14
"santé";14;40
"70";13;9
"frère";3;7
"carte";8;11
"terminer";3;7
"htag_vacances";19;0
"national";10;47
"florilège";12;0
"revoir";6;5
"final";3;12
"euro";1;17
"féminin";9;6
"2025";5;60
"café";8;5
"pain";8;5
"difficile";10;11
"cas";11;21
"chaud";4;7
"montagne";12;3
"passion";23;1
