"";"X.rts_a";"X.rts_i"
"si";11,2719;-11,2719
"je";16,5165;-16,5165
"être";-0,8613;0,8613
"toujours";9,3215;-9,3215
"vivant";0,4064;-0,4064
"prendre";0,4111;-0,4111
"une";-9,0667;9,0667
"bon";18,9629;-18,9629
"et";0,7153;-0,7153
"vous";75,6461;-75,6461
"que";0,5685;-0,5685
"souhaiter";0,5529;-0,5529
"pour";1,2713;-1,2713
"cette";-4,1563;4,1563
"fin";-0,6274;0,6274
"d";-3,6889;3,6889
"année";2,2051;-2,2051
"htag_rtsarchives";Inf;-Inf
"le";0,3943;-0,3943
"fromage";1,3429;-1,3429
"souvenir";11,4558;-11,4558
"dans";2,3887;-2,3887
"les";-1,9726;1,9726
"cours";-0,4003;0,4003
"de";-9,4017;9,4017
"des";-24,8056;24,8056
"80";6,1315;-6,1315
"enfant";0,4507;-0,4507
"s";-0,6193;0,6193
"se";4,2792;-4,2792
"avec";0,6293;-0,6293
"plaisir";4,9231;-4,9231
"htag_80s";21,4164;-21,4164
"cadeau";1,0864;-1,0864
"noël";-0,3338;0,3338
"ne";19,3048;-19,3048
"avoir";-36,96;36,96
"pas";34,9584;-34,9584
"cela";0,5519;-0,5519
"faire";9,244;-9,244
"partie";-2,7462;2,7462
"la";-3,8417;3,8417
"tradition";0,4344;-0,4344
"oui";1,7564;-1,7564
"parfois";1,5033;-1,5033
"il";16,5158;-16,5158
"arriver";-0,3525;0,3525
"père";0,7309;-0,7309
"c";52,5849;-52,5849
"retour";-0,259;0,259
"htag_noel";7,8412;-7,8412
"où";-0,3659;0,3659
"t";2,1807;-2,1807
"comment";7,248;-7,248
"aller";1,4187;-1,4187
"passer";1,5931;-1,5931
"autant";0,6907;-0,6907
"réponse";2,4517;-2,4517
"à";-8,3898;8,3898
"du";-0,6154;0,6154
"classe";2,9236;-2,9236
"suisse";1,2771;-1,2771
"romand";4,7058;-4,7058
"htag_rtsxarchives";13,5231;-13,5231
"htag_christmas";5,2577;-5,2577
"000";-4,804;4,804
"heure";1,7377;-1,7377
"soigner";0,8939;-0,8939
"ses";2,7439;-2,7439
"en";2,1749;-2,1749
