"";"X.rts_a";"X.rts_i"
"con";10,257;-10,257
"pro_per";104,5986;-104,5986
"aux";-24,0793;24,0793
"adv_sup";35,8623;-35,8623
"adj";-22,8312;22,8312
"ver";-43,0369;43,0369
"art_ind";-28,7938;28,7938
"ono";21,291;-21,291
"pro_rel";3,5675;-3,5675
"pre";-22,9914;22,9914
"adj_dem";-1,6449;1,6449
"nom";-74,8446;74,8446
"nom_sup";Inf;-Inf
"nr";-87,2615;87,2615
"art_def";-11,0391;11,0391
"num";-7,3047;7,3047
"pro_dem";38,4949;-38,4949
"ver_sup";9,5742;-9,5742
"adj_pos";10,9639;-10,9639
"adv";-15,8239;15,8239
"pro_ind";10,9161;-10,9161
"adj_ind";-0,4308;0,4308
"adj_int";6,6116;-6,6116
"adj_sup";0,7361;-0,7361
"adj_num";-28,5752;28,5752
"pro_pos";1,1064;-1,1064
