"";"banalfreq";"X.rts_a";"X.rts_i"
"être";1828;-1,0502;1,0502
"vivant";12;0,3889;-0,3889
"prendre";79;0,3677;-0,3677
"et";1883;0,4402;-0,4402
"que";442;0,4462;-0,4462
"souhaiter";13;0,5305;-0,5305
"pour";1086;0,9537;-0,9537
"fin";75;-0,6869;0,6869
"année";221;1,995;-1,995
"le";2248;-0,4086;0,4086
"dans";806;1,9783;-1,9783
"cours";29;-0,4277;0,4277
"s";315;-0,744;0,744
"avec";437;0,4989;-0,4989
"cadeau";18;1,454;-1,454
"noël";74;0,2949;-0,2949
"cela";24;0,522;-0,522
"tradition";22;1,8486;-1,8486
"oui";10;1,7159;-1,7159
"parfois";18;1,454;-1,454
"arriver";21;-0,3739;0,3739
"père";16;0,7011;-0,7011
"retour";43;-0,284;0,284
"où";55;-0,4017;0,4017
"aller";82;1,3193;-1,3193
"passer";74;1,4916;-1,4916
"autant";10;0,6677;-0,6677
"du";945;-0,8411;0,8411
"soigner";11;0,8656;-0,8656
"en";1504;1,6545;-1,6545
"idée";13;1,3035;-1,3035
"grâce";53;-1,1216;1,1216
"sapin";10;1,7159;-1,7159
"partir";63;0,5968;-0,5968
"recherche";24;-1,6571;1,6571
"musical";17;0,3482;-0,3482
"compagnie";17;0,8657;-0,8657
"version";13;-0,3061;0,3061
"long";23;0,6227;-0,6227
"ces";164;-0,2749;0,2749
"beauté";13;1,3035;-1,3035
"espace";21;-1,2215;1,2215
"2";44;-1,2879;1,2879
"saison";40;-0,5101;0,5101
"officiellement";16;-0,5964;0,5964
"lancer";57;-0,5045;0,5045
"proposer";46;0,54;-0,54
"meilleur";30;1,737;-1,737
"pire";12;1,0783;-1,0783
"nos";42;1,6818;-1,6818
"km";18;-1,7132;1,7132
"h";13;-0,9078;0,9078
"piste";23;1,6056;-1,6056
"kilomètre";13;0,296;-0,296
"vitesse";12;0,3889;-0,3889
"chat";33;1,9061;-1,9061
"devenir";64;-0,6229;0,6229
"un";1224;-1,0544;1,0544
"véritable";12;1,6103;-1,6103
"emji_notes_de_musique";19;-1,3634;1,3634
"créer";39;-1,3424;1,3424
"plus";431;-1,2793;1,2793
"grand";124;0,9306;-0,9306
"succès";28;-0,7586;0,7586
"international";41;-1,5715;1,5715
"station";22;-0,681;0,681
"monde";117;0,5963;-0,5963
"40";37;0,9592;-0,9592
"pays";81;-1,9716;1,9716
"son";395;1,4572;-1,4572
"commencer";28;0,7813;-0,7813
"au";508;-1,4008;1,4008
"transformer";13;-1,4119;1,4119
"connaître";59;-0,272;0,272
"sa";253;-0,549;0,549
"traverser";11;-0,6269;0,6269
"décennie";16;0,2506;-0,2506
"continuer";15;-0,7956;0,7956
"séduire";12;-0,7636;0,7636
"public";79;-1,1141;1,1141
"streaming";10;-1,4918;1,4918
"50";40;-0,6872;0,6872
"400";11;-1,697;1,697
"rester";55;-1,8767;1,8767
"incontournable";11;1,3547;-1,3547
"populaire";15;-1,2151;1,2151
"âgé";28;-0,5353;0,5353
"an";380;0,9914;-0,9914
"profiter";17;1,246;-1,246
"retraite";23;0,6227;-0,6227
"oeuvre";18;-0,5385;0,5385
"alors";70;1,9803;-1,9803
"base";13;-0,5499;0,5499
"découvrir";43;1,8447;-1,8447
"via";21;0,3942;-0,3942
"chute";17;-1,5429;1,5429
"val";15;1,2693;-1,2693
"arrêter";20;0,4822;-0,4822
"carrière";23;0,6227;-0,6227
"te";11;0,8656;-0,8656
"histoire";41;1,5246;-1,5246
"image";22;0,5025;-0,5025
"ce";484;0,9252;-0,9252
"penser";15;0,5503;-0,5503
"réaction";17;-0,2585;0,2585
"3";58;-1,8957;1,8957
"mai";13;0,296;-0,296
"légende";15;0,5503;-0,5503
"jurer";29;-0,2831;0,2831
"pari";28;-0,5353;0,5353
"énergie";12;0,6775;-0,6775
"léman";18;-0,3284;0,3284
"course";32;1,3695;-1,3695
"vieux";18;1,454;-1,454
"ville";62;-1,2148;1,2148
"genève";139;-1,198;1,198
"fribourg";37;1,2229;-1,2229
"vaud";36;1,0819;-1,0819
"neuchâtel";25;-1,0094;1,0094
"toute";44;1,3813;-1,3813
"assurer";15;-1,2151;1,2151
"gare";18;-0,3284;0,3284
"train";39;-0,3158;0,3158
"cff";27;-0,6651;0,6651
"introduire";10;-0,8943;0,8943
"interdiction";12;-0,228;0,228
"fumer";11;1,3547;-1,3547
"leurs";76;-0,6062;0,6062
"finir";13;1,3035;-1,3035
"cigarette";18;1,454;-1,454
"vraiment";19;1,2301;-1,2301
"partager";37;1,2229;-1,2229
"nombreux";52;1,1581;-1,1581
"fan";24;0,7542;-0,7542
"travers";19;-0,2402;0,2402
"livre";15;0,3231;-0,3231
"même";59;0,5674;-0,5674
"rencontrer";14;1,0593;-1,0593
"attendre";37;-0,867;0,867
"depuis";125;-0,843;0,843
"transport";18;-0,3284;0,3284
"adapter";14;-0,6689;0,6689
"tant";14;0,4147;-0,4147
"16";29;-1,5132;1,5132
"affronter";10;0,6677;-0,6677
"chez";51;-0,3266;0,3266
"elle";151;0,6905;-0,6905
"match";24;0,522;-0,522
"nati";12;0,3889;-0,3889
"arrivée";16;-0,5964;0,5964
"équipe";44;-0,4562;0,4562
"garder";17;-0,4444;0,4444
"envers";10;-0,2486;0,2486
"sécurité";36;-1,6636;1,6636
"onu";10;-1,4918;1,4918
"voter";16;-0,929;0,929
"paix";21;-0,8616;0,8616
"force";26;-0,8215;0,8215
"récent";10;-0,8943;0,8943
"guerre";29;-1,1536;1,1536
"terme";14;-0,6689;0,6689
"signe";10;0,6677;-0,6677
"mouvement";16;-0,358;0,358
"très";55;1,5447;-1,5447
"eau";35;1,2179;-1,2179
"leur";170;0,5663;-0,5663
"rendre";43;-1,1862;1,1862
"veille";11;0,8656;-0,8656
"bain";16;0,4385;-0,4385
"st";13;-0,3061;0,3061
"lausanne";101;1,1579;-1,1579
"marier";14;1,0593;-1,0593
"union";13;-0,9078;0,9078
"dénoncer";15;-0,7956;0,7956
"obligatoire";15;0,5503;-0,5503
"société";22;0,3208;-0,3208
"feu";30;0,266;-0,266
"liberté";27;1,5664;-1,5664
"bientôt";12;-0,4394;0,4394
"interdire";18;-0,8284;0,8284
"individu";11;-1,0613;1,0613
"sortir";34;-0,3003;0,3003
"sans";105;1,7422;-1,7422
"parent";24;0,7542;-0,7542
"suivre";50;1,6777;-1,6777
"nyon";11;1,3547;-1,3547
"inviter";20;1,0402;-1,0402
"plonger";13;0,296;-0,296
"programme";21;0,6054;-0,6054
"événement";29;0,4748;-0,4748
"quotidien";25;0,896;-0,896
"personnalité";10;-0,4989;0,4989
"actuel";14;-1,0585;1,0585
"théâtre";10;-0,4989;0,4989
"19";19;-1,8871;1,8871
"inscrire";14;-0,6689;0,6689
"seul";24;0,522;-0,522
"montrer";31;-0,7956;0,7956
"ouvrier";12;0,3889;-0,3889
"exprimer";18;-0,3284;0,3284
"fort";32;-0,8919;0,8919
"époux";12;-0,228;0,228
"20";53;-1,9752;1,9752
"jour";101;-1,213;1,213
"encore";62;1,9748;-1,9748
"réaliser";19;-0,6398;0,6398
"moment";23;0,6227;-0,6227
"emji_feu";13;-1,4119;1,4119
"donner";30;1,3721;-1,3721
"dossier";16;-0,358;0,358
"ordre";12;-0,228;0,228
"occuper";15;1,2693;-1,2693
"commun";23;0,2599;-0,2599
"apprendre";16;0,7011;-0,7011
"poser";11;0,5096;-0,5096
"mort";53;-1,9752;1,9752
"médecin";15;0,3231;-0,3231
"terre";19;1,6711;-1,6711
"compter";12;-0,228;0,228
"spécial";22;0,7406;-0,7406
"innovation";15;1,2693;-1,2693
"solution";18;0,714;-0,714
"raclette";11;0,5096;-0,5096
"présent";24;1,394;-1,394
"pendant";26;-0,2471;0,2471
"parmi";27;-0,9275;0,9275
"froid";30;1,737;-1,737
"règle";15;-0,28;0,28
"manquer";25;0,6396;-0,6396
"femme";119;1,6149;-1,6149
"logement";11;-0,3386;0,3386
"développer";10;-0,2486;0,2486
"appeler";26;1,0474;-1,0474
"sensible";10;1,1097;-1,1097
"maison";25;1,2092;-1,2092
"entier";13;0,8614;-0,8614
"compte";30;0,5768;-0,5768
"soir";36;-1,3182;1,3182
"civil";21;-0,8616;0,8616
"personnage";10;0,6677;-0,6677
"25";24;-1,6571;1,6571
"nom";16;-0,358;0,358
"exister";14;1,5396;-1,5396
"2000";21;1,6341;-1,6341
"école";43;1,8447;-1,8447
"retourner";10;0,6677;-0,6677
"élève";16;0,2506;-0,2506
"traditionnel";16;-0,358;0,358
"sous";62;-0,6512;0,6512
"ouvrir";36;-0,7782;0,7782
"alcool";15;1,785;-1,785
"domaine";11;-1,697;1,697
"famille";46;0,4015;-0,4015
"devant";28;1,3767;-1,3767
"caméra";13;1,875;-1,875
"fils";11;0,8656;-0,8656
"là";15;1,2693;-1,2693
"âge";45;1,8386;-1,8386
"objectif";15;-1,2151;1,2151
"record";32;-1,5236;1,5236
"personnel";12;-0,7636;0,7636
"forme";13;-0,5499;0,5499
"lapin";10;1,1097;-1,1097
"part";16;-0,5964;0,5964
"poste";34;-1,7883;1,7883
"animal";50;-0,2842;0,2842
"voir";55;0,3046;-0,3046
"chaque";46;-1,2158;1,2158
"émotion";15;1,2693;-1,2693
"parole";11;0,5096;-0,5096
"manière";16;0,4385;-0,4385
"eux";14;1,0593;-1,0593
"30";48;0,3038;-0,3038
"changer";20;1,0402;-1,0402
"scène";13;-0,5499;0,5499
"travailler";16;0,7011;-0,7011
"tour";37;0,3923;-0,3923
"adolescent";22;0,7406;-0,7406
"acteur";27;0,4557;-0,4557
"décéder";16;-0,929;0,929
"film";28;0,2476;-0,2476
"philippe";14;0,4147;-0,4147
"22";22;-0,2821;0,2821
"début";45;-0,2701;0,2701
"effet";25;-1,81;1,81
"déjà";59;0,4394;-0,4394
"citoyen";17;-0,709;0,709
"représentant";11;-0,3386;0,3386
"défendre";11;-0,6269;0,6269
"menacer";16;-1,3767;1,3767
"entendre";11;0,5096;-0,5096
"avenir";15;-0,4911;0,4911
"affaire";32;-1,9307;1,9307
"4";37;-1,7931;1,7931
"500";11;-1,697;1,697
"pilote";17;0,3482;-0,3482
"18";24;-1,6571;1,6571
"armée";38;0,4737;-0,4737
"porte";18;-0,5385;0,5385
"répondre";21;0,3942;-0,3942
"document";15;0,862;-0,862
"achat";11;-1,0613;1,0613
"présenter";45;-0,2701;0,2701
"100";27;-0,3017;0,3017
"gagner";11;0,8656;-0,8656
"elles";39;-0,3158;0,3158
"travailleur";12;-0,7636;0,7636
"13";24;-1,2353;1,2353
"17";17;-1,5429;1,5429
"journaliste";27;0,9057;-0,9057
"choisir";25;0,6396;-0,6396
"matin";41;0,3028;-0,3028
"préparer";14;0,4147;-0,4147
"avant";72;0,7324;-0,7324
"star";12;0,3889;-0,3889
"puis";13;0,8614;-0,8614
"dizaine";11;-1,0613;1,0613
"art";34;0,4386;-0,4386
"légendaire";12;1,0783;-1,0783
"bas";15;-0,28;0,28
"faux";16;-0,929;0,929
"éviter";22;-0,2821;0,2821
"certains";35;0,9481;-0,9481
"tête";28;1,0527;-1,0527
"durant";34;-0,3003;0,3003
"60";28;1,3767;-1,3767
"revenir";38;-0,7303;0,7303
"lieu";31;-1,3965;1,3965
"or";17;0,5693;-0,5693
"bord";12;-0,228;0,228
"travail";59;-0,6195;0,6195
