"";"X.rts_a";"X.rts_i"
"vivant";0,52;0,39
"prendre";3,03;2,86
"souhaiter";0,61;0,39
"fin";2,42;3,05
"année";9,69;7,08
"rtsarchives";78,7;0,06
"fromage";1,56;0,26
"souvenir";2,94;0,06
"cours";0,95;1,17
"enfant";5,97;3,31
"plaisir";1,64;0,13
"80s";4,93;0,06
"cadeau";1,04;0,39
"noël";2,77;2,73
"partie";0,61;2,01
"tradition";1,3;0,45
"arriver";0,69;0,84
"père";0,78;0,45
"retour";1,56;1,62
"noel";2,25;0,06
"aller";3,72;2,53
"passer";3,46;2,21
"réponse";1,82;0,65
"classe";0,86;0,06
"suisse";30,01;21,69
"romand";3,55;1,17
"rtsxarchives";3,11;0
"christmas";1,3;0,19
"heure";3,98;2,34
"soigner";0,61;0,26
"idée";0,78;0,26
"masculin";0,78;0,06
"émission";10,81;1,3
"oeil";0,95;0,13
"trouver";2,42;0,58
"sapin";0,69;0,13
"bonheur";1,56;0,32
"proche";0,17;1,17
"emji_sapin_de_noël";0,09;0,91
"partir";2,59;2,14
"recherche";0,43;1,23
"musical";0,69;0,58
"rts";6,66;2,27
"compagnie";0,86;0,45
"retrouver";9,08;0,84
"version";0,43;0,52
"long";1,04;0,71
"lien";3,89;0,39
"bio";4,32;0
"archive";13,66;0,06
"beauté";0,78;0,26
"espace";0,43;1,04
"saison";1,3;1,62
"officiellement";0,43;0,71
"lancer";1,9;2,27
"fêter";1,3;0,26
"proposer";1,9;1,56
"meilleur";1,64;0,71
"pire";0,69;0,26
"fashion";1,99;0,19
"look";2,51;0,06
"recette";1,56;0,26
"atteindre";0,61;2,53
"près_de";0,78;2,99
"km";0,26;0,97
"h";0,26;0,65
"piste";1,3;0,52
"kilomètre";0,52;0,45
"neige";2,68;1,04
"vitesse";0,52;0,39
"budget";0,26;1,1
"chat";1,82;0,78
"devenir";2,08;2,6
"véritable";0,78;0,19
"jouet";1,04;0,13
"emji_notes_de_musique";0,35;0,97
"danse";2,68;0,32
"créer";0,95;1,82
"grand";5,19;4,16
"succès";0,78;1,23
"international";0,95;1,95
"initialement";0,09;0,78
"animer";0,86;0,06
"station";0,61;0,97
"chanson";2,08;0,65
"monde";4,67;4,09
"pays";2,08;3,7
"commencer";1,3;0,84
"transformer";0,17;0,71
"connaître";2,16;2,21
"traverser";0,26;0,52
"décennie";0,61;0,58
"continuer";0,35;0,71
"séduire";0,26;0,58
"jeune";7,44;3,12
"public";2,34;3,38
"notamment";0,52;3,57
"streaming";0,09;0,58
"rester";1,3;2,6
"incontournable";0,69;0,19
"fête";4,24;0,71
"populaire";0,26;0,78
"dernier";1,3;4,22
"nouveau";1,38;3,96
"âgé";0,86;1,17
"profiter";0,95;0,39
"retraite";1,04;0,71
"oeuvre";0,52;0,78
"base";0,35;0,58
"découvrir";2,25;1,1
"instafood";1,82;0
"emji_skieur";0,09;0,84
"emji_drapeau_suisse";0,61;19,81
"décembre";0,78;3,7
"chute";0,26;0,91
"val";0,86;0,32
"arrêter";0,86;0,65
"carrière";1,04;0,71
"raconter";2,42;0,32
"histoire";2,08;1,1
"image";0,95;0,71
"penser";0,69;0,45
"garçon";0,95;0,19
"rue";1,99;0,45
"cheveu";0,78;0,13
"réaction";0,61;0,65
"mai";0,52;0,45
"microtrottoir";1,56;0
"jeunesse";2,59;0,19
"légende";0,69;0,45
"jurer";1,04;1,1
"amour";4,93;0,32
"raison";0,43;1,49
"pari";0,86;1,17
"semaine";1,04;2,47
"énergie";0,61;0,32
"lundi";1,12;2,92
"repos";0,78;0,06
"léman";0,61;0,71
"hippie";0,95;0
