"";"X.rts_a";"X.rts_i"
"con";34,45;27,07
"pro_per";38,31;16,02
"aux";27,83;39,53
"adv_sup";31,47;18,88
"adj";61,5;74,16
"ver";70,16;92,26
"art_ind";31;44,87
"ono";5,24;1,55
"pro_rel";12,38;10,02
"pre";130,66;153,14
"adj_dem";4,9;5,87
"nom";238,61;250,49
"nr";129,97;76,44
"art_def";98,66;112
"num";22,05;27,07
"pro_dem";14,43;6,12
"ver_sup";9,07;5,64
"adj_pos";14,52;9,81
"nom_sup";6,62;6,73
"adv";4,6;8,93
"pro_ind";7,76;4,43
"adj_ind";3,52;3,65
"adj_int";0,83;0,14
"adj_sup";0,29;0,18
"adj_num";1,1;5
"pro_pos";0,07;0
