"";"X.rts_a";"X.rts_i"
"vide_aucun_emji";979,4;177,1
"emji_notes_de_musique";4,12;17,71
"emji_skieur";1,03;15,35
"emji_drapeau_suisse";7,21;360,09
"emji_ballon_de_football";5,15;41,32
"emji_feu";2,06;12,99
"emji_flocon";1,03;21,25
"emji_drapeau_royaume_uni";0;11,81
"emji_sac_plein_d_argent";0;20,07
"emji_livres";0;14,17
"emji_drapeau_france";0;44,86
"emji_voiture";0;11,81
"emji_graphique_en_baisse";0;14,17
"emji_drapeau_ukraine";0;11,81
"emji_micro";0;11,81
"emji_graphique_en_hausse";0;11,81
"emji_clap";0;17,71
"emji_drapeau_territoires_palestiniens";0;36,6
"emji_ski";0;18,89
"emji_porte_documents";0;15,35
"emji_symbole_d_avertissement";0;24,79
"emji_symbole_d_interdiction";0;11,81
"emji_cerveau";0;15,35
"emji_gyrophare";0;30,7
"emji_train";0;16,53
"emji_avion";0;14,17
