"";"X.rts_a";"X.rts_i"
"vide_aucun_emji";316,2087;-316,2087
"emji_notes_de_musique";-2,3955;2,3955
"emji_skieur";-3,431;3,431
"emji_drapeau_suisse";-104,3176;104,3176
"emji_ballon_de_football";-7,2273;7,2273
"emji_feu";-2,2497;2,2497
"emji_flocon";-4,9833;4,9833
"emji_drapeau_royaume_uni";-3,3295;3,3295
"emji_sac_plein_d_argent";-5,6767;5,6767
"emji_livres";-3,9987;3,9987
"emji_drapeau_france";-12,8018;12,8018
"emji_voiture";-3,3295;3,3295
"emji_graphique_en_baisse";-3,9987;3,9987
"emji_drapeau_ukraine";-3,3295;3,3295
"emji_micro";-3,3295;3,3295
"emji_graphique_en_hausse";-3,3295;3,3295
"emji_clap";-5,0047;5,0047
"emji_drapeau_territoires_palestiniens";-10,4127;10,4127
"emji_ski";-5,3405;5,3405
"emji_porte_documents";-4,3338;4,3338
"emji_symbole_d_avertissement";-7,0241;7,0241
"emji_symbole_d_interdiction";-3,3295;3,3295
"emji_cerveau";-4,3338;4,3338
"emji_gyrophare";-8,7148;8,7148
"emji_train";-4,6691;4,6691
"emji_avion";-3,9987;3,9987
