"";"X.rts_a";"X.rts_i"
"emji_notes_de_musique";142,86;10,75
"emji_appareil_photo";57,14;369,79
"emji_skieur";28,57;8,22
"emji_drapeau_suisse";228,57;201,64
"emji_micro";57,14;10,75
"emji_pellicule";114,29;17,07
"emji_ballon_de_football";171,43;22,76
"emji_feu";57,14;10,75
"emji_appareil_photo_avec_flash";85,71;120,73
"emji_symbole_d_avertissement";28,57;15,17
"emji_flocon";28,57;12,01
"emji_drapeau_royaume_uni";0;6,32
"emji_sac_plein_d_argent";0;12,64
"emji_livres";0;7,59
"emji_drapeau_france";0;24,65
"emji_voiture";0;6,32
"emji_explosion";0;6,95
"emji_graphique_en_baisse";0;8,22
"emji_drapeau_ukraine";0;6,32
"emji_graphique_en_hausse";0;8,22
"emji_bulle_de_parole";0;9,48
"emji_clap";0;10,75
"emji_drapeau_territoires_palestiniens";0;19,6
"emji_ski";0;10,11
"emji_billet_avec_des_ailes";0;7,59
"emji_porte_documents";0;8,22
"emji_symbole_d_interdiction";0;6,32
"emji_cerveau";0;8,22
"emji_gyrophare";0;16,43
"emji_train";0;8,85
"emji_avion";0;7,59
