"";"*rts_a";"*rts_i"
"vide_aucun_emji";962;49
"emji_notes_de_musique";5;17
"emji_appareil_photo";2;585
"emji_skieur";1;13
"emji_drapeau_suisse";8;319
"emji_micro";2;17
"emji_pellicule";4;27
"emji_ballon_de_football";6;36
"emji_feu";2;17
"emji_appareil_photo_avec_flash";3;191
"emji_symbole_d_avertissement";1;24
"emji_flocon";1;19
"emji_drapeau_royaume_uni";0;10
"emji_sac_plein_d_argent";0;20
"emji_livres";0;12
"emji_drapeau_france";0;39
"emji_voiture";0;10
"emji_explosion";0;11
"emji_graphique_en_baisse";0;13
"emji_drapeau_ukraine";0;10
"emji_graphique_en_hausse";0;13
"emji_bulle_de_parole";0;15
"emji_clap";0;17
"emji_drapeau_territoires_palestiniens";0;31
"emji_ski";0;16
"emji_billet_avec_des_ailes";0;12
"emji_porte_documents";0;13
"emji_symbole_d_interdiction";0;10
"emji_cerveau";0;13
"emji_gyrophare";0;26
"emji_train";0;14
"emji_avion";0;12
