"";"X.rts_a";"X.rts_i"
"emji_sapin_de_noël";0,5831;-0,5831
"emji_notes_de_musique";4,399;-4,399
"emji_main_qui_écrit_peau_moyennement_claire";1,5104;-1,5104
"emji_appareil_photo";-3,2803;3,2803
"emji_skieur";0,6334;-0,6334
"emji_drapeau_suisse";0,5792;-0,5792
"emji_main_qui_écrit";-3,1724;3,1724
"emji_micro";1,3193;-1,3193
"emji_pellicule";2,6225;-2,6225
"emji_caméra";3,1995;-3,1995
"emji_ballon_de_football";3,9858;-3,9858
"emji_tête_qui_parle";1,7704;-1,7704
"emji_main_avec_index_pointant_à_droite";-0,5224;0,5224
"emji_feu";1,3193;-1,3193
"emji_trophée";1,5104;-1,5104
"emji_appareil_photo_avec_flash";-0,2973;0,2973
"emji_symbole_d_avertissement";0,4234;-0,4234
"emji_étincelles";0,6617;-0,6617
"emji_balance_à_poids";0,3628;-0,3628
"emji_caméscope";0,4829;-0,4829
"emji_flocon";0,5015;-0,5015
"emji_chaînons";-1,3102;1,3102
"emji_drapeau_royaume_uni";-0,0821;0,0821
"emji_stéthoscope";-0,0821;0,0821
"emji_montagne_enneigée";-0,0985;0,0985
"emji_téléviseur";-0,0821;0,0821
"emji_sac_plein_d_argent";-0,1644;0,1644
"emji_livres";-0,0985;0,0985
"emji_drapeau_france";-0,3215;0,3215
"emji_voiture";-0,0821;0,0821
"emji_drapeau_états_unis";-0,3381;0,3381
"emji_explosion";-0,0903;0,0903
"emji_graphique_en_baisse";-0,1067;0,1067
"emji_drapeau_ukraine";-0,0821;0,0821
"emji_graphique_en_hausse";-0,1067;0,1067
"emji_urne_électorale";-0,1891;0,1891
"emji_bulle_de_parole";-0,1232;0,1232
"emji_clap";-0,1397;0,1397
"emji_drapeau_territoires_palestiniens";-0,2553;0,2553
"emji_ski";-0,1314;0,1314
"emji_drapeau_israël";-0,1479;0,1479
"emji_hôpital";-0,0903;0,0903
"emji_billet_avec_des_ailes";-0,0985;0,0985
"emji_porte_documents";-0,1067;0,1067
"emji_symbole_d_interdiction";-0,0821;0,0821
"emji_cerveau";-0,1067;0,1067
"emji_gyrophare";-0,2139;0,2139
"emji_train";-0,115;0,115
"emji_globe_tourné_sur_l_afrique_et_l_europe";-0,1891;0,1891
"emji_avion";-0,0985;0,0985
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";-0,0821;0,0821
"emji_drapeau_brésil";-0,0821;0,0821
