"";"";"";"";"c";""
"1";"c";"-0.0396274846722227";"-0.197030939854288";"1.36812238386544";"22"
"2";"faire";"-0.240657526769661";"-0.0489496340259468";"1.3619823252503";"23"
"3";"dans";"-0.270441693669442";"-0.0715044642478671";"1.29350117122426";"26"
"4";"je";"-0.0473082606818231";"-0.40989806703899";"1.25641835797202";"29"
"5";"si";"-0.259531531333704";"0.00762575906109925";"1.21443367948754";"31"
"6";"du";"-0.251561774347998";"-0.000678788408693856";"1.13865408732264";"33"
"7";"tout";"-0.147127822559252";"0.00446484735829224";"1.09631434502139";"35"
"8";"se";"-0.350339941320592";"-0.012123417568291";"1.07928077319431";"37"
"9";"vous";"-0.167977089952882";"0.160588125618527";"1.0521815951594";"39"
"10";"falloir";"-0.322415580377085";"-0.00555989584263451";"1.03277517887031";"43"
"11";"nous";"-0.121867908968313";"-0.0135986368106073";"0.998525110479442";"50"
"12";"au";"-0.228173499608073";"-0.0792192743850103";"0.993014502786131";"53"
"13";"ils";"-0.256801123410908";"0.0954550749014379";"0.989361616593439";"54"
"14";"devoir";"-0.350006164611383";"0.102031800381906";"0.978363266798905";"55"
"15";"quand";"-0.270764924822552";"-0.0975308449386703";"0.970164010617008";"56"
"16";"rien";"-0.323081805587677";"0.0392471524389227";"0.965293639502173";"57"
"17";"autres";"-0.404083936765698";"0.15568785008709";"0.952477690849743";"61"
"18";"vouloir";"-0.28547039109841";"0.00936122653725626";"0.951035001416843";"62"
"19";"juste";"-0.274470070469229";"-0.0125238635142045";"0.946133567610869";"63"
"20";"dire";"-0.151697904501905";"-0.293652283019154";"0.94475170928145";"64"
"21";"cela";"-0.357104463186083";"0.106619041453491";"0.937176726906193";"66"
"22";"alors";"-0.361012635248074";"-0.0209950269894141";"0.936610695645438";"67"
"23";"aujourd_hui";"-0.186879016891735";"-0.257219033264524";"0.93480560814925";"68"
"24";"où";"-0.344880630870189";"0.00730425815869116";"0.927813482659115";"71"
"25";"nos";"-0.174008331406284";"0.0538283854947219";"0.926753036897731";"73"
"26";"moins";"-0.296235500355681";"-0.120606027823907";"0.926601606278429";"74"
"27";"aux";"-0.335749546163496";"0.184567308671778";"0.926423427230645";"75"
"28";"déjà";"-0.256273680216868";"-0.0872736051158302";"0.924966932157239";"76"
"29";"peu";"-0.237909459294877";"-0.210488726112498";"0.911181137259247";"78"
"30";"non";"-0.314535531439606";"-0.0294419840491555";"0.907498914080479";"80"
"31";"son";"-0.0757084233797244";"0.0800318573871382";"0.900153019052372";"83"
"32";"parce_que";"-0.450043011070439";"0.0818108491246433";"0.893234236027427";"84"
"33";"encore";"-0.171034600546987";"-0.127278517586602";"0.891772132412565";"85"
"34";"votre";"-0.20253341567859";"0.209573566091084";"0.886052282980332";"86"
"35";"tous";"-0.112370123926337";"0.154820920588544";"0.883404619986998";"87"
"36";"ceux";"-0.437284663419492";"0.169250753814076";"0.879798327831014";"88"
"37";"depuis";"-0.368222583518899";"0.258929586193639";"0.876353820524712";"90"
"38";"ses";"-0.25056009830577";"0.1695295918229";"0.869349183672869";"92"
"39";"pourquoi";"-0.370296676776356";"0.100305050703337";"0.85525966468374";"95"
"40";"sous";"-0.394146383952449";"0.0964098996096846";"0.834656903359536";"104"
"41";"force";"-0.133702397450231";"0.570521277889393";"0.83088364923868";"106"
"42";"pendant";"-0.29624508745258";"0.263175805305561";"0.828652744018128";"108"
"43";"ailleurs";"-0.416902190144666";"0.0814033039150332";"0.826501652656752";"111"
"44";"deux";"-0.212016341198524";"0.0367729007148892";"0.822570496522606";"113"
"45";"200";"-0.368791973130427";"0.468637418593691";"0.811682160425857";"131"
"46";"2023";"-0.295819543382747";"0.269695784047196";"0.809812790416062";"135"
"47";"ouais";"-0.108380409780034";"-0.551752068307774";"0.801899138422137";"175"
"48";"1994";"-0.237839798480098";"-0.86499164922181";"0.800615645281324";"218"
"49";"salut";"0.39143316936984";"-0.0759462956845848";"0.800541008537338";"225"
"50";"htag_cqfd";"-0.231636721470584";"-0.92065190669029";"0.800537125700945";"226"
"51";"1970";"0.483967846562693";"-0.151165298641766";"0.800406834968668";"232"
"52";"86";"-0.241995819070474";"-0.860257847521225";"0.800235558741137";"247"
"53";"ha";"0.272444883383052";"-0.445800292843977";"0.800223047379429";"248"
"54";"1974";"0.853041355362692";"-0.0798813389429001";"0.800156607734492";"253"
