"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"12332";"86997";"14.18";"****";""
" 83";"4672";" 1.78";"-623.854";"aller";"1.085328e-137"
"108";"4281";" 2.52";"-502.517";"voir";"2.693663e-111"
"138";"4071";" 3.39";"-408.360";"suisse";" 8.340548e-91"
"689";"9326";" 7.39";"-395.537";"emji_visage_riant_aux_larmes";" 5.158496e-88"
" 36";"2432";" 1.48";"-331.433";"gens";" 4.683602e-74"
" 79";"2730";" 2.89";"-294.846";"parler";" 4.371597e-66"
" 24";"1862";" 1.29";"-259.710";"prendre";" 1.985327e-58"
" 61";"2269";" 2.69";"-252.678";"monde";" 6.770738e-57"
" 20";"1655";" 1.21";"-233.163";"mettre";" 1.217918e-52"
" 33";"1775";" 1.86";"-225.918";"pays";" 4.629295e-51"
" 37";"1698";" 2.18";"-204.852";"chose";" 1.823876e-46"
" 37";"1692";" 2.19";"-203.851";"passer";" 3.016002e-46"
" 50";"1839";" 2.72";"-202.679";"penser";" 5.434162e-46"
" 78";"2085";" 3.74";"-191.169";"enfant";" 1.766876e-43"
"  5";"1193";" 0.42";"-188.142";"payer";" 8.090179e-43"
"  6";"1184";" 0.51";"-184.331";"problème";" 5.492685e-42"
" 25";"1354";" 1.85";"-171.843";"venir";" 2.928388e-39"
"  5";"1075";" 0.47";"-168.169";"arrêter";" 1.857928e-38"
" 25";"1282";" 1.95";"-159.845";"donner";" 1.223045e-36"
"  8";"1060";" 0.75";"-158.864";"demander";" 2.004245e-36"
" 12";"1100";" 1.09";"-156.775";"seul";" 5.731497e-36"
" 32";"1348";" 2.37";"-156.744";"trouver";" 5.822591e-36"
" 12";"1098";" 1.09";"-156.439";"france";" 6.787924e-36"
"  9";"1015";" 0.89";"-149.064";"question";" 2.776832e-34"
"  5";" 960";" 0.52";"-148.762";"droit";" 3.233013e-34"
" 30";"1273";" 2.36";"-148.326";"rester";" 4.025734e-34"
" 79";"1815";" 4.35";"-147.009";"comprendre";" 7.813821e-34"
" 73";"1725";" 4.23";"-143.024";"temps";" 5.808791e-33"
" 42";"1367";" 3.07";"-140.724";"jour";" 1.848783e-32"
"  8";" 939";" 0.85";"-138.502";"cas";" 5.660131e-32"
" 23";"1114";" 2.06";"-136.041";"commentaire";" 1.954667e-31"
" 32";"1202";" 2.66";"-132.794";"connaître";" 1.002793e-30"
" 23";"1092";" 2.11";"-132.406";"fois";" 1.219555e-30"
"  0";" 789";" 0.00";"-131.507";"utiliser";" 1.917592e-30"
" 41";"1270";" 3.23";"-126.948";"vivre";" 1.906715e-29"
"124";"2110";" 5.88";"-122.404";"femme";" 1.883322e-28"
"  4";" 747";" 0.54";"-115.222";"état";" 7.036606e-27"
"  2";" 707";" 0.28";"-113.076";"argent";" 2.076590e-26"
" 10";" 805";" 1.24";"-111.709";"laisser";" 4.138411e-26"
" 40";"1150";" 3.48";"-109.611";"changer";" 1.192372e-25"
" 22";" 939";" 2.34";"-109.238";"travail";" 1.439248e-25"
"  7";" 741";" 0.94";"-107.534";"coup";" 3.400237e-25"
" 21";" 916";" 2.29";"-107.442";"sentir";" 3.561283e-25"
" 11";" 789";" 1.39";"-106.911";"besoin";" 4.655532e-25"
"  4";" 694";" 0.58";"-106.341";"guerre";" 6.209149e-25"
" 41";"1140";" 3.60";"-106.257";"français";" 6.477246e-25"
"  7";" 715";" 0.98";"-103.192";"plutôt";" 3.042450e-24"
"  8";" 714";" 1.12";"-100.849";"partir";" 9.925875e-24"
" 32";" 998";" 3.21";" -99.843";"devenir";" 1.649867e-23"
"  4";" 652";" 0.61";" -99.312";"etc";" 2.157102e-23"
"  2";" 620";" 0.32";" -98.496";"importer";" 3.256402e-23"
" 91";"1609";" 5.66";" -97.803";"année";" 4.622004e-23"
" 16";" 796";" 2.01";" -97.723";"police";" 4.811327e-23"
"  8";" 689";" 1.16";" -96.685";"travailler";" 8.128745e-23"
"  7";" 673";" 1.04";" -96.186";"appeler";" 1.045876e-22"
"  1";" 592";" 0.17";" -96.115";"israël";" 1.084044e-22"
"  9";" 692";" 1.30";" -95.039";"place";" 1.866796e-22"
" 19";" 814";" 2.33";" -94.699";"arriver";" 2.216508e-22"
"  6";" 644";" 0.93";" -93.536";"niveau";" 3.989207e-22"
"  8";" 667";" 1.20";" -93.024";"part";" 5.166576e-22"
"  4";" 608";" 0.66";" -91.958";"palestinien";" 8.855282e-22"
"  5";" 614";" 0.81";" -90.734";"politique";" 1.643153e-21"
"  2";" 568";" 0.35";" -89.797";"cause";" 2.639091e-21"
" 24";" 842";" 2.85";" -89.631";"exister";" 2.869872e-21"
" 11";" 684";" 1.61";" -89.497";"rendre";" 3.071718e-21"
"  5";" 601";" 0.83";" -88.566";"lire";" 4.916879e-21"
"  9";" 653";" 1.38";" -88.564";"riche";" 4.922261e-21"
"  0";" 525";" 0.00";" -87.238";"population";" 9.622880e-21"
"  6";" 586";" 1.02";" -83.874";"compte";" 5.272554e-20"
"  6";" 583";" 1.03";" -83.375";"sujet";" 6.786924e-20"
" 16";" 707";" 2.26";" -83.138";"ca";" 7.652352e-20"
"  0";" 498";" 0.00";" -82.725";"lieu";" 9.428096e-20"
"  7";" 583";" 1.20";" -81.214";"sortir";" 2.025888e-19"
" 94";"1511";" 6.22";" -79.969";"vraiment";" 3.803929e-19"
" 12";" 634";" 1.89";" -79.194";"sûr";" 5.629038e-19"
"114";"1697";" 6.72";" -79.118";"homme";" 5.849740e-19"
"  2";" 500";" 0.40";" -78.438";"faux";" 8.254425e-19"
" 28";" 806";" 3.47";" -76.578";"humain";" 2.116686e-18"
"  2";" 486";" 0.41";" -76.102";"moyen";" 2.693802e-18"
"  8";" 565";" 1.42";" -76.101";"société";" 2.695788e-18"
"  6";" 539";" 1.11";" -76.062";"permettre";" 2.749122e-18"
"  6";" 536";" 1.12";" -75.564";"côté";" 3.537929e-18"
"  9";" 573";" 1.57";" -75.324";"pauvre";" 3.994108e-18"
"  5";" 520";" 0.96";" -75.078";"manger";" 4.525306e-18"
"  5";" 518";" 0.97";" -74.745";"social";" 5.355388e-18"
" 16";" 651";" 2.46";" -74.023";"genre";" 7.721139e-18"
"  1";" 458";" 0.22";" -73.721";"système";" 8.997553e-18"
" 10";" 572";" 1.75";" -73.088";"partie";" 1.239762e-17"
"  7";" 533";" 1.31";" -72.923";"écrire";" 1.348246e-17"
"  2";" 465";" 0.43";" -72.600";"aider";" 1.588160e-17"
"  5";" 505";" 0.99";" -72.585";"gauche";" 1.600201e-17"
"  5";" 505";" 0.99";" -72.585";"commencer";" 1.600201e-17"
"  1";" 450";" 0.22";" -72.386";"hamas";" 1.769342e-17"
"  0";" 436";" 0.00";" -72.374";"droite";" 1.780086e-17"
" 12";" 592";" 2.03";" -72.305";"apprendre";" 1.843986e-17"
"  5";" 503";" 0.99";" -72.252";"servir";" 1.893665e-17"
"  0";" 435";" 0.00";" -72.208";"manifestation";" 1.937118e-17"
"  1";" 446";" 0.22";" -71.719";"public";" 2.481192e-17"
" 21";" 685";" 3.07";" -70.044";"premier";" 5.799461e-17"
"  5";" 489";" 1.02";" -69.927";"tuer";" 6.153931e-17"
" 10";" 551";" 1.81";" -69.635";"malheureusement";" 7.135501e-17"
" 98";"1471";" 6.66";" -69.424";"emji_se_rouler_par_terre_de_rire";" 7.940592e-17"
"  2";" 445";" 0.45";" -69.266";"violence";" 8.605370e-17"
"  7";" 509";" 1.38";" -68.951";"peuple";" 1.009360e-16"
"  0";" 415";" 0.00";" -68.872";"essayer";" 1.050786e-16"
"  4";" 469";" 0.85";" -68.792";"emji_visage_roulant_des_yeux";" 1.094121e-16"
"  0";" 414";" 0.00";" -68.705";"impôt";" 1.143498e-16"
" 11";" 556";" 1.98";" -68.424";"genève";" 1.318685e-16"
"  0";" 411";" 0.00";" -68.205";"entreprise";" 1.473674e-16"
"  6";" 491";" 1.22";" -68.101";"emji_visage_en_pleine_réflexion";" 1.553500e-16"
"  0";" 410";" 0.00";" -68.038";"salaire";" 1.603704e-16"
" 74";"1227";" 6.03";" -67.853";"emji_visage_souriant_avec_une_goutte_de_sueur";" 1.761144e-16"
"  7";" 492";" 1.42";" -66.141";"mort";" 4.197348e-16"
" 29";" 750";" 3.87";" -66.081";"regarder";" 4.328749e-16"
"  2";" 424";" 0.47";" -65.767";"loi";" 5.074772e-16"
" 13";" 564";" 2.30";" -65.748";"oublier";" 5.125046e-16"
" 11";" 536";" 2.05";" -65.151";"gros";" 6.935619e-16"
" 11";" 534";" 2.06";" -64.825";"finir";" 8.187061e-16"
"  4";" 443";" 0.90";" -64.472";"prix";" 9.792945e-16"
"141";"1827";" 7.72";" -63.968";"vie";" 1.264764e-15"
" 10";" 515";" 1.94";" -63.730";"attendre";" 1.427161e-15"
"  2";" 410";" 0.49";" -63.436";"rapport";" 1.656710e-15"
" 13";" 549";" 2.37";" -63.311";"cher";" 1.765328e-15"
"  2";" 404";" 0.50";" -62.437";"propre";" 2.750930e-15"
"  4";" 428";" 0.93";" -61.981";"chercher";" 3.467418e-15"
" 20";" 622";" 3.22";" -61.854";"continuer";" 3.699050e-15"
"  1";" 386";" 0.26";" -61.718";"manifester";" 3.962873e-15"
" 23";" 655";" 3.51";" -61.688";"mot";" 4.024037e-15"
"  0";" 370";" 0.00";" -61.372";"agir";" 4.725196e-15"
"  2";" 397";" 0.50";" -61.272";"justement";" 4.970909e-15"
" 11";" 512";" 2.15";" -61.233";"parent";" 5.069196e-15"
" 16";" 570";" 2.81";" -60.949";"perdre";" 5.855907e-15"
"  3";" 408";" 0.74";" -60.863";"article";" 6.119300e-15"
"  2";" 394";" 0.51";" -60.773";"mauvais";" 6.405694e-15"
"  2";" 390";" 0.51";" -60.107";"gaza";" 8.982826e-15"
"  2";" 390";" 0.51";" -60.107";"armée";" 8.982826e-15"
"  7";" 454";" 1.54";" -59.872";"montrer";" 1.012348e-14"
"  3";" 401";" 0.75";" -59.700";"poser";" 1.104991e-14"
"  5";" 427";" 1.17";" -59.648";"répondre";" 1.134594e-14"
"  1";" 373";" 0.27";" -59.553";"défendre";" 1.190225e-14"
"  2";" 386";" 0.52";" -59.442";"blanc";" 1.259701e-14"
" 54";" 966";" 5.59";" -59.181";"emji_visage_faisant_un_clin_d_oeil";" 1.438477e-14"
"  5";" 422";" 1.18";" -58.820";"pire";" 1.727756e-14"
" 19";" 591";" 3.21";" -58.756";"exemple";" 1.784959e-14"
"  0";" 353";" 0.00";" -58.541";"situation";" 1.991420e-14"
"  3";" 392";" 0.77";" -58.204";"sembler";" 2.362452e-14"
" 18";" 575";" 3.13";" -58.039";"idée";" 2.569908e-14"
"  3";" 391";" 0.77";" -58.038";"respecter";" 2.570581e-14"
" 11";" 486";" 2.26";" -57.001";"nom";" 4.355480e-14"
"  3";" 383";" 0.78";" -56.710";"mdr";" 5.051134e-14"
"  0";" 339";" 0.00";" -56.210";"génocide";" 6.513727e-14"
" 43";" 832";" 5.17";" -56.016";"accord";" 7.190074e-14"
"  7";" 430";" 1.63";" -55.921";"créer";" 7.542468e-14"
"  1";" 351";" 0.28";" -55.891";"gouvernement";" 7.659097e-14"
"  2";" 364";" 0.55";" -55.783";"expliquer";" 8.093205e-14"
"122";"1582";" 7.71";" -55.330";"vrai";" 1.018888e-13"
"  3";" 374";" 0.80";" -55.216";"eau";" 1.080041e-13"
"  3";" 374";" 0.80";" -55.216";"europe";" 1.080041e-13"
"  7";" 423";" 1.65";" -54.771";"normal";" 1.354439e-13"
"  3";" 367";" 0.82";" -54.054";"mois";" 1.950595e-13"
"  6";" 404";" 1.49";" -53.726";"acheter";" 2.304465e-13"
"  5";" 391";" 1.28";" -53.695";"soutenir";" 2.342156e-13"
" 21";" 579";" 3.63";" -53.309";"fin";" 2.850408e-13"
" 13";" 487";" 2.67";" -53.292";"tête";" 2.875416e-13"
" 16";" 521";" 3.07";" -53.122";"revenir";" 3.133981e-13"
"  3";" 361";" 0.83";" -53.058";"ouvrir";" 3.237681e-13"
"  9";" 437";" 2.06";" -52.994";"nouveau";" 3.346290e-13"
"  0";" 315";" 0.00";" -52.216";"assurance";" 4.972317e-13"
"  2";" 342";" 0.58";" -52.127";"interdire";" 5.203463e-13"
"  9";" 430";" 2.09";" -51.852";"seulement";" 5.983370e-13"
"  2";" 339";" 0.59";" -51.628";"israélien";" 6.706984e-13"
" 21";" 568";" 3.70";" -51.595";"histoire";" 6.820772e-13"
"  9";" 428";" 2.10";" -51.527";"ville";" 7.063701e-13"
"  2";" 335";" 0.60";" -50.964";"canton";" 9.408475e-13"
"  5";" 374";" 1.34";" -50.888";"foutre";" 9.778676e-13"
"  0";" 303";" 0.00";" -50.220";"faute";" 1.374593e-12"
"  1";" 316";" 0.32";" -50.070";"terme";" 1.483956e-12"
"  5";" 369";" 1.36";" -50.063";"manière";" 1.488686e-12"
"  9";" 418";" 2.15";" -49.898";"maison";" 1.619224e-12"
"  4";" 355";" 1.13";" -49.886";"gagner";" 1.629366e-12"
"  6";" 380";" 1.58";" -49.777";"service";" 1.722835e-12"
