"";"X";"V1"
"1";1;2
"2";2;2
"3";3;2
"4";4;2
"5";5;2
"6";6;2
"7";7;2
"8";8;2
"9";9;2
"10";10;2
"11";11;2
"12";12;2
"13";13;2
"14";14;1
"15";15;2
"16";16;1
"17";17;2
"18";18;1
"19";19;2
"20";20;1
"21";21;2
"22";22;2
"23";23;1
"24";24;0
"25";25;1
"26";26;2
"27";27;1
"28";28;2
"29";29;1
"30";30;1
"31";31;2
"32";32;2
"33";33;1
"34";34;2
"35";35;1
"36";36;2
"37";37;2
"38";38;2
"39";39;2
"40";40;1
"41";41;1
"42";42;1
"43";43;2
"44";44;2
"45";45;2
"46";46;2
"47";47;1
"48";48;2
"49";49;1
"50";50;2
"51";51;2
"52";52;2
"53";53;2
"54";54;2
"55";55;2
"56";56;2
"57";57;1
"58";58;2
"59";59;2
"60";60;1
"61";61;2
"62";62;1
"63";63;2
"64";64;0
"65";65;2
"66";66;2
"67";67;2
"68";68;2
"69";69;2
"70";70;1
"71";71;2
"72";72;1
"73";73;1
"74";74;1
"75";75;2
"76";76;1
"77";77;1
"78";78;2
"79";79;2
"80";80;1
"81";81;2
"82";82;2
"83";83;2
"84";84;1
"85";85;2
"86";86;2
"87";87;2
"88";88;2
"89";89;2
"90";90;2
"91";91;2
"92";92;2
"93";93;2
"94";94;2
"95";95;2
"96";96;2
"97";97;2
"98";98;0
"99";99;1
"100";100;2
"101";101;1
"102";102;1
"103";103;1
"104";104;1
"105";105;1
"106";106;1
"107";107;2
"108";108;0
"109";109;1
"110";110;0
"111";111;2
"112";112;2
"113";113;2
"114";114;2
"115";115;2
"116";116;2
"117";117;2
"118";118;2
"119";119;2
"120";120;2
"121";121;1
"122";122;1
"123";123;1
"124";124;1
"125";125;1
"126";126;1
"127";127;2
"128";128;2
"129";129;1
"130";130;2
"131";131;2
"132";132;2
"133";133;1
"134";134;1
"135";135;1
"136";136;1
"137";137;2
"138";138;2
"139";139;2
"140";140;1
"141";141;2
"142";142;2
"143";143;2
"144";144;2
"145";145;2
"146";146;2
"147";147;1
"148";148;1
"149";149;2
"150";150;2
"151";151;2
"152";152;2
"153";153;2
"154";154;2
"155";155;2
"156";156;2
"157";157;2
"158";158;2
"159";159;2
"160";160;2
"161";161;0
"162";162;1
"163";163;2
"164";164;2
"165";165;1
"166";166;2
"167";167;1
"168";168;2
"169";169;1
"170";170;2
"171";171;1
"172";172;2
"173";173;1
"174";174;2
"175";175;2
"176";176;1
"177";177;2
"178";178;2
"179";179;2
"180";180;2
"181";181;2
"182";182;2
"183";183;2
"184";184;2
"185";185;2
"186";186;2
"187";187;1
"188";188;2
"189";189;2
"190";190;2
"191";191;2
"192";192;1
"193";193;1
"194";194;2
"195";195;2
"196";196;2
"197";197;2
"198";198;2
"199";199;2
"200";200;2
"201";201;2
"202";202;2
"203";203;2
"204";204;1
"205";205;2
"206";206;2
"207";207;2
"208";208;2
"209";209;2
"210";210;1
"211";211;2
"212";212;0
"213";213;2
"214";214;2
"215";215;2
"216";216;2
"217";217;1
"218";218;2
"219";219;1
"220";220;1
"221";221;1
"222";222;2
"223";223;2
"224";224;1
"225";225;2
"226";226;2
"227";227;2
"228";228;2
"229";229;1
"230";230;2
"231";231;2
"232";232;2
"233";233;2
"234";234;2
"235";235;2
"236";236;2
"237";237;2
"238";238;2
"239";239;2
"240";240;1
"241";241;2
"242";242;2
"243";243;2
"244";244;2
"245";245;2
"246";246;2
"247";247;2
"248";248;2
"249";249;2
"250";250;2
"251";251;2
"252";252;1
"253";253;2
"254";254;2
"255";255;2
"256";256;2
"257";257;2
"258";258;2
"259";259;2
"260";260;2
"261";261;2
"262";262;2
"263";263;2
"264";264;2
"265";265;2
"266";266;2
"267";267;2
"268";268;2
"269";269;2
"270";270;2
"271";271;2
"272";272;2
"273";273;2
"274";274;2
"275";275;2
"276";276;2
"277";277;2
"278";278;1
"279";279;2
"280";280;2
"281";281;2
"282";282;1
"283";283;2
"284";284;2
"285";285;2
"286";286;1
"287";287;2
"288";288;2
"289";289;2
"290";290;2
"291";291;2
"292";292;2
"293";293;2
"294";294;2
"295";295;2
"296";296;1
"297";297;2
"298";298;1
"299";299;2
"300";300;2
"301";301;2
"302";302;2
"303";303;0
"304";304;0
"305";305;0
"306";306;2
"307";307;2
"308";308;2
"309";309;2
"310";310;1
"311";311;2
"312";312;2
"313";313;2
"314";314;2
"315";315;2
"316";316;2
"317";317;2
"318";318;2
"319";319;2
"320";320;2
"321";321;2
"322";322;1
"323";323;2
"324";324;2
"325";325;2
"326";326;2
"327";327;2
"328";328;2
"329";329;2
"330";330;2
"331";331;2
"332";332;2
"333";333;2
"334";334;1
"335";335;2
"336";336;2
"337";337;2
"338";338;2
"339";339;2
"340";340;1
"341";341;2
"342";342;2
"343";343;2
"344";344;2
"345";345;2
"346";346;2
"347";347;2
"348";348;2
"349";349;2
"350";350;2
"351";351;2
"352";352;2
"353";353;2
"354";354;2
"355";355;2
"356";356;2
"357";357;2
"358";358;1
"359";359;2
"360";360;2
"361";361;2
"362";362;2
"363";363;2
"364";364;2
"365";365;2
"366";366;1
"367";367;2
"368";368;2
"369";369;2
"370";370;2
"371";371;1
"372";372;2
"373";373;2
"374";374;2
"375";375;2
"376";376;2
"377";377;2
"378";378;2
"379";379;2
"380";380;2
"381";381;2
"382";382;2
"383";383;2
"384";384;2
"385";385;2
"386";386;2
"387";387;2
"388";388;2
"389";389;1
"390";390;2
"391";391;1
"392";392;2
"393";393;1
"394";394;2
"395";395;2
"396";396;2
"397";397;2
"398";398;2
"399";399;2
"400";400;2
"401";401;2
"402";402;2
"403";403;2
"404";404;2
"405";405;2
"406";406;2
"407";407;2
"408";408;2
"409";409;1
"410";410;2
"411";411;2
