"";"V1"
"1";2
"2";2
"3";2
"4";2
"5";2
"6";2
"7";2
"8";2
"9";2
"10";2
"11";2
"12";2
"13";2
"14";1
"15";2
"16";1
"17";2
"18";1
"19";2
"20";1
"21";2
"22";2
"23";1
"24";0
"25";1
"26";2
"27";1
"28";2
"29";1
"30";1
"31";2
"32";2
"33";1
"34";2
"35";1
"36";2
"37";2
"38";2
"39";2
"40";1
"41";1
"42";1
"43";2
"44";2
"45";2
"46";2
"47";1
"48";2
"49";1
"50";2
"51";2
"52";2
"53";2
"54";2
"55";2
"56";2
"57";1
"58";2
"59";2
"60";1
"61";2
"62";1
"63";2
"64";0
"65";2
"66";2
"67";2
"68";2
"69";2
"70";1
"71";2
"72";1
"73";1
"74";1
"75";2
"76";1
"77";1
"78";2
"79";2
"80";1
"81";2
"82";2
"83";2
"84";1
"85";2
"86";2
"87";2
"88";2
"89";2
"90";2
"91";2
"92";2
"93";2
"94";2
"95";2
"96";2
"97";2
"98";0
"99";1
"100";2
"101";1
"102";1
"103";1
"104";1
"105";1
"106";1
"107";2
"108";0
"109";1
"110";0
"111";2
"112";2
"113";2
"114";2
"115";2
"116";2
"117";2
"118";2
"119";2
"120";2
"121";1
"122";1
"123";1
"124";1
"125";1
"126";1
"127";2
"128";2
"129";1
"130";2
"131";2
"132";2
"133";1
"134";1
"135";1
"136";1
"137";2
"138";2
"139";2
"140";1
"141";2
"142";2
"143";2
"144";2
"145";2
"146";2
"147";1
"148";1
"149";2
"150";2
"151";2
"152";2
"153";2
"154";2
"155";2
"156";2
"157";2
"158";2
"159";2
"160";2
"161";0
"162";1
"163";2
"164";2
"165";1
"166";2
"167";1
"168";2
"169";1
"170";2
"171";1
"172";2
"173";1
"174";2
"175";2
"176";1
"177";2
"178";2
"179";2
"180";2
"181";2
"182";2
"183";2
"184";2
"185";2
"186";2
"187";1
"188";2
"189";2
"190";2
"191";2
"192";1
"193";1
"194";2
"195";2
"196";2
"197";2
"198";2
"199";2
"200";2
"201";2
"202";2
"203";2
"204";1
"205";2
"206";2
"207";2
"208";2
"209";2
"210";1
"211";2
"212";0
"213";2
"214";2
