"";"banalfreq";"X.rts_a";"X.rts_i"
"à";15707;-0,7964;0,7964
"certains";593;0,3336;-0,3336
"question";935;-0,3019;0,3019
"on";10564;0,3862;-0,3862
"lancer";76;-1,1128;1,1128
"ce";8335;1,0377;-1,0377
"penser";1560;0,9332;-0,9332
"qu";6982;0,9508;-0,9508
"en";14676;-1,9757;1,9757
"parler";2260;-0,4692;0,4692
"et";23171;-0,464;0,464
"ils";4953;-1,4348;1,4348
"rien";2184;-0,3179;0,3179
"tu";3822;0,6326;-0,6326
"presque";209;1,5487;-1,5487
"le";19421;-1,5311;1,5311
"mieux";997;1,3322;-1,3322
"l";14386;0,3709;-0,3709
"du";6480;-0,8846;0,8846
"style";72;1,2316;-1,2316
"grâce";191;0,9328;-0,9328
"contrairement";95;-0,8245;0,8245
"dehors";116;0,4796;-0,4796
"rassurer";60;-0,3395;0,3395
"t";1580;0,651;-0,651
"plein";450;0,7403;-0,7403
"s";3177;-0,4249;0,4249
"afficher";10;-0,2265;0,2265
"juste";1505;-1,8009;1,8009
"peut_être";429;-0,7723;0,7723
"remettre";241;0,3183;-0,3183
"juger";128;1,0199;-1,0199
"coup";576;0,6579;-0,6579
"sexiste";24;0,3876;-0,3876
"deux";638;-0,3184;0,3184
"sortir";476;-1,0405;1,0405
"deuxième";54;-0,5256;0,5256
"bleu";43;0,5158;-0,5158
"emji_homme_avec_la_paume_sur_le_visage";34;-0,3797;0,3797
"inviter";82;-0,4388;0,4388
"y";4679;1,1141;-1,1141
"espoir";40;-0,3117;0,3117
"tes";337;-0,9981;0,9981
"20";266;0,5081;-0,5081
"nos";1214;0,3436;-0,3436
"cousin";17;0,3868;-0,3868
"une";9278;-1,4093;1,4093
"mentalité";114;1,5555;-1,5555
"dans";6816;0,789;-0,789
"victoire";39;-0,2665;0,2665
"défaite";14;0,7437;-0,7437
"chance";262;0,4893;-0,4893
"compétition";46;0,3457;-0,3457
"vraiment";1246;0,7733;-0,7733
"insupportable";39;-0,2665;0,2665
"ces";2338;-1,5409;1,5409
"gens";2175;-0,8119;0,8119
"cirque";25;-0,282;0,282
"inculte";20;-0,2684;0,2684
"centime";31;0,2586;-0,2586
"ni";648;1,0688;-1,0688
"ci";45;-0,3195;0,3195
"loin";319;1,5583;-1,5583
"mourir";177;1,0616;-1,0616
"faim";65;-0,2584;0,2584
"leur";2316;-1,8092;1,8092
"survie";25;0,4905;-0,4905
"devenir";877;1,771;-1,771
"pathétique";36;0,3724;-0,3724
"siècle";102;1,4647;-1,4647
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";46;-0,4991;0,4991
"oser";154;0,8417;-0,8417
"couper";300;-0,7717;0,7717
"pr";55;-0,5831;0,5831
"échange";76;-1,7989;1,7989
"constructif";34;-0,9921;0,9921
"origine";153;0,6787;-0,6787
"espérer";411;-0,5774;0,5774
"là";1273;0,5601;-0,5601
"oublier";422;0,9367;-0,9367
"leurs";1050;-0,4759;0,4759
"racine";31;1,3258;-1,3258
"où";1450;1,35;-1,35
"hop";42;-0,2931;0,2931
"emji_drapeau_suisse";227;-0,7478;0,7478
"croiser";56;1,1026;-1,1026
"doigt";117;1,3131;-1,3131
"jusqu_au";74;1,2475;-1,2475
"pffff";16;-0,8633;0,8633
"ben";276;0,3854;-0,3854
"venir";1082;1,0995;-1,0995
"puisqu";49;0,7416;-0,7416
"payant";27;0,3445;-0,3445
"avion";114;0,4664;-0,4664
"gonfler";18;1,1228;-1,1228
"analyse";76;-0,9293;0,9293
"correct";73;-1,5263;1,5263
"faute";283;0,7683;-0,7683
"traduction";15;1,3519;-1,3519
"ego";35;0,4334;-0,4334
"au";4252;-1,2414;1,2414
"correction";15;1,3519;-1,3519
"rue";258;0,9182;-0,9182
"avertir";13;0,3263;-0,3263
"voiture";355;-0,3011;0,3011
"amande";14;-0,6187;0,6187
"min";29;0,7501;-0,7501
"2";737;-1,29;1,29
"34";14;-0,6187;0,6187
"hé";19;1,3213;-1,3213
"historien";11;0,2923;-0,2923
"musée";47;-0,9377;0,9377
"histoire";441;-0,5901;0,5901
"toi";919;0,6216;-0,6216
"meilleur";467;0,7858;-0,7858
"erreur";153;-1,8218;1,8218
"passer";1401;1,3952;-1,3952
"ouf";52;0,863;-0,863
"dur";256;-0,2949;0,2949
"ptn";19;0,6453;-0,6453
"gêner";65;1,0739;-1,0739
"jusqu_à";204;0,6012;-0,6012
"arrivée";51;1,1757;-1,1757
"finalement";129;1,2458;-1,2458
"allure";11;0,9219;-0,9219
"grave";174;-1,0607;1,0607
"france";910;-0,4235;0,4235
"relire";79;-0,792;0,792
"enfin";321;-1,9354;1,9354
"explication";57;-0,8873;0,8873
"nettement";31;0,2586;-0,2586
"conditionner";11;0,5498;-0,5498
"amitié";17;-0,2294;0,2294
"fort";259;-0,5861;0,5861
"emji_visage_mécontent";13;0,3263;-0,3263
"complexe";70;-0,8783;0,8783
"nombreux";162;-0,9764;0,9764
"romand";77;0,8265;-0,8265
"tous";1813;0,5011;-0,5011
"grand";1222;1,7739;-1,7739
"10";380;-1,7891;1,7891
"camp";52;-1,1331;1,1331
"importer";534;-1,5304;1,5304
"lesquels";19;0,4145;-0,4145
"vachement";26;0,8477;-0,8477
"partout";254;0,513;-0,513
"moitié";157;1,7851;-1,7851
"part";556;-1,9677;1,9677
"voler";186;-1,2741;1,2741
"après";1060;-0,4227;0,4227
"marine";11;1,4283;-1,4283
"car";1171;-0,936;0,936
"1er";78;0,7599;-0,7599
"acheter";356;-0,4988;0,4988
"pot";37;0,4545;-0,4545
"italie";79;0,6976;-0,6976
"évidemment";175;-0,8743;0,8743
"groupe";169;-1,1974;1,1974
"organiser";58;-0,4723;0,4723
"piste";52;-0,7182;0,7182
"réaliser";82;0,4284;-0,4284
"vaud";104;-1,0473;1,0473
"sensibiliser";13;0,3263;-0,3263
"urgence";44;-1,7706;1,7706
"espace";106;-0,6145;0,6145
"entièrement";58;0,3419;-0,3419
"consacrer";18;-1,614;1,614
"conduire";83;-0,4808;0,4808
"comparer";151;1,1257;-1,1257
"lausanne";234;-1,4772;1,4772
"plat";37;1,6719;-1,6719
"stop";59;-0,5244;0,5244
"ses";1041;1,8445;-1,8445
"72";18;0,5089;-0,5089
"turquie";27;0,996;-0,996
"toute";742;-0,6354;0,6354
"côte";20;0,795;-0,795
"87";11;0,2923;-0,2923
"quelques";350;-0,5282;0,5282
"rencontre";34;1,8569;-1,8569
"voyage";94;-0,6407;0,6407
"destination";16;-0,3226;0,3226
"recommander";30;0,4584;-0,4584
"chacun";273;1,0564;-1,0564
"cela";1277;-1,0738;1,0738
"donner";1150;-0,5423;0,5423
"goût";101;1,187;-1,187
"hasard";70;-0,2658;0,2658
"découverte";25;0,7095;-0,7095
"urbain";12;0,4239;-0,4239
"remonter";45;0,7033;-0,7033
"image";248;1,6231;-1,6231
"gros";436;-1,989;1,989
"reconnaître";146;1,618;-1,618
"considérer";141;-1,084;1,084
"réseau";231;0,8006;-0,8006
"excellent";131;1,421;-1,421
"notre";1055;-0,8391;0,8391
"perdre";495;-0,6977;0,6977
"taper";89;0,6493;-0,6493
"facebook";10;-0,2265;0,2265
"street";11;1,4283;-1,4283
"suivre";254;-1,8441;1,8441
"roller";10;0,7134;-0,7134
"lorsque";133;0,4609;-0,4609
"descendre";48;-0,3457;0,3457
"chaud";57;-0,4231;0,4231
"affronter";19;-0,3642;0,3642
"bus";88;-0,4828;0,4828
"sentir";815;-0,3578;0,3578
"partie";463;-1,7235;1,7235
"monter";128;-1,2336;1,2336
"redescendre";18;-0,4893;0,4893
"bord";53;0,3522;-0,3522
"lac";33;0,581;-0,581
"naïf";38;0,272;-0,272
"réchauffement";80;-0,7028;0,7028
"repos";22;1,1295;-1,1295
"soigner";116;-1,6835;1,6835
"visionnaire";15;1,8856;-1,8856
"essence";37;-0,2838;0,2838
"électrique";52;-0,4199;0,4199
"exactement";317;1,2303;-1,2303
"écologie";57;-1,3344;1,3344
"multinationale";30;-1,9514;1,9514
"vélo";132;-1,161;1,161
"écolo";19;0,2459;-0,2459
"respecter";266;-0,4515;0,4515
"surtout";799;-0,8795;0,8795
"employer";35;-1,7769;1,7769
"difficulté";70;0,5558;-0,5558
"entourer";45;0,5356;-0,5356
"mégot";15;0,5994;-0,5994
"terre";244;1,5952;-1,5952
"impeccable";11;1,4283;-1,4283
"bâton";30;0,8828;-0,8828
"inclure";28;-0,6827;0,6827
"ho";20;1,1248;-1,1248
"mètre";24;0,3876;-0,3876
"véritable";64;0,3905;-0,3905
"écrire";477;-0,5745;0,5745
"ok";255;-0,4807;0,4807
"ca";607;1,7192;-1,7192
"commentaire";961;-0,7401;0,7401
"plusieurs";310;-1,4208;1,4208
"essayer";354;-1,0638;1,0638
"hyper";81;0,585;-0,585
"sensible";35;0,6023;-0,6023
"différence";257;0,2891;-0,2891
"drôle";103;0,8939;-0,8939
"culturel";62;-1,0649;1,0649
"qqn";33;-1,1806;1,1806
"boisson";11;-0,3099;0,3099
"préciser";60;0,47;-0,47
"mr";33;1,3329;-1,3329
"niveau";634;-0,5414;0,5414
"élevé";131;0,3064;-0,3064
"conclusion";44;-1,1565;1,1565
"chef";73;0,4101;-0,4101
"traiter";211;-0,6291;0,6291
"changement";172;-0,5687;0,5687
"vivement";53;-0,4712;0,4712
"emji_visage_de_clown";150;-0,35;0,35
"sembler";333;1,0489;-1,0489
"mémoire";75;0,8094;-0,8094
"revenir";454;-1,4767;1,4767
"seulement";347;-1,9365;1,9365
"août";24;1,9392;-1,9392
"férié";14;1,6289;-1,6289
"façon";360;0,7677;-0,7677
"politiquement";27;-1,1513;1,1513
"diviser";39;-0,3844;0,3844
"habiter";160;0,776;-0,776
"différents";91;0,9439;-0,9439
"accorder";38;-0,8576;0,8576
"arriver";695;0,4112;-0,4112
"situer";33;-1,5221;1,5221
"celle_ci";30;0,3089;-0,3089
"te";893;0,6992;-0,6992
"coucher";51;1,7065;-1,7065
"langue";296;-1,7253;1,7253
"page";66;-0,6319;0,6319
"svp";144;-0,3199;0,3199
"céder";20;-1,9485;1,9485
"médiocrité";11;-1,6205;1,6205
"imaginer";282;-0,2872;0,2872
"utiliser";577;-0,5695;0,5695
"envoyer";190;0,331;-0,331
"décevoir";37;1,6719;-1,6719
"prêt";121;1,7022;-1,7022
"posts";13;-0,5071;0,5071
"trouver";1151;1,8772;-1,8772
"version";32;0,9002;-0,9002
"long";263;-0,6296;0,6296
"oeil";272;1,307;-1,307
"bio";71;-1,1385;1,1385
"fondue";18;1,5519;-1,5519
"envie";253;1,237;-1,237
"empêcher";189;-1,7378;1,7378
"moment";575;-0,5777;0,5777
"manquer";481;1,9331;-1,9331
"célèbre";14;0,4541;-0,4541
"grimper";17;-0,6518;0,6518
"pilier";28;-1,6672;1,6672
"pont";28;-0,4747;0,4747
"mur";68;0,3245;-0,3245
"fribourg";57;-0,8873;0,8873
"encore";1773;1,7505;-1,7505
"escalade";13;-0,5071;0,5071
"artificiel";40;0,5656;-0,5656
"créatif";16;1,5836;-1,5836
"marcher";203;-1,9471;1,9471
"emji_tête_à_l";101;0,6245;-0,6245
"envers";256;1,2024;-1,2024
"marrant";65;1,5151;-1,5151
"léger";22;0,5586;-0,5586
"crier";78;0,3101;-0,3101
"direct";118;-1,4413;1,4413
"tour";113;0,9731;-0,9731
"mauvais";372;0,7587;-0,7587
"certainement";135;1,8043;-1,8043
"quotidien";99;-0,905;0,905
"cuisinier";10;1,1722;-1,1722
"demander";884;0,3292;-0,3292
"pousser";125;-1,5552;1,5552
"aberrant";29;-1,0534;1,0534
"bêtement";16;0,2805;-0,2805
"suivant";61;1,2524;-1,2524
"bière";20;1,1248;-1,1248
"déplacement";25;-1,2662;1,2662
"foutre";277;-0,3734;0,3734
"crever";59;-0,4015;0,4015
"emji_coeur_brisé";30;0,3089;-0,3089
"numéro";42;-0,972;0,972
"maltraiter";36;1,503;-1,503
"sucre";28;0,8653;-0,8653
"4000";12;-1,8201;1,8201
"vendredi";11;0,9219;-0,9219
"2021";26;0,8477;-0,8477
"mdrrr";43;1,3802;-1,3802
"hein";218;0,5303;-0,5303
"efficace";63;-1,6365;1,6365
"bah";372;-0,3832;0,3832
"comprendre";1535;0,8445;-0,8445
"éclater";25;0,4905;-0,4905
"signe";48;0,645;-0,645
"hauteur";51;0,3351;-0,3351
"veille";14;0,7437;-0,7437
"tel";115;-0,392;0,392
"voix";112;1,735;-1,735
"connerie";113;-0,8283;0,8283
"présenter";128;-0,5938;0,5938
"insta";57;0,3862;-0,3862
"emji_se_rouler_par_terre_de_rire";476;0,4805;-0,4805
"tort";50;0,8447;-0,8447
"lendemain";43;1,6812;-1,6812
"12";105;-0,3085;0,3085
"mdrr";32;0,9002;-0,9002
"porte";196;-0,5463;0,5463
"malheur";19;0,6453;-0,6453
"lunette";26;1,913;-1,913
"profondeur";13;0,3263;-0,3263
"diversité";27;-0,2615;0,2615
"attitude";18;0,7776;-0,7776
"refaire";67;1,0906;-1,0906
"passionnant";14;0,2503;-0,2503
"envisager";20;-0,6837;0,6837
"auprès_de";29;-0,7736;0,7736
"e";165;-0,7725;0,7725
"catastrophique";31;-0,5083;0,5083
"normalement";40;0,2907;-0,2907
"tiers";26;-0,3407;0,3407
"25";117;-0,3782;0,3782
"réparer";19;-0,8814;0,8814
"eau";243;0,3262;-0,3262
"développer";105;-0,571;0,571
"purée";32;-0,4076;0,4076
"1ere";15;1,3519;-1,3519
"voilà";281;1,0111;-1,0111
"main";228;0,5833;-0,5833
"mm";20;0,5342;-0,5342
"violer";18;0,3091;-0,3091
"bébé";85;0,7476;-0,7476
"réflexe";19;-0,5833;0,5833
"balancer";64;-0,6636;0,6636
"cool";98;1,2496;-1,2496
"tôt";70;0,8459;-0,8459
"rassurant";13;0,5752;-0,5752
"film";118;0,8129;-0,8129
"résumé";36;1,1982;-1,1982
"aîné";21;1,7473;-1,7473
"répéter";108;0,3469;-0,3469
"objectif";74;-1,8782;1,8782
"preuve";212;-0,3839;0,3839
"inutile";124;-0,3013;0,3013
"peur";290;1,0192;-1,0192
"océan";13;-0,8492;0,8492
"également";279;-1,4101;1,4101
"participer";132;-1,161;1,161
"spécialiste";32;-0,8022;0,8022
"tant";569;-1,9768;1,9768
"poisson";24;0,8301;-0,8301
"emji_visage_boudeur";238;1,0851;-1,0851
"dos";93;0,5636;-0,5636
"naissance";51;1,1757;-1,1757
"phénomène";55;-0,7458;0,7458
"qq";22;1,9729;-1,9729
"minute";103;0,4371;-0,4371
"nord";69;0,3792;-0,3792
"comment";736;-0,4626;0,4626
"propre";316;-1,4589;1,4589
"horreur";70;0,5558;-0,5558
"jeter";109;-0,356;0,356
"mer";29;0,5369;-0,5369
"env";11;-1,0022;1,0022
"mdr";205;-0,3908;0,3908
"bb";21;-0,527;0,527
"seul";915;0,8149;-0,8149
"buzz";12;-0,7129;0,7129
"trois";90;-0,2918;0,2918
"renoncer";18;-0,2931;0,2931
"dignité";28;0,287;-0,287
"reposer";65;-1,5586;1,5586
"paix";113;-1,8741;1,8741
"sûr";519;0,3278;-0,3278
"définir";35;1,054;-1,054
"type";208;-0,5367;0,5367
"courir";136;0,3016;-0,3016
"derrière";174;-0,4069;0,4069
"malade";118;-0,3353;0,3353
"finir";441;-1,5609;1,5609
"celle";174;1,509;-1,509
"conversation";32;0,9002;-0,9002
"excuser";105;0,7757;-0,7757
"mélanger";53;-1,4881;1,4881
"premier";531;1,4727;-1,4727
"moto";51;0,7605;-0,7605
