aller;4026;ver
voir;3661;ver
suisse;3582;adj
emji_visage_riant_aux_larmes;2740;nom
parler;2260;ver
gens;2175;nom
femme;2040;nom
monde;1982;nom
enfant;1863;nom
vie;1608;nom
homme;1599;nom
prendre;1571;ver
penser;1560;ver
temps;1536;nom
comprendre;1535;ver
chose;1491;nom
mettre;1405;ver
passer;1401;ver
pays;1375;nom
époque;1345;nom
année;1324;nom
vraiment;1246;adv
petit;1227;adj
grand;1222;adj
jour;1199;nom
payer;1198;ver
vrai;1198;adj
trouver;1151;ver
donner;1150;ver
vivre;1144;ver
problème;1123;nom
emji_visage_qui_pleure;1121;nom
rester;1096;ver
venir;1082;ver
beau;1017;adj
changer;996;ver
commentaire;961;nom
aimer;948;ver
connaître;948;ver
question;935;nom
seul;915;adj
france;910;nr
français;895;nom
travail;891;nom
demander;884;ver
devenir;877;ver
fois;877;nom
arrêter;842;ver
emji_applaudissements;827;nom
cas;817;nom
sentir;815;ver
jeune;814;adj
tellement;750;adv
raison;741;nom
humain;718;adj
laisser;711;ver
exister;701;ver
besoin;700;nom
animal;700;nom
travailler;698;ver
arriver;695;ver
riche;692;adj
argent;679;nom
emji_coeur_rouge;665;nr
emji_visage_faisant_un_clin_d_oeil;643;nr
niveau;634;nom
droit;630;nom
regarder;626;ver
place;618;nom
partir;613;ver
ca;607;nr
etc;605;adv
plutôt;600;adv
accord;581;nom
utiliser;577;ver
coup;576;nom
moment;575;nom
école;573;nom
genre;566;nom
rendre;562;ver
apprendre;558;ver
police;556;nom
part;556;nom
vidéo;554;adj
sujet;550;nom
société;544;nom
lire;542;ver
importer;534;ver
premier;531;adj
exemple;521;nom
sûr;519;adj
compte;518;nom
cher;515;adj
politique;513;nom
social;504;adj
mot;503;nom
perdre;495;ver
malheureusement;483;adv
permettre;483;ver
famille;483;nom
pauvre;482;adj
manquer;481;ver
écrire;477;ver
parent;477;nom
idée;477;nom
sortir;476;ver
emji_se_rouler_par_terre_de_rire;476;nom
emji_visage_en_pleine_réflexion;475;nr
jouer;473;ver
cause;471;nom
meilleur;467;adj
genève;467;nr
état;465;nom
