"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"8";"***";"";""
"**";"classe";"1";"**";"";""
"****";"12332";"85908";"14.35";"****";""
"2603";"2935";" 88.69";"13657.459";"emji_visage_souriant_avec_yeux_en_forme_de_coeur";" 0.000000e+00"
"2547";"3110";" 81.90";"11973.532";"emji_coeur_rouge";" 0.000000e+00"
"1339";"1886";" 71.00";" 5032.176";"emji_applaudissements";" 0.000000e+00"
" 900";"1140";" 78.95";" 3920.739";"emji_mains_levées";" 0.000000e+00"
" 855";"1097";" 77.94";" 3654.216";"emji_feu";" 0.000000e+00"
" 722";" 843";" 85.65";" 3519.530";"emji_visage_souriant_avec_coeurs";" 0.000000e+00"
" 664";" 898";" 73.94";" 2620.858";"emji_mains_en_prière";" 0.000000e+00"
" 583";" 746";" 78.15";" 2491.155";"magnifique";" 0.000000e+00"
" 322";" 370";" 87.03";" 1596.282";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";" 0.000000e+00"
" 348";" 499";" 69.74";" 1252.293";"emji_pouce_vers_le_haut";"2.635151e-274"
" 553";"1081";" 51.16";" 1206.014";"souvenir";"3.007571e-264"
" 237";" 300";" 79.00";" 1023.315";"emji_étincelles";"1.536253e-224"
" 756";"1926";" 39.25";"  993.369";"beau";"4.960501e-218"
" 206";" 270";" 76.30";"  845.260";"touchant";"7.798004e-186"
" 149";" 164";" 90.85";"  782.132";"emji_coeur_cartes";"4.139197e-172"
" 387";" 788";" 49.11";"  781.457";"adorer";"5.804609e-172"
" 208";" 328";" 63.41";"  644.590";"génial";"3.355783e-142"
" 175";" 251";" 69.72";"  627.671";"mignon";"1.604863e-138"
" 117";" 127";" 92.13";"  625.720";"emji_chat_souriant_aux_yeux_en_coeurs";"4.262353e-138"
" 262";" 491";" 53.36";"  611.114";"emji_drapeau_suisse";"6.404233e-135"
" 164";" 230";" 71.30";"  608.371";"emji_visage_retenant_ses_larmes";"2.529091e-134"
" 120";" 142";" 84.51";"  569.359";"emji_colombe";"7.739589e-126"
" 111";" 126";" 88.10";"  558.105";"emji_coeur_blanc";"2.172001e-123"
"  91";"  95";" 95.79";"  513.002";"emji_rose";"1.409225e-113"
" 109";" 133";" 81.95";"  495.126";"emji_mains_en_prière_peau_moyennement_claire";"1.092823e-109"
" 513";"1504";" 34.11";"  485.884";"emji_visage_qui_pleure";"1.120447e-107"
" 106";" 131";" 80.92";"  472.795";"emji_renard";"7.897933e-105"
" 100";" 120";" 83.33";"  465.064";"émouvant";"3.801182e-103"
" 132";" 203";" 65.02";"  424.931";"merveilleux";" 2.061502e-94"
"  87";" 102";" 85.29";"  418.010";"emji_trèfle_à_quatre_feuilles";" 6.616402e-93"
" 125";" 191";" 65.45";"  406.417";"adorable";" 2.208554e-90"
"  78";"  89";" 87.64";"  389.201";"emji_notes_de_musique";" 1.235136e-86"
" 117";" 185";" 63.24";"  360.426";"emji_mains_en_prière_peau_claire";" 2.273999e-80"
"  85";" 110";" 77.27";"  354.645";"emji_deux_coeurs";" 4.126464e-79"
"  83";" 108";" 76.85";"  343.546";"emji_mains_qui_forment_un_coeur";" 1.077805e-76"
"  84";" 111";" 75.68";"  339.936";"sagesse";" 6.588175e-76"
" 103";" 159";" 64.78";"  329.451";"emji_coeur_brisé";" 1.265842e-73"
"  59";"  66";" 89.39";"  302.517";"emji_étoile_brillante";" 9.319561e-68"
"  65";"  78";" 83.33";"  302.144";"emji_coeur_étincelant";" 1.123984e-67"
"  86";" 126";" 68.25";"  298.173";"chou";" 8.238325e-67"
"  89";" 138";" 64.49";"  282.622";"emji_biceps_contracté";" 2.014462e-63"
" 127";" 249";" 51.00";"  272.825";"enfance";" 2.748851e-61"
"  65";"  84";" 77.38";"  271.670";"rip";" 4.907955e-61"
"  97";" 170";" 57.06";"  252.663";"témoignage";" 6.820133e-57"
"  41";"  42";" 97.62";"  236.960";"emji_drapeau_sénégal";" 1.809422e-53"
" 232";" 666";" 34.83";"  228.986";"emji_visage_avec_bouche_ouverte";" 9.918478e-52"
"  53";"  67";" 79.10";"  228.657";"emji_applaudissements_peau_moyennement_claire";" 1.169919e-51"
"  45";"  52";" 86.54";"  220.516";"claudia";" 6.978831e-50"
"  44";"  52";" 84.62";"  208.923";"emji_étourdissement";" 2.359626e-47"
" 364";"1290";" 28.22";"  204.701";"tellement";" 1.967947e-46"
"  98";" 198";" 49.49";"  199.329";"âme";" 2.926381e-45"
"  34";"  35";" 97.14";"  195.199";"emji_drapeau_algérie";" 2.331528e-44"
"  58";"  87";" 66.67";"  193.846";"formidable";" 4.602387e-44"
"  36";"  39";" 92.31";"  192.851";"mimi";" 7.585017e-44"
"  55";"  80";" 68.75";"  192.713";"emji_mains_qui_forment_un_coeur_peau_claire";" 8.129881e-44"
"  38";"  43";" 88.37";"  191.712";"emji_coeur_bleu";" 1.344933e-43"
"  72";" 126";" 57.14";"  187.910";"emji_visage_avec_lunettes_de_soleil";" 9.091793e-43"
"  41";"  50";" 82.00";"  186.206";"emji_coeur_vert";" 2.140765e-42"
"  51";"  73";" 69.86";"  183.106";"extraordinaire";" 1.016900e-41"
"  38";"  45";" 84.44";"  179.905";"emji_partition";" 5.082503e-41"
"  30";"  31";" 96.77";"  171.346";"carrie";" 3.760150e-39"
"  50";"  74";" 67.57";"  170.582";"emji_applaudissements_peau_claire";" 5.520898e-39"
"  39";"  49";" 79.59";"  169.718";"emji_coeur_violet";" 8.525048e-39"
"  32";"  35";" 91.43";"  169.182";"emji_fleur_de_cerisier";" 1.116294e-38"
"  33";"  37";" 89.19";"  168.612";"emji_coeur_avec_ruban";" 1.487275e-38"
"  34";"  39";" 87.18";"  168.312";"emji_drapeau_brésil";" 1.729088e-38"
"  85";" 176";" 48.30";"  165.249";"emji_ok";" 8.070649e-38"
"  41";"  55";" 74.55";"  162.179";"emji_mains_qui_forment_un_coeur_peau_moyennement_claire";" 3.780402e-37"
"  34";"  41";" 82.93";"  156.885";"emji_coeur_enflammé";" 5.423366e-36"
"  43";"  61";" 70.49";"  156.471";"emji_pouce_vers_le_haut_peau_moyennement_claire";" 6.680688e-36"
"  36";"  46";" 78.26";"  152.887";"emji_coeur_avec_bandages";" 4.054520e-35"
"  29";"  32";" 90.62";"  151.467";"emji_couronne";" 8.285475e-35"
"  33";"  40";" 82.50";"  151.157";"emji_sapin_de_noël";" 9.682899e-35"
"  32";"  38";" 84.21";"  150.895";"emji_feuille";" 1.104685e-34"
"  44";"  66";" 66.67";"  147.019";"félicitation";" 7.771879e-34"
" 121";" 317";" 38.17";"  146.784";"archive";" 8.746791e-34"
"  30";"  35";" 85.71";"  145.026";"emji_coeur_grandissant";" 2.120072e-33"
"  83";" 182";" 45.60";"  144.869";"beauté";" 2.293744e-33"
" 137";" 382";" 35.86";"  144.390";"reportage";" 2.920104e-33"
"  33";"  42";" 78.57";"  140.946";"emji_cent_points";" 1.653239e-32"
"  31";"  38";" 81.58";"  139.741";"rétablissement";" 3.033419e-32"
" 169";" 523";" 32.31";"  138.039";"emji_visage_souriant_avec_yeux_rieurs";" 7.147705e-32"
"  52";"  91";" 57.14";"  135.657";"emji_visage_festif";" 2.371443e-31"
"  51";"  89";" 57.30";"  133.670";"emji_visage_rieur";" 6.452174e-31"
"  36";"  51";" 70.59";"  131.254";"emji_mains_levées_peau_claire";" 2.178381e-30"
"  25";"  28";" 89.29";"  127.914";"emji_coeur_jaune";" 1.172125e-29"
"  40";"  62";" 64.52";"  126.981";"douceur";" 1.875466e-29"
"  50";"  89";" 56.18";"  126.767";"célestin";" 2.088862e-29"
"  32";"  43";" 74.42";"  126.243";"emji_soleil";" 2.720276e-29"
"  55";" 104";" 52.88";"  125.733";"joyeux";" 3.517933e-29"
"  37";"  55";" 67.27";"  125.355";"pépite";" 4.255257e-29"
