"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";1;0;1;1;1;1;1
"aller";1;1;0,208;0;0;0;0
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1
"emji_coeur_rouge";0;1;1;1;1;1;1
"suisse";1;1;0,125;0;1;1;1
"voir";1;1;1;1;0,012;0;0
"emji_applaudissements";0;1;1;1;1;1;1
"parler";1;1;0;0,283;1;0;1
"emji_se_rouler_par_terre_de_rire";1;0;1;1;1;1;1
"gens";1;1;1;0,002;0,441;0;0
"monde";1;1;0,068;0;1;0,005;0
"femme";1;1;1;1;1;0;0
"emji_visage_qui_pleure";0;1;1;1;0,043;1;0
"enfant";1;1;0;1;1;1;0
"beau";0;1;1;1;0,916;1;0
"époque";0,131;1;1;1;1;1;0
"prendre";1;1;1;0;0,003;0;0,002
"pays";1;1;0;0;1;1;1
"vie";1;1;1;1;1;1;0
"penser";1;1;1;1;0,168;0;0
"comprendre";1;1;1;1;1;0;1
"homme";1;1;1;1;1;0;0,004
"temps";1;1;1;0,301;1;1;0
"aimer";1;0;1;1;0;1;0
"chose";1;1;1;1;1;0;0
"passer";1;1;0,254;0;1;1;0
"mettre";1;1;0,72;0;1;0;0
"petit";1;1;1;1;0;1;0
"année";1;1;1;0;1;1;0
"vrai";1;1;1;1;1;0;0,001
"emji_feu";0;1;1;1;1;1;1
"emji_mains_levées";0;1;1;1;1;1;1
"grand";1;1;1;0;0,199;1;0
"vraiment";1;1;1;1;1;0;0
"jour";1;1;1;0,224;0;1;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;0;1;1;1;1;1
"venir";1;1;0,521;0;0;0;0,001
"trouver";1;1;1;0;0,611;0;0
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1;1
"tellement";0;1;1;1;1;1;0
"donner";1;1;1;0,015;0;0;0
"vivre";1;1;1;0,004;0,161;1;0
"rester";1;1;1;0;0;0;0
"payer";1;1;1;0;1;1;1
"problème";1;1;1;0;0,348;0;1
"français";1;0,002;1;0;1;0;1
"connaître";1;1;1;1;1;0;0
"emji_mains_en_prière";0;1;1;1;1;1;1
"changer";1;1;1;1;1;0,64;0
"souvenir";0;1;1;1;1;1;0,005
"france";1;1;1;0;1;1;1
"fois";1;1;0,594;0;1;0;0
"commentaire";1;1;1;1;1;0;1
"seul";1;1;0;0;0,002;0;0
"arrêter";1;1;0;0;0,493;0;0,003
"demander";1;1;0;0;1;0;0
"droit";1;1;0;0,182;1;0;1
"question";1;1;1;1;1;0;1
"emji_visage_faisant_un_clin_d_oeil";1;0;1;1;0,657;0;0,143
"devenir";1;1;1;0;0;0,166;0
"travail";1;1;1;0;1;1;0,012
"emji_visage_avec_bouche_ouverte";0;0,758;1;1;0,996;1;1
"raison";1;1;1;1;0;0;1
"cas";1;1;0,575;0;1;0;1
"jeune";1;1;1;1;1;1;0
"sentir";1;1;1;1;0,649;0;0,26
"emji_visage_qui_pleure_à_chaudes_larmes";1;0;1;1;1;1;1
"police";1;1;0;1;1;0;1
"exister";1;1;1;1;0,511;0;0,001
"accord";1;1;0;0;1;0;1
"humain";1;1;0,01;1;0;0;0
"arriver";1;1;1;0,003;1;0,005;0
"utiliser";1;0,648;0;0;1;0;1
"laisser";1;1;0,359;0,146;0;0;0
"besoin";1;1;1;0;0;0;0
"état";1;1;0;0;1;1;1
"adorer";0;0,698;1;1;0,143;1;1
"animal";1;1;1;1;0;1;1
"regarder";1;1;1;1;1;0;0
"guerre";1;1;0;1;1;1;1
"ca";1;1;1;1;0,602;0,009;0
"coup";1;1;0,196;0;1;0,064;0
"magnifique";0;1;1;1;1;1;1
"argent";1;1;1;0;1;1;1
"travailler";1;1;1;0;1;1;0
"partir";1;1;0,213;0;1;0,232;1
"moment";1;1;0,251;1;1;1;0
"vidéo";1;1;1;1;1;0;0
"etc";1;1;0,668;0;0,377;1;1
"riche";1;1;1;0;1;1;1
"plutôt";1;1;1;0;0,146;0;1
"place";1;1;0,967;0;1;0,281;1
"premier";1;1;0,589;0,002;1;0;1
"mot";1;1;0,715;1;1;0;1
"rendre";1;1;0;0;0,003;0;0,408
"appeler";1;0;0,02;1;1;0,139;0,58
"meilleur";0;1;1;0;1;1;0,001
"jouer";0,073;1;1;1;1;1;0
"école";1;1;1;1;1;1;0
"niveau";1;1;1;0;1;0;0,004
"part";1;1;0,298;0;0,79;0;1
"genre";1;1;1;1;1;0;1
"politique";1;1;0;0;1;0;1
"palestinien";1;1;0;1;1;1;1
"emji_drapeau_suisse";0;1;1;1;1;1;1
"sûr";1;1;1;1;1;0;0,011
"israël";1;1;0;1;1;1;1
"importer";1;1;1;0,301;0;0;1
"dernier";1;1;0,111;1;1;1;0
"continuer";1;1;0;0;0,979;1;0,324
"emji_pouce_vers_le_haut";0;1;1;1;1;1;1
"famille";1;1;0,114;1;0,692;1;0
"lire";1;1;1;1;1;0;1
"apprendre";1;1;1;1;1;0,017;0
"emji_visage_en_pleine_réflexion";1;1;1;1;0,919;0;1
"exemple";1;1;1;0;0,618;0;1
"compte";1;1;1;0;1;0;1
"genève";1;1;1;0;1;1;1
"sujet";1;1;1;1;1;0;1
"manquer";1;1;1;0,797;1;0,002;0
"pauvre";1;1;1;0;0;1;0
"cause";1;1;0;0;0,009;0;1
"perdre";1;1;1;0;0,042;0,953;0
"partie";1;1;0,161;0;1;0,171;1
"histoire";1;1;0;1;1;0;0,179
"sortir";1;1;1;1;1;0,078;0
"fin";1;1;0,121;1;1;0,071;0
"société";1;1;1;0;1;0;1
"entendre";1;0,362;1;1;1;0;0
"idée";1;1;1;0,687;0,737;0;1
"cher";1;1;1;0;1;1;1
"oublier";1;1;0,012;0;1;1;0
"rts";1;1;0;1;1;0;1
"manger";1;0,187;1;1;0;1;1
"respect";0,042;1;1;1;1;0,919;0
"emji_visage_souriant_avec_yeux_rieurs";0;1;1;1;1;1;0,022
"paix";0,001;1;0;1;1;1;1
"permettre";1;1;1;0;1;0,178;1
"malheureusement";1;1;1;1;0,002;0,006;0
"écrire";1;1;1;1;1;0;1
"gros";1;1;1;0;0,366;0,532;0,966
"parent";1;1;1;1;1;1;0
"revenir";1;1;1;0;1;1;0,344
"finir";1;1;1;0,001;0,02;1;0
"super";0,04;1;1;1;0,13;1;0
"côté";1;1;1;0,005;1;0;0
"social";1;1;1;0;1;0;0,129
"emji_visage_roulant_des_yeux";1;0;1;1;1;0,415;1
"population";1;1;0;0;0,902;0,965;1
"peuple";1;1;0;0,008;1;1;1
"heure";1;1;1;0,004;1;1;0
"gauche";1;1;0,002;0;1;0;1
"espérer";1;1;1;1;0,322;1;0
