"";"*rts_a";"*rts_i"
"moi";236;22
"je";551;90
"dire";176;41
"à";618;200
"quand";79;16
"le";768;223
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";364;74
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";17;2
"ces";221;21
"archive";121;0
"être";2421;442
"absolument";14;6
"magnifique";471;114
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";3547;749
"emji_feu";821;436
"emji_yeux";9;7
"emji_coeur_rouge";3323;582
"ma";106;16
"jeunesse";27;3
"respect";75;20
"2";17;24
"emji_visage_avec_lunettes_de_soleil";60;19
"back";11;3
"the";29;14
"emji_mains_en_prière";679;243
"c";1060;184
"qui";218;34
"incroyable";104;21
"de";1426;260
"voir";97;12
"ça";361;75
"faire";303;92
"mon";264;23
"dimanche";15;0
"merci";554;168
"la";1054;236
"top";29;7
"juste";45;14
"un";510;100
"peu";41;8
"mal";9;10
"aux";46;24
"pas";311;98
"vous";360;102
"meilleur";103;27
"sur";92;17
"emji_ok";80;15
"emji_trinquer";14;7
"emji_trèfle_à_quatre_feuilles";80;38
"d";372;68
"les";717;146
"emji_applaudissements";1749;897
"emji_se_rouler_par_terre_de_rire";126;18
"emji_ok_peau_claire";25;8
"mais";252;60
"tu";67;32
"emji_mains_levées";798;514
"emji_visage_riant_aux_larmes";1181;159
"sacré";23;5
"mythique";30;1
"emji_applaudissements_peau_claire";47;42
"et";1056;238
"vive";80;25
"suisse";97;54
"emji_drapeau_suisse";196;147
"emji_biceps_contracté_peau_claire";19;19
"m";90;13
"en";429;101
"souvenir";597;8
"trop";372;49
"bien";356;93
"quelle";311;24
"équipe";10;8
"bravo";215;194
"gars";7;4
"ils";189;39
"nous";174;39
"avoir";1201;207
"rêver";15;2
"emji_coeur_cartes";233;14
"on";344;91
"adorer";357;35
"offrir";8;3
"emji_doigts_croisés_peau_claire";6;11
"emji_doigts_croisés";16;15
"aller";56;29
"leur";40;10
"emji_visage_faisant_un_clin_d_oeil";54;4
"emji_coeurs_qui_tournent";21;10
"tellement";334;38
"pour";458;200
"ce";481;70
"époque";293;1
"beau";731;66
"qu";253;42
"anniversaire";40;4
"j";805;87
"encore";94;12
"photo";6;8
"my";31;2
"nos";64;12
"dieu";63;6
"l";603;89
"gens";36;0
"t";57;13
"bon";266;67
"rester";21;10
"an";99;7
"après";27;5
"ah";58;10
"surtout";26;14
"emji_soleil";29;8
"dans";217;34
"bois";12;2
"dernier";73;5
"génial";189;21
"vos";37;9
"aimer";200;21
"reportage";133;6
"emji_visage_souriant_avec_coeurs";1058;151
"commentaire";14;9
"emji_visage_rieur";50;7
"ancien";27;1
"emji_pouce_vers_le_haut";386;69
"trésor";16;0
"des";381;55
"rts";27;7
"chose";29;9
"me";186;20
"devoir";51;11
"saut";9;1
"passer";34;3
"extraordinaire";47;4
"superbe";30;7
"que";515;89
"falloir";55;19
"regarder";29;1
"puch";13;0
"emji_visage_souriant_aux_yeux_rieurs";60;4
"tant";37;12
"emji_pouce_vers_le_haut_peau_moyennement_claire";39;16
"cette";419;30
"quel";185;20
"lausanne";14;3
"oublier";8;5
"ses";46;15
"jeune";57;3
"for";11;8
"ever";10;2
"é";8;10
"il";464;69
"devenir";31;1
"notre";64;15
"y";204;35
"idée";9;9
"du";228;65
"frisson";14;1
"vie";129;13
"ha";10;0
"aussi";222;27
"plein";36;8
"perle";9;4
"s";106;26
"super";78;14
"emji_cornes_avec_les_doigts";27;18
"excellent";49;20
"fantastique";20;5
"emji_fusée";6;10
"emji_mains_levées_peau_moyennement_claire";15;12
"clairvoyance";10;1
"rappeler";44;1
"tout";241;81
"simplement";12;3
"une";491;92
"son";110;44
"grand";115;32
"monsieur";152;19
"légende";10;2
"roi";13;3
"retour";11;2
"touchant";203;3
"elle";406;57
"apprendre";12;0
"vivre";38;3
"avec";253;53
"oh";129;21
"ne";241;76
"couper";8;4
"reconnaître";7;5
"emji_coeur_noir";16;11
"50";11;0
"jour";37;7
"même";120;17
"adorable";127;1
"emji_couronne";31;6
"savoir";78;19
"jamais";44;18
"emji_étincelles";237;102
"emji_visage_avec_bouche_ouverte";250;166
"emji_feuille";22;14
"ouiii";11;5
"entendre";29;0
"parler";75;6
"joyeux";33;22
"fête";42;7
"national";12;1
"tous";119;39
"emji_cotillons";23;22
"garçon";41;1
"perdre";11;5
"si";175;21
"emji_visage_souriant_avec_yeux_rieurs";175;14
"aujourd_hui";56;5
"1";13;34
"pur";11;0
"plaisir";37;7
"revoir";48;1
"toutes";64;25
"votre";54;43
"enfant";73;5
"histoire";18;3
"revenir";18;1
"entre";13;4
"eux";35;13
"toujours";118;22
"émouvoir";10;0
"rire";31;5
"beaucoup";116;23
"emji_papillon";21;1
"emji_notes_de_musique";128;9
"emji_coeur_bleu";36;18
"année";87;7
"non";52;30
"rien";60;13
"au";155;46
"monde";43;19
"emji_fondue";12;1
"heure";39;2
"emji_visage_souriant_avec_une_larme";61;20
"emji_miam";16;3
"emji_visage_souriant_avec_de_grands_yeux";52;6
"george";12;0
"emji_deux_coeurs";155;15
"champion";6;7
"emji_gâteau_d";8;2
"chapeau";24;2
"artiste";8;4
"emji_coeur_vert";39;12
"we";22;1
"lover";12;1
"you";10;7
"magique";40;8
"georges";50;0
"sa";95;30
"très";313;32
"autre";32;5
"epoque";10;0
"déjà";44;11
"émission";16;0
"emji_étoile";31;18
"vrai";119;5
"régal";9;2
"enfance";127;0
"famille";14;27
"extra";10;0
