"";"X.rts_a";"X.rts_i"
"et";-0,4714;0,4714
"ils";-0,796;0,796
"gagner";-0,4182;0,4182
"rien";-1,0963;1,0963
"emji_visage_en_pleine_réflexion";-0,404;0,404
"emji_visage_souriant_avec_yeux_rieurs";10,2632;-10,2632
"c";13,5384;-13,5384
"être";9,3591;-9,3591
"la";1,5735;-1,5735
"suisse";1,0968;-1,0968
"les";-8,2422;8,2422
"français";3,7626;-3,7626
"avoir";32,2471;-32,2471
"plus";-6,8833;6,8833
"de";-0,6648;0,6648
"budget";-4,0831;4,0831
"y";4,2291;-4,2291
"pour";-5,947;5,947
"tes";-0,777;0,777
"20";0,7068;-0,7068
"euro";21,2795;-21,2795
"bravo";1,009;-1,009
"à";1,8629;-1,8629
"nos";-2,1242;2,1242
"ami";1,0017;-1,0017
"qui";-10,3161;10,3161
"contrairement";-0,4642;0,4642
"belge";1,2533;-1,2533
"une";-0,9983;0,9983
"très";2,0713;-2,0713
"beau";5,7376;-5,7376
"mentalité";0,4621;-0,4621
"dans";2,9262;-2,9262
"victoire";0,8939;-0,8939
"comme";0,3244;-0,3244
"bon";3,917;-3,917
"chance";-0,7128;0,7128
"le";1,0715;-1,0715
"rester";-1,0518;1,0518
"compétition";0,4632;-0,4632
"ça";4,2299;-4,2299
"ne";-9,622;9,622
"nous";2,8466;-2,8466
"rapporter";0,2709;-0,2709
"pas";-4,6543;4,6543
"un";0,476;-0,476
"centime";1,986;-1,986
"vous";-1,5981;1,5981
"payer";-11,9001;11,9001
"votre";-2,4322;2,4322
"loyer";-5,8683;5,8683
"ni";0,6037;-0,6037
"vos";-0,3452;0,3452
"facture";-1,4477;1,4477
"chaque";-0,5849;0,5849
"mois";-0,3763;0,3763
"il";3,5481;-3,5481
"ce";-0,8982;0,8982
"sport";1,0215;-1,0215
"ci";0,2455;-0,2455
"loin";1,4753;-1,4753
"d";-5,0326;5,0326
"chose";0,3358;-0,3358
"nécessaire";-0,9269;0,9269
"monde";-2,7042;2,7042
"oser";-0,2844;0,2844
"dire";5,7938;-5,7938
"devoir";-1,8387;1,8387
"viser";-1,4234;1,4234
"couper";-1,0223;1,0223
"ya";0,6531;-0,6531
"t";0,6844;-0,6844
"des";-4,8532;4,8532
"origine";-0,3034;0,3034
"ds";2,5046;-2,5046
"cette";2,0533;-2,0533
"équipe";0,4791;-0,4791
"j";35,4518;-35,4518
"espérer";-1,2618;1,2618
"que";-8,0078;8,0078
"là";0,3496;-0,3496
"europe";-2,5281;2,5281
"emji_applaudissements";1,4627;-1,4627
"hop";0,3042;-0,3042
"emji_drapeau_suisse";0,791;-0,791
"on";-1,7042;1,7042
"leur";-2,3271;2,3271
"croiser";0,7523;-0,7523
"doigt";0,7103;-0,7103
"depuis";2,6321;-2,6321
"suède";-0,5255;0,5255
"ben";0,8661;-0,8661
"qu";-0,2953;0,2953
