"";"X.rts_a";"X.rts_i"
"pro_per";7,0005;-7,0005
"aux";1,0374;-1,0374
"art_ind";-2,1114;2,1114
"nom";-1,0786;1,0786
"pro_rel";-0,5951;0,5951
"ver";0,4538;-0,4538
"pre";-4,9136;4,9136
"con";-0,9539;0,9539
"ver_sup";-0,7068;0,7068
"art_def";1,7537;-1,7537
"adj";-0,5137;0,5137
"ono";1,2403;-1,2403
"adv";-0,5605;0,5605
"pro_dem";0,5955;-0,5955
"nr";-3,1107;3,1107
"adj_pos";1,2725;-1,2725
"adv_sup";1,6995;-1,6995
"nom_sup";2,4385;-2,4385
"pro_ind";-0,4605;0,4605
"num";-1,339;1,339
"adj_dem";1,5002;-1,5002
"adj_sup";-0,6448;0,6448
"adj_ind";-0,4877;0,4877
"adj_int";-0,719;0,719
"adj_num";0,566;-0,566
"pro_pos";-0,2994;0,2994
