"";"X.rts_a";"X.rts_i"
"venir";2,61;2,57
"organiser";0,13;0,29
"emji_visage_avec_un_sourire_malin";0,4;0,27
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";16,41;2,8
"emji_visage_riant_aux_larmes";50,82;18,94
"drogue";0,12;0,34
"voir";8,55;8,32
"tête";1,36;0,6
"poser";0,84;0,71
"question";1,81;2,11
"lancer";0,15;0,27
"truc";0,84;0,58
"penser";3,71;3,46
"parler";5,06;5,73
"aller";7,37;11,25
"danser";0,22;0,04
"24h";0,03;0,05
"stop";0,15;0,21
"emji_visage_grimaçant";0,35;0,16
"gagner";0,46;0,89
"emji_visage_en_pleine_réflexion";1,2;1,1
"emji_visage_souriant_avec_yeux_rieurs";1,91;0,34
"nouveau";0,52;1,09
"marathon";0,06;0,04
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";1,69;0,3
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";0,42;0,17
"manger";1,45;0,72
"emji_se_rouler_par_terre_de_rire";7,76;2,92
"alcool";0,16;0,2
"nourriture";0,3;0,22
"eau";0,83;0,69
"couleur";0,39;0,19
"cas";1,31;2,21
"archive";1,34;0,01
"absolument";0,57;0,72
"magnifique";2,42;0,57
"reconnaître";0,61;0,67
"emji_visage_souriant_avec_une_goutte_de_sueur";4,06;1,41
"talent";0,14;0,12
"changer";2,88;1,63
"emji_visage_faisant_un_clin_d_oeil";2,9;1,13
"genial";0,05;0,02
"idée";0,83;1,29
"emji_feu";4,24;2,03
"emji_yeux";0,3;0,29
"emji_coeur_rouge";16,35;2,63
"break";0,04;0
"dance";0,06;0
"jeunesse";0,61;0,12
"super";1,31;0,78
"sentir";1,66;1,85
"nostalgique";0,15;0,02
"coup";1,39;1,42
"fin";1,23;0,99
"enfant";4,76;3,86
"tiktok";0,13;0,05
"époque";7,42;0,51
"style";0,3;0,16
"contrairement";0,17;0,28
"mettre";2,48;3,73
"musique";0,41;0,19
"ami";0,98;0,53
"rassurer";0,15;0,13
"petit";4,41;2,1
"comprendre";3,51;3,47
"acquérir";0,06;0,07
"spécial";0,15;0,1
"emji_visage_avec_lunettes_de_soleil";0,44;0,13
"respect";1,39;0,76
"afficher";0,02;0,03
"remettre";0,46;0,55
"système";0,38;1,32
"plutôt";1,12;1,55
"juger";0,26;0,31
"terme";0,47;0,75
"sexiste";0,05;0,04
"back";0,05;0,01
"the";0,22;0,18
"emji_mains_en_prière";3,63;1,14
"sortir";0,95;1,22
"boss";0,04;0,05
"incroyable";1,18;0,42
"dimanche";0,76;0,29
"énorme";0,29;0,26
"top";0,57;0,28
"dieu";1,8;0,3
"possible";0,56;0,81
"grand";3,19;2,72
"temps";3,96;2,95
"chant";0,03;0,01
"école";1,7;0,92
"enfantin";0,02;0,02
"oreille";0,29;0,05
"grave";0,37;0,51
"meilleur";1,54;1,07
"terrain";0,11;0,25
"emji_ok";0,61;0,18
"emji_trinquer";0,07;0,04
"emji_trèfle_à_quatre_feuilles";0,38;0,14
"emji_applaudissements";9,45;4,87
"suisse";5,69;10,8
"pleurer";0,37;0,27
"emji_ok_peau_claire";0,14;0,06
"rire";0,97;0,37
"deuxième";0,13;0,16
"slide";0,01;0,07
"français";3,06;1,7
"budget";0,07;0,32
"dingue";0,25;0,14
"emji_visage_très_souriant_aux_yeux_rieurs";0,65;0,18
"rts";0,76;1,3
"bleu";0,2;0,11
"emji_homme_avec_la_paume_sur_le_visage";0,11;0,16
"journaliste";0,66;0,46
"honte";0,5;0,82
"emji_visage_qui_hurle_de_peur";0,83;0,43
"double";0,18;0,18
"emji_mains_levées";3,89;2,22
"inviter";0,16;0,24
"gym";0,02;0,02
"profil";0,1;0,23
"sacré";0,46;0,15
"mythique";0,2;0,01
"emji_applaudissements_peau_claire";0,27;0,24
"emji_drapeau_suisse";1,33;1,1
"laisser";1,13;1,88
"célébrer";0,02;0,03
"espoir";0,08;0,11
"euro";0,34;0,1
"emji_biceps_contracté_peau_claire";0,12;0,07
"cousin";0,2;0,05
"belge";0,3;0,03
"beau";6,61;1,45
"mentalité";0,3;0,22
"victoire";0,08;0,11
"défaite";0,03;0,03
"chance";0,62;0,6
"rester";2;2,79
"compétition";0,1;0,11
"vraiment";2,94;2,86
"insupportable";0,1;0,11
"gens";4,29;5,1
"cirque";0,05;0,09
"pareil";1,28;0,73
"inculte";0,04;0,05
"tellement";3,9;1,38
"bas";0,51;0,82
"rapporter";0,05;0,16
"centime";0,06;0,06
"payer";0,86;3,67
"loyer";0,05;0,45
"facture";0,03;0,18
"mois";0,52;0,91
"sport";0,5;0,34
"chose";3,44;3,13
"nécessaire";0,15;0,36
"monde";3,68;5,03
"mourir";0,49;0,41
"faim";0,12;0,14
"battre";0,64;0,42
"survie";0,05;0,05
"maladie";0,35;0,73
"foire";0,03;0,01
"bête";0,46;0,13
"sauvage";0,52;0,06
"humain";1,6;1,57
"devenir";1,97;1,85
"pathétique";0,08;0,08
"siècle";0,28;0,24
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";0,14;0,13
"souvenir";4,56;0,22
"oser";0,35;0,37
"viser";0,07;0,3
"couper";0,69;0,67
"pr";0,12;0,16
"réponse";0,92;0,65
"échange";0,1;0,21
"constructif";0,04;0,08
"plaisir";1,03;0,46
"chanter";0,25;0,06
"purée";0,26;0,11
"moin";0,08;0,08
"lèvre";0,02;0,02
"hymne";0,03;0,01
"ya";0,35;0,21
"origine";0,37;0,32
"ds";0,22;0,12
"équipe";0,48;0,75
"gars";0,58;0,39
"bout";0,38;0,38
"rêver";0,22;0,09
"emji_coeur_cartes";1,06;0,05
"nati";0,07;0,04
"adorer";2,94;0,32
"offrir";0,33;0,57
"match";0,37;0,26
"emji_applaudissements_peau_foncée";0,01;0,02
"espérer";0,89;1,05
"europe";0,32;1,06
"vivre";2,74;2,29
"apprendre";1,55;0,84
"oublier";1,06;1,06
"racine";0,09;0,05
"croiser";0,15;0,1
"doigt";0,32;0,23
"suède";0,01;0,06
"emji_doigts_croisés_peau_claire";0,03;0,04
"emji_doigts_croisés";0,08;0,11
"dernier";1,51;0,91
"emji_doigts_croisés_peau_moyennement_claire";0,01;0,02
"pffff";0,02;0,05
"aimer";5,79;1,43
"hippie";0,06;0
"nage";0,03;0,01
"payant";0,05;0,05
"avion";0,21;0,23
"gonfler";0,05;0,03
"femme";5,36;3,57
"prendre";3,05;4,06
"analyse";0,12;0,19
"correct";0,11;0,19
"genre";1,05;1,4
"clip";0,06;0,01
"faute";0,55;0,61
"traduction";0,06;0,03
"ego";0,07;0,06
"vrai";3,47;2,69
"emji_drapeau_états";0,02;0,13
"unir";0,15;0,6
"correction";0,04;0,02
"emji_coeurs_qui_tournent";0,1;0,04
"honnêtement";0,12;0,14
"regarder";1,68;1,24
"emji_visage_avec_les_sourcils_relevés";0,17;0,16
"fier";0,39;0,25
"raison";2,04;1,62
"rue";0,55;0,69
"police";0,31;2,72
"avertir";0,02;0,03
"voiture";0,71;0,78
"amande";0,03;0,03
"argent";0,57;2,07
"emji_visage_souriant_aux_yeux_rieurs";1,47;0,34
"attendre";0,77;1,14
"emji_coeur_enflammé";0,15;0,06
"parent";1,42;0,7
"avouer";0,2;0,16
"meuf";0,24;0,04
"vidéo";2,26;0,63
"rajeunir";0,06;0
"vendre";0,31;0,54
"rêve";0,42;0,19
"apercevoir";0,07;0,02
"min";0,07;0,06
"emji_visage_envoyant_un_bisou";0,66;0,24
"publier";0,07;0,18
"reportage";1,37;0,2
"tecktonik";0,18;0
"religieux";0,14;0,11
"historien";0,02;0,03
"représenter";0,17;0,68
"musée";0,06;0,13
"enseigner";0,2;0,08
"histoire";0,95;1,23
"temp";0,03;0,03
"fesait";0,05;0
"erreur";0,24;0,38
"passer";3,15;3,32
"dur";0,49;0,61
"boiter";0,07;0,05
"air";1,03;0,44
"détester";0,39;0,09
"anniversaire";0,22;0,05
"photo";0,3;0,47
"seigneur";0,1;0,02
"emji_visage_avec_bouche_ouverte";2,49;1,32
"emji_visage_avec_un_doigt_sur_la_bouche";0,12;0,07
"ptn";0,07;0,05
"gêner";0,15;0,12
"pensée";0,4;0,22
"my";0,18;0,04
"vie";4,57;2,76
"ahahah";0,05;0,03
"chaud";0,5;0,24
"imaginer";0,63;0,65
"revoir";0,59;0,24
"mtn";0,18;0,1
"compte";0,8;1,39
"heureusement";0,91;0,47
"période";0,34;0,16
"court";0,14;0,1
"mulet";0,07;0
"horreur";0,39;0,28
"disparaître";0,41;0,24
"arrivée";0,15;0,11
"finalement";0,33;0,28
"élève";0,62;0,16
"allure";0,03;0,01
"calme";0,23;0,12
"vieux";1,54;0,33
"france";2,24;2,1
"partir";0,79;1,87
"clairement";0,37;0,67
"putain";0,23;0,07
"relire";0,13;0,2
"explication";0,1;0,15
"punaise";0,15;0,04
"subtil";0,05;0,01
"gros";0,97;1,08
"interviewer";0,14;0,01
"nettement";0,06;0,06
"conditionner";0,02;0,02
"délire";0,08;0,06
"amitié";0,06;0,05
"hypocrisie";0,05;0,23
"emji_visage_mécontent";0,04;0,02
"irréprochable";0,02;0,02
"vocabulaire";0,42;0,04
"choisir";0,42;0,64
"phrase";0,48;0,25
"complexe";0,1;0,17
"camp";0,12;0,25
"vacance";0,37;0,22
"emji_soleil";0,17;0,04
"moniteur";0,04;0
"nombreux";0,27;0,42
"colonie";0,04;0,04
"romand";0,22;0,15
"étudiant";0,1;0,21
"science";0,25;0,17
"éducation";0,63;0,39
"claude";0,1;0,01
"cabane";0,06;0
"bois";0,31;0,15
"bain";0,46;0,06
"rivière";0,06;0,03
"génial";1,16;0,18
