"";"X.rts_a";"X.rts_i"
"ver";79,65;92,89
"pro_per";80,91;70,1
"pro_dem";32,02;28,66
"nom";188,43;177
"nr";64,93;46,22
"pre";95,17;110,81
"con";47,66;53,82
"art_def";78,29;86,67
"adj_ind";3,65;4,82
"aux";63,08;56,53
"adv_sup";63,64;64,07
"num";8,74;9,41
"nom_sup";6,33;5,02
"pro_ind";15,22;16,12
"ver_sup";22;24,17
"adj";53,07;52,64
"adj_dem";5,55;4,23
"adv";10,93;12,52
"adj_pos";12,93;10,78
"adj_int";2,33;1,31
"art_ind";28,67;33,66
"ono";12,69;8,94
"pro_rel";21,26;26,76
"adj_sup";1,53;1,74
"adj_num";1,1;0,95
"pro_pos";0,2;0,15
