"";"*rts_a";"*rts_i"
"venir";628;759
"organiser";31;85
"emji_visage_avec_un_sourire_malin";96;80
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";3949;828
"emji_visage_riant_aux_larmes";12232;5601
"drogue";28;100
"voir";2058;2462
"tête";327;177
"poser";201;209
"question";436;625
"lancer";35;81
"truc";201;171
"penser";892;1023
"parler";1217;1695
"aller";1774;3327
"danser";53;11
"24h";7;14
"stop";35;61
"emji_visage_grimaçant";85;46
"gagner";111;264
"emji_visage_en_pleine_réflexion";290;326
"emji_visage_souriant_avec_yeux_rieurs";460;101
"nouveau";125;322
"marathon";14;12
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";406;88
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";102;50
"manger";350;212
"emji_se_rouler_par_terre_de_rire";1868;864
"alcool";39;58
"nourriture";71;65
"eau";200;204
"couleur";93;55
"cas";315;655
"archive";323;4
"absolument";138;213
"magnifique";582;170
"reconnaître";147;199
"emji_visage_souriant_avec_une_goutte_de_sueur";976;418
"talent";34;36
"changer";694;482
"emji_visage_faisant_un_clin_d_oeil";697;334
"genial";11;6
"idée";199;383
"emji_feu";1020;601
"emji_yeux";72;85
"emji_coeur_rouge";3936;779
"break";10;1
"dance";15;1
"jeunesse";148;35
"super";315;230
"sentir";400;547
"nostalgique";37;5
"coup";334;421
"fin";296;292
"enfant";1146;1142
"tiktok";31;16
"époque";1785;150
"style";73;47
"contrairement";40;82
"mettre";598;1102
"musique";99;55
"ami";235;158
"rassurer";36;39
"petit";1061;621
"comprendre";845;1027
"acquérir";14;22
"spécial";37;31
"emji_visage_avec_lunettes_de_soleil";107;38
"respect";335;226
"afficher";4;9
"remettre";110;163
"système";92;391
"plutôt";269;457
"juger";63;93
"terme";112;223
"sexiste";13;13
"back";11;4
"the";52;52
"emji_mains_en_prière";873;337
"sortir";229;361
"boss";9;14
"incroyable";284;124
"dimanche";184;86
"énorme";70;76
"top";136;84
"dieu";434;88
"possible";135;240
"grand";768;804
"temps";953;873
"chant";8;2
"école";410;273
"enfantin";6;7
"oreille";70;15
"grave";88;150
"meilleur";371;317
"terrain";26;73
"emji_ok";146;52
"emji_trinquer";16;11
"emji_trèfle_à_quatre_feuilles";92;42
"emji_applaudissements";2275;1441
"suisse";1370;3195
"pleurer";88;80
"emji_ok_peau_claire";33;17
"rire";233;109
"deuxième";32;47
"slide";2;20
"français";737;503
"budget";16;96
"dingue";59;41
"emji_visage_très_souriant_aux_yeux_rieurs";156;53
"rts";182;385
"bleu";48;34
"emji_homme_avec_la_paume_sur_le_visage";26;48
"journaliste";159;137
"honte";121;243
"emji_visage_qui_hurle_de_peur";199;128
"double";43;54
"emji_mains_levées";936;656
"inviter";38;71
"gym";6;5
"profil";25;68
"sacré";110;45
"mythique";48;2
"emji_applaudissements_peau_claire";64;71
"emji_drapeau_suisse";321;326
"laisser";272;556
"célébrer";5;10
"espoir";19;34
"euro";81;30
"emji_biceps_contracté_peau_claire";28;21
"cousin";48;15
"belge";71;10
"beau";1592;430
"mentalité";73;65
"victoire";20;32
"défaite";8;9
"chance";149;178
"rester";482;826
"compétition";23;32
"vraiment";707;845
"insupportable";23;32
"gens";1032;1509
"cirque";11;27
"pareil";308;216
"inculte";10;15
"tellement";939;409
"bas";123;243
"rapporter";13;47
"centime";15;18
"payer";208;1087
"loyer";11;132
"facture";8;52
"mois";124;269
"sport";120;100
"chose";829;927
"nécessaire";35;106
"monde";885;1489
