"";"*rts_a";"*rts_i"
"ver";54211;79926
"pro_per";55070;60321
"pro_dem";21794;24665
"nom";128258;152303
"nr";44197;39769
"pre";64778;95351
"con";32443;46314
"art_def";53292;74579
"adj_ind";2487;4146
"aux";42935;48642
"adv_sup";43317;55129
"num";5951;8095
"nom_sup";4311;4316
"pro_ind";10363;13870
"ver_sup";14976;20796
"adj";36125;45291
"adj_dem";3775;3639
"adv";7440;10769
"adj_pos";8801;9280
"adj_int";1584;1125
"art_ind";19513;28965
"ono";8640;7696
"pro_rel";14474;23029
"adj_sup";1040;1499
"adj_num";746;821
"pro_pos";136;132
