"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";-266,971;-71,501;-92,24;-393,101;-668,795;-553,146;11464,259;-17,013;-655,114
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-120,197;-26,73;-59,954;-299,567;-309,174;-364,58;-451,659;-62,469;7103,977
"emji_coeur_rouge";-67,649;-39,315;-55,842;-288,524;-219,502;-338,65;-533,63;-71,312;6664,486
"emji_applaudissements";-38,582;-10,743;-24,133;-97,189;-86,329;-119,37;-222,528;-17,396;2534,835
"voir";4,674;-6,624;0,281;56,708;288,418;67,649;-156,273;-3,678;-277,572
"emji_se_rouler_par_terre_de_rire";-38,537;-9,377;-1,923;-55,283;-94,172;-70,276;1540,245;-0,364;-106,95
"époque";-38,851;0,267;-1,042;-0,407;1138,31;-71,752;-154,187;-29,657;-18,89
"aller";8,661;-7,045;0,339;376,681;9,277;17,341;-58,101;1,998;-303,313
"beau";-9,819;-11,345;-21,569;-29,849;8,141;-45,36;-182,079;-30,118;835,805
"aimer";10,397;-7,894;-17,265;-10,668;115,837;-16,421;23,675;-19,361;-30,363
"suisse";-20,31;-7,555;-6,678;37,834;-34,221;-11,508;420,232;-7,081;-129,955
"femme";-33,973;-30,458;-10,658;-32,074;3,43;1545,694;-212,907;-12,691;-72,403
"emji_visage_qui_pleure";1,314;0,091;-2,458;-4,71;61,216;-15,893;-88,153;-10,091;76,179
"parler";-6,537;-17,432;10,003;-28,297;36,498;466,173;-24,557;-5,846;-144,398
"emji_visage_souriant_avec_coeurs";-19,59;-2,117;-16,982;-80,718;-81,51;-101,963;-142,335;-19,363;1903,256
"enfant";-29,96;16,61;-13,361;-30,607;1247,267;0,649;-177,449;-20,763;-101,647
"homme";-12,778;-26,005;-12,591;-62,395;-1,257;1733,899;-199,752;-19,765;-54,144
"vie";-0,292;-13,196;-13,047;-11,198;869,536;-1,301;-172,148;-11,677;-29,207
"souvenir";-32,088;73,81;-5,321;0,138;-26,848;-106,153;-95,488;-22,983;676,881
"petit";28,496;-0,171;-0,404;0,096;252,534;-56,751;-40,792;8,061;-33,872
"gens";6,546;-21,295;8,711;0,289;473,918;24,513;-165,744;0,816;-174,33
"emji_feu";-31,687;-14,511;-14,13;-39,076;-73,037;-75,689;-118,244;-20,151;1606,836
"année";-4,524;24,3;-5,366;25,139;438,359;-34,318;-73,359;-6,49;-75,413
"emji_visage_souriant_avec_une_goutte_de_sueur";-9,739;-3,373;-2,546;-27,084;-31,053;-39,753;812,469;0,393;-101,126
