"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;7;8;11;12;15;16;19
"2";3;4;7;8;11;12;15;16;19
"3";3;4;7;8;11;12;15;16;19
"4";3;4;7;8;11;12;15;16;19
"5";3;4;7;8;11;12;15;16;19
"6";3;4;7;8;11;12;15;17;17
"7";3;4;7;8;11;12;15;16;19
"8";3;4;7;8;11;12;15;16;19
"9";3;4;7;8;11;12;15;16;19
"10";3;4;7;8;11;12;15;16;19
"11";3;4;7;8;11;12;15;16;19
"12";3;4;7;8;11;12;15;16;19
"13";3;4;7;8;11;12;15;16;19
"14";3;4;7;8;11;12;15;16;19
"15";3;4;7;8;11;12;15;16;19
"16";3;4;7;8;11;12;15;16;19
"17";3;4;7;8;11;12;15;16;19
"18";3;4;7;8;11;12;15;16;19
"19";3;4;7;8;11;12;15;16;19
"20";3;4;7;8;11;12;15;16;19
"21";3;4;7;8;11;12;15;16;19
"22";3;4;7;8;11;12;15;16;19
"23";3;4;7;8;11;12;15;16;19
"24";3;4;7;8;11;12;15;16;19
"25";3;4;7;8;11;12;15;16;19
"26";3;4;7;8;11;12;15;16;19
"27";3;4;7;8;11;12;15;16;19
"28";3;4;7;8;11;12;15;16;19
"29";3;4;7;8;11;12;15;16;19
"30";3;4;7;8;11;12;15;16;19
"31";3;4;7;8;11;12;15;16;19
"32";3;4;7;8;11;12;15;16;19
"33";3;4;7;8;11;12;15;16;19
"34";3;4;7;8;11;12;15;16;19
"35";3;4;7;8;11;12;15;16;19
"36";3;4;7;8;11;12;15;16;19
"37";3;4;7;8;11;12;15;16;19
"38";3;4;7;8;11;12;15;16;19
"39";3;4;7;8;11;12;15;16;19
"40";3;4;7;8;11;12;15;16;19
"41";3;4;7;8;11;12;15;16;19
"42";3;4;7;8;11;12;15;16;19
"43";3;4;7;8;11;12;15;16;19
"44";3;4;7;8;11;12;15;16;19
"45";3;4;7;8;11;12;15;16;19
"46";3;4;7;8;11;12;15;16;19
"47";3;4;7;8;11;12;15;16;19
