"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"10";"***";"";""
"**";"classe";"1";"**";"";""
"****";"3";"8793";"0.03";"****";""
"3";"  3";"100.00";"8793.000";"pipette";" 0.000000e+00"
"3";"  5";" 60.00";"5274.600";"jus";" 0.000000e+00"
"1";"  5";" 20.00";" 584.734";"hahah";"3.502961e-129"
"1";"  7";" 14.29";" 417.191";"rouleau";" 9.973764e-93"
"1";"682";"  0.15";"   2.744";"emji_se_rouler_par_terre_de_rire";" 9.761802e-02"
"*****";"*";"*";"*";"*";"*"
"1";"  79";"1.27";"35.459";"sa";"2.605048e-09"
"1";"  87";"1.15";"32.047";"où";"1.504682e-08"
"2";" 780";"0.26";"12.401";"à";"4.291544e-04"
"1";" 228";"0.44";"11.228";"elle";"8.057588e-04"
"2";"1000";"0.20";" 9.103";"et";"2.551609e-03"
"1";" 321";"0.31";" 7.517";"avec";"6.111061e-03"
"1";" 329";"0.30";" 7.296";"aussi";"6.909042e-03"
"1";" 386";"0.26";" 5.990";"moi";"1.438834e-02"
"2";"1472";"0.14";" 5.367";"la";"2.052289e-02"
"2";"1629";"0.12";" 4.608";"avoir";"3.182768e-02"
"*";"*";"*";"*";"*";"*"
"3";" 98";"3.06";"266.264";"*a_0808";"7.397867e-60"
"3";" 98";"3.06";"266.264";"*postComments_324";"7.397867e-60"
"3";" 98";"3.06";"266.264";"*postDate_2-3-2025";"7.397867e-60"
"3";"169";"1.78";"153.141";"*postLikes_15000";"3.568259e-35"
"1";" 23";"4.35";"125.815";"*commentDate_19-5-2025";"3.376051e-29"
"1";" 25";"4.00";"115.617";"*commentDate_4-3-2025";"5.766735e-27"
"1";" 37";"2.70";" 77.582";"*commentDate_2-3-2025";"1.273475e-18"
"3";"346";"0.87";" 73.265";"*postReposts_3";"1.133672e-17"
"1";"162";"0.62";" 16.457";"*commentLikes_5";"4.977746e-05"
"1";"658";"0.15";"  2.897";"*commentLikes_2";"8.876795e-02"
"**";"classe";"2";"**";"";""
"****";"5";"8793";"0.06";"****";""
"5";" 5";"100.00";"8793.000";"attentat";" 0.000000e+00"
"2";" 8";" 25.00";" 876.600";"vendredi";"1.198813e-192"
"1";" 4";" 25.00";" 438.101";"mélanger";" 2.804376e-97"
"1";"33";"  3.03";"  51.532";"rester";" 7.042998e-13"
"*****";"*";"*";"*";"*";"*"
"2";"  13";"15.38";"538.216";"13";"4.607346e-119"
"3";" 733";" 0.41";" 17.475";"un";" 2.910610e-05"
"1";"  93";" 1.08";" 17.154";"falloir";" 3.447484e-05"
"2";" 431";" 0.46";" 13.221";"du";" 2.767695e-04"
"1";" 255";" 0.39";"  5.195";"tout";" 2.265199e-02"
"2";"1000";" 0.20";"  4.068";"et";" 4.371102e-02"
"1";" 325";" 0.31";"  3.736";"y";" 5.325125e-02"
"2";"1097";" 0.18";"  3.471";"les";" 6.245558e-02"
"1";" 386";" 0.26";"  2.905";"moi";" 8.833071e-02"
"3";"2556";" 0.12";"  2.321";"être";" 1.276032e-01"
"1";" 448";" 0.22";"  2.299";"pour";" 1.294953e-01"
"2";"1376";" 0.15";"  2.247";"c";" 1.338371e-01"
"*";"*";"*";"*";"*";"*"
"1";"  2";"50.00";"878.000";"*commentLikes_65";"5.948733e-193"
"3";" 25";"12.00";"629.256";"*a_0935";"7.254600e-139"
"3";" 25";"12.00";"629.256";"*postComments_193";"7.254600e-139"
"3";" 25";"12.00";"629.256";"*postReposts_141";"7.254600e-139"
"1";"  3";"33.33";"584.734";"*commentDate_2-9-2021";"3.502961e-129"
"3";" 40";" 7.50";"391.711";"*postDate_22-9-2025";" 3.509993e-87"
"1";"  6";"16.67";"291.468";"*commentDate_14-6-2025";" 2.380739e-65"
"3";" 56";" 5.36";"278.596";"*postLikes_9500";" 1.519226e-62"
"1";"  8";"12.50";"218.152";"*commentDate_1-1-2026";" 2.288206e-49"
"1";" 17";" 5.88";"101.711";"*commentDate_24-9-2025";" 6.423959e-24"
"1";" 32";" 3.12";" 53.198";"*commentDate_22-9-2025";" 3.015367e-13"
"1";" 32";" 3.12";" 53.198";"*a_0871";" 3.015367e-13"
"1";" 32";" 3.12";" 53.198";"*postLikes_46900";" 3.015367e-13"
"1";" 32";" 3.12";" 53.198";"*postComments_110";" 3.015367e-13"
"1";" 32";" 3.12";" 53.198";"*postReposts_394";" 3.015367e-13"
"1";" 33";" 3.03";" 51.532";"*postDate_13-6-2025";" 7.042998e-13"
"1";" 47";" 2.13";" 35.654";"*a_0036";" 2.356040e-09"
"1";" 47";" 2.13";" 35.654";"*postLikes_41500";" 2.356040e-09"
"1";" 52";" 1.92";" 32.056";"*postDate_13-8-2021";" 1.497535e-08"
"1";"104";" 0.96";" 15.157";"*postComments_182";" 9.895521e-05"
"**";"classe";"3";"**";"";""
"****";"105";"8793";"1.19";"****";""
"45";"54";" 83.33";"3106.956";"horreur";" 0.000000e+00"
"38";"56";" 67.86";"2122.744";"emji_visage_nauséeux";" 0.000000e+00"
" 7";" 7";"100.00";" 579.661";"emji_visage_fatigué";"4.443445e-128"
"16";"37";" 43.24";" 556.816";"emji_visage_qui_vomit";"4.142320e-123"
" 6";" 6";"100.00";" 496.796";"juvénile";"4.732282e-110"
" 6";" 7";" 85.71";" 424.160";"emji_visage_effrayé";" 3.034076e-94"
" 6";"10";" 60.00";" 293.427";"poitrine";" 8.908146e-66"
" 6";"13";" 46.15";" 223.048";"emji_femme_avec_la_paume_sur_le_visage_peau_claire";" 1.957001e-50"
" 3";" 4";" 75.00";" 184.758";"insupportable";" 4.431188e-42"
" 2";" 3";" 66.67";" 109.032";"emji_tête_de_cochon";" 1.597108e-25"
" 3";" 8";" 37.50";"  89.455";"emji_visage_boudeur";" 3.137140e-21"
" 1";" 3";" 33.33";"  26.273";"rhumatisses";" 2.964502e-07"
" 1";" 3";" 33.33";"  26.273";"perclus";" 2.964502e-07"
" 1";" 3";" 33.33";"  26.273";"nourriture";" 2.964502e-07"
" 1";" 3";" 33.33";"  26.273";"moderne";" 2.964502e-07"
" 1";" 3";" 33.33";"  26.273";"bourgeois";" 2.964502e-07"
" 1";" 3";" 33.33";"  26.273";"betharram";" 2.964502e-07"
" 6";"85";"  7.06";"  25.020";"emji_visage_qui_hurle_de_peur";" 5.672904e-07"
" 1";" 4";" 25.00";"  19.222";"pitié";" 1.163859e-05"
" 1";" 4";" 25.00";"  19.222";"internet";" 1.163859e-05"
" 1";" 4";" 25.00";"  19.222";"cliché";" 1.163859e-05"
" 1";" 4";" 25.00";"  19.222";"adulte";" 1.163859e-05"
" 1";" 5";" 20.00";"  14.996";"quasiment";" 1.077523e-04"
" 1";" 5";" 20.00";"  14.996";"odeur";" 1.077523e-04"
" 1";" 5";" 20.00";"  14.996";"humain";" 1.077523e-04"
" 1";" 5";" 20.00";"  14.996";"discours";" 1.077523e-04"
" 1";" 5";" 20.00";"  14.996";"crado";" 1.077523e-04"
" 1";" 6";" 16.67";"  12.182";"terre";" 4.824049e-04"
" 1";" 6";" 16.67";"  12.182";"technique";" 4.824049e-04"
" 1";" 6";" 16.67";"  12.182";"souci";" 4.824049e-04"
" 1";" 6";" 16.67";"  12.182";"refuser";" 4.824049e-04"
" 1";" 6";" 16.67";"  12.182";"costume";" 4.824049e-04"
" 2";"24";"  8.33";"  10.396";"emji_visage_qui_regarde_entre_ses_doigts";" 1.262946e-03"
" 1";" 7";" 14.29";"  10.176";"permettre";" 1.422513e-03"
" 2";"28";"  7.14";"   8.425";"pauvre";" 3.701513e-03"
" 3";"59";"  5.08";"   7.620";"emji_visage_qui_pleure";" 5.771198e-03"
" 1";" 9";" 11.11";"   7.510";"bergamote";" 6.137435e-03"
" 1";"10";" 10.00";"   6.580";"franchement";" 1.031505e-02"
" 1";"14";"  7.14";"   4.206";"emji_visage_de_geek";" 4.028957e-02"
" 1";"16";"  6.25";"   3.473";"emji_visage_aux_yeux_en_spirales";" 6.238933e-02"
" 1";"16";"  6.25";"   3.473";"fast_food";" 6.238933e-02"
" 1";"17";"  5.88";"   3.173";"sonner";" 7.486463e-02"
" 1";"17";"  5.88";"   3.173";"porte";" 7.486463e-02"
" 1";"18";"  5.56";"   2.908";"pire";" 8.814489e-02"
" 1";"18";"  5.56";"   2.908";"coeur";" 8.814489e-02"
" 1";"20";"  5.00";"   2.461";"inventer";" 1.167129e-01"
" 2";"63";"  3.17";"   2.109";"emji_visage_avec_bouche_ouverte";" 1.463936e-01"
"*****";"*";"*";"*";"*";"*"
"32";" 90";"35.56";"909.951";"quelle";"6.739653e-200"
" 1";"  3";"33.33";" 26.273";"aïe";" 2.964502e-07"
" 1";"  3";"33.33";" 26.273";"2016";" 2.964502e-07"
" 1";"  3";"33.33";" 26.273";"1960";" 2.964502e-07"
" 1";"  4";"25.00";" 19.222";"2024";" 1.163859e-05"
" 1";"  4";"25.00";" 19.222";"1972";" 1.163859e-05"
" 1";"  5";"20.00";" 14.996";"mi";" 1.077523e-04"
" 2";" 20";"10.00";" 13.174";"con";" 2.838111e-04"
" 1";"  6";"16.67";" 12.182";"ci";" 4.824049e-04"
"14";"517";" 2.71";" 10.669";"mais";" 1.089681e-03"
" 1";"  8";"12.50";"  8.675";"2023";" 3.226448e-03"
" 2";" 28";" 7.14";"  8.425";"ouais";" 3.701513e-03"
" 1";"  9";"11.11";"  7.510";"chacun";" 6.137435e-03"
" 3";" 68";" 4.41";"  6.013";"quel";" 1.419781e-02"
" 1";" 11";" 9.09";"  5.821";"dont";" 1.583551e-02"
" 2";" 41";" 4.88";"  4.738";"cela";" 2.950273e-02"
" 1";" 16";" 6.25";"  3.473";"aucun";" 6.238933e-02"
" 4";"139";" 2.88";"  3.393";"cette";" 6.548100e-02"
" 1";" 17";" 5.88";"  3.173";"tant";" 7.486463e-02"
" 1";" 20";" 5.00";"  2.461";"assez";" 1.167129e-01"
" 3";"107";" 2.80";"  2.379";"jamais";" 1.230146e-01"
" 3";"107";" 2.80";"  2.379";"peu";" 1.230146e-01"
"*";"*";"*";"*";"*";"*"
"17";"  48";" 35.42";"479.080";"*a_0940";"3.388221e-106"
"17";"  48";" 35.42";"479.080";"*postLikes_22500";"3.388221e-106"
"17";"  48";" 35.42";"479.080";"*postComments_424";"3.388221e-106"
"17";"  48";" 35.42";"479.080";"*postReposts_298";"3.388221e-106"
"17";"  48";" 35.42";"479.080";"*postDate_29-9-2025";"3.388221e-106"
