emji_visage_riant_aux_larmes;100;76;49;143;31;327;94;280;175;157;169;133;38;83;412;3514;50;326;185
emji_visage_souriant_avec_yeux_en_forme_de_coeur;20;26;2;8;46;1295;9;19;10;21;34;41;6;9;9;21;8;39;752
emji_coeur_rouge;57;20;6;6;14;525;2;7;27;31;43;92;13;6;8;26;11;46;1547
emji_applaudissements;20;14;3;11;10;219;3;5;30;14;31;33;6;1;9;9;5;38;680
voir;140;36;52;45;4;44;14;44;266;196;324;188;37;6;42;57;72;270;55
emji_se_rouler_par_terre_de_rire;14;12;18;27;4;52;23;46;23;30;20;24;3;8;554;39;9;50;15
époque;43;51;36;14;6;117;8;24;80;82;612;121;18;12;26;63;31;170;149
aller;126;28;44;59;1;27;16;33;145;171;124;150;21;11;40;90;54;433;23
beau;63;21;10;10;1;145;7;21;61;80;138;133;15;6;17;40;24;98;598
aimer;100;18;8;11;2;76;248;13;57;62;35;299;14;1;18;26;27;91;89
suisse;38;19;17;22;1;54;4;482;65;81;61;58;29;10;12;18;98;122;36
femme;24;2;12;15;0;30;2;1;61;573;80;111;4;1;8;20;30;63;90
emji_visage_qui_pleure;59;25;14;10;12;9;17;11;40;48;100;103;11;2;9;18;12;73;261
parler;49;9;45;21;3;22;2;60;346;133;125;73;10;15;21;61;29;57;37
emji_visage_souriant_avec_coeurs;16;14;1;2;17;494;1;2;8;7;9;15;2;2;10;2;4;15;118
enfant;22;51;8;7;0;36;2;10;108;87;362;191;4;2;10;14;12;66;44
homme;35;2;8;7;1;27;3;3;64;539;53;100;4;0;7;10;20;34;86
vie;59;10;8;13;0;36;8;7;49;88;80;431;2;1;6;15;24;78;105
souvenir;19;73;14;5;4;498;7;16;17;20;53;45;12;8;18;29;23;112;29
petit;101;26;22;46;0;53;12;29;40;35;68;263;16;8;24;45;17;108;70
gens;79;4;39;35;1;6;5;5;107;120;125;261;6;2;7;17;22;110;28
emji_feu;7;3;2;1;6;462;2;3;10;13;13;17;3;1;3;14;5;31;87
année;43;52;13;16;2;54;10;10;60;53;306;50;9;12;25;29;30;148;33
emji_visage_souriant_avec_une_goutte_de_sueur;30;15;14;29;1;36;18;37;39;27;36;34;7;7;416;11;5;55;16
temps;37;26;9;12;0;28;5;11;51;61;260;124;13;3;5;25;22;136;36
tellement;41;27;8;16;4;70;8;16;51;52;76;105;4;3;18;42;11;60;256
